@relation data

@attribute id string
@attribute 10714 numeric
@attribute 27030 numeric
@attribute 2956 numeric
@attribute 3978 numeric
@attribute 4292 numeric
@attribute 4436 numeric
@attribute 4437 numeric
@attribute 5111 numeric
@attribute 5395 numeric
@attribute 5424 numeric
@attribute 5425 numeric
@attribute 57804 numeric
@attribute 5981 numeric
@attribute 5982 numeric
@attribute 5983 numeric
@attribute 5984 numeric
@attribute 5985 numeric
@attribute 6117 numeric
@attribute 6118 numeric
@attribute 6119 numeric
@attribute 6742 numeric
@attribute 9156 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.937,0.9512,0.4892,0.6555,0.4802,0.2062,0.5159,0.9035,0.6941,0.2617,0.382,0.9153,1.486,1.1096,0.4542,0.9032,0.7518,1.4243,0.8764,0.3897,1.4543,-0.0615,Control
Utah__A02,0.5755,0.5691,0.4242,0.4502,0.3165,0.1572,0.3374,0.7473,0.576,0.099,0.285,0.7812,1.215,0.9707,0.2866,0.6426,0.5097,1.2092,0.7208,0.2466,1.1757,-0.0503,Control
Utah__A03,1.036,0.7159,0.3899,0.5046,0.3821,0.1745,0.5242,0.9707,0.5773,0.2106,0.3595,0.9344,1.3855,1.1352,0.3673,0.6376,0.6849,1.3513,0.8257,0.2993,1.3369,0.1014,Control
Utah__A04,0.6365,0.5925,0.2847,0.5296,0.3328,0.1841,0.3941,0.8223,0.7176,0.2655,0.371,0.8265,1.3284,1.1213,0.2206,0.6101,0.4767,1.3715,0.8193,0.2713,1.353,-0.0608,Control
Utah__A05,0.9697,0.8878,0.3965,0.535,0.422,0.0836,0.4646,0.8848,0.7891,0.3148,0.3664,1.0764,1.4057,1.2556,0.3186,0.7925,0.5598,1.3842,0.8622,0.2845,1.2964,0.0285,Control
Utah__A06,0.9507,0.6754,0.2014,0.4429,0.3661,0.1823,0.318,0.6592,0.5986,0.1924,0.2252,0.8032,1.3568,1.161,0.4412,0.7451,0.4897,1.287,0.8196,0.2325,1.2275,-0.0645,Control
Utah__A07,0.9639,0.8415,0.5244,0.4896,0.4377,0.18,0.4744,0.8629,0.7037,0.2018,0.3551,0.8621,1.3942,1.0976,0.4477,0.7404,0.5836,1.3544,0.8758,0.3008,1.2791,0.0364,Control
Utah__A08,0.9739,0.9029,0.5448,0.5175,0.5239,0.3622,0.5739,0.6613,0.5891,0.136,0.351,0.716,1.4589,0.8865,0.4018,0.673,0.5327,1.3442,0.7175,0.2751,1.3938,-0.0159,Control
Utah__A09,0.8879,0.7566,0.3489,0.4678,0.3598,0.1276,0.4734,0.7883,0.543,0.1834,0.3534,0.8269,1.3819,0.9568,0.4023,0.5381,0.5367,1.3771,0.8179,0.2256,1.2445,-0.0664,Control
Utah__A10,0.8958,0.9014,0.4147,0.4365,0.4652,0.2022,0.4997,0.7576,0.6771,0.238,0.2448,0.8239,1.4796,1.0653,0.3815,0.6957,0.5879,1.4058,0.8841,0.2379,1.3248,0.0317,Control
