@relation data

@attribute id string
@attribute 1040 numeric
@attribute 10423 numeric
@attribute 113026 numeric
@attribute 1606 numeric
@attribute 1607 numeric
@attribute 1608 numeric
@attribute 160851 numeric
@attribute 1609 numeric
@attribute 163688 numeric
@attribute 200576 numeric
@attribute 23236 numeric
@attribute 23396 numeric
@attribute 23533 numeric
@attribute 27124 numeric
@attribute 3612 numeric
@attribute 3613 numeric
@attribute 3628 numeric
@attribute 3631 numeric
@attribute 3632 numeric
@attribute 3633 numeric
@attribute 3635 numeric
@attribute 3636 numeric
@attribute 3705 numeric
@attribute 3706 numeric
@attribute 3707 numeric
@attribute 3708 numeric
@attribute 3709 numeric
@attribute 3710 numeric
@attribute 4952 numeric
@attribute 51196 numeric
@attribute 51763 numeric
@attribute 51806 numeric
@attribute 5286 numeric
@attribute 5287 numeric
@attribute 5288 numeric
@attribute 5289 numeric
@attribute 5290 numeric
@attribute 5291 numeric
@attribute 5293 numeric
@attribute 5294 numeric
@attribute 5295 numeric
@attribute 5296 numeric
@attribute 5297 numeric
@attribute 5298 numeric
@attribute 5305 numeric
@attribute 5330 numeric
@attribute 5331 numeric
@attribute 5332 numeric
@attribute 5333 numeric
@attribute 5335 numeric
@attribute 5336 numeric
@attribute 55300 numeric
@attribute 55361 numeric
@attribute 5578 numeric
@attribute 5579 numeric
@attribute 5582 numeric
@attribute 56623 numeric
@attribute 5728 numeric
@attribute 64768 numeric
@attribute 79837 numeric
@attribute 801 numeric
@attribute 805 numeric
@attribute 808 numeric
@attribute 810 numeric
@attribute 8394 numeric
@attribute 8395 numeric
@attribute 8396 numeric
@attribute 84812 numeric
@attribute 8503 numeric
@attribute 8525 numeric
@attribute 8526 numeric
@attribute 8527 numeric
@attribute 8760 numeric
@attribute 8821 numeric
@attribute 8867 numeric
@attribute 8871 numeric
@attribute 89869 numeric
@attribute 9162 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,-0.0993,1.7741,-0.0037,2.1595,-0.0854,0.1482,0.5991,0.3408,0.0913,1.5965,0.4303,0.2929,1.3891,0.0653,1.1193,0.4236,0.5388,1.1256,0.2603,0.9732,1.2646,1.0632,0.3551,-0.2728,1.0966,0.7493,0.8186,0.8509,0.438,-0.0933,1.0051,-0.2612,1.248,0.7797,-0.1239,1.215,1.6169,1.5303,1.3241,1.8391,1.4782,0.1982,1.5033,0.9012,0.9003,1.7084,0.577,-0.0589,0.4363,1.7289,0.5941,1.1781,1.1572,0.5523,1.0332,-0.0542,0.3098,1.243,0.403,1.1093,2.3173,1.1595,2.0808,-0.0572,0.4534,0.1564,1.0284,-0.0059,0.1026,0.4301,1.5609,1.0263,1.2924,0.6882,1.2422,0.2946,-0.0633,-0.091,Control
Utah__A02,0.0121,1.6185,0.002,1.5348,-0.0213,0.1156,0.2424,0.3345,0.1996,1.3711,0.2262,0.2863,1.0974,0.0586,0.7407,0.3765,0.5046,0.9401,0.1804,0.8472,1.2681,1.0717,0.3118,-0.2148,0.6518,0.5121,0.6118,0.687,0.2294,-0.0982,0.7859,-0.1296,0.9516,0.4195,-0.1304,0.8686,1.3286,1.3861,1.0956,2.0614,1.1561,0.1599,1.2142,0.7548,0.5139,1.6702,0.4872,-0.0815,0.3155,1.2376,0.584,0.995,1.0805,0.1715,0.6697,-0.1266,0.1734,0.647,0.2398,0.9127,2.331,0.9813,2.1764,-0.0692,0.2908,0.0013,0.7814,0.0158,0.1135,0.294,1.1722,0.8164,1.1661,0.3206,0.9419,0.1827,-0.1078,-0.0266,Control
Utah__A03,-0.047,1.7376,0.0957,1.3934,-0.0601,0.1989,0.3393,0.4432,0.1579,1.4911,0.3007,0.3914,1.5442,0.1105,0.9375,0.458,0.5996,1.2292,0.2371,0.9589,1.4447,1.2107,0.4469,-0.2764,0.7324,0.59,0.8493,0.726,0.3807,-0.1112,1.0806,-0.2249,1.2264,0.5275,-0.1393,1.0662,1.4291,1.4305,1.2641,2.1951,1.3011,0.2603,1.4424,0.8959,0.8008,2.0238,0.7102,-0.1083,0.4025,1.3242,0.7859,1.2826,1.4179,0.1678,0.9489,-0.1293,0.2515,0.9196,0.338,1.2083,2.5215,1.2374,2.1323,0.0188,0.3825,0.1286,0.9333,-0.0045,0.2773,0.3614,1.2569,0.8489,1.2975,0.2637,1.3299,0.2699,-0.1091,-0.0484,Control
Utah__A04,0.0355,1.6768,0.0719,1.6196,-0.0264,0.109,0.2146,0.4891,0.1263,1.3936,0.1828,0.4184,1.3239,0.1028,0.7841,0.3852,0.3877,1.1133,0.2359,0.9284,1.3759,1.0791,0.3014,-0.0499,0.7982,0.6555,0.5923,0.7783,0.2162,-0.1145,0.9145,0.0281,0.8937,0.6932,-0.0782,0.8517,1.383,1.3728,1.2342,2.1245,1.4673,0.2795,1.2727,0.8103,0.6554,1.6228,0.5036,-0.0722,0.4252,1.312,0.4817,1.0468,1.0347,0.2858,0.7891,0.0079,0.2417,0.7631,0.2657,0.9664,2.6061,1.0291,2.2841,0.0712,0.252,0.0418,0.8866,3e-04,0.0439,0.3027,1.0505,1.0069,1.234,0.3789,0.8262,0.2897,-0.1065,-0.0402,Control
Utah__A05,-9e-04,1.9051,0.1275,1.4491,-0.061,0.2962,0.2551,0.4773,0.1771,1.5724,0.4625,0.5517,1.5325,0.0405,0.9262,0.5685,0.5782,1.1785,0.299,0.9894,1.4136,1.3984,0.4002,-0.0961,0.8411,0.6827,0.8117,0.716,0.44,-0.0924,1.0395,-0.1437,1.1797,0.5666,-0.0785,1.023,1.5208,1.8135,1.3448,2.1197,1.3057,0.3911,1.4649,0.8689,0.74,1.8707,0.8193,-0.0609,0.4024,1.2008,0.7428,1.116,1.419,0.2856,0.9233,-0.0072,0.2744,0.9399,0.387,1.0702,2.2755,0.994,2.3856,0.1314,0.2983,0.1325,0.9635,0.0154,0.1894,0.3893,1.0936,1.068,1.2937,0.3109,1.1391,0.2713,-0.1038,-0.0553,Control
Utah__A06,-0.1119,1.7377,-0.0292,1.5303,-0.0168,0.1886,0.2427,0.2974,0.1628,1.4741,0.3563,0.3386,1.4078,0.06,0.902,0.4724,0.5214,1.126,0.166,0.8701,1.3554,1.1561,0.3831,-0.274,0.7714,0.6173,0.7335,0.6711,0.4345,-0.1097,0.8741,-0.1872,1.0988,0.3784,-0.122,0.9651,1.4163,1.4187,1.2303,1.9994,1.3466,0.1824,1.4367,0.7762,0.7125,1.742,0.6236,-0.0817,0.2641,1.1962,0.6112,0.9273,1.1552,0.2749,0.8755,-0.1821,0.223,0.8375,0.2954,0.9624,2.2293,1.154,2.1384,-0.0271,0.3167,0.0444,0.907,-0.0219,0.1109,0.2797,1.0873,0.9617,1.2228,0.2361,1.1162,0.2116,-0.0885,-0.045,Control
Utah__A07,0.0093,1.6736,0.0361,1.7606,-0.033,0.3242,0.2871,0.4177,0.1512,1.6142,0.8391,0.378,1.3584,0.0253,1.0569,0.562,0.5443,1.369,0.2328,0.9866,1.4305,1.1408,0.4496,-0.1231,1.2065,0.8001,0.9943,0.6893,0.4244,-0.1365,0.8574,-0.2411,1.2689,0.4726,-0.1366,1.2166,1.6368,1.5148,1.2868,1.974,1.6128,0.1921,1.4362,0.8343,1.1792,1.7855,0.642,-0.0893,0.3787,1.2837,0.6739,1.1324,1.269,0.5058,1.2903,-0.1545,0.2295,1.3109,0.3785,0.9842,2.2849,1.4581,2.178,0.0491,0.4008,0.1631,0.9528,0.0096,0.2134,0.3749,1.3607,1.0423,1.2928,0.5926,1.2093,0.2929,-0.1092,-0.0297,Control
Utah__A08,-0.0759,1.4406,-0.0408,2.0763,-0.0779,0.238,0.568,0.2289,0.1237,1.7269,0.6234,0.3217,1.3062,0.1396,1.0427,0.3113,0.3607,1.4511,0.2824,0.9619,1.5328,1.0004,0.5003,-0.2966,1.3348,0.9849,1.0792,0.6991,0.427,-0.1035,0.8453,-0.3309,1.4553,0.5409,-0.129,1.3829,1.8021,1.5358,1.3083,2.0798,1.7107,0.159,1.5184,0.8081,1.4087,1.7589,0.4185,-0.0928,0.2994,1.4764,0.7942,1.1702,1.0115,0.8574,1.3963,-0.1576,0.1518,1.5,0.3657,1.0666,2.199,1.2592,1.9223,-9e-04,0.473,0.189,0.8249,-0.022,0.2596,0.3733,1.577,1.0832,1.2785,0.947,1.3002,0.3702,-0.0766,-0.0874,Control
Utah__A09,-0.0303,1.7201,0.0289,1.8805,-0.0522,0.2321,0.4084,0.4142,0.1268,1.4274,0.7121,0.3282,1.3303,0.0912,0.9907,0.3588,0.4393,1.2439,0.2435,0.9106,1.3605,1.0352,0.4089,-0.1635,1.0956,0.7599,0.9655,0.6424,0.3352,-0.1069,0.8554,-0.1087,1.1511,0.4676,-0.113,1.2408,1.4941,1.4418,1.2311,1.9891,1.5301,0.1611,1.4162,0.7541,1.1055,1.6492,0.5998,-0.0597,0.3873,1.3678,0.619,1.0845,1.1596,0.5722,1.2298,-0.151,0.1526,1.3575,0.3295,0.9575,2.2287,0.9544,2.3056,0.079,0.2966,0.1412,0.8976,0.0132,0.1167,0.3184,1.384,0.9511,1.368,0.7254,1.2068,0.2333,-0.1114,-0.0216,Control
Utah__A10,-0.0385,1.7249,0.0406,1.4902,-0.0495,0.3325,0.4937,0.4286,0.1442,1.7186,0.9357,0.3586,1.3987,0.0939,1.0249,0.4206,0.4446,1.396,0.2607,0.9637,1.547,1.1811,0.4632,-0.1121,1.0771,0.8006,1.0196,0.626,0.3739,-0.0882,0.906,-0.1337,1.2018,0.4355,-0.0953,1.2259,1.743,1.7142,1.2585,2.143,1.6455,0.2578,1.4484,0.8529,1.303,1.7309,0.5409,-0.0569,0.3391,1.2566,0.6952,1.0889,1.1926,0.3634,1.2971,-0.0144,0.1736,1.3359,0.3732,1.0727,2.2654,1.2719,2.2472,-0.0261,0.3546,0.1511,0.8917,0.0351,0.3257,0.4149,1.3848,1.008,1.4355,0.6021,1.1557,0.175,-0.0677,-0.068,Control
