@relation data

@attribute id string
@attribute 11182 numeric
@attribute 11254 numeric
@attribute 114134 numeric
@attribute 115584 numeric
@attribute 126969 numeric
@attribute 146802 numeric
@attribute 148867 numeric
@attribute 154091 numeric
@attribute 155184 numeric
@attribute 169026 numeric
@attribute 200010 numeric
@attribute 204962 numeric
@attribute 23446 numeric
@attribute 23516 numeric
@attribute 23539 numeric
@attribute 254428 numeric
@attribute 25800 numeric
@attribute 26266 numeric
@attribute 27173 numeric
@attribute 283375 numeric
@attribute 284111 numeric
@attribute 29985 numeric
@attribute 29986 numeric
@attribute 29988 numeric
@attribute 30061 numeric
@attribute 340024 numeric
@attribute 345274 numeric
@attribute 348932 numeric
@attribute 4891 numeric
@attribute 51458 numeric
@attribute 54716 numeric
@attribute 55117 numeric
@attribute 55244 numeric
@attribute 55630 numeric
@attribute 55676 numeric
@attribute 56606 numeric
@attribute 57127 numeric
@attribute 57153 numeric
@attribute 57181 numeric
@attribute 6005 numeric
@attribute 60482 numeric
@attribute 64116 numeric
@attribute 64849 numeric
@attribute 64924 numeric
@attribute 6513 numeric
@attribute 6514 numeric
@attribute 6515 numeric
@attribute 6517 numeric
@attribute 6518 numeric
@attribute 6523 numeric
@attribute 6524 numeric
@attribute 6529 numeric
@attribute 6530 numeric
@attribute 6531 numeric
@attribute 6533 numeric
@attribute 6534 numeric
@attribute 6536 numeric
@attribute 6538 numeric
@attribute 6539 numeric
@attribute 6540 numeric
@attribute 6556 numeric
@attribute 6561 numeric
@attribute 6563 numeric
@attribute 6566 numeric
@attribute 6570 numeric
@attribute 6571 numeric
@attribute 6582 numeric
@attribute 66035 numeric
@attribute 7779 numeric
@attribute 7780 numeric
@attribute 7781 numeric
@attribute 7922 numeric
@attribute 80736 numeric
@attribute 81031 numeric
@attribute 8170 numeric
@attribute 84102 numeric
@attribute 9058 numeric
@attribute 9123 numeric
@attribute 9152 numeric
@attribute 9194 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.698,-0.1962,0.1279,-0.0528,-0.0583,-0.0216,1.3675,-0.0518,0.086,-0.0507,-0.0545,-0.1063,0.7876,0.0576,0.3034,0.655,1.4777,0.0024,0.5782,0.0351,0.1237,0.6174,-0.0313,0.1982,1.5989,0.0734,0.1518,0.0742,0.975,-0.0621,0.0479,-0.1501,0.0527,0.1642,1.1752,0.0972,0.0389,2.2417,1.1674,-0.0215,-0.2294,0.7,0.0211,1.2611,0.7057,-0.0686,2.2124,-0.1413,0.2727,-0.0744,0.0421,-0.0306,-0.0922,0.0554,0.6423,-0.1024,-0.0931,-0.0575,0.2536,-0.0865,1.3091,-0.1385,0.6507,0.5829,-0.0531,0.4028,-0.0456,0.1567,0.7717,0.0694,0.0097,0.8665,-0.0294,-0.0942,0.0031,0.272,0.0112,0.779,-0.2035,1.0585,Control
Utah__A02,0.7888,-0.2202,-0.015,-0.0825,0.0095,-0.0086,1.0208,-0.0166,0.0788,-0.002,-0.0268,-0.0616,0.5373,0.0868,0.2104,0.5895,1.3003,0.013,0.5478,0.0276,0.0853,0.4078,-0.0322,0.201,1.3321,0.1883,0.1531,0.1453,0.7372,-0.0916,0.1952,-0.1496,-0.0091,0.2422,0.975,0.0889,0.1628,2.3023,0.8616,0.0437,-0.1713,0.4895,-0.0501,1.0868,0.6284,-0.0832,1.8756,-0.0454,0.1934,-0.1343,0.0175,0.0616,-0.0886,0.2004,0.5646,0.0842,0.0332,0.0437,0.3675,-0.0778,1.138,-0.0687,0.5455,0.4808,-0.0953,0.2011,0.0034,0.0038,0.7579,0.0811,0.1205,0.6983,0.039,-0.011,-0.0282,0.1345,0.0378,0.6786,-0.2367,0.7063,Control
Utah__A03,1.2178,-0.2809,0.0926,-0.086,-0.0647,-0.0127,1.3181,-0.0116,0.1212,-0.0323,-0.0619,0.0218,0.6358,0.1119,0.2443,0.6108,1.477,0.0805,0.7062,0.0352,0.1069,0.6397,-0.0596,0.2606,1.2019,0.1623,0.2369,0.1407,0.8382,-0.0244,0.1402,-0.1697,0.0347,0.1862,1.0995,0.1588,0.1167,2.3066,0.9044,0.0884,-0.1729,0.5356,-0.0099,1.1075,0.7337,-0.0929,2.2929,0.028,0.2767,-0.1233,0.0429,0.0653,-0.161,0.1927,0.8119,-0.0237,0.0589,0.048,0.5635,-0.0546,1.5365,-0.1117,0.783,0.5653,-0.1177,0.2285,0.0054,0.0852,0.9634,0.1045,0.1034,0.8889,0.0569,-0.0333,-0.0153,0.1879,0.0592,1.0311,-0.2136,0.8819,Control
Utah__A04,0.8279,-0.1139,0.0337,-0.1021,-0.0272,-2e-04,1.1579,-0.0643,0.0403,-0.0439,-0.0321,-0.0488,0.5374,0.1187,0.4465,0.5901,1.1889,0.0073,0.6225,0.0547,0.0978,0.5709,-0.0347,0.2291,1.4868,0.1236,0.1488,0.1124,0.6648,-0.0639,0.1446,-0.0893,-0.0232,0.2674,1.029,0.0743,0.0998,2.4925,0.8775,0.0456,-0.1851,0.6872,0.0185,1.0678,0.769,-0.0708,2.2088,-0.0078,0.3601,-0.1202,0.0286,0.0637,-0.142,0.1597,0.5724,0.0618,0.0285,0.0037,0.1372,-0.0899,1.2265,-0.0629,0.2108,0.4003,-0.105,0.1765,-0.0584,0.0396,0.6971,0.1228,0.145,0.759,0.0089,-0.0622,-0.0624,0.1091,0.0339,0.7898,-0.1959,0.7941,Control
Utah__A05,1.1497,-0.1882,0.1279,-0.0257,-0.0573,-6e-04,1.3336,-0.0501,0.0999,-0.0824,-0.0508,-0.0517,0.7567,0.1083,0.3736,0.5537,1.4363,-0.0427,0.8334,0.0225,0.0908,0.8706,-0.0846,0.3731,1.5551,0.1381,0.1482,0.0854,0.8389,-0.0593,0.1163,-0.1097,0.0575,0.2734,1.1347,0.2046,0.0854,2.4426,0.9091,0.048,-0.1671,0.5984,-0.037,1.3232,0.6386,-0.0666,2.275,-0.0265,0.3437,-0.0735,0.11,0.0317,-0.1098,0.1633,0.7816,0.0334,-0.0052,-0.0032,0.4431,-0.088,1.7909,-0.1087,0.5156,0.5558,-0.0573,0.5218,0.0025,0.0302,1.1032,0.086,0.1396,1.01,-0.0045,-0.0356,-0.0341,0.1674,-0.0042,1.0265,-0.1786,0.8278,Control
Utah__A06,0.8246,-0.1726,0.0676,-0.0731,-0.032,-0.0979,1.0913,-0.009,0.1038,-0.014,-0.0321,-0.0467,0.6791,0.0789,0.1388,0.5465,1.4481,0.0113,0.5716,0.004,0.1309,0.5304,-0.007,0.2032,1.5686,0.0727,0.1209,0.1041,0.6846,-0.1304,0.1366,-0.1499,-0.0453,0.1447,1.0747,0.2023,0.1143,2.3493,0.8541,0.0798,-0.1674,0.5378,0.0055,1.1381,0.5391,-0.0574,2.4851,-0.0768,0.1078,-0.1045,-0.0484,0.0289,-0.2252,0.1564,0.6516,-0.0519,-0.0473,-0.0018,0.3103,-0.0906,1.8252,-0.0792,0.2155,0.5326,-0.1346,0.2407,0.0199,0.0461,0.9442,-0.0243,0.1258,0.8628,0.0123,-0.0778,-0.0285,0.3303,0.0139,0.8331,-0.2118,0.8431,Control
Utah__A07,0.8586,-0.215,0.1181,-0.1233,-0.0276,-0.0626,1.4101,-0.0392,0.0851,-0.0671,-0.0438,-0.0448,0.7939,0.0741,0.3098,0.5274,1.4508,0.051,0.6744,-0.0205,0.0703,0.543,-0.136,0.2043,1.5842,0.1489,0.1155,0.1482,0.8983,-0.1028,0.1427,-0.1925,0.0171,0.2555,1.119,0.2663,0.1469,2.255,1.1246,0.0191,-0.1491,0.6708,-0.0472,1.2351,0.6744,-0.0546,2.2677,-0.1584,0.206,-0.1525,-0.0542,0.0421,-0.1699,0.1491,0.8129,0.041,0.0315,0.0187,0.2191,-0.1155,1.5589,-0.0874,0.4272,0.5553,-0.0911,0.2878,-0.0118,-0.0077,0.9983,0.1548,0.1192,0.9358,0.0361,-0.0657,-0.0877,0.3856,-0.0064,0.8451,-0.2591,1.1591,Control
Utah__A08,0.6934,-0.2258,0.2159,-0.0664,-0.0383,-0.0243,1.5726,-0.0136,0.026,-0.085,-0.083,-0.1111,0.7093,0.0133,0.16,0.5402,1.1733,0.0332,0.4092,0.012,0.1229,0.3497,-0.0044,0.1353,1.4399,0.108,0.1636,0.0609,0.9194,-0.1365,0.0522,-0.1347,-0.0102,0.1946,1.0183,0.2049,0.0523,2.1929,1.1048,-0.0814,-0.1853,0.6882,0.0092,1.0918,0.5971,-0.1311,1.853,-0.1304,0.0729,-0.1271,-0.0697,-0.0204,-0.132,0.1136,0.7858,-0.1259,-0.066,-0.0565,0.1476,-0.0946,1.199,-0.0871,0.671,0.3831,-0.0843,0.1016,-0.0366,0.0399,0.603,0.0172,0.0293,0.6502,-0.0171,-0.0195,-0.0216,0.1485,0.0685,0.6322,-0.2333,1.365,Control
Utah__A09,0.7804,-0.1656,0.1396,-0.1384,-0.0388,-0.0678,1.3055,-0.0609,0.1486,-0.0525,-0.0027,-0.0836,0.7289,0.0842,0.3207,0.4738,1.3904,0.0531,0.5789,0.012,0.0895,0.6773,-0.0247,0.1639,1.5997,0.1987,0.139,0.1437,0.8399,-0.0764,0.1608,-0.1434,-0.0107,0.2114,0.9225,0.2245,0.1644,2.495,0.9358,-0.0387,-0.1187,0.6384,-0.0248,1.0888,0.5821,-0.0658,2.2796,-0.1066,0.2315,-0.0924,0.019,0.0518,-0.1184,0.1582,0.7231,0.044,0.0942,0.0055,0.1214,-0.0682,1.3808,-0.097,0.3795,0.4278,-0.1035,0.328,-0.0336,0.0321,0.6203,0.1013,0.1256,0.7677,0.0451,-0.0288,-0.0623,0.194,-0.0024,0.6889,-0.2191,1.0747,Control
Utah__A10,0.7697,-0.1633,0.1591,-0.0834,-0.0753,-0.0333,1.4326,-0.0442,0.0285,-0.0453,-0.0707,0.0792,0.7275,0.0957,0.3318,0.6221,1.3258,0.0083,0.5676,0.076,0.0967,0.6634,-0.0034,0.2212,1.6327,0.1044,0.1806,0.0195,0.8796,-0.0369,0.0689,-0.1109,0.0399,0.2718,1.1761,0.287,0.0622,2.3471,1.059,-0.0159,-0.1551,0.7009,-0.004,1.2794,0.7734,-0.1124,2.2177,-0.0434,0.1189,-0.1148,0.059,0.0063,-0.1041,0.1002,0.8217,-0.0263,-0.0065,-0.0313,0.3216,-0.0405,1.6337,-0.0963,0.7502,0.5628,-0.1045,0.4457,-0.0066,-0.006,0.9355,0.0455,0.1467,0.6755,0.0032,-0.0824,-0.0095,0.1138,0.0377,0.7438,-0.1989,1.1416,Control
