@relation data

@attribute id string
@attribute 10000 numeric
@attribute 1050 numeric
@attribute 11040 numeric
@attribute 1147 numeric
@attribute 1978 numeric
@attribute 207 numeric
@attribute 208 numeric
@attribute 2322 numeric
@attribute 23533 numeric
@attribute 2475 numeric
@attribute 2885 numeric
@attribute 3265 numeric
@attribute 3551 numeric
@attribute 369 numeric
@attribute 3728 numeric
@attribute 3815 numeric
@attribute 3845 numeric
@attribute 4609 numeric
@attribute 4790 numeric
@attribute 4893 numeric
@attribute 51176 numeric
@attribute 5290 numeric
@attribute 5291 numeric
@attribute 5292 numeric
@attribute 5293 numeric
@attribute 5294 numeric
@attribute 5295 numeric
@attribute 5296 numeric
@attribute 5371 numeric
@attribute 5467 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5604 numeric
@attribute 5605 numeric
@attribute 572 numeric
@attribute 5894 numeric
@attribute 5914 numeric
@attribute 595 numeric
@attribute 5970 numeric
@attribute 6198 numeric
@attribute 6199 numeric
@attribute 6654 numeric
@attribute 6655 numeric
@attribute 6688 numeric
@attribute 673 numeric
@attribute 6774 numeric
@attribute 6776 numeric
@attribute 6777 numeric
@attribute 6932 numeric
@attribute 6934 numeric
@attribute 7704 numeric
@attribute 83439 numeric
@attribute 8503 numeric
@attribute 8517 numeric
@attribute 861 numeric
@attribute 862 numeric
@attribute 8900 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.6002,0.4801,2.131,1.5306,0.1884,0.6045,0.8246,0.5052,1.3891,1.0269,1.6544,0.4247,1.1434,1.3626,0.4911,0.0692,1.5983,1.5122,1.6889,2.847,1.8985,1.6169,1.5303,1.7866,1.3241,1.8391,1.4782,0.1982,0.7492,0.6441,1.7309,1.0783,0.718,0.4255,0.2521,1.7847,0.6169,0.1429,1.4148,1.1287,0.802,1.1294,1.3492,0.9371,0.5902,1.4485,1.1886,1.4497,1.561,0.2725,0.1257,-0.0434,0.1026,0.3441,0.9497,-0.0832,0.0119,Control
A02,0.3429,0.6029,1.5287,1.317,0.1762,0.5571,0.607,0.3589,1.0974,0.7955,1.493,0.3701,0.9151,1.1266,0.316,0.0944,1.3547,1.03,1.279,3.0554,0.9233,1.3286,1.3861,1.3573,1.0956,2.0614,1.1561,0.1599,0.5871,0.4217,1.6299,1.0214,0.4692,0.2945,0.1564,1.5429,0.4965,0.1112,1.23,0.926,0.5361,0.9018,1.1968,0.9786,0.4558,1.3068,1.0922,1.0472,0.97,0.3016,-0.0113,-0.007,0.1135,0.3329,0.5849,-0.108,-0.138,Control
A03,0.3568,0.6733,1.5783,1.5532,0.2996,0.6699,0.7634,0.4757,1.5442,0.9929,1.7906,0.3745,1.0536,1.396,0.5926,0.0014,1.6547,0.8428,1.4481,3.1476,0.7885,1.4291,1.4305,1.5198,1.2641,2.1951,1.3011,0.2603,0.8531,0.4829,1.8758,1.0584,0.6904,0.494,0.1963,1.7349,0.8213,0.132,1.459,1.0404,0.7355,1.1313,1.3816,1.3024,0.5095,1.4789,1.2443,1.1742,0.7731,0.6281,0.1295,-0.0378,0.2773,0.358,0.8397,-0.113,-0.0072,Control
A04,0.4955,0.7277,1.8731,1.0954,0.3003,0.6114,0.6935,0.2296,1.3239,0.9414,1.4914,0.3589,0.9388,1.2141,0.3642,0.1071,1.1941,1.4116,1.4307,3.093,1.1649,1.383,1.3728,1.5804,1.2342,2.1245,1.4673,0.2795,0.5062,0.5045,1.7145,1.0435,0.4999,0.4226,0.2622,1.6725,0.5481,0.2259,1.4617,0.9026,0.6915,1.0307,1.2135,0.9157,0.5557,1.39,1.1518,1.1716,1.3869,0.2486,0.0682,-0.0375,0.0439,0.3611,0.6857,-0.1196,-0.0971,Control
A05,0.4795,0.9591,1.7455,1.4575,0.3478,0.7362,0.7698,0.5586,1.5325,1.0446,1.8851,0.4809,1.0568,1.3258,0.4741,0.0507,1.41,1.1201,1.5153,3.3716,1.0277,1.5208,1.8135,1.5549,1.3448,2.1197,1.3057,0.3911,0.6707,0.5518,1.9408,1.1978,0.7099,0.4974,0.324,1.808,0.8403,0.1959,1.5159,1.0434,0.8249,1.0492,1.3778,1.3513,0.6029,1.4436,1.2963,1.1977,1.0797,0.412,0.2039,-0.0608,0.1894,0.5943,0.8943,-0.1008,-0.0243,Control
A06,0.4153,0.5724,1.4572,1.4051,0.2752,0.6349,0.7165,0.928,1.4078,0.9339,1.5864,0.2391,0.9679,1.2902,0.4023,0.1762,1.4342,1.2447,1.3528,2.9291,1.0148,1.4163,1.4187,1.2428,1.2303,1.9994,1.3466,0.1824,0.6396,0.4278,1.8446,0.9874,0.6673,0.3508,0.24,1.7489,0.7237,0.0539,1.312,1.015,0.6832,0.8863,1.3318,1.013,0.4936,1.3629,1.1044,1.0885,1.1047,0.2973,0.3417,-0.0422,0.1109,0.3083,0.7287,-0.1103,-0.047,Control
A07,0.7253,0.7106,1.5772,1.4813,0.2857,0.5857,0.7237,0.681,1.3584,0.9705,1.89,0.3621,1.1316,1.2727,0.8243,0.1197,1.7087,1.1522,1.6808,2.9633,1.6061,1.6368,1.5148,1.4388,1.2868,1.974,1.6128,0.1921,0.6253,0.5117,1.882,0.9702,0.8479,0.4043,0.246,1.7704,0.669,0.1284,1.2303,1.1072,0.6728,1.1809,1.4952,1.0659,0.6968,1.417,1.0563,1.2803,1.2907,0.6877,0.3415,-0.0294,0.2134,0.3113,1.2952,-0.1217,-0.1255,Control
A08,1.0592,0.4253,1.6505,1.3335,0.2152,0.5257,0.7148,0.5654,1.3062,1.0481,1.7425,0.2915,1.1825,1.1993,0.3785,-0.0243,1.6234,1.1048,1.8517,2.7421,2.2662,1.8021,1.5358,1.3086,1.3083,2.0798,1.7107,0.159,0.6595,0.6037,1.9122,0.9939,0.8635,0.3356,0.0928,1.7386,0.5768,0.0912,1.2164,1.1764,0.5834,1.4746,1.4347,0.8862,0.8646,1.3521,0.9985,1.326,1.6142,0.9705,0.5081,-0.0732,0.2596,0.1506,1.448,-0.1194,-0.0223,Control
A09,0.7398,0.5642,1.8182,1.4215,0.2487,0.5517,0.6732,0.3935,1.3303,0.8703,1.8554,0.3464,1.0308,1.2421,0.8762,0.047,1.5566,1.1929,1.6,2.9428,1.8463,1.4941,1.4418,1.4799,1.2311,1.9891,1.5301,0.1611,0.5825,0.5185,1.8315,0.99,0.7596,0.3503,0.2173,1.6393,0.5979,0.1035,1.304,1.066,0.6919,1.0011,1.3189,0.9765,0.677,1.3322,1.0681,1.2423,1.4018,0.6903,0.2038,-0.0221,0.1167,0.2373,1.2236,-0.117,-0.0415,Control
A10,0.7924,0.6636,1.358,1.4407,0.1804,0.5517,0.7126,0.4302,1.3987,1.0041,1.8284,0.3978,1.1319,1.1361,0.3311,0.0223,1.4421,0.9518,1.6339,3.0526,1.2251,1.743,1.7142,1.3396,1.2585,2.143,1.6455,0.2578,0.6261,0.5343,1.9225,0.9237,0.7992,0.4701,0.2166,1.7838,0.5733,0.1325,1.2969,1.0883,0.689,1.3376,1.3751,1.0069,0.7838,1.454,1.0356,1.2341,1.0986,0.5053,0.1924,-0.0655,0.3257,0.38,1.3435,-0.087,-0.0356,Control
