@relation data

@attribute id string
@attribute 1729 numeric
@attribute 2534 numeric
@attribute 2934 numeric
@attribute 3265 numeric
@attribute 3672 numeric
@attribute 3688 numeric
@attribute 387 numeric
@attribute 394 numeric
@attribute 4633 numeric
@attribute 4638 numeric
@attribute 5216 numeric
@attribute 5290 numeric
@attribute 5294 numeric
@attribute 5295 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5604 numeric
@attribute 5747 numeric
@attribute 5829 numeric
@attribute 5894 numeric
@attribute 6093 numeric
@attribute 6464 numeric
@attribute 6714 numeric
@attribute 7094 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,1.6651,1.5632,0.3274,0.4247,0.1684,2.4355,0.7773,0.8375,-0.1341,0.1814,1.3981,1.6169,1.8391,1.4782,1.7309,1.0783,0.718,0.2618,0.9824,1.7847,1.5327,0.75,0.3629,2.263,Control
Utah__A02,1.56,1.1722,0.2358,0.3701,0.1934,2.1547,0.5327,0.584,-0.12,0.1911,1.3456,1.3286,2.0614,1.1561,1.6299,1.0214,0.4692,0.117,0.7957,1.5429,1.2476,0.7973,0.3648,2.3387,Control
Utah__A03,1.7999,1.401,0.4664,0.3745,0.1447,2.3137,0.88,0.5112,-0.0413,0.2033,1.6846,1.4291,2.1951,1.3011,1.8758,1.0584,0.6904,0.1482,1.0696,1.7349,1.5227,0.7917,0.5956,2.5626,Control
Utah__A04,1.7967,1.3783,0.2843,0.3589,0.1736,2.3772,0.4995,0.6365,-0.033,0.1832,1.2399,1.383,2.1245,1.4673,1.7145,1.0435,0.4999,0.1496,0.8875,1.6725,1.1775,0.7946,0.3996,2.5779,Control
Utah__A05,1.9607,1.4167,0.5005,0.4809,0.1386,2.205,0.6563,0.6071,-0.0671,0.2716,1.4919,1.5208,2.1197,1.3057,1.9408,1.1978,0.7099,0.2717,1.1601,1.808,1.4139,0.89,0.6218,2.9267,Control
Utah__A06,1.6822,1.3172,0.3807,0.2391,0.0491,2.008,0.5764,0.5533,1e-04,0.1998,1.4325,1.4163,1.9994,1.3466,1.8446,0.9874,0.6673,0.1119,0.9242,1.7489,1.2959,0.7604,0.4104,2.5686,Control
Utah__A07,1.8989,1.855,0.3758,0.3621,0.1003,2.4902,0.8147,0.8796,-0.0715,0.2207,1.3896,1.6368,1.974,1.6128,1.882,0.9702,0.8479,0.2084,0.9822,1.7704,1.5516,0.7917,0.3471,2.4329,Control
Utah__A08,2.0301,2.0099,0.3451,0.2915,0.0515,2.3245,0.8852,1.0252,-0.0384,0.141,1.3255,1.8021,2.0798,1.7107,1.9122,0.9939,0.8635,0.2121,0.9706,1.7386,1.5885,0.777,0.3367,2.194,Control
Utah__A09,1.7733,1.6972,0.3278,0.3464,0.0454,2.6012,0.5829,0.7676,-0.0611,0.2351,1.383,1.4941,1.9891,1.5301,1.8315,0.99,0.7596,0.2016,0.8954,1.6393,1.5046,0.7709,0.4405,2.4818,Control
Utah__A10,2.0855,1.978,0.3742,0.3978,0.1402,2.7505,0.7836,0.6923,-0.0445,0.214,1.5158,1.743,2.143,1.6455,1.9225,0.9237,0.7992,0.2453,1.0213,1.7838,1.4727,0.7829,0.4233,2.6874,Control
Utah__A11,1.4856,1.2727,0.3184,0.2849,-0.0156,2.4501,0.5479,0.5881,-0.0132,0.0675,1.3177,1.2242,1.5704,1.2045,1.8048,0.9765,0.5921,0.1269,0.8348,1.2871,1.239,0.5757,0.2131,2.3402,Control
Utah__A12,1.2354,0.8099,0.1753,0.1934,0.0534,1.8175,0.2865,0.2718,0.141,0.3262,1.1536,0.9277,1.6025,0.9724,1.2884,0.6537,0.3092,0.1012,0.458,1.1725,0.8331,0.5602,0.1246,1.9533,Control
