@relation data

@attribute id string
@attribute 5995 numeric
@attribute 221391 numeric
@attribute 94233 numeric
@attribute 611 numeric
@attribute 10692 numeric
@attribute 23596 numeric
@attribute 6010 numeric
@attribute Class {Control,BRCACancer}

@data
A01,-0.1492,-0.0941,0.0114,-0.131,0.0559,0.7255,-0.0968,Control
A02,-0.1785,-0.0423,0.0929,-0.1022,0.1147,0.546,-0.0189,Control
A03,-0.1246,-0.084,0.0811,-0.152,0.0347,0.6337,-0.0065,Control
A04,-0.1353,-0.0754,0.0465,-0.0134,0.0332,0.5402,-0.0271,Control
A05,-0.1511,-0.1,0.0427,-0.0187,0.0031,0.7899,-0.0854,Control
A06,-0.106,-0.0443,0.0114,-0.0092,0.0554,0.6327,-0.0137,Control
A07,-0.1748,-0.0113,0.0272,-0.0304,0.081,0.7665,0.0103,Control
A08,-0.148,-0.0719,0.0529,-0.0952,0.0553,0.6214,-0.0645,Control
A09,-0.1061,-0.1087,0.042,-0.0623,0.0498,0.4936,-0.0129,Control
A10,-0.0885,-0.0851,0.0307,-0.0041,0.0081,0.5896,-0.1017,Control
A11,-0.1786,-0.1105,0.1185,-0.0046,0.005,0.4695,-0.0049,Control
A12,-0.0618,0.0598,0.1861,0.0641,0.0429,0.4613,0.0827,Control
B01,-0.1255,0.0422,0.0044,0.0443,0.0957,0.6404,-0.0649,Control
B02,-0.1606,-0.0602,0.1187,0.0299,0.048,0.6039,-0.0501,Control
B03,-0.1431,0.0165,0.0544,-0.022,-0.0067,0.5316,-0.1185,BRCACancer
B04,-0.1043,-0.0927,0.0953,-0.1521,0.13,0.5507,-0.0613,BRCACancer
B05,-0.1316,-0.0267,0.0437,-0.0075,0.0114,0.5377,-0.0593,BRCACancer
B06,-0.2042,0.1993,-0.0361,-0.0208,0.201,0.5133,-0.2117,BRCACancer
B07,-0.1409,-0.042,0.0475,-0.0019,0.0495,0.5983,-0.0111,BRCACancer
B08,-0.1039,-0.0807,0.1436,-0.0381,0.0269,0.5756,-0.0551,Control
B09,-0.2219,-0.0537,0.0849,0.0198,0.0738,0.3043,-0.1019,Control
B10,-0.1342,0.0102,0.0289,0.3067,0.0698,0.4031,-0.1231,Control
B11,-0.1649,-0.0489,0.1163,0.0252,0.0201,0.5342,-0.0304,Control
B12,-0.1045,-0.0915,0.0734,-0.1628,0.1394,0.2401,-0.0198,Control
C01,-0.1952,-0.1017,0.0722,-0.0127,0.025,0.7031,-0.033,BRCACancer
C02,-0.1061,-0.0339,0.0529,-0.0235,0.107,0.6858,-0.0272,BRCACancer
C03,-0.1344,-0.121,-0.0504,0.0047,0.1766,0.6688,-0.0669,BRCACancer
C04,-0.0948,-0.0848,0.1641,-0.0552,0.0696,0.3371,-0.0478,Control
C05,-0.1065,-0.0712,0.1077,0.049,0.034,0.3673,-0.0697,BRCACancer
C06,-0.1235,-0.0382,0.085,-0.1091,-0.0341,0.1214,-0.0747,Control
C07,-0.1235,-0.0437,0.0977,0.0156,0.0843,0.484,0.0768,Control
C08,-0.1503,-0.0709,0.1423,0.0012,0.0754,0.5019,-0.0485,Control
C09,-0.0721,-0.0446,0.1524,-0.0314,0.0981,0.337,0.0437,Control
C10,-0.0986,-0.0971,0.0966,-0.0625,0.0737,0.5607,0.0152,BRCACancer
C11,-0.0607,-0.1097,0.0756,-0.0438,0.1136,0.5148,-0.0314,Control
C12,-0.1031,-0.0426,0.0744,-0.1293,0.0546,0.3647,0.016,BRCACancer
D01,-0.0739,-0.034,0.1237,-0.0653,0.0114,0.41,0.0678,BRCACancer
D02,-0.146,-0.1519,0.0759,-0.0981,0.0633,0.6285,-0.1004,BRCACancer
D03,-0.0517,-0.0179,0.0923,-0.06,0.0823,0.4564,0.018,BRCACancer
D04,-0.1428,-0.1246,0.0192,-0.1532,0.0557,0.4636,-0.0294,BRCACancer
D05,-0.0938,-0.0071,0.0975,-0.0544,-0.0802,0.502,-0.0078,BRCACancer
D06,-0.1268,-0.074,0.1298,-5e-04,0.0591,0.6385,-0.0473,BRCACancer
D07,-0.1398,-0.0718,0.0966,-0.064,0.0483,0.5148,-0.0535,Control
D08,-0.0821,-0.0432,0.1573,-0.0836,0.0739,0.4424,0.0486,Control
D09,-0.1572,-0.0067,0.0804,0.0205,-0.0047,0.5607,0.0398,Control
