@relation data

@attribute id string
@attribute 10189 numeric
@attribute 10250 numeric
@attribute 10914 numeric
@attribute 10921 numeric
@attribute 10978 numeric
@attribute 11051 numeric
@attribute 11338 numeric
@attribute 1477 numeric
@attribute 1478 numeric
@attribute 1479 numeric
@attribute 22916 numeric
@attribute 29894 numeric
@attribute 4116 numeric
@attribute 4686 numeric
@attribute 4799 numeric
@attribute 51362 numeric
@attribute 51585 numeric
@attribute 51692 numeric
@attribute 53981 numeric
@attribute 6426 numeric
@attribute 6427 numeric
@attribute 6428 numeric
@attribute 6429 numeric
@attribute 6430 numeric
@attribute 6431 numeric
@attribute 6432 numeric
@attribute 65109 numeric
@attribute 7307 numeric
@attribute 79869 numeric
@attribute 8106 numeric
@attribute 8683 numeric
@attribute 9295 numeric
@attribute 9785 numeric
@attribute 9939 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.4912,1.1419,2.2042,0.7101,0.9122,1.9394,1.3065,1.464,0.5819,0.9406,1.2732,0.811,0.8582,1.7778,1.3497,1.6679,2.1312,1.1362,2.0693,2.8867,2.3495,2.5804,1.3144,3.6936,2.1933,2.3179,0.3976,1.9096,1.3487,1.6273,1.0763,1.8077,0.8038,0.5317,Control
Utah__A02,0.5017,0.9061,1.9595,0.5478,0.8428,1.8049,1.0815,1.13,0.2919,0.5916,0.9801,0.5038,0.6407,1.5028,1.0371,1.5378,1.8395,0.9416,1.9228,2.689,2.0517,2.3006,1.0162,3.5761,1.7692,2.0823,0.2088,1.551,1.0442,1.5555,0.9267,1.5227,0.6837,0.3752,Control
Utah__A03,0.6266,1.0715,2.1263,0.7196,0.9581,1.9432,1.2566,1.3425,0.5754,0.7529,1.1279,0.7259,0.7951,1.6978,1.1595,1.6835,1.9805,1.0882,2.1556,2.6746,2.2292,2.4853,1.2503,3.4557,2.0322,2.213,0.2938,1.943,1.1187,1.6784,1.2051,1.5945,0.8079,0.7946,Control
Utah__A04,0.6258,0.9989,1.9361,0.5648,0.789,1.9405,1.128,1.1184,0.3428,0.5023,1.1048,0.6296,0.7657,1.4159,1.1043,1.5733,1.8026,1.0206,1.8427,2.5743,2.0198,2.6494,1.1962,3.5432,1.9274,2.2231,0.2219,1.7279,0.9395,1.5132,0.9967,1.6806,0.7029,0.474,Control
Utah__A05,0.753,1.0805,2.029,0.5617,1.0559,1.9288,1.312,1.247,0.5286,0.7016,1.1098,0.8467,0.8314,1.6112,1.1734,1.7228,1.8867,1.2689,2.0573,2.5974,2.2048,2.6257,1.2466,3.3186,1.9575,2.2208,0.2947,1.8207,1.1947,1.6286,1.0327,1.61,0.8498,0.5153,Control
Utah__A06,0.6257,1.0108,2.0006,0.5795,0.8554,1.8596,1.1384,1.1981,0.4939,0.6715,0.9918,0.5757,0.7177,1.6022,1.1385,1.5365,1.838,1.0499,2.0686,2.6779,2.0464,2.4563,1.1727,3.4998,2.0718,2.0542,0.3085,1.8994,1.1518,1.6412,0.9969,1.6084,0.7626,0.5294,Control
Utah__A07,0.5591,1.0363,2.2748,0.6948,0.9946,1.9748,1.1989,1.2983,0.4599,0.7803,1.2027,0.7136,0.8976,1.7455,1.235,1.7684,2.0129,1.1304,2.0498,2.796,2.1662,2.4427,1.3695,3.664,2.1107,2.334,0.2996,1.8462,1.1851,1.6276,0.9722,1.7468,0.7583,0.4326,Control
Utah__A08,0.3442,1.1759,2.2279,0.7297,0.7555,1.7181,1.0558,1.069,0.4198,0.9283,1.0755,0.6719,0.7092,1.7312,1.2326,1.6862,1.9839,1.0077,1.8858,2.6287,1.8826,2.4143,1.539,3.4951,1.6633,2.2172,0.2976,1.9489,1.1483,1.4306,0.9374,1.8575,0.6969,0.4447,Control
Utah__A09,0.4424,1.0224,2.2792,0.4818,0.9457,1.873,1.2467,1.3148,0.441,0.7229,1.0068,0.5222,0.671,1.6358,1.1931,1.5716,1.9861,0.9456,1.9873,2.8869,2.2533,2.5281,1.2035,3.7274,1.9603,2.0575,0.2532,1.8096,1.0999,1.5753,0.8657,1.6069,0.7297,0.4384,Control
Utah__A10,0.5218,1.1925,2.1468,0.6266,1.0232,1.8886,1.1802,1.3401,0.4595,0.7909,1.0887,0.6915,0.7677,1.6504,1.2346,1.7208,1.9515,1.145,1.97,2.6084,1.9891,2.6365,1.4043,3.5705,1.8318,2.3471,0.2475,1.8404,1.0721,1.5016,0.8989,1.7757,0.7449,0.4758,Control
