@relation data

@attribute id string
@attribute 1022 numeric
@attribute 4331 numeric
@attribute 7465 numeric
@attribute 7514 numeric
@attribute 890 numeric
@attribute 8900 numeric
@attribute 891 numeric
@attribute 902 numeric
@attribute 9088 numeric
@attribute 9133 numeric
@attribute 983 numeric
@attribute 993 numeric
@attribute 994 numeric
@attribute 995 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.5802,0.3124,0.4264,1.7837,0.4282,0.0119,0.6269,1.6417,0.0482,-0.0012,0.1799,-0.1152,1.5823,0.053,Control
Utah__A02,0.3655,0.1154,0.2488,1.5645,0.0763,-0.138,0.4781,1.1906,0.0649,-0.1114,0.0211,-0.0411,1.2184,3e-04,Control
Utah__A03,0.5555,0.1977,0.6128,1.6547,0.7868,-0.0072,0.7216,1.5435,0.1201,0.1547,0.2347,0.0455,1.4456,0.0592,Control
Utah__A04,0.5596,0.1644,0.3824,1.7888,0.111,-0.0971,0.4149,1.4379,0.074,0.0213,0.089,-0.0341,1.3797,0.0253,Control
Utah__A05,0.5538,0.1852,0.4528,1.6669,0.3994,-0.0243,0.533,1.4466,0.1197,0.0968,0.2058,-0.0474,1.1474,0.0791,Control
Utah__A06,0.5002,0.136,0.287,1.566,0.1558,-0.047,0.4345,1.4245,0.0018,-0.0854,-0.0145,-0.0779,1.0022,0.0255,Control
Utah__A07,0.536,0.3864,0.2907,1.7718,0.5409,-0.1255,0.6305,1.7306,0.0085,0.1678,0.1567,-0.0608,1.2353,0.0833,Control
Utah__A08,0.6008,0.5927,0.2271,1.8499,0.2412,-0.0223,0.4843,1.8361,0.0271,-0.1013,-0.0089,-0.1225,1.344,-0.022,Control
Utah__A09,0.5342,0.3814,0.3939,1.5303,0.1818,-0.0415,0.448,1.6176,0.108,0.0279,0.1766,-0.0259,1.2962,-0.0511,Control
Utah__A10,0.6226,0.3743,0.4467,1.8095,0.3709,-0.0356,0.403,1.9214,0.1262,-0.0272,-0.0592,-0.105,1.394,0.0333,Control
Utah__A11,0.4857,0.3321,0.4251,1.3825,0.1875,-0.0223,0.2515,1.1617,-0.0034,0.0399,-0.0248,-0.1321,1.2012,-0.0072,Control
Utah__A12,0.4064,0.0425,0.0336,1.2334,0.2165,0.0432,0.4205,0.9335,-0.008,-0.2534,-0.0967,0.0037,0.891,0.1028,Control
Utah__B01,0.5145,0.2817,0.1916,1.7403,0.2316,-0.0027,0.5164,1.5871,-0.1265,0.0534,-0.2075,-0.0022,1.1563,0.0364,Control
Utah__B02,0.5819,0.181,0.3802,1.8797,0.4065,-0.0163,0.5398,1.7122,0.0941,0.0231,0.0253,0.0127,1.4298,0.1634,Control
Utah__B03,0.5173,0.271,0.3827,1.8112,0.1312,0.0077,0.4012,1.7017,-0.0024,0.0873,0.063,-0.0311,1.2703,-0.0073,BRCACancer
