@relation data

@attribute id string
@attribute 1676 numeric
@attribute 1677 numeric
@attribute 2021 numeric
@attribute 3146 numeric
@attribute 3148 numeric
@attribute 7153 numeric
@attribute 7155 numeric
@attribute 836 numeric
@attribute 840 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,1.0097,0.4024,0.3374,2.1217,1.3817,0.6034,2.1135,1.24,0.5342,Control
Utah__A02,0.8814,0.2851,0.2249,1.5668,1.0967,0.1362,1.8322,1.2187,0.4465,Control
Utah__A03,0.9572,0.4308,0.2083,1.8744,1.3085,1.0578,1.9082,1.3606,0.6074,Control
Utah__A04,0.9315,0.3754,0.186,1.6745,1.2203,0.1681,1.9517,1.1395,0.4571,Control
Utah__A05,1.0851,0.4833,0.2632,1.7304,1.4939,0.5686,2.0287,1.4523,0.6018,Control
Utah__A06,0.9397,0.415,0.2083,1.6656,1.3525,0.2414,1.8184,1.162,0.4586,Control
Utah__A07,0.9592,0.4453,0.1584,1.7157,1.3246,0.6588,2.1352,1.4389,0.5353,Control
Utah__A08,0.6737,0.3799,0.1927,1.7904,1.184,0.3129,2.3053,1.041,0.4697,Control
Utah__A09,0.8902,0.3718,0.2055,1.7421,1.1355,0.352,2.0054,1.0344,0.5133,Control
Utah__A10,0.9689,0.3736,0.2028,1.6245,1.2545,0.2822,2.141,1.2447,0.5352,Control
Utah__A11,0.5957,0.1886,0.3114,1.475,1.1397,0.3702,1.6473,0.8655,0.485,Control
Utah__A12,0.4083,0.2248,0.1356,1.1891,0.954,0.007,1.5481,0.8947,0.2236,Control
Utah__B01,0.5862,0.2721,0.042,2.1287,1.1632,0.217,1.9829,0.8888,0.3321,Control
Utah__B02,0.9423,0.4018,0.3189,2.1616,1.5361,0.3009,2.0909,1.1595,0.4436,Control
Utah__B03,0.8598,0.3239,0.1924,2.1444,1.4162,0.1634,2.1484,1.0598,0.4458,BRCACancer
Utah__B04,0.7058,0.3778,0.1861,1.5355,1.0393,0.3478,2.0257,1.0387,0.4517,BRCACancer
Utah__B05,0.5762,0.3021,0.2967,1.7483,0.9909,0.4281,1.7265,1.1362,0.2799,BRCACancer
Utah__B06,0.2774,0.1232,-0.212,1.8065,0.8868,-0.1611,1.7792,0.9527,0.2988,BRCACancer
Utah__B07,1.0484,0.4226,0.2163,2.2606,1.505,0.5079,2.2246,1.2561,0.5097,BRCACancer
Utah__B08,0.8009,0.3014,0.2108,1.6902,1.2438,0.4837,1.8284,1.1499,0.5078,Control
Utah__B09,0.2908,0.2333,0.163,1.8006,1.2827,0.1156,1.7856,0.9575,0.2716,Control
Utah__B10,0.5911,0.2595,0.0741,1.1652,1.0071,0.1966,2.0236,0.874,0.2762,Control
Utah__B11,0.6886,0.1667,0.4528,1.2154,1.1886,0.4795,1.8644,1.0068,0.3229,Control
Utah__B12,0.1387,0.1735,0.0117,1.069,0.7244,-0.0701,1.3159,0.6178,0.2264,Control
Utah__C01,0.9187,0.419,0.3041,1.551,1.0758,0.6154,1.7362,0.9613,0.4208,BRCACancer
Utah__C02,0.9718,0.4169,0.3426,1.6474,1.2295,0.282,1.9077,0.9934,0.3542,BRCACancer
Utah__C03,1.165,0.613,0.3939,1.8645,1.2825,0.483,1.9291,1.2434,0.5211,BRCACancer
Utah__C04,0.5257,0.2454,0.278,1.3582,0.641,0.1684,1.1178,0.692,0.2259,Control
Utah__C05,0.4576,0.2449,0.1697,0.9787,0.7587,0.0968,1.2887,0.7308,0.2409,BRCACancer
Utah__C06,-0.1073,-0.0381,0.1541,0.4711,0.3641,-0.1539,0.5178,0.2605,0.0834,Control
Utah__C07,0.7525,0.2487,0.2685,1.2416,0.9687,0.0667,1.6196,0.8349,0.2632,Control
