@relation data

@attribute id string
@attribute 10000 numeric
@attribute 10105 numeric
@attribute 10319 numeric
@attribute 10454 numeric
@attribute 1147 numeric
@attribute 1234 numeric
@attribute 123745 numeric
@attribute 1432 numeric
@attribute 207 numeric
@attribute 208 numeric
@attribute 22798 numeric
@attribute 23118 numeric
@attribute 23533 numeric
@attribute 23643 numeric
@attribute 240 numeric
@attribute 26279 numeric
@attribute 2770 numeric
@attribute 2771 numeric
@attribute 2773 numeric
@attribute 2775 numeric
@attribute 284217 numeric
@attribute 30814 numeric
@attribute 3108 numeric
@attribute 3109 numeric
@attribute 3111 numeric
@attribute 3113 numeric
@attribute 3115 numeric
@attribute 3118 numeric
@attribute 3122 numeric
@attribute 3127 numeric
@attribute 329 numeric
@attribute 330 numeric
@attribute 3303 numeric
@attribute 3304 numeric
@attribute 3305 numeric
@attribute 3306 numeric
@attribute 331 numeric
@attribute 3312 numeric
@attribute 345611 numeric
@attribute 3458 numeric
@attribute 3459 numeric
@attribute 3460 numeric
@attribute 3551 numeric
@attribute 3586 numeric
@attribute 3587 numeric
@attribute 3588 numeric
@attribute 3592 numeric
@attribute 3593 numeric
@attribute 3654 numeric
@attribute 3655 numeric
@attribute 3688 numeric
@attribute 3716 numeric
@attribute 3717 numeric
@attribute 3908 numeric
@attribute 3909 numeric
@attribute 3910 numeric
@attribute 391013 numeric
@attribute 3911 numeric
@attribute 3913 numeric
@attribute 3914 numeric
@attribute 3918 numeric
@attribute 3949 numeric
@attribute 4261 numeric
@attribute 4615 numeric
@attribute 4790 numeric
@attribute 4792 numeric
@attribute 4793 numeric
@attribute 4843 numeric
@attribute 50487 numeric
@attribute 51135 numeric
@attribute 5290 numeric
@attribute 5291 numeric
@attribute 5293 numeric
@attribute 5294 numeric
@attribute 5295 numeric
@attribute 5296 numeric
@attribute 5319 numeric
@attribute 5320 numeric
@attribute 5321 numeric
@attribute 5322 numeric
@attribute 54205 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5599 numeric
@attribute 5600 numeric
@attribute 5601 numeric
@attribute 5602 numeric
@attribute 5603 numeric
@attribute 5606 numeric
@attribute 5608 numeric
@attribute 572 numeric
@attribute 596 numeric
@attribute 5970 numeric
@attribute 598 numeric
@attribute 6300 numeric
@attribute 64600 numeric
@attribute 6772 numeric
@attribute 6774 numeric
@attribute 6885 numeric
@attribute 7040 numeric
@attribute 7042 numeric
@attribute 7043 numeric
@attribute 7097 numeric
@attribute 7099 numeric
@attribute 7124 numeric
@attribute 7132 numeric
@attribute 7189 numeric
@attribute 7297 numeric
@attribute 81579 numeric
@attribute 836 numeric
@attribute 8398 numeric
@attribute 8399 numeric
@attribute 841 numeric
@attribute 842 numeric
@attribute 84647 numeric
@attribute 8503 numeric
@attribute 8517 numeric
@attribute 8651 numeric
@attribute 8681 numeric
@attribute 958 numeric
@attribute 959 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.6002,0.6363,0.0026,0.2804,1.5306,1.2883,2e-04,1.4426,0.6045,0.8246,-0.0533,1.8011,1.3891,0.9454,1.4239,0.1003,0.0556,0.7272,1.6236,0.0476,-0.0647,-0.133,1.8408,2.2511,0.6301,3.0447,1.5255,0.064,3.1376,1.0901,2.2226,2.5287,2.7134,0.7316,1.0983,0.1133,1.0456,2.0163,0.1658,0.7344,2.1285,1.3647,1.1434,0.0395,2.6463,1.1064,0.0496,-0.0509,0.6257,1.6468,2.4355,1.8654,1.1832,-0.0861,-0.0733,-0.093,-0.1244,0.0678,0.1604,-0.0059,-0.1348,0.5376,1.1954,1.4781,1.6889,2.2235,0.878,-0.0259,-0.0924,2.0121,1.6169,1.5303,1.3241,1.8391,1.4782,0.1982,-0.0518,-0.0825,0.541,-0.198,0.7163,1.7309,1.0783,1.4021,-0.0276,1.121,-0.0344,0.9875,0.744,0.7028,0.2521,1.598,1.4148,0.5223,-0.1615,0.0052,2.3959,1.4485,1.4603,2.0162,0.063,0.0717,1.9375,2.4406,0.4095,1.2525,0.8106,1.0858,0.4155,1.24,0.464,0.2044,1.465,0.8952,-0.0753,0.1026,0.3441,0.038,0.6991,0.8258,1.5529,Control
A02,0.3429,0.6187,-0.0068,0.1772,1.317,1.2704,0.0288,1.1508,0.5571,0.607,-0.0198,1.4216,1.0974,0.768,1.4032,0.1235,0.0367,0.7901,1.6473,-0.0341,-0.0903,0.0302,1.9724,2.3441,0.5394,3.2633,1.414,0.2722,3.6276,1.0826,2.0145,2.0638,3.2789,0.7218,0.9013,0.1187,0.7644,1.8112,0.0223,1.6345,2.0411,1.3784,0.9151,-0.0722,2.494,0.9535,0.0278,-0.052,0.5548,0.9234,2.1547,1.6142,1.0583,-0.041,-0.0992,-0.0377,0.0305,0.0723,0.2121,0.1255,-0.1009,0.4684,1.0974,1.747,1.279,2.0678,0.7342,0.0249,-3e-04,1.6504,1.3286,1.3861,1.0956,2.0614,1.1561,0.1599,-0.0708,0.0619,0.4199,-0.1858,0.7423,1.6299,1.0214,0.9672,-0.0188,0.983,0.0192,0.9234,0.722,0.2931,0.1564,0.7606,1.23,0.476,-0.0835,0.0506,2.5766,1.3068,1.1513,2.0252,0.0756,0.0059,1.5387,2.4631,0.4322,1.1877,0.7424,0.8885,0.3673,1.2187,0.2477,-0.0422,1.1745,0.614,-0.06,0.1135,0.3329,-0.1375,0.3054,0.7075,0.9872,Control
A03,0.3568,0.8501,0.0077,0.237,1.5532,1.6885,-0.0184,1.3711,0.6699,0.7634,-0.0084,1.3773,1.5442,0.8745,1.6313,0.2143,0.0398,0.9144,1.7222,0.0372,-0.0699,-0.0621,2.2167,2.32,0.6168,3.2587,1.698,0.0989,3.3288,0.3109,2.1844,1.9886,3.0646,0.9253,0.6683,0.1098,0.9372,2.0553,0.0344,2.2035,2.0254,1.5679,1.0536,0.1952,2.8164,1.1767,0.0514,0.0619,0.6877,0.646,2.3137,1.7735,1.4846,-0.0528,-0.0926,-0.0564,0.0504,0.052,0.2679,0.1179,-0.0451,0.9159,1.3705,1.9692,1.4481,2.7745,1.0606,-0.016,-0.0197,1.9073,1.4291,1.4305,1.2641,2.1951,1.3011,0.2603,-0.0493,0.0236,0.5097,-0.1014,0.9311,1.8758,1.0584,1.211,0.0192,1.1034,-0.0146,0.9564,1.0145,0.429,0.1963,0.6724,1.459,0.631,-0.0697,-0.0604,2.9498,1.4789,1.3066,2.2099,0.1594,0.0396,1.9723,2.8054,0.5375,1.399,0.9056,1.1618,0.2585,1.3606,0.4022,-0.0424,1.4136,0.8989,-0.1217,0.2773,0.358,-0.0928,0.5214,0.6911,0.736,Control
A04,0.4955,0.7385,0.0664,0.1192,1.0954,0.7166,0.0154,1.2559,0.6114,0.6935,-0.0626,1.5642,1.3239,0.6914,1.3041,0.155,0.0206,0.8831,1.7702,-0.0102,-0.0659,-0.0816,1.9243,2.1154,0.7192,3.256,1.1807,0.1989,3.5778,0.0915,1.8646,2.3516,2.8085,0.5083,0.8469,0.1448,0.8464,1.9347,0.1724,0.6827,1.8933,1.0777,0.9388,-0.0464,2.8188,0.983,0.2051,-0.0711,0.6186,1.1087,2.3772,1.9636,0.8542,-0.0294,-0.0823,-0.0601,-0.108,0.1853,0.1417,0.0845,-0.1246,0.5027,1.0636,1.8283,1.4307,2.2888,0.8456,-0.0311,0.0112,1.4808,1.383,1.3728,1.2342,2.1245,1.4673,0.2795,0.0442,0.0279,0.324,-0.1458,0.7592,1.7145,1.0435,0.9665,0.1305,1.064,-0.0052,1.0754,0.781,0.3654,0.2622,0.8481,1.4617,0.3932,0.0483,-0.0426,2.4101,1.39,1.2606,2.16,0.0673,0.1117,1.4205,2.264,0.3432,1.102,0.7685,0.9933,0.2732,1.1395,0.3282,-0.2316,1.297,0.7606,-0.1663,0.0439,0.3611,0.1549,0.3987,0.7371,1.1933,Control
A05,0.4795,0.7984,0.0374,0.2521,1.4575,1.0837,-0.0355,1.5137,0.7362,0.7698,-0.0396,1.5814,1.5325,0.9884,1.8057,0.1888,0.0468,1.0479,1.7758,-0.0045,-0.064,-0.1104,2.2998,2.5246,0.7657,3.3307,1.4126,0.2537,3.5296,1.1502,2.0877,2.052,3.5058,0.8511,1.0551,0.185,0.8225,1.7363,0.1333,0.6381,2.31,1.5432,1.0568,0.0633,2.8142,1.1351,0.1003,-0.0381,0.8184,0.9234,2.205,1.886,1.2997,-0.041,-0.0736,-0.0523,-0.0639,0.1149,0.0777,0.1066,-0.0945,0.961,1.3931,2.0997,1.5153,2.4787,1.0843,0.0087,0.0413,1.7397,1.5208,1.8135,1.3448,2.1197,1.3057,0.3911,0.0279,-0.0669,0.6523,-0.122,0.7999,1.9408,1.1978,1.1192,0.0999,1.1345,-0.0161,0.9611,0.9779,0.5039,0.324,0.8722,1.5159,0.554,0.0263,0.0186,2.6902,1.4436,1.3929,2.5111,0.0423,0.0054,2.0974,2.9743,0.365,1.3902,0.825,1.1512,0.3608,1.4523,0.3537,0.0525,1.3513,0.9986,-0.0556,0.1894,0.5943,0.0306,0.5053,0.9059,0.9898,Control
A06,0.4153,0.5938,-0.015,0.2171,1.4051,1.105,-0.0214,1.2007,0.6349,0.7165,-0.0561,1.4081,1.4078,0.988,1.5957,0.0317,0.0662,0.8297,1.6727,0.0177,-0.0761,-0.0085,1.9422,2.406,0.6325,3.1875,1.5093,0.1825,3.3593,0.2693,2.0417,1.6263,3.2768,0.6016,0.7986,0.0522,0.7214,1.6049,0.2182,0.0789,2.2008,1.4135,0.9679,0.0319,2.7798,1.115,0.0585,-5e-04,0.6275,1.1302,2.008,1.7775,1.0757,-0.0481,-0.0956,-0.0633,0.0583,0.0441,0.2637,0.0132,-0.0733,0.5035,1.0407,1.7849,1.3528,2.4894,0.8697,-0.0127,-0.0073,1.6493,1.4163,1.4187,1.2303,1.9994,1.3466,0.1824,0.0536,0.0098,0.4123,-0.1602,0.7842,1.8446,0.9874,1.1521,-0.0898,0.9999,-0.0265,0.8385,0.8196,0.6103,0.24,0.7888,1.312,0.4466,-0.1287,-0.0281,2.2501,1.3629,1.2752,2.0528,0.0753,0.0395,1.8641,3.0746,0.4132,1.2785,0.7493,1.0725,0.3895,1.162,0.3665,-0.0866,1.2326,0.9562,-0.0663,0.1109,0.3083,-0.0085,0.4826,0.4816,0.9253,Control
A07,0.7253,0.6243,-0.0295,0.2529,1.4813,1.3225,-0.0681,1.592,0.5857,0.7237,-0.0234,1.7287,1.3584,0.7724,1.5837,0.1884,0.0378,0.9487,1.7805,-0.0274,-0.0995,-0.0157,1.8919,2.2993,0.7661,2.8594,1.3639,0.0756,3.3186,0.2407,2.2733,2.0648,2.9021,0.984,0.8831,0.0574,1.008,1.6319,0.2514,0.9899,2.2185,1.3774,1.1316,0.0802,2.784,1.0953,-0.01,-0.0347,0.6122,1.1863,2.4902,2.0162,1.4165,-0.0314,-0.1126,-0.0659,-0.0232,0.0352,0.243,0.1451,-0.0805,0.5142,1.3059,1.7324,1.6808,1.9854,0.8257,-0.0541,-0.0098,1.9387,1.6368,1.5148,1.2868,1.974,1.6128,0.1921,-0.1046,-0.0235,0.6192,-0.1308,0.7672,1.882,0.9702,1.3691,-0.077,1.0948,-0.0107,0.9238,0.7471,0.5968,0.246,1.3272,1.2303,0.5922,-0.1294,0.0369,2.2354,1.417,1.5008,2.0773,0.0633,-0.043,2.2541,2.6805,0.4675,1.4729,0.9049,1.0781,0.7497,1.4389,0.2803,-0.0888,1.4514,0.8141,-0.1166,0.2134,0.3113,-0.0321,0.4214,0.5814,1.2645,Control
A08,1.0592,0.334,-0.0017,0.1911,1.3335,0.5826,0.0345,1.6309,0.5257,0.7148,-0.0659,1.9423,1.3062,0.8299,1.4016,-0.0182,-0.0073,0.8193,1.4616,-0.0085,-0.0766,-0.043,1.5099,1.9586,0.401,2.6,1.2623,0.1471,2.8904,0.2157,2.1889,1.9854,2.5864,0.6166,0.8192,-0.0014,0.8792,1.4499,0.4194,0.8299,1.8401,1.3456,1.1825,0.0187,2.4917,1.1191,-0.0035,-0.038,0.5236,1.6648,2.3245,2.3186,1.4627,-0.0499,-0.0862,-0.0769,-0.0744,0.03,0.1436,0.0521,-0.1683,0.5161,1.0755,1.5837,1.8517,1.9135,0.7227,0.0139,-0.0196,1.8407,1.8021,1.5358,1.3083,2.0798,1.7107,0.159,0.0031,-0.0028,0.4231,-0.118,0.5666,1.9122,0.9939,1.4969,-0.0922,1.2356,-0.0431,0.7799,0.6866,0.7273,0.0928,1.971,1.2164,0.5837,-0.107,0.0122,2.6061,1.3521,1.6185,1.7626,0.0473,0.0996,1.7506,2.0962,0.2445,1.1343,0.8033,0.9731,0.555,1.041,0.3545,0.0187,1.533,0.7207,-0.0775,0.2596,0.1506,-0.1306,0.5394,0.6358,1.2683,Control
A09,0.7398,0.597,-0.0198,0.1756,1.4215,1.1399,-0.0223,1.435,0.5517,0.6732,-0.051,1.7492,1.3303,0.5694,1.4721,0.1139,-0.0253,0.8051,1.6031,-0.008,-0.0812,-0.0426,1.4803,1.9645,0.3074,2.8203,1.109,0.1972,3.0509,0.2228,2.2044,2.3026,2.7855,0.7525,0.8058,0.0919,0.9371,1.5211,0.2281,0.813,1.9492,1.2777,1.0308,0.1634,2.7284,1.0494,0.1572,-0.0703,0.5653,1.3439,2.6012,1.9464,1.3629,-0.0497,-0.0934,-0.044,-0.0373,0.049,0.2544,0.1839,-0.1005,0.4321,1.0828,1.5714,1.6,2.2018,0.808,0.0433,0.0414,1.8071,1.4941,1.4418,1.2311,1.9891,1.5301,0.1611,-0.0301,0.0389,0.4106,-0.1187,0.6669,1.8315,0.99,1.3676,-0.0205,0.9917,-0.0155,0.8347,0.8065,0.5458,0.2173,1.6289,1.304,0.5053,-0.0855,0.0078,2.4514,1.3322,1.3452,2.061,0.0666,0.0242,1.8838,2.5342,0.3484,1.1571,0.7418,0.9528,0.4755,1.0344,0.2703,0.0993,1.2306,0.7421,-0.1198,0.1167,0.2373,-0.0177,0.538,0.3478,1.1211,Control
A10,0.7924,0.6995,0.0265,0.2623,1.4407,1.2481,-0.0029,1.7367,0.5517,0.7126,-0.0675,1.7556,1.3987,0.7728,1.536,0.091,0.1148,0.8443,1.7231,0.1538,-0.089,-0.0138,1.8458,2.3878,0.3703,2.9707,1.21,0.1049,3.2873,1.1195,2.1303,1.7943,3.1214,0.692,0.9396,0.0964,0.9419,1.4506,0.0724,1.5987,2.2227,1.3818,1.1319,0.1564,2.7539,1.094,0.0227,-0.0612,0.6289,0.9891,2.7505,2.0644,1.4231,-0.0468,-0.0863,-0.0808,-0.0661,0.0887,0.0958,0.1042,-0.1373,0.4879,1.1327,1.7444,1.6339,2.1342,0.8096,0.0015,0.0706,1.7708,1.743,1.7142,1.2585,2.143,1.6455,0.2578,-0.0449,-0.0152,0.6973,-0.1018,0.5994,1.9225,0.9237,1.2269,-0.0018,1.1887,-6e-04,0.996,0.7525,0.6755,0.2166,1.1995,1.2969,0.6472,0.0165,-0.0201,2.7478,1.454,1.6039,2.1105,0.0925,0.0419,2.5528,2.7952,0.4505,1.3434,0.9223,1.067,0.479,1.2447,0.3453,-0.0936,1.3767,0.9479,-0.0982,0.3257,0.38,-0.0465,0.4287,0.5789,0.9831,Control
