@relation data

@attribute id string
@attribute 3725 numeric
@attribute 5599 numeric
@attribute 1147 numeric
@attribute 1432 numeric
@attribute 5970 numeric
@attribute 7124 numeric
@attribute 7189 numeric
@attribute 7042 numeric
@attribute 4615 numeric
@attribute 7040 numeric
@attribute 54472 numeric
@attribute 3456 numeric
@attribute 51295 numeric
@attribute 3556 numeric
@attribute 9020 numeric
@attribute 3656 numeric
@attribute 3553 numeric
@attribute 3554 numeric
@attribute 3654 numeric
@attribute 3557 numeric
@attribute 7043 numeric
@attribute 5606 numeric
@attribute 4214 numeric
@attribute 11213 numeric
@attribute 3551 numeric
@attribute 6885 numeric
@attribute 5608 numeric
@attribute 3552 numeric
@attribute 10454 numeric
@attribute 4790 numeric
@attribute 3569 numeric
@attribute 4792 numeric
@attribute Class {Control,BRCACancer}

@data
A01,1.2901,1.4087,1.5171,1.4449,1.4383,0.4149,0.8372,0.0614,1.4816,2.044,0.6135,-0.059,0.3015,0.4867,0.7681,0.511,1.5431,0.2655,0.6564,0.6824,0.0793,0.7706,2.265,1.5761,1.1591,1.4658,0.7145,-0.0078,0.2872,1.6981,0.0868,2.2123,Control
A02,0.8169,0.986,1.302,1.1614,1.258,0.4378,0.7679,0.0739,1.7445,2.0529,0.4885,-0.1975,0.1652,0.3446,0.528,0.5001,0.7913,0.0624,0.5823,0.5214,0.0163,0.751,1.9132,1.4814,0.9319,1.1532,0.296,0.1551,0.1844,1.2732,0.0155,2.0603,Control
A03,1.1876,1.223,1.5398,1.3753,1.4813,0.5438,0.9336,0.1569,1.9618,2.233,0.6308,-0.2531,0.2621,0.4199,0.7605,0.5464,0.9227,0.0934,0.7212,0.7916,0.0486,1.0109,2.1264,1.8756,1.0697,1.3103,0.4348,-0.0362,0.2439,1.4485,0.0054,2.7503,Control
A04,1.2809,0.9854,1.079,1.2634,1.484,0.3481,0.7944,0.0657,1.824,2.1844,0.5479,-0.1922,0.2571,0.387,0.6381,0.6401,0.517,0.1894,0.649,0.4898,0.1175,0.8035,2.2551,1.3848,0.9555,1.2639,0.3699,0.1356,0.1265,1.4304,0.0835,2.2761,Control
A05,1.2201,1.1338,1.4435,1.514,1.5368,0.3701,0.8518,0.0409,2.0894,2.5268,0.7576,-0.0891,0.3463,0.5299,0.6988,0.6466,0.7727,0.1604,0.8578,0.8022,0.0159,0.9784,2.4117,1.9241,1.0728,1.3977,0.5114,0.1215,0.259,1.5181,0.0837,2.4615,Control
A06,0.8267,1.1657,1.3907,1.2099,1.338,0.4186,0.7749,0.0736,1.7816,2.0798,0.5819,-0.1403,0.1624,0.5476,0.6021,0.4001,0.8036,0.3054,0.6583,0.7643,0.0485,0.8378,2.0422,1.8778,0.9844,1.2785,0.62,0.1733,0.2241,1.3497,-0.0531,2.472,Control
A07,1.2177,1.3766,1.4674,1.5901,1.2584,0.4733,0.9329,0.0618,1.7303,2.1037,0.6307,-0.0051,0.2321,0.5765,0.7746,0.4699,1.2395,0.3173,0.6423,0.6473,-0.0304,0.7733,2.3762,2.2162,1.1473,1.5067,0.6062,0.0812,0.2597,1.6897,0.2383,1.9798,Control
A08,0.8932,1.5009,1.3187,1.6278,1.2448,0.2487,0.8298,0.0458,1.5849,1.7967,0.5625,-0.2383,0.2298,0.5439,0.7477,0.4064,0.5405,0.1554,0.5498,0.3165,0.106,0.7195,2.6059,2.0095,1.198,1.6258,0.7395,0.0163,0.1982,1.8669,0.1461,1.9095,Control
A09,0.9938,1.3752,1.4072,1.4374,1.3302,0.3534,0.7673,0.065,1.5729,2.0877,0.5574,-0.0413,0.2517,0.4803,0.6974,0.4455,0.676,0.1221,0.5933,0.4408,0.0338,0.8261,2.4502,2.0794,1.047,1.3494,0.5541,0.1002,0.1828,1.606,0.1333,2.1911,Control
A10,1.3414,1.2385,1.4266,1.7306,1.3233,0.4561,0.9506,0.0906,1.742,2.136,0.5813,-0.0587,0.2874,0.6813,0.73,0.448,1.489,0.0648,0.6598,0.7063,0.0508,0.7781,2.3575,2.1661,1.1476,1.611,0.6865,-0.0061,0.2691,1.641,-0.0405,2.1251,Control
A11,1.0631,1.1692,1.3304,1.1347,1.2245,0.191,0.774,0.1125,1.1999,2.0524,0.5514,-0.1461,0.1889,0.3939,0.6114,0.2829,0.711,0.0599,0.5416,0.34,0.0373,0.7193,1.776,1.6347,0.7748,1.0642,0.5432,0.105,0.1424,1.1005,0.1299,2.0611,Control
A12,0.7342,0.7211,0.8268,0.8684,0.8238,0.098,0.4296,0.1519,1.2871,1.7473,0.2876,-0.3253,0.0489,0.2568,0.2742,0.3111,0.5223,0.1982,0.1804,0.1895,0.0208,0.7238,1.3066,0.9212,0.759,0.8178,0.2172,0.1801,0.0771,1.0527,0.1091,1.6799,Control
B01,0.9628,1.4726,1.2599,1.2269,1.2082,0.2251,0.7244,0.0712,1.2621,1.6757,0.3175,0.1146,0.0467,0.4081,0.5932,0.2819,1.0294,0.1034,0.1775,0.4229,0.2077,0.6186,2.2101,1.5424,0.984,1.3503,0.6547,0.0182,0.1004,1.5169,-0.0468,2.5332,Control
B02,1.324,1.2781,1.2798,1.3173,1.5865,0.432,0.9004,0.0817,1.7984,2.0639,0.5662,-0.1293,0.2878,0.4192,0.7361,0.4973,1.431,0.1695,0.6876,0.5801,0.1293,0.8924,2.0489,1.5847,1.1073,1.3441,0.5326,0.1201,0.2542,1.4394,0.1005,3.0801,Control
B03,1.1414,1.2859,1.2715,1.3028,1.4088,0.1665,0.9167,0.0384,1.5767,1.7886,0.4124,-0.1293,0.216,0.4324,0.6405,0.3056,1.234,0.0641,0.5198,0.4869,0.1735,0.7386,2.2094,1.6176,1.0527,1.3782,0.6021,0.1329,0.1655,1.4822,-0.042,2.6611,BRCACancer
B04,0.8347,1.159,1.0648,1.5564,1.1378,0.3252,0.7801,0.0586,1.523,1.8958,0.6146,-0.2235,0.1278,0.5594,0.7497,0.4631,0.6965,0.223,0.48,0.2144,-0.0211,0.7718,2.5339,1.8864,1.3054,1.4211,0.6629,0.1888,0.2139,1.6554,-0.0135,1.6784,BRCACancer
B05,0.7116,1.0395,1.014,1.0664,1.3013,0.3702,0.815,0.1419,1.8099,2.1324,0.4618,-0.175,0.1082,0.3146,0.5483,0.4294,1.7203,0.0958,0.503,0.1832,0.0523,0.8588,1.8667,1.7231,0.875,1.0368,0.2535,0.1583,0.0446,1.2575,-0.0427,2.6321,BRCACancer
