@relation data

@attribute id string
@attribute 4208 numeric
@attribute 3725 numeric
@attribute 7867 numeric
@attribute 5599 numeric
@attribute 148022 numeric
@attribute 257397 numeric
@attribute 4205 numeric
@attribute 1432 numeric
@attribute 2002 numeric
@attribute 9261 numeric
@attribute 7189 numeric
@attribute 6416 numeric
@attribute 5516 numeric
@attribute 5515 numeric
@attribute 5518 numeric
@attribute 1386 numeric
@attribute 23118 numeric
@attribute 5519 numeric
@attribute 1849 numeric
@attribute 1848 numeric
@attribute 1845 numeric
@attribute 1846 numeric
@attribute 5601 numeric
@attribute 5602 numeric
@attribute 5600 numeric
@attribute 5605 numeric
@attribute 5606 numeric
@attribute 9252 numeric
@attribute 5604 numeric
@attribute 5609 numeric
@attribute 1385 numeric
@attribute 5608 numeric
@attribute 6885 numeric
@attribute 6196 numeric
@attribute 6197 numeric
@attribute 466 numeric
@attribute 7098 numeric
@attribute 5528 numeric
@attribute 5595 numeric
@attribute 10454 numeric
@attribute 5598 numeric
@attribute 2353 numeric
@attribute 5594 numeric
@attribute 6195 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.9973,1.3192,1.1736,1.4021,0.4404,1.3516,1.0742,1.4426,0.4312,0.9375,0.8106,0.7285,0.8995,1.7155,1.3778,1.574,1.8011,1.0466,1.1185,1.9155,1.1838,0.0722,1.121,-0.0344,-0.0276,0.4255,0.744,0.9589,0.718,0.6035,1.8416,0.7028,1.4603,0.1026,1.8816,1.4724,0.2909,1.0987,1.0783,0.2804,0.528,2.8983,1.7309,0.9065,Control
A02,0.7343,0.8029,1.1959,0.9672,0.4349,1.2364,0.7184,1.1508,0.2767,0.8165,0.7424,0.4813,0.6984,1.5576,1.1745,1.4086,1.4216,0.8005,1.1161,1.8067,1.1049,-0.0227,0.983,0.0192,-0.0188,0.2945,0.722,0.4939,0.4692,0.523,1.5349,0.2931,1.1513,0.1045,1.6266,1.2604,0.3888,1.0315,1.0214,0.1772,0.3075,1.0191,1.6299,0.9246,Control
A03,0.856,1.2073,1.2951,1.211,0.4914,1.4131,1.0479,1.3711,0.3461,1.1352,0.9056,0.6279,0.9294,1.7575,1.364,1.4536,1.3773,0.9466,1.3758,1.9201,1.41,0.1975,1.1034,-0.0146,0.0192,0.494,1.0145,0.6912,0.6904,0.6958,1.7089,0.429,1.3066,0.1148,1.8238,1.2702,0.4271,1.1744,1.0584,0.237,0.5595,2.3465,1.8758,1.0222,Control
A04,0.9735,1.3091,1.2322,0.9665,0.4179,1.16,0.7307,1.2559,0.3725,0.9351,0.7685,0.5001,0.613,1.7134,1.3892,1.4952,1.5642,0.6769,1.3167,1.4748,1.126,0.1832,1.064,-0.0052,0.1305,0.4226,0.781,0.575,0.4999,0.6518,1.6942,0.3654,1.2606,0.112,1.7883,1.212,0.2093,1.0878,1.0435,0.1192,0.4448,1.5126,1.7145,1.0052,Control
A05,1.0726,1.2428,1.4811,1.1192,0.5922,1.3496,0.9836,1.5137,0.4351,1.0201,0.825,0.5851,0.8986,1.7923,1.5247,1.5048,1.5814,0.8498,1.5447,2.2342,1.6022,0.169,1.1345,-0.0161,0.0999,0.4974,0.9779,0.7205,0.7099,0.7144,1.7835,0.5039,1.3929,0.1047,1.7933,1.3174,0.382,1.1406,1.1978,0.2521,0.5869,1.9653,1.9408,1.1126,Control
A06,0.9088,0.8136,1.3188,1.1521,0.4394,1.2504,0.8948,1.2007,0.3874,1.01,0.7493,0.575,0.7092,1.5924,1.3574,1.3949,1.4081,0.7526,1.2699,1.7831,1.2265,-0.1592,0.9999,-0.0265,-0.0898,0.3508,0.8196,0.5788,0.6673,0.5537,1.6261,0.6103,1.2752,0.1159,1.6432,1.2662,0.2264,0.973,0.9874,0.2171,0.3949,3.1061,1.8446,0.9801,Control
A07,1.2314,1.2402,1.3141,1.3691,0.5045,1.3738,1.2678,1.592,0.2834,1.1051,0.9049,0.7805,1.0184,1.7671,1.4047,1.5978,1.7287,0.9224,1.2864,2.1442,1.2423,-0.0279,1.0948,-0.0107,-0.077,0.4043,0.7471,0.8572,0.8479,0.5012,1.8447,0.5968,1.5008,0.1706,1.9955,1.4455,0.2671,1.0249,0.9702,0.2529,0.4629,2.7089,1.882,0.9852,Control
A08,1.1064,0.8862,1.197,1.4969,0.4542,1.3516,1.4066,1.6309,0.3073,1.0468,0.8033,0.967,0.776,1.6601,1.2389,1.6407,1.9423,1.0304,1.0819,1.2531,0.8508,-0.1687,1.2356,-0.0431,-0.0922,0.3356,0.6866,1.0747,0.8635,0.4817,1.9244,0.7273,1.6185,0.1698,1.9428,1.2063,0.2029,0.9778,0.9939,0.1911,0.3849,1.6836,1.9122,0.8456,Control
A09,0.9636,0.9959,1.2576,1.3676,0.4932,1.3864,1.189,1.435,0.3567,1.0301,0.7418,0.7254,0.8055,1.6468,1.3511,1.4886,1.7492,0.9078,1.2607,1.5273,1.2291,0.018,0.9917,-0.0155,-0.0205,0.3503,0.8065,0.8702,0.7596,0.5112,1.7073,0.5458,1.3452,0.1382,1.9167,1.3663,0.2231,0.9807,0.99,0.1756,0.3622,2.2224,1.8315,0.827,Control
A10,1.1138,1.3751,1.2322,1.2269,0.4472,1.3345,1.1955,1.7367,0.3201,1.0866,0.9223,0.8418,0.7537,1.7121,1.3126,1.7266,1.7556,0.9263,1.255,2.1419,1.2906,0.0813,1.1887,-6e-04,-0.0018,0.4701,0.7525,0.8147,0.7992,0.5635,1.9621,0.6755,1.6039,0.0611,1.7865,1.3076,0.5207,0.9893,0.9237,0.2623,0.4236,3.187,1.9225,0.9676,Control
A11,0.6111,1.0715,0.9279,1.1557,0.494,1.2154,0.9525,1.1233,0.307,0.7879,0.7483,0.6083,0.815,1.4128,1.2934,1.2742,1.3488,0.9172,0.7563,1.3036,1.0297,-0.1053,0.8994,-0.0066,-0.0624,0.421,0.6863,0.6274,0.5921,0.4688,1.3787,0.5351,1.0633,0.04,1.6868,1.3333,0.366,0.8513,0.9765,0.1351,0.4872,2.8409,1.8048,0.7337,Control
A12,0.4231,0.7127,0.8309,0.6947,0.2745,0.8013,0.4354,0.8493,0.1436,0.7533,0.4091,0.2659,0.5993,1.3762,0.7434,1.0839,1.1995,0.4313,0.7942,0.8089,0.675,-0.2069,0.889,0.0022,-0.2465,0.184,0.6913,0.1613,0.3092,0.2095,1.2041,0.2159,0.8197,0.1467,1.2042,0.9125,0.2558,0.8033,0.6537,0.0696,0.0668,0.8747,1.2884,0.6804,Control
B01,0.7079,0.9621,0.9654,1.4678,0.127,1.2914,1.0373,1.2183,0.1758,1.0472,0.6996,0.5919,0.7725,1.7176,1.0859,1.4056,1.775,0.8704,0.6747,0.9033,0.8122,-0.4239,1.0989,-0.0215,-0.3463,0.1378,0.573,0.6866,0.6422,0.2865,1.6376,0.6443,1.3462,0.1028,1.6935,1.116,0.1997,0.8455,0.7649,0.093,0.22,1.9307,1.5393,0.6135,Control
B02,0.745,1.3562,1.2638,1.2677,0.3888,1.2955,0.8533,1.3113,0.3923,1.0668,0.8729,0.5649,0.8361,1.9071,1.4757,1.5309,1.6152,0.8881,1.2899,1.5833,1.264,0.0252,1.2179,-0.0218,0.0037,0.4073,0.8811,0.5097,0.6051,0.6416,1.7428,0.5247,1.34,0.1062,1.7893,1.2594,0.3698,1.1175,1.0793,0.2473,0.509,3.0541,1.7139,0.9415,Control
B03,0.7637,1.1569,1.0734,1.2757,0.3089,1.2427,0.9842,1.2964,0.3166,1.0034,0.889,0.6194,0.766,1.8553,1.3093,1.5341,1.7276,0.8912,1.0108,1.3987,1.0402,0.0233,1.1503,-0.034,-0.0909,0.3033,0.708,0.6076,0.6391,0.497,1.7274,0.5927,1.3737,0.0777,1.7773,1.2457,0.2957,0.974,0.9322,0.1583,0.3646,2.6415,1.7231,0.8717,BRCACancer
B04,1.1502,0.8223,1.1552,1.1452,0.3324,1.2517,1.3511,1.5574,0.2218,1.248,0.7544,0.7505,0.5713,1.5659,1.0976,1.5952,1.9384,0.8618,0.92,1.1753,0.7644,-0.1001,1.1443,-0.0073,-0.0903,0.3598,0.7454,0.8287,0.7937,0.4032,1.7233,0.6523,1.4161,0.1477,1.7897,0.949,0.2774,0.8904,0.7103,0.2069,0.2164,0.8639,1.892,0.8704,BRCACancer
B05,0.6722,0.6881,1.1978,1.0222,0.3952,1.1678,0.8065,1.0531,0.1931,1.1897,0.7887,0.52,0.7599,1.5339,1.0423,1.2618,1.3724,0.6773,0.9657,0.9546,0.6835,-0.0762,0.9502,0.0088,-0.1129,0.3612,0.8433,0.3764,0.4861,0.4422,1.3547,0.2515,1.0362,0.1613,1.5845,0.9936,0.2002,0.8336,0.8091,0.037,0.4043,1.0309,1.7712,0.7804,BRCACancer
B06,0.7218,0.3086,0.7359,0.9729,0.0523,0.9385,0.7521,1.0091,-0.0943,0.7222,0.5568,0.4002,0.5914,1.4358,0.6971,1.2558,1.3674,0.6007,0.1999,1.0828,0.663,-0.6011,0.8584,0.0728,-0.3907,-0.0139,0.3251,0.3382,0.5274,0.1049,1.416,0.4629,1.0289,0.0056,1.3938,0.748,0.2479,0.5586,0.5053,-0.0841,0.0583,0.6734,1.2783,0.4476,BRCACancer
B07,0.9278,1.0713,1.1764,1.4186,0.4452,1.3403,1.0057,1.4636,0.2699,1.0546,0.8359,0.6667,0.8726,1.8213,1.3097,1.682,1.7519,1.0208,1.1212,1.5465,1.1193,0.033,1.2765,-0.0018,0.0257,0.486,0.8574,0.6786,0.6798,0.5956,1.8168,0.5065,1.4521,0.0924,1.8335,1.3215,0.452,1.1095,1.0321,0.2606,0.4366,1.1335,1.792,0.9039,BRCACancer
B08,0.5768,1.1173,1.1754,1.0803,0.3711,1.2131,0.7458,1.2368,0.3521,0.7547,0.7919,0.4788,0.9851,1.6709,1.4326,1.4027,1.3754,0.8409,1.2221,2.429,1.332,0.0726,0.9295,0.0215,0.1273,0.444,0.7926,0.5668,0.667,0.5798,1.5686,0.433,1.1057,0.0338,1.7098,1.4643,0.1869,0.8955,1.0572,0.1985,0.4735,1.386,1.6981,0.827,Control
B09,1.0196,0.8029,0.9332,1.0942,0.2314,1.1172,1.2017,1.3351,0.1412,0.925,0.6653,0.8406,0.4587,1.3917,0.9781,1.319,1.9616,0.7966,0.6341,0.5376,0.6572,-0.0455,0.8686,-0.0231,-0.0968,0.3163,0.6986,0.9168,0.7209,0.4622,1.4345,0.6246,1.2557,0.0856,1.727,0.6153,0.1053,0.6723,0.6103,0.1757,0.3705,1.357,1.8255,0.6669,Control
B10,0.8288,0.8277,1.037,0.9202,0.3075,0.973,0.8956,1.3763,0.1651,0.8549,0.6547,0.5586,0.6131,1.5729,1.0456,1.5029,1.7964,0.7291,0.7832,1.1497,0.6677,-0.0735,0.9729,-0.0554,-0.0692,0.1761,0.5039,0.5319,0.6102,0.3403,1.5664,0.4213,1.2484,0.1302,1.5017,0.8556,0.0997,0.7626,0.6316,0.1033,0.2383,1.762,1.7394,0.774,Control
