@relation data

@attribute id string
@attribute 6655 numeric
@attribute 9459 numeric
@attribute 50649 numeric
@attribute 9828 numeric
@attribute 8767 numeric
@attribute 8841 numeric
@attribute 9826 numeric
@attribute 57580 numeric
@attribute 84033 numeric
@attribute 50650 numeric
@attribute 23370 numeric
@attribute 4615 numeric
@attribute 27237 numeric
@attribute 6868 numeric
@attribute 387 numeric
@attribute 2245 numeric
@attribute 221472 numeric
@attribute 25791 numeric
@attribute 8878 numeric
@attribute 572 numeric
@attribute 5584 numeric
@attribute 1894 numeric
@attribute 9500 numeric
@attribute 6453 numeric
@attribute 6610 numeric
@attribute 8874 numeric
@attribute 55851 numeric
@attribute 7409 numeric
@attribute 23365 numeric
@attribute 5923 numeric
@attribute 5924 numeric
@attribute 3551 numeric
@attribute 7314 numeric
@attribute 23229 numeric
@attribute 836 numeric
@attribute 835 numeric
@attribute 29 numeric
@attribute 22986 numeric
@attribute 89846 numeric
@attribute 4974 numeric
@attribute 7410 numeric
@attribute 23263 numeric
@attribute 7074 numeric
@attribute 4790 numeric
@attribute 7204 numeric
@attribute 5879 numeric
@attribute 4792 numeric
@attribute 6654 numeric
@attribute 4168 numeric
@attribute 5599 numeric
@attribute 11108 numeric
@attribute 27018 numeric
@attribute 5970 numeric
@attribute 5664 numeric
@attribute 5663 numeric
@attribute 51107 numeric
@attribute 26574 numeric
@attribute 23421 numeric
@attribute 7189 numeric
@attribute 10276 numeric
@attribute 83464 numeric
@attribute 4803 numeric
@attribute 4099 numeric
@attribute 4804 numeric
@attribute 3654 numeric
@attribute 10018 numeric
@attribute 8997 numeric
@attribute 57142 numeric
@attribute 393 numeric
@attribute 26230 numeric
@attribute 11214 numeric
@attribute 9181 numeric
@attribute 9138 numeric
@attribute 57449 numeric
@attribute 396 numeric
@attribute 3065 numeric
@attribute 3066 numeric
@attribute 23385 numeric
@attribute 121512 numeric
@attribute 7531 numeric
@attribute 10451 numeric
@attribute 64857 numeric
@attribute Class {Control,BRCACancer}

@data
A01,1.3492,1.537,-0.0501,-0.0287,1.7332,0.8247,0.7293,1.3932,0.2856,1.5024,1.2165,1.4781,-0.0228,1.5555,0.7773,-0.0022,1.0901,-0.1375,1.5653,0.2521,0.2563,0.6195,0.5723,0.1573,1.0804,0.7689,1.2633,1.448,0.7274,-0.0662,0.7063,1.1434,0.6471,0.5148,1.24,1.4755,0.5006,0.0432,1.1425,0.1156,0.1913,0.1208,0.624,1.6889,0.3793,0.6432,2.2235,1.1294,-0.0548,1.4021,1.2576,0.8096,1.4148,0.2035,1.0974,1.4868,1.1294,0.5865,0.8106,0.4881,1.0922,-0.0387,-0.1927,-0.1467,0.6257,0.9887,-0.0016,1.263,1.3071,0.0149,1.504,1.0629,1.5895,0.02,1.1975,1.3107,0.9159,1.0716,0.6748,0.8922,0.7388,0.5652,Control
A02,1.1968,1.3369,-0.0156,-0.0423,1.719,0.6869,0.6349,1.2134,0.1738,1.2755,0.7903,1.747,0.0682,1.3843,0.5327,-0.0163,1.1226,-0.0148,1.4749,0.1564,0.1909,0.3339,0.3141,0.0471,0.8319,0.5586,0.9979,1.3147,0.7298,-0.1058,0.2933,0.9151,0.7377,0.3053,1.2187,1.0993,0.3943,-0.085,0.8714,0.1068,0.1135,3e-04,0.4758,1.279,0.3464,0.4992,2.0678,0.9018,-0.0933,0.9672,1.0137,0.6294,1.23,0.2341,0.9232,1.3112,0.9371,0.2946,0.7424,0.2228,0.7905,-6e-04,-0.1017,-0.1184,0.5548,0.6093,-0.0101,1.034,1.0367,0.0577,1.2512,0.8867,1.3715,0.0376,1.2329,1.1606,0.7075,1.0952,0.4543,0.6711,0.5864,0.3316,Control
A03,1.3816,1.552,-0.0248,-0.0088,1.8322,0.7139,0.8468,1.5003,0.1516,1.5653,0.9904,1.9692,0.0085,1.776,0.88,-0.0117,1.384,-0.0104,1.6506,0.1963,0.2982,0.7744,0.376,0.1773,0.9686,0.6834,1.3433,1.5496,0.8553,-0.0954,0.1586,1.0536,0.7912,0.3967,1.3606,1.3108,0.5868,-0.1163,0.9894,0.0165,0.2634,0.0405,0.5898,1.4481,0.4395,0.7305,2.7745,1.1313,-0.0036,1.211,1.2901,0.7137,1.459,0.354,1.1903,1.4596,1.1313,0.5014,0.9056,0.3338,0.9969,-0.0052,-0.2111,-0.0674,0.6877,0.9688,-0.0325,1.2429,1.2468,0.1071,1.5274,1.0801,1.4819,7e-04,1.4193,1.2239,0.8139,1.1743,0.827,0.6993,0.6968,0.5724,Control
A04,1.2135,1.4355,0.0327,-0.0194,1.7619,0.6255,0.5663,1.3638,0.2194,1.2583,0.9836,1.8283,0.0768,1.415,0.4995,0.0045,0.9715,-0.0206,1.6038,0.2622,0.239,0.3474,0.3321,0.0512,0.9652,0.5382,1.1241,1.283,0.6561,-0.0558,0.4507,0.9388,0.5956,0.3369,1.1395,1.26,0.4479,-0.0724,0.971,0.1542,0.1301,0.0883,0.445,1.4307,0.3694,0.4506,2.2888,1.0307,-0.0557,0.9665,1.044,0.8,1.4617,0.1439,0.9008,1.475,0.9906,0.4382,0.7685,0.3208,0.7576,0.0688,-0.0179,-0.0156,0.6186,0.8298,0.0022,1.0869,1.1733,0.0321,1.2892,0.9625,1.502,0.1006,1.4214,1.1921,0.7595,1.0779,0.2718,0.6209,0.644,0.4375,Control
A05,1.3778,1.5714,0.0257,0.0286,1.9617,0.7887,0.8208,1.5127,0.1493,1.389,1.0073,2.0997,0.1088,1.6811,0.6563,-0.0132,1.4398,-0.0445,1.6743,0.324,0.2699,0.6799,0.4049,0.1811,1.1183,0.6522,1.4098,1.5542,0.972,-0.0807,0.3031,1.0568,0.6996,0.4115,1.4523,1.3729,0.5904,-0.0583,1.0442,0.1283,0.2084,0.1206,0.592,1.5153,0.4805,0.6788,2.4787,1.0492,-0.027,1.1192,1.2204,1.0595,1.5159,0.3724,1.1115,1.6922,1.1093,0.448,0.825,0.4927,1.1231,0.0091,-0.0852,-0.04,0.8184,0.9262,-0.0231,1.29,1.2256,0.0256,1.4939,1.1648,1.4898,0.1192,1.4984,1.1558,0.8797,1.3413,0.698,0.7758,0.8571,0.5723,Control
A06,1.3318,1.4821,-0.0719,-0.0259,1.7604,0.7,0.7521,1.4057,0.1599,1.3254,0.8895,1.7849,0.0262,1.4233,0.5764,-0.0592,1.2193,-0.0779,1.6118,0.24,0.2536,0.461,0.3989,0.1959,0.9889,0.6088,1.2211,1.4091,0.7782,-0.1056,0.3986,0.9679,0.7772,0.4699,1.162,1.1944,0.488,-0.1197,0.9842,0.0667,0.1414,0.0027,0.5665,1.3528,0.3764,0.5315,2.4894,0.8863,-0.0605,1.1521,1.1683,0.6244,1.312,0.1928,1.049,1.3826,1.0194,0.5415,0.7493,0.3906,0.9099,-0.0309,-0.2553,-0.1855,0.6275,0.8847,-0.0186,1.0977,1.1786,0.0481,1.4259,0.9632,1.4143,-0.0181,1.2629,1.0555,0.7707,1.1048,0.7597,0.6018,0.7849,0.3581,Control
A07,1.4952,1.6192,-0.0024,-0.0437,1.7833,0.7635,0.8177,1.5091,0.1995,1.5499,0.9741,1.7324,0.0323,1.6452,0.8147,-0.042,1.2318,-0.0087,1.5518,0.246,0.2985,0.6033,0.4797,0.1903,0.9589,0.7308,1.141,1.4238,0.7036,-0.0814,0.5278,1.1316,0.4619,0.4903,1.4389,1.4374,0.4978,-0.047,1.0433,0.152,0.1986,0.0494,0.6953,1.6808,0.6081,0.7067,1.9854,1.1809,-0.0145,1.3691,1.1656,0.8357,1.2303,0.2317,1.2174,1.3937,1.147,0.5698,0.9049,0.4767,1.1952,0.051,-0.177,-0.1457,0.6122,0.8457,0.0032,1.499,1.2088,0.0926,1.6798,1.1235,1.4756,0.0534,1.1746,1.2779,0.874,1.1725,0.9624,0.8008,0.9519,0.3658,Control
A08,1.4347,1.5994,-0.0516,-0.0416,1.6076,0.7113,0.7183,1.4849,0.1932,1.9053,1.117,1.5837,-0.0969,1.6457,0.8852,0.0104,1.1534,-0.1666,1.3887,0.0928,0.3059,0.436,0.6222,0.1574,0.8641,0.8974,0.8197,1.3149,0.6019,-0.0812,0.8429,1.1825,0.5945,0.6394,1.041,1.4224,0.5141,0.1292,1.0899,0.1518,0.1921,0.0821,0.6835,1.8517,0.6296,0.7992,1.9135,1.4746,0.0225,1.4969,1.1088,0.5945,1.2164,0.1518,1.1808,1.2318,1.1516,0.5224,0.8033,0.4907,0.9672,0.0509,-0.19,-0.1079,0.5236,1.0519,-0.034,1.5373,1.1507,0.0798,1.7787,1.0506,1.4755,-0.0037,1.0567,1.1225,0.8956,1.0641,0.8296,0.8209,1.1379,0.4475,Control
A09,1.3189,1.6544,0.0019,-0.03,1.4702,0.6575,0.6354,1.5025,0.2058,1.4618,0.9759,1.5714,0.117,1.4106,0.5829,-0.0555,1.0871,-0.046,1.4704,0.2173,0.2152,0.346,0.5242,0.1214,0.8331,0.7178,1.0964,1.4389,0.8477,-0.0684,0.539,1.0308,0.4575,0.4689,1.0344,1.3433,0.5151,-0.0345,1.0965,0.1515,0.1807,0.0897,0.5827,1.6,0.4698,0.5778,2.2018,1.0011,-0.0619,1.3676,1.1316,0.916,1.304,0.1851,1.0908,1.3633,1.1643,0.3656,0.7418,0.4341,1.0199,0.0513,-0.2231,-0.057,0.5653,0.8176,0.0113,1.3627,1.2042,0.0784,1.714,0.9366,1.4688,0.0656,1.1786,1.1692,0.7259,0.966,0.8416,0.6467,0.6254,0.4324,Control
A10,1.3751,1.6374,-0.0594,-0.0188,1.8338,0.7329,0.7552,1.5904,0.0827,1.7209,0.9311,1.7444,-0.0131,1.7038,0.7836,-0.027,1.2181,-0.0801,1.5468,0.2166,0.3774,0.5812,0.5243,0.0812,0.892,0.7419,1.0531,1.3101,0.9042,-0.0778,0.4228,1.1319,0.3962,0.5043,1.2447,1.4705,0.4938,-0.0849,1.0459,0.1598,0.1442,0.0609,0.6184,1.6339,0.5009,0.709,2.1342,1.3376,-0.0191,1.2269,1.1332,0.9472,1.2969,0.2135,1.1793,1.3791,1.1075,0.5236,0.9223,0.2972,1.0685,0.0017,-0.1182,-0.0241,0.6289,0.9479,-0.0407,1.5759,1.1049,-0.0022,1.7349,1.0654,1.4283,0.0316,1.2401,1.1755,0.8266,1.1673,0.946,0.7723,1.0645,0.3666,Control
A11,1.1911,1.4321,-0.1052,-0.0409,1.2754,0.5617,0.4177,1.4347,0.0508,1.1563,0.8602,1.19,0.0139,1.2094,0.5479,-0.0347,0.6437,-0.1113,1.1805,0.1606,0.2382,0.2226,0.5092,0.117,0.7202,0.5983,1.1073,1.1678,0.6738,-0.0327,0.2322,0.7572,0.4886,0.5421,0.8655,0.952,0.4287,-0.0695,0.8765,0.1581,0.1492,-0.0029,0.4959,1.1125,0.3075,0.4206,2.0686,0.7411,-0.0306,1.1557,1.1259,0.5988,1.1956,0.1041,0.9509,1.0053,1.1035,0.2704,0.7483,0.2903,0.8874,0.0286,-0.1209,-0.0647,0.5158,0.5963,-0.0745,0.9881,0.9982,-0.0059,1.4471,0.6965,1.2861,-0.0607,1.1353,0.9869,0.6061,0.801,0.5913,0.6726,0.6698,0.4135,Control
A12,0.746,1.019,2e-04,-0.0678,1.2382,0.5692,0.3416,0.8611,0.1858,0.8742,0.4902,1.2792,0.0873,1.1034,0.2865,-0.0267,0.504,-0.0242,1.1336,0.0686,0.238,0.0701,0.2161,0.0267,0.6387,0.4235,0.8785,0.7893,0.6443,-0.0851,0.2531,0.7413,0.4167,0.2329,0.8947,0.7469,0.2116,-0.0865,0.5584,-0.0063,0.0614,0.0493,0.2355,1.0664,0.2702,0.307,1.6783,0.5264,-0.1224,0.6947,0.6772,0.7109,0.7846,0.2182,0.5205,1.1017,0.6382,0.3095,0.4091,0.2509,0.4898,0.0762,-0.1449,-0.1345,0.1702,0.4982,0.087,0.7407,0.644,0.095,0.8807,0.5157,0.851,0.0118,0.8477,0.8787,0.539,0.705,0.1584,0.4501,0.4517,0.1553,Control
B01,1.2677,1.405,-0.155,-0.1115,1.5377,0.7133,0.5929,1.1177,0.1796,1.3248,0.8275,1.2536,-0.213,1.476,0.7625,-0.1044,0.7528,-0.1412,1.5111,-0.025,0.2611,0.2077,0.5566,0.1063,0.8192,0.7118,0.7236,1.0718,0.5625,-0.0715,0.7143,0.9675,0.3895,0.5218,0.8888,1.2789,0.3188,0.0155,0.9277,0.0532,0.0455,-0.0877,0.5021,1.5141,0.3724,0.7761,2.5522,0.9155,-0.1037,1.4678,1.1344,0.3476,1.1788,0.2228,0.9361,1.3275,1.0193,0.7554,0.6996,0.5276,0.9788,0.0571,-0.4379,-0.3318,0.1675,1.0089,0.0834,1.1777,1.0418,0.2018,1.3156,0.8814,1.303,-0.1793,0.9315,1.02,0.7911,0.9785,0.509,0.7235,0.6104,0.2312,Control
B02,1.2043,1.4938,-0.0443,-0.0061,1.8159,0.8902,0.6318,1.3751,0.2471,1.4081,0.9795,1.8021,0.0304,1.5398,0.6839,-0.0138,1.1643,-0.0511,1.9258,0.2649,0.2537,0.3597,0.5124,0.1102,1.088,0.6377,1.1159,1.4801,0.5818,-0.0467,0.5361,1.0914,0.5973,0.4617,1.1595,1.3589,0.4869,-0.0038,1.0999,0.1323,0.1538,0.0718,0.4943,1.4393,0.3455,0.6982,3.1122,0.8818,-0.0452,1.2677,1.0755,0.772,1.5668,0.2452,1.1059,1.7361,1.1296,0.572,0.8729,0.5101,0.9423,0.0014,-0.1693,-0.0881,0.6555,0.9155,-0.015,1.1676,1.389,0.066,1.2851,1.1171,1.6974,2e-04,1.3946,1.2777,0.8382,1.1943,0.4418,0.7183,0.5786,0.4762,Control
B03,1.2156,1.4868,-0.1301,-0.0404,1.7066,0.815,0.5924,1.3414,0.1123,1.4281,0.8785,1.5754,-0.0715,1.5225,0.6896,-0.0326,0.9112,-0.111,1.6857,0.1564,0.3059,0.3612,0.5136,0.1524,0.8551,0.6808,1.0324,1.3199,0.3359,-0.0489,0.4773,1.0365,0.4994,0.4467,1.0598,1.3777,0.4024,-0.0174,0.9928,0.2397,0.1213,-0.0012,0.5148,1.4807,0.3319,0.7721,2.6831,0.9292,-0.103,1.2757,1.0114,0.314,1.3846,0.173,0.9936,1.538,1.0695,0.451,0.889,0.3587,0.9272,0.0656,-0.2488,-0.135,0.495,0.9579,0.0037,1.2054,1.1894,0.0613,1.3523,0.908,1.4928,-0.0421,1.2388,1.2216,0.8281,1.0899,0.4748,0.6356,0.6305,0.3831,BRCACancer
B04,1.2674,1.3584,-0.0492,-0.0812,1.2907,0.7148,0.6307,1.5606,0.1881,1.7796,0.954,1.5204,-0.0292,1.6275,1.0121,-0.0463,1.2851,-0.0515,1.4107,0.0836,0.3547,0.3994,0.488,0.1045,0.8092,0.7947,0.5844,1.184,0.6872,-0.1303,0.5192,1.2905,0.5398,0.4377,1.0387,1.4494,0.585,-0.1034,1.0349,0.0858,0.2001,0.0114,0.5382,1.6477,0.7606,0.8504,1.6768,1.4407,-0.1105,1.1452,0.9655,0.5107,1.1066,0.0588,1.1668,1.0844,0.9871,0.4968,0.7544,0.1919,0.8494,-0.0062,-0.1574,-0.1728,0.4569,1.0092,-0.045,1.6184,1.0944,0.0721,1.7643,1.1121,1.472,-0.0205,1.0556,1.0695,0.7401,0.9827,0.9063,0.7935,1.0397,0.4512,BRCACancer
