@relation data

@attribute id string
@attribute 112483 numeric
@attribute 113451 numeric
@attribute 1152 numeric
@attribute 1158 numeric
@attribute 1160 numeric
@attribute 1373 numeric
@attribute 1610 numeric
@attribute 162417 numeric
@attribute 219 numeric
@attribute 223 numeric
@attribute 224 numeric
@attribute 2593 numeric
@attribute 26 numeric
@attribute 262 numeric
@attribute 2628 numeric
@attribute 27165 numeric
@attribute 2744 numeric
@attribute 2746 numeric
@attribute 2747 numeric
@attribute 2752 numeric
@attribute 2805 numeric
@attribute 2806 numeric
@attribute 283208 numeric
@attribute 29920 numeric
@attribute 383 numeric
@attribute 384 numeric
@attribute 4128 numeric
@attribute 4129 numeric
@attribute 435 numeric
@attribute 445 numeric
@attribute 4842 numeric
@attribute 4843 numeric
@attribute 4846 numeric
@attribute 4942 numeric
@attribute 4953 numeric
@attribute 5009 numeric
@attribute 501 numeric
@attribute 5033 numeric
@attribute 51056 numeric
@attribute 5625 numeric
@attribute 57571 numeric
@attribute 5831 numeric
@attribute 5832 numeric
@attribute 58510 numeric
@attribute 6303 numeric
@attribute 65263 numeric
@attribute 6611 numeric
@attribute 6723 numeric
@attribute 79814 numeric
@attribute 8659 numeric
@attribute 8974 numeric
@attribute 95 numeric
@attribute Class {Control,BRCACancer}

@data
A01,1.0229,0.2082,0.0906,-0.0567,-0.085,-0.0965,0.0222,0.2791,0.6635,1.5634,0.9881,0.0953,-0.0351,1.7821,0.2179,0.1875,1.5484,0.9005,-0.0602,1.3302,0.6229,0.5097,-0.0232,1.086,0.1449,0.3162,-0.0563,0.0532,0.3042,-0.055,-0.1288,-0.0259,0.1139,1.156,1.6072,-0.1231,-0.0272,1.1166,0.9126,-0.0958,0.2279,0.0852,0.9812,-0.0874,3.0866,0.1898,0.2684,0.7331,0.8465,0.077,-0.056,0.2093,Control
A02,0.9221,0.1093,0.1902,-0.024,0.0013,-0.0505,-0.0034,0.2828,0.441,1.5552,0.7555,-0.0687,0.0848,1.6539,0.0795,-0.0132,1.2471,0.6915,-0.0686,1.0841,0.4765,0.3421,-0.085,0.9554,0.0804,0.1863,-0.0403,-0.0636,0.3063,-0.0167,-0.0998,0.0262,0.1064,1.0251,1.621,-0.1313,-0.0235,0.9105,1.2341,-0.1917,0.1425,0.0721,0.7064,-0.125,2.9518,0.0423,0.1215,0.6289,0.3747,0.1269,0.0145,0.2327,Control
A03,1.0621,0.1615,0.1165,0.0193,-0.0415,-0.0811,-0.0635,0.3278,0.4609,1.5461,0.9664,-0.0756,-0.0129,1.721,-0.0878,-0.003,1.2937,0.9001,-0.1865,1.4724,0.5444,0.488,-0.0723,0.9757,0.0424,0.3108,-0.0854,0.0012,0.3954,-0.0122,-0.1631,-0.0157,0.1514,1.1503,1.5728,-0.161,-0.0215,1.1415,1.4556,-0.0953,0.1614,0.1395,0.8001,-0.1174,3.3486,0.1292,0.2356,0.7045,0.4262,0.1867,-0.0021,0.254,Control
A04,0.872,0.1707,0.3819,0.0121,0.0129,-0.0401,-0.0505,0.3395,0.5069,1.5284,0.5866,0.0956,0.0388,1.7061,0.1434,0.0225,1.2923,0.6669,-0.0582,1.2109,0.3582,0.4196,-0.0218,1.0596,0.1123,0.1576,-0.0593,-0.0213,0.3228,-0.0079,-0.115,-0.0312,0.15,0.996,1.9449,-0.0981,-0.0733,0.7904,0.9072,-0.0838,0.3007,0.1582,0.8239,-0.0189,2.59,0.1873,0.0736,0.7908,0.5635,0.1489,-0.0016,0.1772,Control
A05,1.2399,0.1118,0.2124,-0.0125,-0.0397,-0.0705,-0.0619,0.4007,0.6886,1.5898,0.901,0.1505,-0.0505,1.7556,0.148,0.0141,1.2717,0.7833,-0.0113,1.5311,0.4723,0.4996,-0.026,1.322,0.1217,0.4518,-0.0743,0.1138,0.4255,0.0246,-0.112,0.0095,0.1124,1.1015,1.9567,-0.1306,0.0117,1.0468,1.1186,-0.0957,0.3078,0.1725,0.7522,-0.0205,3.1312,0.1567,0.1441,0.843,0.4845,0.1773,0.0172,0.2368,Control
A06,1.001,0.2126,0.0317,-0.072,-0.0214,-0.0481,-0.0499,0.1382,0.5175,1.452,0.8496,-0.0886,-0.0029,1.693,-0.0871,0.103,1.1584,0.7996,-0.2434,1.4537,0.5812,0.4481,-0.0852,0.9514,0.0107,0.0982,-0.0341,-0.0534,0.4318,-0.0332,-0.1234,-0.0124,0.0779,1.1106,1.517,-0.1851,0.0509,1.0695,0.9077,-0.1008,0.1185,0.0811,0.7471,-0.102,3.3545,0.0414,0.2163,0.6929,0.348,0.1392,0.0268,0.2055,Control
A07,0.9649,0.2351,0.0796,-0.0666,-0.0199,-0.0324,-0.1142,0.2602,0.4778,1.6874,0.9331,0.0322,-0.0242,1.8225,0.2269,0.0531,1.639,1.0215,-0.0526,1.2752,0.5599,0.4741,-0.062,1.1141,0.0851,0.1981,-0.1011,-0.0514,0.4102,-0.0549,-0.1526,-0.0549,0.1226,1.1712,1.5706,-0.1608,0.0243,1.1655,1.1308,-0.1827,0.165,0.1021,0.7428,-0.1135,3.0881,0.0632,0.2809,0.7253,0.539,0.1537,-0.0126,0.2055,Control
A08,0.8402,0.206,0.0707,-0.0417,-0.0119,-0.0644,-0.0327,0.2413,0.3392,1.4958,0.9161,-0.0396,-0.0918,1.7532,0.0774,0.1337,1.9035,1.1548,-0.2849,1.0057,0.502,0.4541,-0.071,0.9372,0.1123,0.1558,-0.0562,-0.0649,0.2894,-0.0814,-0.0947,0.0149,0.0858,0.9329,1.3189,-0.1421,-0.0609,1.0391,0.8864,-0.1213,0.16,0.0303,0.687,-0.1029,2.6305,0.0672,0.3741,0.5991,0.5805,0.0324,-0.0628,0.1299,Control
A09,0.896,0.1957,0.0572,-0.0991,-0.0118,-0.0754,-0.0341,0.2547,0.4496,1.5758,0.8398,0.0387,0.0412,1.7756,0.1122,0.1175,1.5251,0.9707,-0.0155,1.0585,0.549,0.3859,0.003,0.946,0.0633,0.1534,-0.0972,-0.0313,0.3094,-0.0268,-0.1624,0.045,0.1394,1.065,1.5556,-0.1597,-0.023,1.0046,0.7828,-0.1639,0.1832,0.0953,0.7715,-0.0937,3.0955,0.0258,0.2646,0.6173,0.5007,0.135,0.0664,0.1716,Control
A10,0.9536,0.0795,0.1151,0.0075,-0.0474,-0.0428,-0.009,0.2979,0.4359,1.5754,0.7986,0.0693,-0.0317,1.8373,0.0791,0.0416,1.7119,1.0364,0.0534,1.3118,0.4876,0.5207,-0.0583,1.0694,0.0402,0.3709,-0.0556,0.0685,0.371,-0.0242,-0.1291,0.0022,0.0716,1.0022,1.754,-0.0911,-0.0278,1.1217,1.1445,-0.1342,0.2302,0.1319,0.8132,-0.0143,2.659,0.1195,0.2019,0.6776,0.3548,0.1104,-0.036,0.1409,Control
