@relation data

@attribute id string
@attribute 3725 numeric
@attribute 10818 numeric
@attribute 1959 numeric
@attribute 5599 numeric
@attribute 1958 numeric
@attribute 5781 numeric
@attribute 2002 numeric
@attribute 6464 numeric
@attribute 1605 numeric
@attribute 820 numeric
@attribute 6416 numeric
@attribute 1387 numeric
@attribute 10488 numeric
@attribute 9479 numeric
@attribute 5288 numeric
@attribute 4131 numeric
@attribute 5601 numeric
@attribute 5602 numeric
@attribute 6714 numeric
@attribute 673 numeric
@attribute 5609 numeric
@attribute 23542 numeric
@attribute 2776 numeric
@attribute 1385 numeric
@attribute 207 numeric
@attribute 23162 numeric
@attribute 1961 numeric
@attribute 1960 numeric
@attribute 54386 numeric
@attribute 5290 numeric
@attribute 427 numeric
@attribute 6197 numeric
@attribute 5293 numeric
@attribute 1399 numeric
@attribute 466 numeric
@attribute 9586 numeric
@attribute 5595 numeric
@attribute 5295 numeric
@attribute 4914 numeric
@attribute 7054 numeric
@attribute 5594 numeric
@attribute Class {Control,BRCACancer}

@data
A01,1.2901,0.7799,0.5731,1.4087,2.0217,0.5566,0.4506,0.7565,0.4135,0.4906,0.7496,1.4764,1.0448,0.002,-0.1229,-0.0486,1.1297,-0.0399,0.3755,0.5978,0.6098,-0.0523,0.6485,1.8356,0.6157,0.6545,-0.1164,0.2746,1.8841,1.5746,1.8005,1.9037,1.3366,2.0291,1.4624,0.1328,1.0952,1.4982,0.089,-0.0256,1.76,Control
A02,0.8169,0.4949,0.3124,0.986,0.4487,0.4031,0.2934,0.8046,0.3531,0.4925,0.4989,1.2354,0.8363,0.032,-0.1295,0.0019,0.9926,0.0138,0.3775,0.4645,0.5292,-0.0494,0.2358,1.527,0.5686,0.4922,0.1005,0.0109,1.5542,1.3014,1.9291,1.6531,1.1106,1.9507,1.2554,0.1232,1.0379,1.1993,0.2181,0.0213,1.6579,Control
A03,1.1876,0.7036,0.3048,1.223,0.471,0.48,0.364,0.7989,0.4099,0.5706,0.6475,1.4513,1.0544,4e-04,-0.1385,-0.0621,1.1122,-0.02,0.6195,0.5178,0.7023,-0.0322,0.4627,1.7022,0.6805,0.6261,0.0514,0.0173,1.8949,1.3967,2.1411,1.847,1.2772,2.0362,1.265,0.1941,1.0752,1.3339,0.1827,0.0256,1.9065,Control
A04,1.2809,0.5715,0.2561,0.9854,0.3878,0.3995,0.3909,0.8019,0.3598,0.521,0.518,1.2933,0.8539,0.1159,-0.0766,-0.0067,1.0731,-0.0106,0.414,0.5636,0.6582,0.0372,0.3177,1.6873,0.6225,0.5843,0.1964,0.0818,1.7704,1.353,1.8407,1.8121,1.2477,2.0492,1.2082,0.1031,1.0602,1.4882,0.1326,-0.005,1.7434,Control
A05,1.2201,0.6391,0.2823,1.1338,0.7044,0.4857,0.4547,0.8988,0.544,0.6275,0.6041,1.4436,1.0706,0.0505,-0.0769,0.0324,1.1431,-0.0216,0.6469,0.6105,0.7209,0.0321,0.4844,1.7772,0.7463,0.6644,0.1555,0.0682,1.8376,1.4836,2.1618,1.8169,1.357,2.1796,1.311,0.2257,1.2157,1.3381,0.0916,0.0032,1.9721,Control
A06,0.8267,0.5445,0.1839,1.1657,0.614,0.4941,0.4061,0.7671,0.3382,0.5337,0.5939,1.3768,0.9013,-0.0181,-0.121,-0.0518,1.0094,-0.032,0.4253,0.5021,0.5599,-0.1045,0.3651,1.6188,0.6458,0.5858,-0.1518,-0.0806,1.7066,1.3845,2.1823,1.6695,1.2439,1.9476,1.2611,0.1602,1.0037,1.3761,0.094,-0.0563,1.8749,Control
A07,1.2177,0.8019,0.1751,1.3766,0.4361,0.5361,0.3002,0.7989,0.3858,0.6069,0.8022,1.4744,0.9521,-0.0222,-0.1358,-0.0235,1.1036,-0.0162,0.359,0.7036,0.5073,-0.0698,0.8957,1.8387,0.597,0.5711,-0.0349,-0.0235,1.7441,1.5934,2.1791,2.0157,1.2997,2.0664,1.4361,0.2664,0.9863,1.6231,0.1565,-0.065,1.9127,Control
A08,0.8932,0.8711,0.0746,1.5009,0.1922,0.621,0.3245,0.784,0.2771,0.4398,0.9913,1.5962,0.8342,0.0493,-0.128,-0.0736,1.2435,-0.0486,0.3481,0.87,0.4878,-0.0129,1.0393,1.919,0.5375,0.5681,-0.0939,-0.0357,1.6805,1.7501,1.9275,1.9639,1.321,1.7358,1.2025,0.2043,1.0102,1.714,0.0775,-0.0383,1.9432,Control
A09,0.9938,0.6865,0.1355,1.3752,0.3119,0.4602,0.3747,0.7778,0.3301,0.4809,0.7463,1.4502,0.9755,-0.0335,-0.1118,-0.0675,1.0012,-0.0209,0.4569,0.6839,0.5174,0.0024,0.8753,1.7005,0.5633,0.5027,-2e-04,-0.0429,1.8181,1.4582,2.1259,1.9382,1.2447,2.0087,1.3588,0.2328,1.0062,1.5464,0.1723,-0.1079,1.8616,Control
A10,1.3414,0.7599,0.7466,1.2385,1.5037,0.5199,0.3376,0.79,0.3513,0.4289,0.8644,1.5075,0.9461,0.0127,-0.0939,0.0975,1.1969,-0.006,0.4388,0.7899,0.5698,-0.012,0.8224,1.9569,0.5633,0.5861,-0.0016,0.2347,1.7473,1.6941,2.0097,1.8103,1.2718,1.9823,1.3015,0.3279,0.9394,1.6535,0.0962,0.0138,1.9537,Control
A11,1.0631,0.6307,0.2409,1.1692,0.3559,0.4262,0.3242,0.5794,0.1933,0.5029,0.6276,1.3339,0.9237,0.0742,-0.0935,-0.0345,0.9096,-0.012,0.2186,0.477,0.4749,-0.0817,0.5344,1.3699,0.54,0.4256,-0.0838,3e-04,1.7083,1.2025,1.8166,1.7123,0.9811,1.9002,1.3266,0.1013,0.9926,1.2442,0.0405,0.062,1.8347,Control
A12,0.7342,0.2767,-0.0182,0.7211,0.3729,0.2625,0.1578,0.5636,0.1738,0.7336,0.2806,0.7983,0.62,0.0527,-0.1446,0.0218,0.8992,-0.0032,0.1258,0.3712,0.2151,-0.1691,0.1356,1.1942,0.3955,0.3038,-0.1267,-0.2552,1.2199,0.9215,1.6432,1.2381,0.7648,1.4779,0.9157,0.1183,0.6672,1.0289,0.2453,-0.1387,1.3126,Control
B01,0.9628,0.7126,0.0522,1.4726,0.4457,0.5709,0.1905,0.5764,0.2635,0.6479,0.611,1.305,0.7006,-0.1176,-0.1721,-0.0881,1.1077,-0.027,0.1574,0.5276,0.2922,-0.2254,0.5769,1.6304,0.3916,0.4449,-0.3802,-0.3439,1.7381,1.4577,1.8541,1.7189,1.0757,1.4449,1.1144,0.1476,0.7793,1.5918,0.1229,-0.3464,1.5662,Control
B02,1.324,0.6061,0.4549,1.2781,0.818,0.4835,0.411,0.9083,0.3912,0.4907,0.5836,1.342,1.0441,-0.0338,-0.097,-0.0538,1.2259,-0.0273,0.4168,0.5114,0.648,-0.0453,0.34,1.7362,0.6693,0.6666,0.0181,0.0974,2.0204,1.4219,2.1536,1.8131,1.3587,1.9287,1.2544,0.0639,1.0963,1.7587,0.1435,0.0301,1.7427,Control
B03,1.1414,0.5952,0.3952,1.2859,0.9488,0.5476,0.334,0.7155,0.2971,0.5407,0.6389,1.3124,0.88,0.0187,-0.1195,-0.0589,1.1588,-0.0395,0.269,0.5587,0.5031,-0.0501,0.4581,1.7208,0.5703,0.5931,-0.1358,0.0372,1.944,1.5109,2.0865,1.8013,1.1338,1.7597,1.241,0.1318,0.9479,1.9459,0.107,-0.0145,1.7521,BRCACancer
B04,0.8347,0.7146,0.0338,1.159,0.4265,0.6444,0.2374,0.7092,0.384,0.547,0.7718,1.5339,0.6418,0.05,-0.1301,-0.0322,1.1528,-0.0128,0.3471,0.83,0.4092,-0.0709,1.0542,1.7166,0.5203,0.6024,-0.1038,-0.1028,1.4068,1.5671,1.6803,1.8135,1.2611,1.6149,0.9513,0.2232,0.7243,1.5967,0.1334,-0.1096,1.9229,BRCACancer
