@relation data

@attribute id string
@attribute 1436 numeric
@attribute 6714 numeric
@attribute 5156 numeric
@attribute 5579 numeric
@attribute 1956 numeric
@attribute 5578 numeric
@attribute 51100 numeric
@attribute 867 numeric
@attribute 1950 numeric
@attribute 30011 numeric
@attribute 2885 numeric
@attribute 4233 numeric
@attribute 56904 numeric
@attribute Class {Control,BRCACancer}

@data
A01,1.1546,0.3755,0.0087,1.0586,-0.0836,0.5534,1.4553,1.4692,0.6001,0.6307,1.6355,-0.0539,0.5303,Control
A02,1.3845,0.3775,0.0454,0.7032,-0.0018,0.2001,1.3715,1.3404,0.4306,0.3885,1.481,0.1428,0.4057,Control
A03,1.8769,0.6195,0.0451,0.9762,-0.0179,0.1966,1.4683,1.4201,0.4898,0.5598,1.7658,0.1217,0.5087,Control
A04,1.393,0.414,0.0058,0.82,-0.029,0.3061,1.4221,1.3018,0.406,0.4264,1.4795,0.0367,0.5215,Control
A05,1.77,0.6469,0.0339,0.9512,-0.0454,0.3059,1.5104,1.5154,0.8132,0.545,1.8562,0.0534,0.5522,Control
A06,1.6415,0.4253,0.0181,0.9045,-0.0159,0.296,1.3841,1.3978,0.4684,0.4948,1.5705,0.0458,0.4356,Control
A07,1.6377,0.359,0.0444,1.3099,-0.019,0.5102,1.4448,1.5784,0.4347,0.7341,1.8609,0.0411,0.4285,Control
A08,1.5105,0.3481,-0.0364,1.4137,-0.0439,0.8364,1.3995,1.5716,0.2616,0.8516,1.7198,-0.0034,0.3529,Control
A09,1.445,0.4569,0.0158,1.2508,-0.0328,0.5718,1.2391,1.523,0.5351,0.714,1.8278,0.0382,0.365,Control
A10,1.384,0.4388,-0.0171,1.3167,-0.0615,0.3781,1.4282,1.4811,0.7675,0.7372,1.802,0.0124,0.441,Control
A11,1.1386,0.2186,-0.0382,0.9853,-0.018,0.3263,1.0956,1.2882,0.2605,0.5359,1.5523,0.1217,0.3295,Control
A12,0.9135,0.1258,0.1046,0.5269,0.1048,0.1184,1.0094,0.8081,0.5833,0.3178,1.1373,0.1594,0.1799,Control
B01,1.2294,0.1574,0.0218,0.9472,0.0118,0.5839,1.2009,1.2405,0.4203,0.6192,1.5002,-0.0141,0.2995,Control
B02,1.5941,0.4168,0.012,0.785,-0.0267,0.3378,1.3986,1.2966,0.4014,0.4806,1.6034,7e-04,0.4738,Control
B03,1.3657,0.269,-0.0159,0.9095,-0.0568,0.3907,1.3932,1.2845,0.0772,0.6046,1.5674,-0.0644,0.3728,BRCACancer
