@relation data

@attribute id string
@attribute 994 numeric
@attribute 1022 numeric
@attribute 993 numeric
@attribute 4750 numeric
@attribute 1111 numeric
@attribute 7465 numeric
@attribute 1026 numeric
@attribute Class {Control,BRCACancer}

@data
A01,1.5823,0.5802,-0.1152,0.8097,0.6487,0.4264,1.3091,Control
A02,1.2184,0.3655,-0.0411,0.5859,0.2488,0.2488,1.0057,Control
A03,1.4456,0.5555,0.0455,0.6609,0.8187,0.6128,1.7394,Control
A04,1.3797,0.5596,-0.0341,0.6026,0.2773,0.3824,1.0109,Control
A05,1.1474,0.5538,-0.0474,0.6379,0.6053,0.4528,1.8012,Control
A06,1.0022,0.5002,-0.0779,0.5906,0.3735,0.287,1.4441,Control
A07,1.2353,0.536,-0.0608,0.7909,0.4432,0.2907,1.1928,Control
A08,1.344,0.6008,-0.1225,0.8316,0.4042,0.2271,1.1583,Control
A09,1.2962,0.5342,-0.0259,0.6494,0.4952,0.3939,1.3538,Control
A10,1.394,0.6226,-0.105,0.8489,0.4438,0.4467,1.1964,Control
A11,1.2012,0.4857,-0.1321,0.4915,0.413,0.4251,1.0562,Control
A12,0.891,0.4064,0.0037,0.4565,0.188,0.0336,1.2565,Control
B01,1.1563,0.5145,-0.0022,0.738,0.4362,0.1916,1.2563,Control
B02,1.4298,0.5819,0.0127,0.7241,0.4886,0.3802,1.6103,Control
B03,1.2703,0.5173,-0.0311,0.6906,0.444,0.3827,1.0987,BRCACancer
B04,1.258,0.499,0.0491,0.8047,0.3582,0.3144,0.8906,BRCACancer
B05,1.15,0.4024,-0.0942,0.4792,0.4625,0.2139,1.0885,BRCACancer
B06,0.937,0.3758,0.0837,0.5134,0.0863,0.0163,0.8229,BRCACancer
B07,1.6667,0.6062,-0.0563,0.7426,0.5032,0.5441,1.2013,BRCACancer
B08,1.2335,0.4136,-0.1916,0.6155,0.4793,0.4469,1.4914,Control
B09,1.2722,0.4157,-0.0946,0.6529,0.4205,0.2076,1.2244,Control
B10,1.0367,0.3786,0.002,0.6388,0.2639,0.1806,0.8633,Control
B11,1.2007,0.3483,-0.0387,0.5524,0.338,0.1714,1.318,Control
B12,1.1376,0.2577,-0.0052,0.4231,0.1426,0.0319,0.5373,Control
C01,1.3952,0.4887,0.0519,0.5941,0.4618,0.2645,1.2359,BRCACancer
C02,1.5001,0.5224,-0.0036,0.5993,0.431,0.3527,1.3841,BRCACancer
C03,1.8267,0.5433,0.0553,0.6256,0.5458,0.4457,1.3007,BRCACancer
C04,1.2242,0.2662,-0.1943,0.3139,0.2157,0.2007,1.0465,Control
C05,1.1219,0.2679,-0.1366,0.3097,0.251,0.0478,0.829,BRCACancer
C06,0.6449,0.1924,0.0495,0.0724,0.1534,-0.1585,1.0835,Control
C07,1.1819,0.3902,-0.181,0.4447,0.2524,0.3071,1.0204,Control
C08,1.4044,0.441,0.0133,0.5318,0.358,0.3601,1.4276,Control
C09,1.2254,0.3766,-0.0948,0.4066,0.115,0.1691,1.2865,Control
C10,1.1124,0.2963,0.0082,0.4905,0.1801,0.1311,0.9804,BRCACancer
C11,1.6774,0.4677,-0.0433,0.5403,0.3166,0.3697,1.1973,Control
C12,1.0541,0.2081,-0.1542,0.2799,0.0862,0.0456,0.8227,BRCACancer
D01,1.5658,0.3528,-0.1033,0.49,0.1312,0.0308,0.7565,BRCACancer
D02,1.2555,0.3216,-0.0413,0.4419,0.268,0.4389,1.5651,BRCACancer
D03,1.276,0.3138,0.0013,0.3166,0.3197,0.2237,1.2126,BRCACancer
D04,1.2236,0.399,-0.0817,0.386,0.1547,0.1537,1.3323,BRCACancer
D05,1.036,0.4093,0.0495,0.4257,0.1893,0.2052,1.4741,BRCACancer
D06,1.559,0.4214,0.0312,0.5655,0.2864,0.3787,1.5224,BRCACancer
D07,1.639,0.3781,-0.0063,0.5034,0.3113,0.4144,1.3767,Control
D08,1.0877,0.3055,-0.0081,0.367,0.2631,0.2073,1.3691,Control
D09,1.3671,0.4335,0.0714,0.5371,0.2967,0.1449,1.3857,Control
D10,1.1699,0.3235,-0.0747,0.3717,0.2992,0.2199,1.2629,Control
D11,0.891,0.1029,-0.1365,0.2181,0.1119,-0.0336,0.7354,Control
D12,1.325,0.1943,-0.1053,0.2724,0.2134,0.2263,0.8108,Control
E01,1.4161,0.3261,0.0404,0.3479,0.1731,0.2057,0.622,BRCACancer
E02,1.5336,0.4949,-0.0135,0.6586,0.2456,0.3236,1.6279,Control
E03,1.4306,0.3713,0.0024,0.4349,0.3728,0.3098,1.064,Control
E04,1.833,0.4982,-0.1048,0.6402,0.3011,0.4731,1.5046,Control
E05,1.2637,0.378,0.0798,0.6438,0.28,0.1718,1.4084,Control
E06,0.7493,0.3066,0.0485,0.321,0.2735,0.144,1.0929,BRCACancer
E07,1.4733,0.4709,-0.0361,0.5048,0.2265,0.3708,1.1829,BRCACancer
E08,1.5696,0.3918,-0.0135,0.5225,0.3629,0.4048,1.4047,Control
E09,1.5917,0.5678,0.0641,0.5427,0.3515,0.3457,1.4034,BRCACancer
E10,1.2479,0.5791,0.097,0.7083,0.5676,0.46,1.2812,BRCACancer
E11,1.3656,0.204,-0.1249,0.4114,0.2227,0.3086,1.4408,Control
E12,0.9774,0.299,-0.0034,0.2879,0.1279,0.171,0.8449,BRCACancer
F01,1.764,0.5081,-0.1392,0.6021,0.4397,0.3601,1.39,Control
F02,1.5148,0.5346,0.0193,0.6551,0.4364,0.5169,1.368,Control
F03,1.3122,0.3875,-0.0868,0.5239,0.2682,0.3935,1.2533,Control
F04,1.4444,0.4974,-0.1096,0.4958,0.3901,0.3352,1.1614,Control
