@relation data

@attribute id string
@attribute 1378 numeric
@attribute 1380 numeric
@attribute 1435 numeric
@attribute 1436 numeric
@attribute 1437 numeric
@attribute 1440 numeric
@attribute 1441 numeric
@attribute 1604 numeric
@attribute 1791 numeric
@attribute 2056 numeric
@attribute 2057 numeric
@attribute 2322 numeric
@attribute 2323 numeric
@attribute 2811 numeric
@attribute 2814 numeric
@attribute 2815 numeric
@attribute 290 numeric
@attribute 2993 numeric
@attribute 3122 numeric
@attribute 3127 numeric
@attribute 3552 numeric
@attribute 3553 numeric
@attribute 3554 numeric
@attribute 3559 numeric
@attribute 3562 numeric
@attribute 3565 numeric
@attribute 3566 numeric
@attribute 3567 numeric
@attribute 3568 numeric
@attribute 3569 numeric
@attribute 3574 numeric
@attribute 3575 numeric
@attribute 3589 numeric
@attribute 3590 numeric
@attribute 3655 numeric
@attribute 3672 numeric
@attribute 3673 numeric
@attribute 3674 numeric
@attribute 3675 numeric
@attribute 3676 numeric
@attribute 3678 numeric
@attribute 3684 numeric
@attribute 3690 numeric
@attribute 3815 numeric
@attribute 4254 numeric
@attribute 4311 numeric
@attribute 7037 numeric
@attribute 7066 numeric
@attribute 7124 numeric
@attribute 7173 numeric
@attribute 7850 numeric
@attribute 909 numeric
@attribute 910 numeric
@attribute 911 numeric
@attribute 912 numeric
@attribute 913 numeric
@attribute 914 numeric
@attribute 915 numeric
@attribute 916 numeric
@attribute 917 numeric
@attribute 920 numeric
@attribute 921 numeric
@attribute 924 numeric
@attribute 925 numeric
@attribute 928 numeric
@attribute 929 numeric
@attribute 945 numeric
@attribute 947 numeric
@attribute 948 numeric
@attribute 951 numeric
@attribute 952 numeric
@attribute 960 numeric
@attribute 966 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,1.1625,0.7105,0.3392,1.1221,0.1156,-0.15,1.7435,1.9451,0.0081,0.0686,0.3306,0.5052,1.3242,1.2385,0.4051,1.0185,1.2513,-0.0805,3.1376,1.0901,-0.0393,1.5545,0.2643,0.5903,-0.1283,-0.2431,1.4094,-0.0293,0.0969,0.0682,0.2534,3.5334,0.1754,0.9636,1.6468,0.1684,0.2992,1.1768,0.1067,2.6951,1.4811,1.6048,2.1043,0.0692,0.17,0.578,1.6844,-0.007,0.4095,-0.1351,0.4052,0.5058,0.0415,1.1301,1.2035,0.2101,2.0317,2.2816,2.164,2.3141,1.6895,1.8777,0.8007,1.2843,0.4329,2.3884,1.086,-0.0826,1.5641,2.0401,0.7109,2.0185,0.6924,Control
Utah__A02,0.8626,0.3168,0.3584,1.3569,0.1744,-0.1883,1.6913,1.321,-0.0514,0.0237,0.2643,0.3589,0.9328,1.1102,0.456,0.7585,1.4721,0.2551,3.6276,1.0826,0.1474,0.7205,0.047,0.2113,-0.0684,-0.2101,1.0122,-0.0555,0.1115,-0.0126,0.4007,3.5647,0.1812,0.4789,0.9234,0.1934,0.1676,1.2473,0.0432,2.442,1.1969,1.728,2.2228,0.0944,-0.013,0.0604,1.4166,0.1178,0.4322,-0.0174,0.0374,0.252,0.1108,0.8633,1.3433,0.1886,1.619,1.9895,1.8639,2.276,1.432,1.417,0.5665,1.5793,0.3997,2.256,1.0631,-0.0181,1.654,1.7388,0.6353,1.497,0.4161,Control
Utah__A03,0.931,0.2308,0.4213,1.8599,0.2328,-0.0485,1.7862,1.765,-0.0278,0.0497,0.313,0.4757,0.9912,1.0277,0.3188,0.7921,1.3942,0.0896,3.3288,0.3109,-0.0719,0.8663,0.0801,0.1792,-0.0562,-0.2254,1.0245,-0.0179,0.1369,-0.024,0.1797,2.2286,0.1341,0.5669,0.646,0.1447,0.3777,1.3982,0.0069,2.7204,1.5823,1.971,2.238,0.0014,-0.0538,0.2152,1.8015,0.1041,0.5375,-0.0376,0.2001,0.3384,0.1195,0.6289,1.4587,0.2502,1.8192,1.9398,1.726,2.3253,1.5818,1.555,0.6934,1.7609,0.4528,2.3927,1.2574,-0.0438,1.7728,1.8877,1.0549,2.0408,0.4911,Control
Utah__A04,0.9282,0.6894,0.4511,1.3656,0.1599,0.0819,1.6721,1.5735,-0.0057,0.113,0.3192,0.2296,1.2951,1.1051,0.5406,1.1093,1.531,0.017,3.5778,0.0915,0.1252,0.4163,0.1829,0.2315,-0.1193,0.0048,1.4047,-0.1525,0.1542,0.0645,0.1656,4.0736,0.1879,0.5401,1.1087,0.1736,0.1812,1.5397,0.0839,2.7132,1.323,1.7924,2.722,0.1071,0.0024,0.0954,1.4412,0.0786,0.3432,-0.0409,0.1759,0.3311,-0.0758,0.7715,0.9784,0.1789,2.0697,1.9869,1.8071,2.3006,1.5443,1.7139,0.9297,1.5209,0.5184,2.4588,0.7466,0.047,1.5061,2.1009,0.5882,1.6266,0.4299,Control
Utah__A05,1.3084,0.5374,0.3115,1.7506,0.1949,0.0352,2.2875,1.6815,0.0129,0.1129,0.4499,0.5586,1.1281,1.661,0.7111,1.3247,2.0857,0.1676,3.5296,1.1502,0.1089,0.6999,0.1519,0.3192,-0.0355,-0.1382,1.3056,0.0787,0.14,0.0647,0.1774,2.9076,0.1693,0.5731,0.9234,0.1386,0.1694,2.1079,0.0297,2.5696,1.6547,2.2744,2.9516,0.0507,0.0431,0.195,1.6074,0.0298,0.365,-0.0708,0.2895,0.4358,0.0692,1.1146,1.4227,0.1793,1.4991,1.5613,1.5181,1.9004,1.816,1.4721,0.9067,1.1566,0.5505,2.905,1.4533,0.0018,1.9146,2.1671,0.7843,1.8666,0.5497,Control
Utah__A06,0.9966,0.2002,0.2369,1.6194,0.1744,-0.1203,2.1171,1.8747,-0.0703,8e-04,0.2747,0.928,0.8612,0.7341,0.3918,0.7978,1.309,-0.0204,3.3593,0.2693,0.1683,0.7341,0.3071,0.1912,-0.0679,-0.1418,0.8944,-0.0252,0.1128,-0.0902,0.0427,3.0457,0.065,0.6323,1.1302,0.0491,0.1296,1.6891,-0.0304,2.2539,1.4798,2.3146,2.5793,0.1762,-0.095,0.138,1.3735,0.0909,0.4132,-0.0768,0.4002,0.4315,0.0987,1.083,1.6669,0.1842,1.4059,1.5105,1.4556,1.709,1.6757,1.1313,0.8208,0.9341,0.4187,2.7576,1.3604,0.0655,1.7035,1.8383,0.6687,1.8974,0.4203,Control
Utah__A07,1.1138,0.1681,0.3124,1.6155,0.2107,-0.1092,1.8442,1.8191,-0.0326,-0.0484,0.2749,0.681,0.9571,1.0384,0.493,0.8538,1.2761,-0.0214,3.3186,0.2407,0.0628,1.2177,0.3198,0.2901,0.0137,-0.0543,1.0034,0.0029,0.0802,0.2398,0.0707,3.3944,0.0836,0.5712,1.1863,0.1003,0.1898,1.3185,-0.0033,2.7415,1.481,1.8592,2.3097,0.1197,-0.0655,0.1414,1.6274,0.0633,0.4675,-0.0642,0.3204,0.5047,0.0794,1.3656,1.3063,0.2517,1.6995,1.8185,1.7176,2.038,1.6541,1.4365,0.7746,1.0758,0.407,2.4837,1.4119,0.0303,1.6911,1.8729,0.8083,2.4103,0.5616,Control
Utah__A08,0.9163,0.395,0.3279,1.4856,0.1331,-0.2089,1.4633,1.9034,-0.0274,0.1021,0.2087,0.5654,0.9313,0.5688,0.1737,0.6741,1.0082,-0.0859,2.8904,0.2157,-0.0116,0.4423,0.1465,0.4626,-0.0849,-0.1634,1.0551,-0.1791,0.0418,0.1354,0.1127,3.3125,0.118,0.6812,1.6648,0.0515,0.1121,0.6522,0.0337,3.0939,1.3509,1.5443,1.4367,-0.0243,-0.0619,0.0865,1.6047,0.0358,0.2445,-0.169,0.1015,0.155,-0.0778,0.7065,1.0993,0.0913,1.6052,1.694,1.7898,1.9365,1.4489,1.5975,0.6949,0.855,0.274,1.6808,0.9624,0.0374,1.7645,1.8606,1.0636,2.5784,0.3975,Control
Utah__A09,0.8596,0.2039,0.3397,1.4187,0.1897,-0.0596,1.3898,1.7434,-0.0199,0.1204,0.2535,0.3935,1.0495,1.0981,0.4706,1.0243,1.5634,-0.0236,3.0509,0.2228,0.0845,0.5926,0.1109,0.357,-0.086,-0.2085,0.9574,0.0863,-0.0057,0.1209,0.1696,3.6982,0.0862,0.6082,1.3439,0.0454,0.2051,1.489,0.0438,2.8372,1.3169,1.6578,2.6555,0.047,-0.0615,0.0911,1.4224,0.0857,0.3484,-0.0242,0.1662,0.1494,0.0554,1.0178,1.141,0.1723,1.8728,2.0494,1.7943,2.2663,1.6131,1.7077,0.7781,1.2647,0.4179,1.988,1.0346,0.0403,1.7405,1.7953,0.636,2.5672,0.5874,Control
Utah__A10,1.3602,0.0964,0.3085,1.3564,0.1738,0.0015,2.0538,1.891,-0.0529,0.0478,0.3188,0.4302,0.9217,1.3014,0.4909,1.1298,1.462,0.0664,3.2873,1.1195,-0.0373,1.4944,0.0495,0.2816,-0.1361,-0.1695,0.9072,-0.1003,0.2861,-0.076,0.2334,3.5895,0.1093,0.5092,0.9891,0.1402,0.2798,1.768,0.034,2.9398,1.4915,2.0385,2.8242,0.0223,0.1301,0.1965,1.5811,-0.0369,0.4505,-0.1034,0.1871,0.288,0.0194,0.8669,1.3992,0.1712,2.1386,2.072,1.874,2.2669,1.4859,1.5378,0.6528,1.8472,0.6124,2.5733,1.3212,0.0346,2.4979,1.781,0.6548,2.4518,0.4402,Control
