@relation data

@attribute id string
@attribute 11238 numeric
@attribute 1373 numeric
@attribute 1491 numeric
@attribute 23632 numeric
@attribute 27165 numeric
@attribute 2744 numeric
@attribute 2746 numeric
@attribute 2747 numeric
@attribute 275 numeric
@attribute 2752 numeric
@attribute 3034 numeric
@attribute 377677 numeric
@attribute 440 numeric
@attribute 759 numeric
@attribute 760 numeric
@attribute 761 numeric
@attribute 762 numeric
@attribute 763 numeric
@attribute 765 numeric
@attribute 766 numeric
@attribute 767 numeric
@attribute 768 numeric
@attribute 771 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,1.3809,-0.0965,0.2051,0.0879,0.1875,1.5484,0.9005,-0.0602,0.5964,1.3302,0.5269,0.4126,0.604,0.0187,0.616,-0.0693,-0.0158,-0.1023,0.1293,-0.2254,0.056,-0.1005,-0.1187,Control
Utah__A02,0.9162,-0.0505,4e-04,0.0866,-0.0132,1.2471,0.6915,-0.0686,0.3888,1.0841,0.3097,0.2507,0.4059,0.341,0.8422,-0.0021,-0.0963,-0.163,-0.0022,-0.2131,-0.0221,-0.0919,-0.123,Control
Utah__A03,1.1557,-0.0811,-0.0362,0.1047,-0.003,1.2937,0.9001,-0.1865,0.4648,1.4724,0.3872,0.269,0.3953,0.3349,0.6399,0.1416,-0.0977,-0.1102,0.1193,-0.2478,-0.0146,-0.0823,-0.1218,Control
Utah__A04,1.0521,-0.0401,0.1546,0.0359,0.0225,1.2923,0.6669,-0.0582,0.4044,1.2109,0.2865,0.387,0.5198,0.0527,0.8396,0.0811,-0.0015,-0.0677,-0.1051,-0.1263,0.0091,-0.0736,-0.0835,Control
Utah__A05,1.1123,-0.0705,0.0803,0.0289,0.0141,1.2717,0.7833,-0.0113,0.4534,1.5311,0.6653,0.6937,0.3661,0.3063,1.043,0.0347,0.0796,-0.0538,0.0181,-0.1167,-0.0174,-0.0467,-0.0754,Control
Utah__A06,1.1003,-0.0481,0.09,0.1167,0.103,1.1584,0.7996,-0.2434,0.2885,1.4537,0.6823,0.4452,0.4386,-0.0532,0.646,0.0233,-0.0842,-0.0937,-0.026,-0.1858,-0.0382,-0.1475,-0.1404,Control
Utah__A07,1.208,-0.0324,0.1206,0.0239,0.0531,1.639,1.0215,-0.0526,0.4277,1.2752,0.5499,0.4223,0.4403,-0.0362,0.8536,0.0756,-0.05,-0.1292,0.0228,-0.2095,-0.0415,-0.1355,-0.145,Control
Utah__A08,1.2375,-0.0644,0.1111,-0.0103,0.1337,1.9035,1.1548,-0.2849,0.4319,1.0057,0.4738,0.347,0.599,-0.0327,0.6795,-0.0028,-0.0482,-0.0304,-0.0276,-0.2818,-0.0169,-0.0893,-0.1154,Control
Utah__A09,1.196,-0.0754,0.1222,0.0593,0.1175,1.5251,0.9707,-0.0155,0.2642,1.0585,0.5099,0.2977,0.5171,-0.07,0.9083,0.0022,0.034,-0.0839,0.4917,-0.1347,-0.0078,-0.1031,-0.1342,Control
Utah__A10,1.1537,-0.0428,0.1439,0.032,0.0416,1.7119,1.0364,0.0534,0.4311,1.3118,0.6216,0.8258,0.5348,-0.0038,0.9531,-0.0028,0.0626,-0.0697,-0.1024,-0.1549,-0.0497,-0.1065,-0.1018,Control
Utah__A11,1.1309,-0.0486,0.0964,-0.0073,0.0561,1.1455,0.8013,-0.0077,0.1697,0.9311,0.25,0.0154,0.2382,-0.0194,0.5006,-0.0067,0.038,-0.0261,-0.0482,-0.2067,-0.0127,-0.0264,-0.1012,Control
Utah__A12,0.6991,-0.0025,0.1177,0.2154,0.0779,0.8702,0.3466,-0.337,0.3012,0.7299,0.0977,0.2357,0.4073,0.1835,0.5366,-0.0131,0.0189,-0.1597,-0.0293,-0.1466,0.0671,-0.0469,-0.1303,Control
