@relation data

@attribute id string
@attribute 3706 numeric
@attribute 3707 numeric
@attribute 6655 numeric
@attribute 4796 numeric
@attribute 5894 numeric
@attribute 6464 numeric
@attribute 1605 numeric
@attribute 6850 numeric
@attribute 572 numeric
@attribute 5267 numeric
@attribute 5266 numeric
@attribute 2048 numeric
@attribute 695 numeric
@attribute 1445 numeric
@attribute 29760 numeric
@attribute 5605 numeric
@attribute 5604 numeric
@attribute 7409 numeric
@attribute 207 numeric
@attribute 23368 numeric
@attribute 208 numeric
@attribute 5290 numeric
@attribute 5293 numeric
@attribute 10000 numeric
@attribute 5336 numeric
@attribute 2885 numeric
@attribute 10725 numeric
@attribute 613 numeric
@attribute 4791 numeric
@attribute 4790 numeric
@attribute 4793 numeric
@attribute 4067 numeric
@attribute 5295 numeric
@attribute 4792 numeric
@attribute 4795 numeric
@attribute 6654 numeric
@attribute 5594 numeric
@attribute 4794 numeric
@attribute Class {Control,BRCACancer}

@data
A01,-0.2782,1.1032,1.3471,0.0664,1.7841,0.7565,0.4135,1.0836,0.2409,0.078,0.0128,0.0816,1.4834,1.2814,0.6565,0.4307,0.7341,1.4581,0.6157,0.3037,0.8453,1.5746,1.3366,0.6233,0.6199,1.6355,1.265,0.4762,1.1558,1.6981,0.9055,1.3216,1.4982,2.2123,0.1903,1.1256,1.76,0.719,Control
A02,-0.2215,0.7032,1.2046,0.0749,1.5394,0.8046,0.3531,0.9151,0.1478,0.1192,-0.0923,0.0841,1.5178,1.2458,0.3778,0.3006,0.48,1.3267,0.5686,0.1694,0.6275,1.3014,1.1106,0.3831,0.6094,1.481,0.9015,0.2698,0.9284,1.2732,0.76,1.1848,1.1993,2.0603,0.2038,0.9005,1.6579,0.7479,Control
A03,-0.2816,0.7757,1.3774,0.094,1.7337,0.7989,0.4099,1.1936,0.1867,0.0775,-0.3505,0.1534,1.6458,1.4648,0.3277,0.4986,0.7059,1.5584,0.6805,0.186,0.7841,1.3967,1.2772,0.396,0.8192,1.7658,1.1474,0.4406,1.0624,1.4485,1.0903,1.5638,1.3339,2.7503,0.3145,1.1275,1.9065,1.017,Control
A04,-0.0606,0.8349,1.2203,0.1652,1.6705,0.8019,0.3598,0.88,0.2507,-0.0109,-0.3227,0.0594,1.4046,1.2871,0.5163,0.4277,0.5113,1.2953,0.6225,0.1613,0.7141,1.353,1.2477,0.5255,0.503,1.4795,0.9037,0.3444,1.0316,1.4304,0.8727,1.3945,1.4882,2.2761,0.1961,1.028,1.7434,0.6893,Control
A05,-0.1057,0.8734,1.3739,0.1936,1.8077,0.8988,0.544,1.2241,0.3108,0.0347,-0.1387,0.1197,1.7503,1.4266,0.468,0.5021,0.726,1.5629,0.7463,0.23,0.7904,1.4836,1.357,0.5106,0.7744,1.8562,1.1153,0.4548,1.126,1.5181,1.1142,1.5799,1.3381,2.4615,0.3187,1.0464,1.9721,1.0047,Control
A06,-0.2793,0.8107,1.3309,0.0623,1.7479,0.7671,0.3382,1.146,0.2291,0.1357,-0.4097,0.076,1.579,1.2077,0.3659,0.3564,0.6824,1.4198,0.6458,0.1999,0.7372,1.3845,1.2439,0.4506,0.6376,1.5705,1.066,0.3669,0.8596,1.3497,0.8971,1.3697,1.3761,2.472,0.2461,0.8852,1.8749,0.6753,Control
A07,-0.132,1.2021,1.4837,0.1276,1.7697,0.7989,0.3858,1.4117,0.2349,-0.0245,-0.3828,0.1052,1.5919,1.323,0.5572,0.4096,0.8669,1.4343,0.597,0.1843,0.7443,1.5934,1.2997,0.74,0.7028,1.8609,1.256,0.425,0.9967,1.6897,0.8526,1.7041,1.6231,1.9798,0.2749,1.1765,1.9127,0.9462,Control
A08,-0.3014,1.3175,1.4271,0.0928,1.7375,0.784,0.2771,1.2657,0.086,0.1286,-0.1799,0.0074,1.3284,1.2379,0.4839,0.3414,0.8829,1.3268,0.5375,0.2629,0.7355,1.7501,1.321,1.0516,0.8279,1.7198,1.3488,0.4297,0.8752,1.8669,0.7484,1.8806,1.714,1.9095,0.2617,1.467,1.9432,0.6932,Control
A09,-0.1714,1.1023,1.3188,0.0738,1.637,0.7778,0.3301,1.2705,0.207,0.0633,-0.3301,0.0697,1.527,1.3017,0.4399,0.356,0.7767,1.4492,0.5633,0.19,0.6938,1.4582,1.2447,0.7535,0.6457,1.8278,1.1755,0.4124,0.9958,1.606,0.8347,1.6382,1.5464,2.1911,0.2682,0.9988,1.8616,0.7026,Control
A10,-0.1212,1.0857,1.3713,0.1364,1.7832,0.79,0.3513,1.3728,0.2064,0.0049,-0.1559,0.053,1.3942,1.2891,0.356,0.4749,0.8171,1.3221,0.5633,0.2304,0.7332,1.6941,1.2718,0.8026,0.7249,1.802,1.2398,0.5047,0.983,1.641,0.8363,1.7975,1.6535,2.1251,0.1754,1.3316,1.9537,0.8472,Control
