@relation data

@attribute id string
@attribute 5728 numeric
@attribute 5164 numeric
@attribute 1968 numeric
@attribute 2932 numeric
@attribute 5170 numeric
@attribute 1965 numeric
@attribute 3479 numeric
@attribute 207 numeric
@attribute 2475 numeric
@attribute 5290 numeric
@attribute 3480 numeric
@attribute 6198 numeric
@attribute 5515 numeric
@attribute 1977 numeric
@attribute 1978 numeric
@attribute 8894 numeric
@attribute 8893 numeric
@attribute 3636 numeric
@attribute 5295 numeric
@attribute 6194 numeric
@attribute Class {Control,BRCACancer}

@data
A01,1.2392,0.6256,2.3257,0.6628,0.7923,1.3309,-0.0909,0.6157,1.0383,1.5746,0.4989,1.1348,1.7098,0.5757,0.1832,0.7258,1.1016,1.0862,1.4982,1.5806,Control
A02,0.6452,0.4556,2.2595,0.4686,0.6688,1.1569,-0.0973,0.5686,0.8076,1.3014,0.1816,0.9374,1.5505,0.4203,0.1712,0.4748,0.8892,1.0948,1.1993,1.339,Control
A03,0.9168,0.6294,2.0812,0.609,0.8003,1.3394,-0.0919,0.6805,1.0044,1.3967,0.1979,1.0488,1.7523,0.5343,0.293,0.5402,0.9506,1.235,1.3339,1.5262,Control
A04,0.7608,0.6267,2.2021,0.5054,0.7491,1.147,-0.0847,0.6225,0.953,1.353,0.2293,0.9145,1.7078,0.4748,0.2937,0.4569,0.8831,1.1022,1.4882,1.6338,Control
A05,0.9371,0.7278,2.0874,0.6009,0.8948,1.2592,-0.034,0.7463,1.0559,1.4836,0.3115,1.0517,1.7874,0.4721,0.3405,0.4714,0.9332,1.4245,1.3381,1.3085,Control
A06,0.835,0.5957,2.2636,0.5351,0.7874,1.1872,-0.0936,0.6458,0.9456,1.3845,0.331,1.024,1.5855,0.3823,0.2689,0.5533,0.8995,1.1799,1.3761,1.4327,Control
A07,1.3069,0.5577,2.2825,0.8251,0.8207,1.3152,-0.0679,0.597,0.982,1.5934,0.5224,1.1139,1.762,0.6261,0.2793,0.644,0.93,1.1645,1.6231,1.374,Control
A08,1.4954,0.4875,2.1588,1.0661,0.8395,1.1752,-0.0714,0.5375,1.0594,1.7501,0.8759,1.1814,1.654,0.7036,0.2097,0.6476,0.979,1.0227,1.714,1.3828,Control
A09,1.3533,0.6276,2.2171,0.7154,0.8331,1.2498,-0.0975,0.5633,0.8822,1.4582,0.5908,1.0737,1.6406,0.5664,0.2428,0.5013,0.8425,1.0579,1.5464,1.2496,Control
A10,1.3318,0.5457,2.1378,0.9142,0.8665,1.3176,-0.0678,0.5633,1.0156,1.6941,0.3276,1.0955,1.7064,0.528,0.1753,0.5286,0.9144,1.2051,1.6535,1.2527,Control
A11,0.9839,0.4497,2.0624,0.4848,0.738,1.2664,-0.0749,0.54,0.6633,1.2025,0.3053,1.0241,1.4043,0.3428,0.1139,0.4871,0.645,0.9795,1.2442,1.2154,Control
A12,0.3508,0.3989,1.4328,0.3984,0.4944,0.872,-0.112,0.3955,0.6272,0.9215,0.1393,0.6697,1.3673,0.2567,0.0236,0.1952,0.6111,0.6115,1.0289,1.0464,Control
B01,1.093,0.3616,2.3297,0.6768,0.5477,1.117,-0.076,0.3916,0.8853,1.4577,0.6045,1.0598,1.712,0.5583,0.1001,0.7332,1.0529,0.7497,1.5918,1.8482,Control
B02,0.837,0.6271,2.421,0.5494,0.7354,1.2237,-0.0823,0.6693,0.9693,1.4219,0.3277,1.2129,1.9033,0.5056,0.2555,0.6254,1.1988,1.1203,1.7587,1.8514,Control
B03,1.0128,0.5067,2.3764,0.6557,0.7817,1.1625,-0.0764,0.5703,0.9023,1.5109,0.3596,1.0733,1.851,0.479,0.1512,0.5802,1.0631,1.0346,1.9459,1.7607,BRCACancer
B04,1.4959,0.4157,2.0792,1.0929,0.8342,0.8964,-0.0926,0.5203,1.0325,1.5671,0.5273,1.1136,1.5588,0.6598,0.0542,0.5864,0.8538,1.0495,1.5967,1.1061,BRCACancer
B05,0.7624,0.4627,2.0619,0.5382,0.72,0.9767,-0.0745,0.443,0.8083,1.1566,0.2234,0.9888,1.5265,0.4768,0.1898,0.4689,0.7556,0.8705,1.6704,1.3502,BRCACancer
B06,0.7256,0.1325,2.2229,0.4945,0.3761,0.8917,-0.054,0.1783,0.6961,1.1199,0.2225,0.8706,1.4275,0.4841,-0.0588,0.4994,0.8316,0.6982,1.4068,1.1894,BRCACancer
B07,1.0076,0.5377,2.5534,0.6372,0.7645,1.2438,-0.1116,0.6313,0.9697,1.5493,0.2766,1.1819,1.8167,0.651,0.1465,0.7159,1.1457,1.1952,1.5879,1.6251,BRCACancer
B08,0.7892,0.5713,2.3054,0.4347,0.7453,1.2636,-0.078,0.6407,0.7078,1.3231,0.2692,1.0162,1.6648,0.4016,0.1498,0.6265,0.8389,1.1383,1.1769,1.3723,Control
B09,1.4452,0.2335,1.8166,0.8491,0.7545,0.7044,-0.069,0.4608,0.8262,1.3758,0.6196,0.9843,1.383,0.6358,0.0759,0.578,0.7117,0.9966,1.5101,1.494,Control
B10,1.0377,0.2866,1.7177,0.8535,0.6656,1.0035,-0.0835,0.3842,0.7824,1.4219,0.3624,0.8602,1.5659,0.4398,0.0389,0.3409,0.6913,0.8482,1.4831,1.0629,Control
B11,0.873,0.4654,1.839,0.6309,0.7307,1.1209,-0.022,0.4632,0.8101,1.3896,0.318,1.0006,1.5627,0.3535,0.3209,0.3972,0.7566,1.1379,1.2771,1.1007,Control
B12,1.1894,0.1903,1.6933,0.7771,0.6438,0.5285,-0.1306,0.3769,0.6855,1.1323,0.538,0.8465,1.0086,0.4854,0.1066,0.4691,0.4981,0.8405,1.1896,0.9626,Control
C01,1.2172,0.644,2.2011,0.6791,0.784,1.1232,-0.05,0.6952,0.9754,1.3372,0.2345,1.0156,1.576,0.5377,0.3312,0.6342,0.965,1.3352,1.2928,1.1856,BRCACancer
C02,0.7415,0.6479,2.1619,0.4696,0.7057,1.118,-0.11,0.7123,0.942,1.3839,0.2621,0.9224,1.61,0.4468,0.2763,0.4545,0.9883,1.2663,1.3266,1.2329,BRCACancer
C03,0.8584,0.7704,2.2376,0.5803,0.763,1.1081,-0.1356,0.9317,1.0543,1.4737,0.2636,1.0808,1.6437,0.509,0.308,0.5554,1.1788,1.5529,1.2561,1.4167,BRCACancer
C04,0.5566,0.4727,1.7368,0.2982,0.5627,0.7337,-0.04,0.5797,0.5052,0.7962,0.1949,0.6354,1.0877,0.3065,0.1404,0.325,0.4868,1.137,0.8383,1.2864,Control
C05,0.5074,0.4283,1.7078,0.2458,0.5872,0.7812,-0.0828,0.582,0.6142,0.9303,0.2368,0.6341,1.34,0.286,0.1861,0.4069,0.5701,1.069,0.928,1.057,BRCACancer
