@relation data

@attribute id string
@attribute 10451 numeric
@attribute 1386 numeric
@attribute 2002 numeric
@attribute 23162 numeric
@attribute 2353 numeric
@attribute 2885 numeric
@attribute 29760 numeric
@attribute 3265 numeric
@attribute 3725 numeric
@attribute 4067 numeric
@attribute 4214 numeric
@attribute 5069 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5604 numeric
@attribute 5879 numeric
@attribute 613 numeric
@attribute 6195 numeric
@attribute 6197 numeric
@attribute 6464 numeric
@attribute 6654 numeric
@attribute 6850 numeric
@attribute 7409 numeric
@attribute 7410 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.7388,1.574,0.4312,0.6281,2.8983,1.6544,0.8534,0.4247,1.3192,1.322,2.2889,-0.085,1.7309,1.0783,0.718,0.6432,0.4585,0.9065,1.8816,0.75,1.1294,1.0855,1.448,0.1913,Control
Utah__A02,0.5864,1.4086,0.2767,0.464,1.0191,1.493,0.4536,0.3701,0.8029,1.18,1.8995,-0.0801,1.6299,1.0214,0.4692,0.4992,0.2356,0.9246,1.6266,0.7973,0.9018,0.9078,1.3147,0.1135,Control
Utah__A03,0.6968,1.4536,0.3461,0.5994,2.3465,1.7906,0.3817,0.3745,1.2073,1.5735,2.1356,-0.1054,1.8758,1.0584,0.6904,0.7305,0.4201,1.0222,1.8238,0.7917,1.1313,1.2015,1.5496,0.2634,Control
Utah__A04,0.644,1.4952,0.3725,0.5572,1.5126,1.4914,0.6523,0.3589,1.3091,1.3977,2.278,-0.1034,1.7145,1.0435,0.4999,0.4506,0.3162,1.0052,1.7883,0.7946,1.0307,0.8709,1.283,0.1301,Control
Utah__A05,0.8571,1.5048,0.4351,0.6381,1.9653,1.8851,0.583,0.4809,1.2428,1.5903,2.4514,-0.087,1.9408,1.1978,0.7099,0.6788,0.4354,1.1126,1.7933,0.89,1.0492,1.2336,1.5542,0.2084,Control
Utah__A06,0.7849,1.3949,0.3874,0.5587,3.1061,1.5864,0.4367,0.2391,0.8136,1.3721,2.0424,-0.1181,1.8446,0.9874,0.6673,0.5315,0.3404,0.9801,1.6432,0.7604,0.8863,1.1513,1.4091,0.1414,Control
Utah__A07,0.9519,1.5978,0.2834,0.5438,2.7089,1.89,0.711,0.3621,1.2402,1.7192,2.4121,-0.1427,1.882,0.9702,0.8479,0.7067,0.4033,0.9852,1.9955,0.7917,1.1809,1.4313,1.4238,0.1986,Control
Utah__A08,1.1379,1.6407,0.3073,0.5407,1.6836,1.7425,0.6058,0.2915,0.8862,1.9024,2.6664,-0.1186,1.9122,0.9939,0.8635,0.7992,0.4083,0.8456,1.9428,0.777,1.4746,1.2774,1.3149,0.1921,Control
Utah__A09,0.6254,1.4886,0.3567,0.4746,2.2224,1.8554,0.5427,0.3464,0.9959,1.6508,2.4939,-0.1033,1.8315,0.99,0.7596,0.5778,0.3896,0.827,1.9167,0.7709,1.0011,1.2825,1.4389,0.1807,Control
Utah__A10,1.0645,1.7266,0.3201,0.5589,3.187,1.8284,0.4224,0.3978,1.3751,1.8161,2.3914,-0.1051,1.9225,0.9237,0.7992,0.709,0.4893,0.9676,1.7865,0.7829,1.3376,1.3904,1.3101,0.1442,Control
Utah__A11,0.6698,1.2742,0.307,0.3967,2.8409,1.5674,0.4865,0.2849,1.0715,1.0919,1.7477,-0.0615,1.8048,0.9765,0.5921,0.4206,0.2735,0.7337,1.6868,0.5757,0.7411,1.1095,1.1678,0.1492,Control
