@relation data

@attribute id string
@attribute 10451 numeric
@attribute 10725 numeric
@attribute 10870 numeric
@attribute 11261 numeric
@attribute 135250 numeric
@attribute 1437 numeric
@attribute 154064 numeric
@attribute 2185 numeric
@attribute 2207 numeric
@attribute 2214 numeric
@attribute 23533 numeric
@attribute 2534 numeric
@attribute 25759 numeric
@attribute 259197 numeric
@attribute 27040 numeric
@attribute 2885 numeric
@attribute 3133 numeric
@attribute 3135 numeric
@attribute 3265 numeric
@attribute 3383 numeric
@attribute 3384 numeric
@attribute 3440 numeric
@attribute 3442 numeric
@attribute 3445 numeric
@attribute 3448 numeric
@attribute 3454 numeric
@attribute 3455 numeric
@attribute 3456 numeric
@attribute 3458 numeric
@attribute 3459 numeric
@attribute 3460 numeric
@attribute 353091 numeric
@attribute 355 numeric
@attribute 356 numeric
@attribute 3683 numeric
@attribute 3689 numeric
@attribute 369 numeric
@attribute 3802 numeric
@attribute 3804 numeric
@attribute 3805 numeric
@attribute 3809 numeric
@attribute 3811 numeric
@attribute 3812 numeric
@attribute 3823 numeric
@attribute 3824 numeric
@attribute 3845 numeric
@attribute 3932 numeric
@attribute 3937 numeric
@attribute 399694 numeric
@attribute 4068 numeric
@attribute 4277 numeric
@attribute 4772 numeric
@attribute 4773 numeric
@attribute 4775 numeric
@attribute 4776 numeric
@attribute 4893 numeric
@attribute 5058 numeric
@attribute 51744 numeric
@attribute 5290 numeric
@attribute 5291 numeric
@attribute 5293 numeric
@attribute 5294 numeric
@attribute 5295 numeric
@attribute 5296 numeric
@attribute 5335 numeric
@attribute 53358 numeric
@attribute 5336 numeric
@attribute 5530 numeric
@attribute 5532 numeric
@attribute 5533 numeric
@attribute 5534 numeric
@attribute 5551 numeric
@attribute 5578 numeric
@attribute 5579 numeric
@attribute 5582 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5604 numeric
@attribute 5605 numeric
@attribute 5777 numeric
@attribute 5781 numeric
@attribute 5879 numeric
@attribute 5880 numeric
@attribute 5881 numeric
@attribute 5894 numeric
@attribute 637 numeric
@attribute 63928 numeric
@attribute 6452 numeric
@attribute 6464 numeric
@attribute 6654 numeric
@attribute 6655 numeric
@attribute 673 numeric
@attribute 6850 numeric
@attribute 7124 numeric
@attribute 7305 numeric
@attribute 7409 numeric
@attribute 7410 numeric
@attribute 7535 numeric
@attribute 79465 numeric
@attribute 80328 numeric
@attribute 80329 numeric
@attribute 836 numeric
@attribute 8503 numeric
@attribute 8743 numeric
@attribute 8793 numeric
@attribute 8794 numeric
@attribute 8795 numeric
@attribute 8797 numeric
@attribute 919 numeric
@attribute 9436 numeric
@attribute 9437 numeric
@attribute 962 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.7388,1.2466,1.9268,1.0836,-0.1414,0.1156,-0.0118,1.1554,2.2919,1.0327,1.3891,1.5632,-0.1631,0.504,1.667,1.6544,3.4838,0.2865,0.4247,0.79,1.5887,-0.0775,-0.4021,-0.0989,0.6186,1.8576,1.8615,-0.079,0.7344,2.1285,1.3647,0.1909,1.2288,0.3703,2.0644,2.2417,1.3626,-0.0288,-0.3881,0.1532,0.6662,-0.204,0.3751,0.7058,1.7048,1.5983,1.9662,2.2149,-0.0179,2.097,1.3385,0.4264,0.566,1.394,0.0372,2.847,1.1667,0.9707,1.6169,1.5303,1.3241,1.8391,1.4782,0.1982,1.7289,-0.0726,0.5941,0.7188,1.2834,1.3861,1.3083,2.0279,0.5523,1.0332,-0.0542,1.7309,1.0783,0.718,0.4255,1.806,0.5364,0.6432,1.5768,0.0374,1.7847,0.857,-0.1703,1.2237,0.75,1.1294,1.3492,0.5902,1.0855,0.4095,1.4936,1.448,0.1913,0.9864,-0.2173,0.2052,1e-04,1.24,0.1026,1.8321,0.7889,1.0183,1.1907,1.2372,0.7787,-0.0307,0.5264,2.4304,Control
Utah__A02,0.5864,0.8984,1.7719,1.2081,-0.0643,0.1744,0.0666,0.9821,2.669,1.7383,1.0974,1.1722,-0.134,0.4471,1.2459,1.493,3.5946,0.7163,0.3701,0.9536,1.2495,-0.0945,-0.418,0.047,0.6845,1.7034,1.5021,-0.2148,1.6345,2.0411,1.3784,0.249,1.1813,0.5088,2.2302,2.3892,1.1266,0.2062,-0.315,0.0905,0.4171,-0.2758,0.6629,1.8072,2.6473,1.3547,1.7131,2.0937,-0.0703,1.6547,1.2556,0.3561,0.399,1.1231,0.0966,3.0554,1.1756,1.2409,1.3286,1.3861,1.0956,2.0614,1.1561,0.1599,1.2376,-0.0604,0.584,0.5951,0.9381,1.0792,1.0862,2.9198,0.1715,0.6697,-0.1266,1.6299,1.0214,0.4692,0.2945,1.8835,0.3842,0.4992,1.469,-0.0162,1.5429,0.8393,-0.1489,1.2828,0.7973,0.9018,1.1968,0.4558,0.9078,0.4322,1.3971,1.3147,0.1135,0.8903,-0.1488,0.5027,0.0088,1.2187,0.1135,1.9542,0.553,0.6291,0.9831,0.78,0.4601,0.1398,1.149,2.5682,Control
Utah__A03,0.6968,1.1339,2.0316,1.2905,-0.184,0.2328,0.2152,1.1527,2.7328,2.0888,1.5442,1.401,-0.1664,0.4479,1.4944,1.7906,3.4581,0.5286,0.3745,1.167,1.4037,-0.1974,-0.3468,-0.0093,0.5732,1.7313,1.8904,-0.2692,2.2035,2.0254,1.5679,0.2193,1.7863,0.7048,2.4692,2.5258,1.396,0.1427,-0.3719,0.181,0.8958,0.0445,0.4247,1.1519,2.6451,1.6547,1.7413,2.3345,-0.0666,2.1321,1.5419,0.3954,0.6686,1.3459,0.0383,3.1476,1.4289,1.2854,1.4291,1.4305,1.2641,2.1951,1.3011,0.2603,1.3242,-0.0962,0.7859,0.7523,1.2109,1.1587,1.2757,3.0536,0.1678,0.9489,-0.1293,1.8758,1.0584,0.6904,0.494,1.9537,0.4604,0.7305,1.5848,0.0577,1.7349,1.0016,-0.1553,1.561,0.7917,1.1313,1.3816,0.5095,1.2015,0.5375,1.6181,1.5496,0.2634,0.9506,-0.1751,0.6445,-0.0388,1.3606,0.2773,2.2166,0.5849,0.6316,1.1935,0.7811,0.6678,0.0591,1.0356,2.3566,Control
Utah__A04,0.644,0.9006,2.018,1.2439,-0.1007,0.1599,0.1038,1.0681,2.9327,1.4385,1.3239,1.3783,-0.0367,0.4955,1.4899,1.4914,4.0306,0.6054,0.3589,0.8171,1.4118,-0.1839,-0.1229,0.0121,0.4038,1.5674,1.5942,-0.2096,0.6827,1.8933,1.0777,0.2095,1.1168,0.4199,2.1507,2.442,1.2141,0.0995,-0.2388,0.0656,0.2887,0.0924,0.3831,1.1269,2.2125,1.1941,1.9976,2.0627,-0.0165,1.7041,1.3065,0.4685,0.4547,1.1899,0.0472,3.093,1.0247,1.0711,1.383,1.3728,1.2342,2.1245,1.4673,0.2795,1.312,-0.092,0.4817,0.6673,0.9279,1.2414,1.2229,2.8432,0.2858,0.7891,0.0079,1.7145,1.0435,0.4999,0.4226,1.8892,0.3807,0.4506,1.5612,0.1433,1.6725,0.9414,-0.1097,1.1527,0.7946,1.0307,1.2135,0.5557,0.8709,0.3432,1.3432,1.283,0.1301,1.0098,-0.179,0.406,-0.0376,1.1395,0.0439,1.504,0.5716,0.6803,0.9065,0.93,0.7131,0.1513,0.7371,2.685,Control
Utah__A05,0.8571,1.1032,2.1497,1.4303,-0.1103,0.1949,0.0274,1.2178,3.0801,1.9037,1.5325,1.4167,-0.0431,0.6331,1.4736,1.8851,3.784,0.5731,0.4809,1.2053,1.5884,-0.1578,-0.2396,0.034,0.5402,1.8037,1.8324,-0.1085,0.6381,2.31,1.5432,0.2561,1.3299,0.4669,2.1709,2.6261,1.3258,0.476,-0.1079,0.1648,1.3877,0.3084,0.341,1.386,2.2383,1.41,1.7053,2.1374,-0.0042,1.5119,1.473,0.4397,0.4619,1.2552,0.0733,3.3716,1.3702,1.3226,1.5208,1.8135,1.3448,2.1197,1.3057,0.3911,1.2008,-0.0694,0.7428,0.7731,1.0818,1.1595,1.3093,2.8876,0.2856,0.9233,-0.0072,1.9408,1.1978,0.7099,0.4974,2.0146,0.4661,0.6788,1.5812,0.007,1.808,0.9599,-0.0463,1.5353,0.89,1.0492,1.3778,0.6029,1.2336,0.365,1.7803,1.5542,0.2084,0.8881,-0.0657,0.3129,-0.0138,1.4523,0.1894,2.0287,0.6444,0.9414,1.1765,0.9467,0.7498,0.0208,0.9905,2.5769,Control
Utah__A06,0.7849,1.056,1.9688,1.3782,-0.1582,0.1744,-0.0466,1.1114,2.7801,1.5514,1.4078,1.3172,-0.1633,0.4842,1.1956,1.5864,3.5927,0.4794,0.2391,0.8925,1.3064,-0.4152,-0.4539,0.0371,0.552,1.6386,1.7258,-0.1587,0.0789,2.2008,1.4135,0.2836,1.1995,0.5095,1.9944,2.4693,1.2902,0.0431,-0.0686,0.3083,1.15,0.031,0.4014,1.4864,2.5196,1.4342,1.6353,2.0011,-0.0307,1.668,1.2776,0.306,0.425,1.1824,0.0089,2.9291,1.2955,1.3353,1.4163,1.4187,1.2303,1.9994,1.3466,0.1824,1.1962,-0.1082,0.6112,0.6198,0.9413,0.9185,1.1603,3.1043,0.2749,0.8755,-0.1821,1.8446,0.9874,0.6673,0.3508,1.8259,0.4744,0.5315,1.5216,0.0317,1.7489,0.8533,-0.0782,1.3335,0.7604,0.8863,1.3318,0.4936,1.1513,0.4132,1.7126,1.4091,0.1414,0.8798,-0.2024,0.372,-0.0744,1.162,0.1109,1.6035,0.6397,0.7337,1.0263,0.8703,0.7031,0.0893,1.2896,2.4112,Control
Utah__A07,0.9519,1.238,1.9367,1.2981,-0.1451,0.2107,0.1427,1.2608,2.6305,1.7759,1.3584,1.855,-0.1534,0.5561,1.3629,1.89,3.4613,0.3589,0.3621,0.8816,1.4909,-0.1784,-0.1805,0.0041,0.5405,1.6684,2.182,-0.0262,0.9899,2.2185,1.3774,0.2122,1.1282,0.5964,2.1767,2.3566,1.2727,0.6364,-0.3862,0.2317,1.3358,0.3542,0.3629,0.6661,2.3467,1.7087,1.7391,2.2697,-0.0977,1.9062,1.3899,0.3424,0.6062,1.37,-4e-04,2.9633,1.3668,1.2581,1.6368,1.5148,1.2868,1.974,1.6128,0.1921,1.2837,-0.1228,0.6739,1.0264,1.3182,1.183,1.5746,3.0449,0.5058,1.2903,-0.1545,1.882,0.9702,0.8479,0.4043,1.8391,0.516,0.7067,1.6623,0.0088,1.7704,0.999,-0.1265,1.4037,0.7917,1.1809,1.4952,0.6968,1.4313,0.4675,1.6358,1.4238,0.1986,0.9109,-0.115,0.4111,0.0247,1.4389,0.2134,1.818,0.7851,0.7303,1.1307,1.0261,1.1256,0.1221,1.1211,2.644,Control
Utah__A08,1.1379,1.3268,1.4185,1.0904,-0.1967,0.1331,0.1305,1.2676,2.3308,1.5127,1.3062,2.0099,-0.1771,0.4498,1.335,1.7425,3.2931,0.4545,0.2915,0.8275,1.2799,-0.2138,-0.2277,0.0681,0.6497,1.542,2.2133,-0.2548,0.8299,1.8401,1.3456,0.1904,1.1547,0.5226,2.21,2.0667,1.1993,0.221,-0.2259,0.0633,1.3418,0.0854,0.4375,2.0878,2.134,1.6234,1.5842,2.4058,-0.0698,1.9006,1.0541,0.3838,0.8547,1.5498,0.0839,2.7421,1.2078,1.2039,1.8021,1.5358,1.3083,2.0798,1.7107,0.159,1.4764,-0.0987,0.7942,1.1569,1.4563,1.5413,1.7633,2.6305,0.8574,1.3963,-0.1576,1.9122,0.9939,0.8635,0.3356,1.6796,0.6002,0.7992,1.4029,-0.0271,1.7386,0.871,-0.2256,1.2886,0.777,1.4746,1.4347,0.8646,1.2774,0.2445,1.0379,1.3149,0.1921,0.8938,-0.2552,0.3098,-0.1135,1.041,0.2596,1.8618,0.6106,0.5191,0.8357,1.0492,1.5141,0.0567,0.9656,2.3442,Control
Utah__A09,0.6254,1.1609,1.6346,1.2329,-0.031,0.1897,0.2685,1.1629,2.6919,2.0232,1.3303,1.6972,-0.1629,0.4042,1.5365,1.8554,3.6744,0.2869,0.3464,0.8318,1.4187,-0.1077,-0.3537,-0.0291,0.5057,1.7771,2.0501,-0.0616,0.813,1.9492,1.2777,0.1986,1.2423,0.3699,2.0957,2.3276,1.2421,0.0618,-0.1328,0.2101,0.5799,0.0024,0.3578,0.9886,2.3974,1.5566,1.8564,2.2002,-0.0459,2.0521,1.2072,0.3486,0.5867,1.2669,0.0085,2.9428,1.2824,1.063,1.4941,1.4418,1.2311,1.9891,1.5301,0.1611,1.3678,-0.0897,0.619,0.866,1.231,1.1713,1.3831,2.8149,0.5722,1.2298,-0.151,1.8315,0.99,0.7596,0.3503,1.8284,0.4408,0.5778,1.4845,-0.0012,1.6393,0.8926,-0.1669,1.2425,0.7709,1.0011,1.3189,0.677,1.2825,0.3484,1.2304,1.4389,0.1807,0.8051,-0.1154,0.4113,0.0867,1.0344,0.1167,1.6117,0.5838,0.4791,0.985,0.9087,0.9382,0.1526,0.834,2.4903,Control
Utah__A10,1.0645,1.2225,1.927,1.2005,-0.1854,0.1738,0.0633,1.4018,2.6051,1.4257,1.3987,1.978,-0.133,0.553,1.3886,1.8284,3.7184,0.3549,0.3978,1.0294,1.2675,-0.0776,-0.3117,0.0397,0.4623,1.6603,1.9077,-0.0787,1.5987,2.2227,1.3818,0.1913,1.4522,0.6383,2.3107,2.3465,1.1361,0.2592,-0.2633,0.0989,1.7306,0.2683,0.3261,1.5161,2.8776,1.4421,1.9077,2.5095,-0.0326,2.1963,1.4042,0.3484,0.7044,1.3997,0.0145,3.0526,1.3673,1.4196,1.743,1.7142,1.2585,2.143,1.6455,0.2578,1.2566,-0.0486,0.6952,1.0757,1.2426,1.4321,1.623,2.9287,0.3634,1.2971,-0.0144,1.9225,0.9237,0.7992,0.4701,1.8549,0.5,0.709,1.5632,0.0614,1.7838,0.8767,-0.1165,1.4125,0.7829,1.3376,1.3751,0.7838,1.3904,0.4505,1.461,1.3101,0.1442,0.9338,-0.1289,0.2303,-0.0913,1.2447,0.3257,1.896,0.6407,0.8335,1.0943,0.9857,0.9822,0.0358,0.8007,2.7076,Control
