@relation data

@attribute id string
@attribute 10312 numeric
@attribute 1080 numeric
@attribute 109 numeric
@attribute 10945 numeric
@attribute 10952 numeric
@attribute 11014 numeric
@attribute 11015 numeric
@attribute 115 numeric
@attribute 127124 numeric
@attribute 155066 numeric
@attribute 23480 numeric
@attribute 23545 numeric
@attribute 245972 numeric
@attribute 245973 numeric
@attribute 2778 numeric
@attribute 29927 numeric
@attribute 30001 numeric
@attribute 375 numeric
@attribute 3784 numeric
@attribute 4583 numeric
@attribute 50617 numeric
@attribute 51382 numeric
@attribute 51606 numeric
@attribute 523 numeric
@attribute 525 numeric
@attribute 526 numeric
@attribute 527 numeric
@attribute 528 numeric
@attribute 529 numeric
@attribute 533 numeric
@attribute 5335 numeric
@attribute 5336 numeric
@attribute 534 numeric
@attribute 535 numeric
@attribute 537 numeric
@attribute 55176 numeric
@attribute 5566 numeric
@attribute 5567 numeric
@attribute 5568 numeric
@attribute 5578 numeric
@attribute 5579 numeric
@attribute 5582 numeric
@attribute 5613 numeric
@attribute 60 numeric
@attribute 6558 numeric
@attribute 7082 numeric
@attribute 71 numeric
@attribute 8992 numeric
@attribute 90423 numeric
@attribute 9114 numeric
@attribute 9296 numeric
@attribute 9414 numeric
@attribute 9550 numeric
@attribute 9601 numeric
@attribute Class {Control,BRCACancer}

@data
A01,0.7862,-0.1223,0.3841,1.2682,0.9747,1.542,-0.0311,0.2716,-0.0481,0.4074,1.1722,1.0188,-0.0741,-0.0359,0.7364,1.7096,1.3947,1.0215,0.1003,-0.0637,-0.1042,1.6637,0.9317,1.4084,0.0423,2.8357,1.0048,1.6465,0.9432,1.7113,1.7289,0.5941,0.0752,1.0739,1.9425,0.6694,0.9255,1.1308,-0.1281,0.5523,1.0332,-0.0542,1.1174,2.0546,0.7572,-0.0798,1.4479,0.3465,0.5901,1.2528,0.0655,0.7746,0.9805,1.1664,Control
A02,0.7474,-0.0543,0.2867,1.1318,0.8459,1.4464,-0.0611,0.2021,-0.1008,0.2991,1.0556,0.6929,-0.0027,0.0946,0.5947,1.6715,1.1037,0.9519,0.0241,-0.0646,-0.0859,1.491,0.6243,1.5022,0.0971,3.1909,0.9359,1.4711,0.8635,1.7272,1.2376,0.584,0.1776,0.838,1.9557,0.2657,0.8176,0.9731,-0.1142,0.1715,0.6697,-0.1266,0.9334,1.7714,0.6397,-0.0994,1.1003,0.1773,0.2423,1.2641,0.2089,0.5292,0.7516,1.091,Control
A03,0.9362,-0.0409,0.3348,1.2818,1.1069,1.5591,-0.0313,0.3941,0.1138,0.2993,1.288,0.8908,-0.0431,0.0809,0.7013,1.7411,1.3607,1.2245,0.1199,-0.0696,-0.0915,1.9478,0.868,1.553,0.0884,2.9824,1.2093,1.582,0.9196,1.937,1.3242,0.7859,0.1892,1.0507,2.0562,0.4593,1.0298,0.9868,-0.1007,0.1678,0.9489,-0.1293,1.0666,2.074,0.7327,-0.121,1.1474,0.2435,0.4064,1.4531,0.4243,0.8598,0.8983,1.1886,Control
A04,0.7875,-0.0613,0.3642,1.1514,0.9451,1.3482,-0.0327,0.2332,-0.0199,0.3242,1.2297,0.706,0.0047,0.0813,0.6584,1.8507,1.2097,1.119,0.1143,-0.0236,-0.0467,1.2893,0.6379,1.4653,0.0935,3.0472,1.1608,1.4504,0.6884,1.8512,1.312,0.4817,0.1184,0.8257,1.9961,0.362,0.8067,1.1682,-0.1378,0.2858,0.7891,0.0079,0.9122,1.9573,0.6976,-0.058,1.216,0.2136,0.3931,1.3435,0.3988,0.6184,0.7157,1.3035,Control
A05,1.0437,-0.0775,0.3725,1.4219,0.9057,1.7144,-0.0208,0.3688,-0.0502,0.3497,1.205,0.8323,-0.0383,0.0291,0.6793,1.8854,1.3196,1.1699,0.1729,-0.0312,-0.0782,1.7773,0.7857,1.7565,0.0368,3.2652,1.3819,1.7245,0.8912,2.1433,1.2008,0.7428,0.1295,1.1749,2.3448,0.3767,1.1361,1.0421,-0.0876,0.2856,0.9233,-0.0072,1.0499,2.0522,0.7092,-0.0571,1.2712,0.206,0.3759,1.6281,0.4257,1.0247,0.8294,1.341,Control
A06,0.8617,-0.0416,0.2447,1.2682,1.0076,1.5058,-0.0544,0.2657,-0.0564,0.2458,1.2165,0.7256,-0.0419,-0.0178,0.5895,1.8319,1.1338,1.1407,0.0668,-0.1199,-0.0722,1.628,0.7143,1.5268,0.0444,3.0955,1.0518,1.4653,0.7051,1.9125,1.1962,0.6112,0.1161,0.9675,2.092,0.3666,0.9951,0.8643,-0.1601,0.2749,0.8755,-0.1821,1.0233,1.849,0.6785,-0.0929,1.1909,0.2117,0.3756,1.386,0.4063,0.7505,0.8375,1.201,Control
A07,0.8554,-0.0569,0.3432,1.276,1.004,1.5993,-0.0019,0.3064,-0.1055,0.3767,1.2326,0.8911,-0.0149,0.0639,0.6729,1.7722,1.2069,1.1907,0.2156,-0.1077,-0.0448,1.7181,0.965,1.5902,0.0472,3.2481,1.053,1.7412,0.8319,1.8396,1.2837,0.6739,0.1531,1.1052,2.0266,0.5442,0.8796,1.1382,-0.1365,0.5058,1.2903,-0.1545,1.0242,1.8057,0.7385,-0.1523,1.1428,0.3681,0.5322,1.4141,0.2306,0.6715,0.7847,1.2374,Control
A08,0.6857,-0.0982,0.2198,1.032,0.7381,1.3703,-8e-04,0.2902,-0.0927,0.2699,1.102,0.9294,-0.0683,0.0458,0.6935,1.4972,1.2748,0.9952,0.1874,-0.0433,-0.1119,1.3146,0.9956,1.3608,-0.0336,2.7621,0.8444,1.4981,0.7975,1.398,1.4764,0.7942,0.1849,1.0029,1.5798,0.5982,0.9732,1.1867,-0.0345,0.8574,1.3963,-0.1576,1.074,1.5955,0.8485,-0.0919,0.8676,0.3507,0.3422,1.0867,0.1269,0.7877,0.6906,1.0589,Control
A09,0.8132,-0.0465,0.3145,1.1982,0.7762,1.3581,-0.0161,0.1972,0.0151,0.3443,0.993,0.799,-0.0097,0.0554,0.6166,1.65,1.257,0.9987,0.1784,-0.0535,-0.0725,1.5869,0.8584,1.3374,0.0521,2.9208,0.9614,1.4766,0.8483,1.5112,1.3678,0.619,0.1091,0.9333,1.8317,0.4575,1.0136,1.096,-0.253,0.5722,1.2298,-0.151,1.0252,1.7708,0.6798,-0.1165,1.0416,0.1889,0.4685,1.2588,0.3561,0.7609,0.6364,1.0901,Control
A10,0.7938,-0.0731,0.2785,1.1732,0.7478,1.4008,-0.0341,0.3406,-0.082,0.279,1.0343,0.849,-0.0196,-0.0335,0.7025,1.8384,1.1501,1.1272,0.188,-0.0763,-0.0756,1.5651,0.8143,1.6666,0.045,3.3755,1.0151,1.7151,0.8628,1.6875,1.2566,0.6952,0.0437,1.1148,2.0205,0.4999,0.9161,1.2565,-0.1074,0.3634,1.2971,-0.0144,0.9941,1.8249,0.8064,-0.1047,1.1141,0.2536,0.3332,1.4164,0.2535,0.7248,0.6017,1.1174,Control
