@relation data

@attribute id string
@attribute 10 numeric
@attribute 1544 numeric
@attribute 1549 numeric
@attribute 1553 numeric
@attribute 7498 numeric
@attribute 9 numeric
@attribute Class {Control,BRCACancer}

@data
A01,-0.1027,0.1248,0.0839,0.2588,-0.0933,0.2882,Control
A02,-0.2664,0.089,0.3002,0.278,-0.0651,0.146,Control
A03,-0.2949,0.2158,0.1092,0.3328,-0.1032,0.2877,Control
A04,-0.1767,0.086,-0.0282,0.1597,-0.0946,0.1544,Control
A05,-0.1169,0.111,0.0096,0.2808,-0.0722,0.2066,Control
A06,-0.0902,0.0483,0.0826,0.2646,-0.0983,0.2187,Control
A07,-0.113,0.199,0.1702,0.3432,-0.0785,0.3279,Control
A08,-0.2348,0.1609,0.2293,0.3389,-0.101,0.2101,Control
A09,-0.1636,0.0697,-0.0244,0.2886,-0.0478,0.1523,Control
A10,-0.1311,0.0632,-0.0459,0.2194,-0.0955,0.2319,Control
A11,-0.2265,0.1361,0.073,0.3134,-0.0549,0.271,Control
A12,-0.0068,0.1357,0.6345,0.2263,0.0504,0.2673,Control
B01,-0.1062,0.1534,0.2926,0.2112,0.0414,0.1033,Control
B02,-0.2655,0.0828,0.2016,0.1722,-0.0272,0.1376,Control
B03,-0.0987,0.1352,0.0907,0.3074,7e-04,0.1752,BRCACancer
B04,-0.0178,0.0884,-0.011,0.2015,-0.0467,0.1678,BRCACancer
B05,-0.1866,-0.0293,0.035,0.2134,-0.0061,0.1746,BRCACancer
B06,-0.3559,0.1298,-0.0069,0.1828,0.0817,0.2585,BRCACancer
B07,-0.0662,0.1157,0.1772,0.2602,-0.0772,0.24,BRCACancer
B08,-0.1324,0.1295,0.0466,0.4448,-0.0497,0.1949,Control
B09,-0.3918,0.1288,0.5237,0.1976,-0.0893,-0.0316,Control
B10,-0.1049,0.138,-0.0666,0.231,-0.0372,0.106,Control
B11,-0.1642,0.1604,0.0512,0.5594,-0.0604,0.331,Control
B12,-0.0677,0.1726,0.0457,0.2411,-0.0963,0.0441,Control
C01,-0.1532,0.051,0.3035,0.2492,-0.083,0.2128,BRCACancer
C02,-0.2283,0.0782,0.1489,0.4555,-0.0793,0.2877,BRCACancer
C03,-0.2143,-0.035,-0.1101,0.1816,-0.0602,0.2029,BRCACancer
C04,-0.2395,0.1034,0.1207,0.3826,-0.0524,0.046,Control
C05,-0.1454,0.1435,0.1212,0.3258,-0.0679,0.2142,BRCACancer
C06,-0.2815,0.152,-0.0685,0.2685,-0.0226,0.0587,Control
C07,-0.1634,0.1295,0.3796,0.3024,-0.0262,0.2227,Control
C08,-0.1733,0.0891,0.4857,0.358,-0.0816,0.1575,Control
C09,-0.1917,0.1202,0.3743,0.2166,-0.0968,0.147,Control
C10,-0.3309,0.0752,-0.0297,0.1771,-0.0479,0.2454,BRCACancer
C11,-0.1245,0.1699,0.3899,0.2058,-0.0809,0.1278,Control
C12,0.0502,-0.0117,0.1374,0.1878,-0.0236,0.074,BRCACancer
D01,-0.3601,0.0902,0.2342,0.3124,-0.0232,-0.0135,BRCACancer
D02,-0.132,0.1293,0.0682,0.222,-0.0968,0.1485,BRCACancer
D03,-0.0751,-0.0173,-0.2128,0.4736,-0.0768,0.1465,BRCACancer
D04,-0.2811,0.1372,-0.147,0.1284,-0.0587,0.2379,BRCACancer
D05,-0.2822,0.0917,0.0938,0.155,-0.0385,0.2036,BRCACancer
D06,-0.3069,0.1127,0.0642,0.3324,-0.0671,0.107,BRCACancer
D07,8e-04,0.1464,0.0437,0.2293,-0.0651,0.172,Control
D08,-0.1989,0.0969,0.06,0.1833,-0.0887,0.1284,Control
D09,-0.174,0.0659,0.1819,0.1843,-0.0702,0.1526,Control
D10,-0.1989,0.1373,-0.1315,0.2421,-0.0246,0.2107,Control
D11,-0.1534,0.0976,-0.0417,0.1849,-0.1034,0.003,Control
D12,-0.0031,0.0684,-0.1593,0.1151,-0.0793,0.02,Control
E01,-0.0658,0.0525,-4e-04,0.1849,-0.0261,0.1278,BRCACancer
E02,0.1431,0.0185,-0.0095,0.2765,-0.0542,0.2363,Control
E03,-0.0931,0.057,0.0132,0.2888,-0.0625,0.1365,Control
E04,-0.0706,0.051,0.0514,0.2567,-0.0421,0.1367,Control
E05,-0.3448,-0.0286,0.1246,0.3566,3e-04,0.1506,Control
E06,-0.2487,-0.0179,0.1534,0.4891,0.0255,0.0733,BRCACancer
E07,-0.0509,0.087,0.2763,0.2718,-0.0818,0.0416,BRCACancer
E08,-0.1492,0.03,0.2105,0.4005,-0.0747,0.0917,Control
E09,-0.2925,0.1344,0.1142,0.32,-0.0655,0.0887,BRCACancer
E10,-0.0749,0.024,0.0618,0.2985,-0.0401,0.1876,BRCACancer
E11,-8e-04,0.1938,-0.029,0.1088,-0.0533,0.0715,Control
E12,0.0242,0.089,0.4149,0.2509,-0.0663,0.1125,BRCACancer
F01,-0.1022,0.1844,0.3302,0.3159,-0.1051,0.2133,Control
F02,-0.2644,0.0561,0.0727,0.214,-0.0487,0.2299,Control
F03,-0.2495,0.1376,0.4054,0.3352,-0.0961,0.2327,Control
F04,-0.1969,0.1224,0.2439,0.4017,-0.0468,0.0554,Control
F05,-0.035,0.0355,0.1351,0.2538,-0.0381,0.0781,Control
F06,-0.1992,0.0635,0.2078,0.1679,-0.0642,0.1506,Control
F07,-0.2334,0.087,0.0025,0.167,-0.0874,0.1178,Control
F09,-0.2533,0.0994,0.1138,0.1805,-0.1364,0.3485,Control
F10,-0.0572,0.0713,0.3045,0.3242,-0.0758,0.2373,Control
F11,-0.1176,0.1081,0.1081,0.2089,-0.0594,0.1096,Control
F12,-0.3298,0.1033,0.2195,0.3314,-0.1126,0.099,Control
G01,-0.0547,0.0246,0.1327,0.2504,-0.0995,0.2509,Control
G02,-0.1382,0.035,-0.0263,0.1437,-0.0785,0.188,Control
G03,-0.1162,0.0827,0.1939,0.2146,-0.0956,0.329,Control
G04,-0.0429,0.0117,-0.0586,0.4568,-0.0846,0.063,BRCACancer
G05,-0.1687,0.3898,0.5796,0.1045,-0.0716,-0.0922,BRCACancer
G06,-0.1879,0.1308,-0.0525,0.2624,-0.128,0.0378,BRCACancer
G07,-0.3369,0.1122,0.2749,0.3693,-0.1027,0.2914,Control
G08,-0.2427,0.0334,0.286,0.3458,-0.0532,0.3148,Control
G09,-0.1829,0.1458,0.0043,0.1906,-0.0655,-0.046,Control
G10,-0.2793,0.0588,-0.1277,0.3997,-0.0259,0.201,BRCACancer
G11,-0.121,0.546,0.6534,0.5165,-0.0243,-0.1838,BRCACancer
G12,-0.3197,0.168,0.4759,0.3304,-0.0278,0.0515,BRCACancer
H01,-0.157,0.3081,0.5096,-0.1411,-0.1047,0.202,Control
H02,-0.2458,0.0923,0.0991,0.2155,-0.0479,0.0312,Control
