@relation data

@attribute id string
@attribute 27165 numeric
@attribute 2744 numeric
@attribute 2746 numeric
@attribute 2747 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.1915,1.5511,0.8907,-0.064,Control
Utah__A02,-0.0148,1.2507,0.6815,-0.0727,Control
Utah__A03,-0.0043,1.2972,0.8903,-0.1939,Control
Utah__A04,0.0219,1.2958,0.6568,-0.0619,Control
Utah__A05,0.0133,1.2752,0.7733,-0.0137,Control
Utah__A06,0.1047,1.1622,0.7896,-0.2523,Control
Utah__A07,0.0534,1.6415,1.0118,-0.0562,Control
Utah__A08,0.1362,1.9053,1.1452,-0.295,Control
Utah__A09,0.1196,1.5279,0.9609,-0.0181,Control
Utah__A10,0.0416,1.7142,1.0268,0.0527,Control
Utah__A11,0.0565,1.1494,0.7914,-0.0101,Control
Utah__A12,0.0789,0.8749,0.3361,-0.3485,Control
Utah__B01,0.247,1.503,0.877,-0.1844,Control
Utah__B02,0.1959,1.406,0.7229,0.0189,Control
Utah__B03,0.1786,1.5615,0.8044,-0.1181,BRCACancer
Utah__B04,0.0409,1.8234,1.1685,-0.2984,BRCACancer
Utah__B05,0.0471,1.1757,0.7473,-0.2941,BRCACancer
Utah__B06,0.1431,1.2607,0.6953,-0.386,BRCACancer
Utah__B07,0.1401,1.685,1.0007,-0.1259,BRCACancer
Utah__B08,0.1054,1.1403,0.7093,-0.0112,Control
Utah__B09,0.0574,1.6601,1.0529,-0.1492,Control
Utah__B10,0.0048,1.5062,0.8559,-0.1148,Control
Utah__B11,0.0918,1.2298,0.8089,-0.1524,Control
Utah__B12,0.0326,1.4194,0.811,-0.287,Control
Utah__C01,0.0658,1.278,0.9704,-0.0664,BRCACancer
Utah__C02,0.0978,1.2603,0.6106,-0.166,BRCACancer
Utah__C03,0.0417,1.3794,0.7924,-0.1957,BRCACancer
Utah__C04,-0.034,0.7079,0.4935,-0.2507,Control
Utah__C05,0.0942,0.8021,0.4741,-0.0375,BRCACancer
Utah__C06,0.0954,0.4498,0.3513,-0.4728,Control
Utah__C07,0.0253,1.0323,0.4057,0.0064,Control
Utah__C08,0.1541,1.0367,0.5827,-0.1207,Control
Utah__C09,0.0891,0.9903,0.5811,-0.1746,Control
Utah__C10,0.0729,0.9511,0.3902,-0.1825,BRCACancer
Utah__C11,0.048,1.1022,0.7547,-0.0483,Control
Utah__C12,-0.0107,0.7394,0.3819,-0.0955,BRCACancer
Utah__D01,0.0884,1.615,1.1325,-0.2159,BRCACancer
