@relation data

@attribute id string
@attribute 3155 numeric
@attribute 3157 numeric
@attribute 3158 numeric
@attribute 38 numeric
@attribute 39 numeric
@attribute 5019 numeric
@attribute 56898 numeric
@attribute 622 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.8873,1.1348,-0.1083,0.7569,0.5342,0.6659,0.4756,0.2785,Control
Utah__A02,0.8022,0.9751,-0.0459,0.479,0.4143,0.532,0.2093,0.121,Control
Utah__A03,0.9252,1.1899,-0.0362,0.6671,0.5772,0.4563,0.2152,0.0818,Control
Utah__A04,0.7824,0.994,-0.052,0.3765,0.4649,0.6306,0.2591,0.1499,Control
Utah__A05,0.9728,1.2039,-0.0828,0.5874,0.6167,0.5862,0.2508,0.1369,Control
Utah__A06,0.8055,0.9822,-0.0469,0.4733,0.4916,0.4668,0.1821,0.1065,Control
Utah__A07,0.9512,1.1005,-0.0211,0.488,0.5129,0.6341,0.232,0.1891,Control
Utah__A08,0.8162,0.9718,-0.0856,0.5553,0.4537,0.78,0.316,0.1977,Control
Utah__A09,0.818,0.8518,-0.0557,0.5565,0.4324,0.6109,0.2195,0.2537,Control
Utah__A10,0.8318,1.0185,-0.121,0.5883,0.4576,0.7761,0.2377,0.1165,Control
Utah__A11,0.6655,0.8179,0.0197,0.4769,0.2889,0.4106,0.2465,0.0514,Control
Utah__A12,0.645,0.7455,0.0982,0.3766,0.3625,0.386,0.2731,0.1045,Control
Utah__B01,0.7489,0.9177,0.0578,0.458,0.4867,0.5571,0.5809,0.2313,Control
Utah__B02,0.8833,1.1411,-0.0744,0.5219,0.5428,0.5455,0.5575,0.216,Control
Utah__B03,0.8649,1.0365,-9e-04,0.5285,0.5518,0.5859,0.4721,0.171,BRCACancer
Utah__B04,0.7591,0.8371,-0.0241,0.3353,0.326,0.6395,0.1972,0.202,BRCACancer
Utah__B05,0.7198,0.7448,0.0172,0.3824,0.4419,0.4133,0.3147,0.1198,BRCACancer
Utah__B06,0.6637,0.776,0.225,0.1977,0.2955,0.407,0.3595,-0.03,BRCACancer
Utah__B07,0.9765,1.0179,-0.0448,0.5984,0.5751,0.6202,0.5469,0.2011,BRCACancer
Utah__B08,0.8386,0.9989,-0.0578,0.5339,0.4288,0.3811,0.3087,0.0421,Control
Utah__B09,0.561,0.5747,-0.0154,0.3109,0.348,0.5452,0.0783,0.0572,Control
Utah__B10,0.6969,0.8416,-0.0043,0.24,0.2902,0.5052,0.136,0.0542,Control
Utah__B11,0.6863,0.7224,-0.0213,0.4449,0.5188,0.3979,0.1887,-0.0209,Control
Utah__B12,0.4205,0.4194,0.0181,-0.0226,0.1345,0.3717,0.0992,0.1575,Control
Utah__C01,0.9215,0.9054,-0.0154,0.5405,0.4721,0.3981,0.2361,0.1956,BRCACancer
Utah__C02,0.9168,0.888,-0.0373,0.4304,0.5018,0.4833,0.3631,0.2474,BRCACancer
Utah__C03,1.0113,0.9394,-0.0291,0.608,0.5077,0.6022,0.2994,0.2544,BRCACancer
Utah__C04,0.5293,0.4299,0.0279,0.1868,0.2517,0.3091,-3e-04,0.1345,Control
Utah__C05,0.6072,0.5415,-0.0301,0.2534,0.2327,0.3545,0.119,0.0652,BRCACancer
Utah__C06,0.3575,0.1892,-0.0337,-0.1133,0.0609,0.044,-0.1161,-0.0474,Control
Utah__C07,0.7077,0.5821,-0.0528,0.294,0.3492,0.4381,0.0717,0.1184,Control
Utah__C08,0.8586,0.7971,-0.0154,0.478,0.4374,0.4362,0.2513,0.1687,Control
Utah__C09,0.7205,0.6701,-0.072,0.2777,0.3827,0.3115,0.0935,0.0427,Control
Utah__C10,0.7139,0.7514,-0.0542,0.2949,0.415,0.3362,0.0737,0.1623,BRCACancer
Utah__C11,0.7066,0.787,-0.0841,0.4439,0.4359,0.4339,0.147,0.1662,Control
Utah__C12,0.499,0.534,-0.0388,0.1612,0.2607,0.2279,0.0102,0.0855,BRCACancer
Utah__D01,0.6717,0.58,-0.0652,0.3163,0.2946,0.5131,0.0198,0.162,BRCACancer
Utah__D02,0.639,0.6552,-0.07,0.3631,0.3126,0.4156,0.1063,0.1429,BRCACancer
Utah__D03,0.6755,0.6046,-0.0724,0.2781,0.2548,0.345,0.1498,0.0594,BRCACancer
Utah__D04,0.7266,0.7237,-0.0371,0.4017,0.292,0.3594,0.0857,0.0556,BRCACancer
Utah__D05,0.8206,0.8047,-0.0178,0.3301,0.3733,0.3829,0.1036,0.0117,BRCACancer
Utah__D06,0.8176,0.8636,-0.0347,0.5158,0.4592,0.4803,0.229,0.1647,BRCACancer
Utah__D07,0.7551,0.7567,-0.0933,0.4378,0.4332,0.4885,0.1631,0.1067,Control
