@relation data

@attribute id string
@attribute 1017 numeric
@attribute 1019 numeric
@attribute 1021 numeric
@attribute 1026 numeric
@attribute 1029 numeric
@attribute 10912 numeric
@attribute 1111 numeric
@attribute 11200 numeric
@attribute 143686 numeric
@attribute 1643 numeric
@attribute 1647 numeric
@attribute 25898 numeric
@attribute 27113 numeric
@attribute 27244 numeric
@attribute 2810 numeric
@attribute 317 numeric
@attribute 3479 numeric
@attribute 3486 numeric
@attribute 355 numeric
@attribute 3732 numeric
@attribute 4193 numeric
@attribute 4194 numeric
@attribute 4616 numeric
@attribute 472 numeric
@attribute 50484 numeric
@attribute 5054 numeric
@attribute 51246 numeric
@attribute 51512 numeric
@attribute 5268 numeric
@attribute 5366 numeric
@attribute 54205 numeric
@attribute 545 numeric
@attribute 55240 numeric
@attribute 55367 numeric
@attribute 56475 numeric
@attribute 5728 numeric
@attribute 575 numeric
@attribute 581 numeric
@attribute 595 numeric
@attribute 6241 numeric
@attribute 637 numeric
@attribute 63970 numeric
@attribute 64065 numeric
@attribute 64326 numeric
@attribute 64393 numeric
@attribute 6477 numeric
@attribute 7057 numeric
@attribute 7157 numeric
@attribute 7161 numeric
@attribute 7249 numeric
@attribute 836 numeric
@attribute 83667 numeric
@attribute 841 numeric
@attribute 842 numeric
@attribute 8493 numeric
@attribute 85417 numeric
@attribute 8795 numeric
@attribute 891 numeric
@attribute 894 numeric
@attribute 896 numeric
@attribute 898 numeric
@attribute 900 numeric
@attribute 901 numeric
@attribute 9133 numeric
@attribute 9134 numeric
@attribute 9538 numeric
@attribute 9540 numeric
@attribute 983 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,1.0793,0.7267,0.7143,1.2717,0.1311,-0.1481,0.544,0.3559,2.2527,0.9284,0.4452,1.1809,-0.1771,0.7648,0.2107,1.7652,-0.0909,-0.0752,1.2188,0.6078,1.3662,2.2248,1.3005,2.6528,1.5472,0.1623,1.1314,0.0398,-0.1205,1.0981,0.7303,1.2072,0.0747,0.1589,-0.0021,1.2392,0.1076,0.9097,0.1356,0.0252,0.8571,-0.1231,-0.0047,1.0375,0.801,1.2386,2.1737,0.7493,-0.0062,0.3057,1.208,0.257,1.4595,0.8967,1.3279,0.0162,1.1855,0.4576,1.3798,1.4796,0.5319,1.7011,1.7605,-0.0589,0.0894,0.6401,0.4055,0.072,Control
Utah__A02,0.8152,0.4292,0.3325,0.9753,0.0736,-0.1352,0.2372,0.1522,1.6772,0.6554,0.4498,1.0491,-0.0049,0.5702,0.1898,1.6967,-0.0973,0.0748,1.1728,0.4401,1.1733,1.7402,1.2573,2.3316,1.1339,0.0127,0.941,0.0457,-0.1198,0.7403,0.7572,0.924,0.1383,0.0657,0.1473,0.6452,0.1975,0.8576,0.1049,0.0476,0.8402,-0.0721,0.0629,0.7563,0.6306,0.9105,1.6545,0.5887,0.0906,0.2579,1.1875,0.3404,1.188,0.6211,1.1628,-0.0738,0.9965,0.3667,1.244,1.3696,0.2379,1.6164,1.6294,-0.1267,-0.0763,0.416,0.4238,-0.0215,Control
Utah__A03,1.0301,0.5162,0.4772,1.692,0.1821,-0.016,0.6744,0.2564,1.5317,0.8853,0.523,1.0083,0.0352,0.5137,0.2505,1.842,-0.0919,-0.1401,1.7579,0.5678,1.5264,1.9154,1.4494,2.2525,1.437,0.0953,1.1786,0.0824,-0.1499,1.058,0.9524,1.1324,0.1481,0.1292,0.1231,0.9168,0.1821,1.0921,0.1251,0.2369,0.9951,-0.1078,0.0703,0.9915,0.7893,1.0902,1.7695,0.8079,0.0929,0.325,1.3243,0.5078,1.4115,0.9002,1.3527,-0.0808,1.188,0.5154,1.1477,1.4575,0.4986,1.6182,1.6717,0.037,0.1382,0.5336,0.5566,0.1043,Control
Utah__A04,0.827,0.3873,0.4707,0.9804,0.0734,0.0395,0.259,0.1434,1.617,0.7467,0.5048,0.9559,0.1769,0.5988,0.3456,1.5185,-0.0847,0.152,1.1105,0.5198,1.155,1.9713,1.4278,2.1734,1.1752,0.1332,1.2216,0.0738,-0.1252,0.7473,0.7746,0.9607,0.1617,0.2142,0.1289,0.7608,0.2082,0.896,0.2164,0.0398,0.9376,-0.0957,0.02,0.8335,0.8632,0.9545,1.7578,0.5955,0.1416,0.2905,1.1111,0.3961,1.3025,0.7648,1.0658,-0.0467,0.9267,0.328,1.2843,1.5627,0.2161,1.8378,1.6639,-0.0451,-0.0228,0.5037,0.2788,0.0185,Control
Utah__A05,1.0253,0.5341,0.4423,1.7524,0.1637,0.0038,0.5107,0.1764,1.7134,0.825,0.6199,1.0862,0.1759,0.6031,0.326,1.9657,-0.034,0.1017,1.3166,0.6138,1.345,1.992,1.5821,2.3116,1.4551,0.2995,1.2632,0.0717,-0.1075,0.9799,0.8167,1.046,0.2954,0.2319,0.0278,0.9371,0.1893,1.0811,0.1872,0.0906,0.9553,-0.1364,-0.0346,0.9813,0.9169,1.0988,2.3155,0.7673,0.1058,0.3768,1.4127,0.4587,1.3533,0.998,1.3686,0.0017,1.1726,0.4002,1.1918,1.8026,0.3737,1.8222,1.8709,0.0014,0.0629,0.5878,0.7248,0.0873,Control
Utah__A06,0.8221,0.5281,0.4119,1.4036,-0.0182,-0.1851,0.3329,0.2171,1.5509,0.7299,0.3346,1.0071,-0.0202,0.6053,0.1732,1.8074,-0.0936,-0.0992,1.1905,0.4909,1.2339,1.9286,1.338,2.3589,1.2188,0.1003,1.0934,0.0761,-0.1078,1.1306,0.8005,0.9844,0.2766,0.0273,0.2831,0.835,0.1587,0.8694,0.0491,-0.0526,0.8535,-0.0825,0.0156,0.8271,0.6767,1.0175,2.1575,0.6036,0.0478,0.2751,1.1328,0.3295,1.2424,0.9565,1.2632,0.009,1.0358,0.34,1.1126,1.4517,0.226,1.6144,1.6173,-0.1107,-0.0971,0.4748,0.4633,-0.0425,Control
Utah__A07,0.8887,0.5732,0.6179,1.1581,0.0415,-0.1585,0.3863,0.2392,2.0757,0.7342,0.4976,1.1999,-0.1031,0.7836,0.3139,1.9975,-0.0679,0.0138,1.1215,0.4929,1.3922,2.2151,1.2954,2.7222,1.5181,0.0788,1.0753,0.0663,-0.1485,0.9236,0.7829,1.1549,0.2581,0.1304,0.0601,1.3069,0.1693,0.8894,0.1216,0.1623,0.9925,-0.199,0.0383,1.2229,0.7695,1.3139,1.63,0.684,0.096,0.2991,1.3997,0.3145,1.4468,0.8172,1.3115,-0.0487,1.1309,0.4597,1.3269,1.5322,0.395,1.713,1.8236,0.045,-0.0227,0.545,0.5001,0.0583,Control
Utah__A08,0.8162,0.4958,0.9783,1.1244,0.0771,-0.0629,0.3564,0.1854,2.1671,0.9396,0.3118,1.041,-0.1491,0.9503,0.207,1.7332,-0.0714,-0.018,1.1471,0.5071,1.4066,2.3781,1.038,2.9337,1.1895,0.043,0.8829,0.0959,-0.1356,0.686,0.5755,1.327,0.1373,0.0504,0.1672,1.4954,0.1086,0.7309,0.0853,0.1034,0.8703,-0.1006,-0.0816,1.5263,0.7478,1.3796,1.1023,0.6482,0.0109,0.2897,1.0162,0.2416,1.5231,0.7257,1.1351,-0.0257,0.8623,0.3704,1.3603,1.2866,0.3103,1.5189,1.5036,-0.1204,-0.0748,0.4568,0.2661,-0.0392,Control
Utah__A09,0.8193,0.5306,0.5964,1.3153,0.1041,-0.0728,0.4262,0.2065,2.1122,0.7418,0.445,1.0473,-0.0305,0.5779,0.2939,1.7471,-0.0975,0.0945,1.2318,0.6481,1.302,1.9237,1.115,2.7367,1.4104,0.144,1.0128,0.0534,-0.1412,0.6589,0.6793,0.9851,0.1335,0.0922,-0.0487,1.3533,0.1979,0.8938,0.0974,-0.0046,0.891,-0.1494,-0.0136,1.135,0.6353,1.1675,1.8888,0.5412,0.0945,0.2581,1.0099,0.3282,1.2405,0.7466,1.2259,-0.0732,0.9983,0.3483,1.2787,1.3709,0.3204,1.5772,1.6073,-0.041,-0.0252,0.466,0.3504,0.0701,Control
Utah__A10,0.8978,0.4568,0.5524,1.1616,0.1178,0.0539,0.3868,0.159,1.8746,0.7828,0.4572,1.1396,-0.0279,0.7437,0.222,1.9048,-0.0678,0.0719,1.4348,0.5318,1.3575,2.201,1.2573,2.6756,1.349,0.1611,1.0897,0.0529,-0.0874,1.1631,0.6095,1.3941,0.206,0.1478,-0.0591,1.3318,0.1513,0.904,0.1256,0.0063,0.8758,-0.0272,-0.0367,1.2712,0.7886,1.188,2.1597,0.5878,0.0618,0.3007,1.2126,0.4672,1.377,0.9483,1.2433,-0.0424,1.0977,0.3207,1.3394,1.5685,0.2036,1.6918,1.5335,-0.0749,0.0348,0.5256,0.4155,-0.0688,Control
Utah__A11,0.9388,0.6277,0.3335,1.0246,0.0603,-0.2427,0.3631,0.2614,1.8583,0.7497,0.2244,0.852,-0.0414,0.4246,0.1122,1.7797,-0.0749,0.02,1.1224,0.5632,1.2362,1.4402,1.1417,2.5129,1.2034,0.0264,0.9419,0.1433,-0.0544,0.7942,0.6905,0.7984,0.0839,0.0129,0.0835,0.9839,0.0759,0.8391,0.118,0.0834,0.7143,-0.107,-0.1259,0.7313,0.5033,1.0631,1.5688,0.5349,-0.0424,0.2316,0.8471,0.2251,1.0241,0.5884,1.2693,-0.0128,0.8845,0.2282,1.2257,1.2363,0.267,1.3466,1.4145,-0.0336,0.006,0.3438,0.3299,-0.0485,Control
Utah__A12,0.5469,0.2377,0.2568,1.2203,-0.0885,-0.1037,0.1905,0.038,1.1494,0.4524,0.348,0.7585,-0.1767,0.4033,0.2157,1.1187,-0.112,-0.0204,0.8181,0.3208,0.7101,0.9482,0.6352,1.6955,0.7278,0.1558,0.8175,0.1532,-0.0516,0.379,0.4217,0.5964,0.175,-0.1382,0.0444,0.3508,0.2205,0.5776,0.002,0.1149,0.6926,-0.133,0.0735,0.566,0.3405,0.6883,1.4935,0.1924,0.1075,0.1311,0.8752,0.1947,0.9702,0.5065,0.7506,0.0058,0.5945,0.3315,0.7403,1.4417,0.0768,1.4925,1.254,-0.214,-0.2199,0.1908,0.259,-0.0909,Control
Utah__B01,0.7844,0.5511,0.5705,1.2201,-0.1649,-0.4629,0.381,0.2571,2.0999,0.8221,0.1771,1.0535,-0.4497,0.5979,-0.0669,1.3451,-0.076,-0.1653,1.0137,0.3487,1.2355,2.0761,0.8271,2.5849,1.1535,0.0238,0.7332,-0.0234,-0.0989,0.5515,0.6043,1.0445,0.091,-0.0979,-0.1008,1.093,-0.0321,0.5718,-0.198,-0.0124,0.6343,-0.2063,-0.016,0.9823,0.5641,1.3154,1.6024,0.6532,-0.1864,0.0668,0.8695,0.0558,1.3464,0.7169,0.7751,0.0259,0.8563,0.39,1.0797,1.0573,0.3377,1.6499,1.438,-0.0253,-0.0889,0.3847,0.3313,-0.1561,Control
