@relation data

@attribute id string
@attribute 122011 numeric
@attribute 1452 numeric
@attribute 1453 numeric
@attribute 1454 numeric
@attribute 1455 numeric
@attribute 1456 numeric
@attribute 23291 numeric
@attribute 2619 numeric
@attribute 27148 numeric
@attribute 2735 numeric
@attribute 2736 numeric
@attribute 2737 numeric
@attribute 2932 numeric
@attribute 353500 numeric
@attribute 3549 numeric
@attribute 4036 numeric
@attribute 50846 numeric
@attribute 51384 numeric
@attribute 51684 numeric
@attribute 51715 numeric
@attribute 53944 numeric
@attribute 54361 numeric
@attribute 5566 numeric
@attribute 5567 numeric
@attribute 5568 numeric
@attribute 5613 numeric
@attribute 5727 numeric
@attribute 64399 numeric
@attribute 6469 numeric
@attribute 650 numeric
@attribute 652 numeric
@attribute 653 numeric
@attribute 654 numeric
@attribute 655 numeric
@attribute 656 numeric
@attribute 6608 numeric
@attribute 7471 numeric
@attribute 7472 numeric
@attribute 7473 numeric
@attribute 7474 numeric
@attribute 7475 numeric
@attribute 7476 numeric
@attribute 7477 numeric
@attribute 7478 numeric
@attribute 7479 numeric
@attribute 7480 numeric
@attribute 7481 numeric
@attribute 7482 numeric
@attribute 7483 numeric
@attribute 7484 numeric
@attribute 7546 numeric
@attribute 80326 numeric
@attribute 81029 numeric
@attribute 8643 numeric
@attribute 8945 numeric
@attribute 89780 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.1451,1.5925,1.4656,0.4289,0.6539,1.1149,0.6654,-0.0706,0.3404,-0.0635,-0.1028,-0.1537,0.6628,-0.0513,-0.0152,-0.0952,-0.1158,-0.1241,0.3822,0.2634,0.4955,-0.1126,0.945,1.1287,-0.1227,1.142,0.3677,-0.0734,-0.0388,-0.0754,-0.2183,-0.182,0.1457,-0.1371,0.0257,-0.1279,0.1406,-0.1322,-0.0223,-0.1298,-0.1177,0.1941,0.0368,-0.0739,0.0295,0.0692,0.0733,-0.1762,-0.044,0.0944,-0.1144,0.1163,0.036,0.0373,0.5487,0.1227,Control
Utah__A02,0.3798,1.2727,1.3262,0.2925,0.5755,0.7728,0.4694,-0.0372,0.2256,-0.0209,0.0075,-0.0656,0.4686,0.0324,0.0741,-0.0453,-0.16,-0.0411,0.1554,0.2437,0.2868,0.0225,0.8462,0.9806,-0.1089,0.9562,0.4333,-0.0512,0.0468,-0.0415,-0.166,-0.0976,0.2367,-0.1363,0.0513,0.0189,0.1477,-0.0282,-0.0624,-0.0369,0.0272,0.1182,-0.0259,0.0272,0.0598,0.0167,0.0394,-0.0751,0.0598,0.0603,-0.0949,0.1744,-0.0745,0.0951,0.3102,0.2703,Control
Utah__A03,0.2422,1.4737,1.5612,0.3052,0.6815,1.021,0.6,-0.0012,0.3128,-0.0731,-0.0041,-0.0762,0.609,0.1057,0.0742,-0.0504,-0.1308,-0.015,0.3092,0.2181,0.501,-0.0123,1.0405,0.9935,-0.0955,1.0907,0.3677,-0.037,0.0972,-0.0483,-0.1964,-0.1841,0.2155,-0.1088,0.1104,-0.0565,0.1693,-0.1115,-0.0831,-0.1179,0.026,0.0973,0.0456,-0.0182,0.0081,0.0661,-0.0219,-0.107,0.0995,0.0837,-0.145,0.1786,-0.0045,0.0668,0.4467,0.183,Control
Utah__A04,0.2766,1.4132,1.2924,0.361,0.7085,1.0411,0.5401,0.1646,0.2142,-0.0444,-0.0165,-0.0869,0.5054,-0.0127,0.1269,-0.0535,-0.0364,-0.0517,0.2092,0.1093,0.3277,-0.0418,0.8362,1.1638,-0.1322,0.9348,0.3365,-0.0289,0.1309,0.0914,-0.1476,-0.1554,0.1536,-0.136,0.0965,-0.0038,0.2317,-0.094,0.0048,0.0251,0.0752,0.235,0.0302,-0.0656,0.0783,0.0813,0.1052,-0.1004,0.1023,0.1806,0.0267,0.3129,0.0699,0.0373,0.3892,0.219,Control
Utah__A05,0.3584,1.4668,1.5026,0.3962,0.8201,1.0347,0.6641,0.0773,0.338,-0.0509,-0.0673,-0.122,0.6009,0.0052,0.1241,-0.0571,-0.0881,0.0022,0.3299,0.2208,0.4347,-0.0536,1.1378,1.0454,-0.0826,1.0738,0.3198,-0.0475,0.0824,0.0225,-0.1268,-0.1293,0.1935,-0.1129,0.1359,0.0135,0.2046,-0.0812,0.009,-0.0793,0.0533,0.0511,0.0643,-0.0736,0.0713,0.048,0.1266,-0.0674,0.0864,0.1471,0.0307,0.1592,0.0358,0.0542,0.423,0.2415,Control
Utah__A06,0.1434,1.3612,1.4367,0.3185,0.5741,0.8083,0.5551,-0.1083,0.2542,-0.0924,-0.0431,-0.0662,0.5351,0.0509,0.0453,-0.0493,-0.1344,-0.0888,0.2692,0.1985,0.3668,-0.0203,1.0087,0.8785,-0.1543,1.0469,0.3566,-0.0568,0.027,-0.071,-0.2493,-0.1154,0.1927,-0.0992,-0.084,-0.065,0.0135,-0.109,0.0115,-0.1205,-0.0131,0.0782,-0.0688,-0.0163,0.0242,0.0073,0.0178,-0.1296,0.0158,0.0961,-0.182,0.0191,0.0492,0.063,0.3873,0.1519,Control
Utah__A07,0.2062,1.6353,1.4247,0.3198,0.6591,1.0443,0.7258,0.0464,0.3126,-0.0784,-0.0344,-0.0614,0.8251,-0.0373,0.0831,-0.0346,-0.1469,-0.0358,0.3613,0.2563,0.4623,-0.0627,0.903,1.1356,-0.131,1.0479,0.3728,-0.0473,0.1048,-0.0533,-0.2243,-0.0994,0.2135,-0.1173,0.0974,-0.0056,0.1429,-0.0749,-0.0847,-0.0786,0.0385,0.1884,-0.0064,-0.0223,0.0347,0.0157,-0.0111,-0.1135,0.0283,0.0455,-0.1352,0.1942,-0.038,0.1033,0.5287,0.2359,Control
Utah__A08,0.131,1.6719,1.3704,0.2878,0.5197,1.1453,0.8238,-0.0951,0.2791,-0.0824,-0.0702,-0.1093,1.0661,-0.0709,-0.0525,-0.065,-0.1222,-0.0319,0.3648,0.1721,0.5367,-0.108,0.9887,1.1812,-0.03,1.0982,0.4598,-0.0497,-0.0275,0.0705,-0.1686,-0.1911,0.0847,-0.1318,-0.0475,-0.1235,0.11,-0.1694,-0.0117,-0.1745,-0.1567,0.125,0.0487,0.0359,0.105,0.0111,0.0313,-0.148,-0.1116,0.0147,-0.1586,0.0823,-0.1484,0.0225,0.6707,0.0955,Control
Utah__A09,0.2285,1.448,1.446,0.3891,0.6316,0.9776,0.669,0.0456,0.275,-0.0752,-0.0313,-0.0654,0.7154,0.0339,0.0889,-0.0463,-0.2196,0.0522,0.2511,0.1756,0.4337,-0.0684,1.0256,1.096,-0.2464,1.0489,0.2524,-0.0851,0.1136,-0.0405,-0.2007,-0.1241,0.1953,-0.1016,0.0181,0.03,0.0933,-0.1021,0.0172,-0.0579,0.0756,0.1175,0.0304,-0.0516,0.1165,0.0139,0.0201,-0.0759,0.0354,0.1237,-0.1064,0.1321,2e-04,0.0843,0.524,0.2441,Control
Utah__A10,0.1924,1.6292,1.3504,0.2995,0.639,1.105,0.7898,0.1139,0.3431,-0.0499,-0.1061,-0.1308,0.9142,0.0032,0.0312,-0.0739,-0.0237,0.1571,0.3326,0.1843,0.4577,-0.0476,0.9363,1.2467,-0.1022,1.0175,0.5976,-0.0542,0.0981,0.0052,-0.1713,-0.1131,0.1554,-0.1498,0.0921,-0.0109,0.1711,-0.132,-0.0372,-0.0409,-0.0144,0.0968,-0.0021,-0.103,0.0941,0.038,0.0563,-0.1495,-0.0536,0.1406,-0.0138,0.1305,-0.0167,0.039,0.5675,0.21,Control
Utah__A11,0.1775,1.1873,1.3025,0.2778,0.5464,0.741,0.4385,-0.1311,0.1078,-0.1158,-0.0566,-0.1131,0.4848,-0.038,-0.0446,-0.0589,-0.118,0.1015,0.2404,0.075,0.399,-0.0508,0.9115,0.9113,-0.0051,0.8719,0.5293,-0.0266,-0.0767,-0.0147,-0.1612,-0.1313,0.1259,-0.1312,-0.0235,-0.146,0.1626,-0.1421,-0.1,-0.0866,-0.0752,-0.0051,0.0741,0.0528,0.0926,0.0109,0.0368,-0.1539,-0.1324,0.0163,-0.1028,0.0307,-0.0176,0.0589,0.3881,0.0552,Control
Utah__A12,0.0828,0.9191,0.8695,0.1782,0.3161,0.5725,0.3977,-0.2479,0.1552,-0.0431,0.0664,-0.0113,0.3984,0.1761,-0.064,0.0564,-0.1684,0.0238,0.0382,0.2231,0.084,-0.0652,0.786,0.9203,-0.3279,0.5241,0.2425,-0.0244,0.0325,-0.2186,-0.1195,-0.0821,0.322,-0.121,-0.0196,0.0219,0.0447,-0.0011,0.0084,-0.0976,-0.1428,0.1927,-0.0059,0.0945,0.0964,-0.0034,-0.0286,-0.1358,-0.0271,0.0777,-0.2904,0.0618,-0.0667,0.1737,0.1622,0.173,Control
