@relation data

@attribute id string
@attribute 10725 numeric
@attribute 1605 numeric
@attribute 3706 numeric
@attribute 3707 numeric
@attribute 3708 numeric
@attribute 3709 numeric
@attribute 3710 numeric
@attribute 5145 numeric
@attribute 5146 numeric
@attribute 5147 numeric
@attribute 5148 numeric
@attribute 5149 numeric
@attribute 5158 numeric
@attribute 6540 numeric
@attribute 7018 numeric
@attribute 815 numeric
@attribute 816 numeric
@attribute 817 numeric
@attribute 818 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,1.265,0.4135,-0.2782,1.1032,0.7579,0.8352,0.8558,-0.1541,-0.0879,0.4204,0.1514,0.0198,0.1569,-0.0869,-0.1205,0.1107,0.0018,0.871,0.6395,Control
Utah__A02,0.9015,0.3531,-0.2215,0.7032,0.5221,0.6307,0.6946,-0.1016,-0.0981,0.3401,0.021,-0.0754,0.1863,-0.078,-0.0602,0.2623,0.1255,0.6333,0.4503,Control
Utah__A03,1.1474,0.4099,-0.2816,0.7757,0.5995,0.8656,0.7329,-0.1313,-0.1298,0.4593,0.1437,-0.0048,0.1781,-0.0544,-0.0727,0.2189,0.1008,0.8023,0.5131,Control
Utah__A04,0.9037,0.3598,-0.0606,0.8349,0.6647,0.6114,0.7843,-0.1115,-0.1017,0.3778,0.0758,-0.0155,0.2558,-0.0904,-0.0906,0.1397,0.0872,0.6998,0.4799,Control
Utah__A05,1.1153,0.544,-0.1057,0.8734,0.6917,0.8284,0.7231,-0.1031,-0.0877,0.4554,0.1335,0.0432,0.2314,-0.0884,-0.0618,0.1933,0.0829,0.7777,0.5432,Control
Utah__A06,1.066,0.3382,-0.2793,0.8107,0.6267,0.7511,0.679,-0.1599,-0.0912,0.3728,0.0453,-0.0892,0.1288,-0.0911,-0.0416,0.2303,0.0537,0.5939,0.4865,Control
Utah__A07,1.256,0.3858,-0.132,1.2021,0.8084,1.009,0.6968,-0.0829,-0.1082,0.4088,0.0387,-0.0461,0.1994,-0.1164,-0.0281,0.2357,0.107,0.9005,0.5939,Control
Utah__A08,1.3488,0.2771,-0.3014,1.3175,0.9922,1.0928,0.7065,-0.1313,-0.0801,0.3696,0.088,-0.0925,0.1237,-0.0951,-0.0696,0.1735,0.0326,1.242,0.6051,Control
Utah__A09,1.1755,0.3301,-0.1714,1.1023,0.7685,0.9804,0.6507,-0.102,-0.0916,0.3885,0.0487,-0.0339,0.1848,-0.0682,-0.0313,0.2185,0.0954,0.8183,0.5577,Control
Utah__A10,1.2398,0.3513,-0.1212,1.0857,0.8089,1.0339,0.6346,-0.143,-0.0708,0.483,0.1334,0.0408,0.1489,-0.0401,-0.0795,0.096,0.0153,1.0998,0.6079,Control
Utah__A11,1.0294,0.1933,-0.2337,0.7329,0.5047,0.8112,0.4282,-0.1647,-0.0726,0.1824,0.186,-0.094,0.0253,0.0115,-0.1184,0.1602,-0.0087,0.6099,0.4877,Control
Utah__A12,0.5391,0.1738,-0.3275,0.6014,0.458,0.3529,0.5382,-0.0268,-0.146,0.2855,0.0745,0.0071,0.1962,0.0346,0.0284,0.5306,0.1424,0.4145,0.2663,Control
Utah__B01,1.0776,0.2635,-0.5915,1.0138,0.7067,0.7916,0.6486,-0.0774,-0.0026,0.3255,0.0093,-0.0547,0.0212,-0.0038,0.0384,0.3381,-0.0327,0.7835,0.4253,Control
Utah__B02,1.0232,0.3912,-0.1448,1.0269,0.5934,0.6638,0.8422,-0.1066,-0.0874,0.4581,0.1093,0.0222,0.1765,-0.0484,-0.0624,0.2735,0.0412,0.6112,0.5478,Control
Utah__B03,1.0292,0.2971,-0.2483,0.9744,0.6638,0.7044,0.7215,-0.132,-0.0479,0.3595,0.0696,-0.1172,0.0553,0.0121,-0.0594,0.2655,-0.0252,0.7042,0.5171,BRCACancer
Utah__B04,1.3306,0.384,-0.3293,1.3219,0.9323,1.0224,0.7962,-0.1488,-0.0908,0.3465,0.1019,-0.1784,0.1397,-0.133,-0.0408,0.1714,0.0595,1.1106,0.5915,BRCACancer
Utah__B05,1.0528,0.2098,-0.3074,0.7524,0.5168,0.6201,0.5735,-0.0703,-0.0947,0.2593,0.1046,-0.1323,0.1914,-0.1094,-0.019,0.3113,0.1058,0.5174,0.379,BRCACancer
Utah__B06,0.7425,0.1641,-0.5845,0.6518,0.6232,0.5546,0.4832,0.0337,-0.0067,0.0721,-0.1,-0.1001,-0.0522,-0.0473,0.0377,0.2679,-0.0603,0.5292,0.258,BRCACancer
Utah__B07,1.1712,0.3361,-0.176,0.9302,0.755,0.7949,0.9173,-0.1548,-0.1059,0.4587,0.1041,-0.0599,0.2048,-0.0909,-0.0549,0.1944,0.0766,0.7886,0.6192,BRCACancer
Utah__B08,1.0036,0.2729,-0.1205,0.7195,0.4308,0.6383,0.5576,-0.0996,-0.0711,0.3031,0.1942,0.0202,0.1206,-0.0311,-0.0705,0.1849,0.0394,0.4253,0.5316,Control
Utah__B09,1.3095,0.2208,-0.3037,1.0977,0.8773,0.9852,0.6223,-0.1481,-0.1267,0.2048,0.0505,-0.0722,0.0737,-0.0638,-0.1277,0.2256,-0.0149,1.0466,0.5367,Control
Utah__B10,1.0671,0.2582,-0.2015,0.9652,0.6944,0.7306,0.5832,-0.0548,-0.1257,0.2982,0.099,-0.0417,0.1137,-0.0258,-0.0307,0.335,0.0785,0.6703,0.4219,Control
Utah__B11,1.0204,0.3064,-0.1785,0.796,0.5697,0.7976,0.5183,-0.1327,-0.0957,0.301,0.1286,-0.0337,0.1607,-0.087,-0.0507,0.2703,0.0716,0.5602,0.4348,Control
Utah__B12,1.0878,0.1606,-0.1956,1.0662,0.693,0.6504,0.5279,-0.1066,-0.1252,0.2148,0.0447,-0.0976,0.0968,-0.0092,-0.1494,0.2358,0.0411,0.8036,0.4877,Control
Utah__C01,1.3059,0.3782,-0.2608,1.0023,0.7023,0.8065,0.7498,-0.106,-0.1405,0.365,0.129,-0.0923,0.1945,-0.0598,-0.0632,0.2492,0.0953,0.7184,0.5869,BRCACancer
Utah__C02,1.0044,0.4971,-0.1091,0.8629,0.5586,0.5927,0.8984,-0.0648,-0.1247,0.4707,0.0704,-0.0415,0.2621,-0.0779,-0.0475,0.2711,0.0962,0.6144,0.5648,BRCACancer
