@relation data

@attribute id string
@attribute 10000 numeric
@attribute 10252 numeric
@attribute 10254 numeric
@attribute 10379 numeric
@attribute 10401 numeric
@attribute 11009 numeric
@attribute 1154 numeric
@attribute 116379 numeric
@attribute 122809 numeric
@attribute 1271 numeric
@attribute 1387 numeric
@attribute 1437 numeric
@attribute 1439 numeric
@attribute 1440 numeric
@attribute 1441 numeric
@attribute 1489 numeric
@attribute 149233 numeric
@attribute 161742 numeric
@attribute 163702 numeric
@attribute 200734 numeric
@attribute 2033 numeric
@attribute 2056 numeric
@attribute 2057 numeric
@attribute 207 numeric
@attribute 208 numeric
@attribute 23529 numeric
@attribute 23533 numeric
@attribute 23624 numeric
@attribute 2689 numeric
@attribute 2690 numeric
@attribute 282618 numeric
@attribute 2885 numeric
@attribute 29949 numeric
@attribute 30837 numeric
@attribute 338376 numeric
@attribute 3440 numeric
@attribute 3442 numeric
@attribute 3445 numeric
@attribute 3448 numeric
@attribute 3454 numeric
@attribute 3455 numeric
@attribute 3456 numeric
@attribute 3458 numeric
@attribute 3459 numeric
@attribute 3460 numeric
@attribute 3467 numeric
@attribute 3558 numeric
@attribute 3559 numeric
@attribute 3560 numeric
@attribute 3561 numeric
@attribute 3562 numeric
@attribute 3565 numeric
@attribute 3566 numeric
@attribute 3567 numeric
@attribute 3568 numeric
@attribute 3569 numeric
@attribute 3572 numeric
@attribute 3574 numeric
@attribute 3575 numeric
@attribute 3578 numeric
@attribute 3586 numeric
@attribute 3587 numeric
@attribute 3588 numeric
@attribute 3589 numeric
@attribute 3590 numeric
@attribute 3592 numeric
@attribute 3593 numeric
@attribute 3594 numeric
@attribute 3595 numeric
@attribute 3596 numeric
@attribute 3597 numeric
@attribute 3600 numeric
@attribute 3601 numeric
@attribute 3716 numeric
@attribute 3717 numeric
@attribute 3718 numeric
@attribute 3952 numeric
@attribute 3953 numeric
@attribute 3976 numeric
@attribute 3977 numeric
@attribute 4352 numeric
@attribute 4609 numeric
@attribute 5008 numeric
@attribute 50604 numeric
@attribute 50615 numeric
@attribute 50616 numeric
@attribute 51561 numeric
@attribute 51588 numeric
@attribute 5290 numeric
@attribute 5291 numeric
@attribute 5292 numeric
@attribute 5293 numeric
@attribute 5294 numeric
@attribute 5295 numeric
@attribute 5296 numeric
@attribute 53832 numeric
@attribute 53833 numeric
@attribute 55801 numeric
@attribute 5617 numeric
@attribute 5618 numeric
@attribute 56832 numeric
@attribute 5777 numeric
@attribute 5781 numeric
@attribute 58985 numeric
@attribute 59067 numeric
@attribute 595 numeric
@attribute 598 numeric
@attribute 6654 numeric
@attribute 6655 numeric
@attribute 6772 numeric
@attribute 6773 numeric
@attribute 6774 numeric
@attribute 6775 numeric
@attribute 6776 numeric
@attribute 6777 numeric
@attribute 6778 numeric
@attribute 7173 numeric
@attribute 7297 numeric
@attribute 8027 numeric
@attribute 81848 numeric
@attribute 8503 numeric
@attribute 85480 numeric
@attribute 8554 numeric
@attribute 8651 numeric
@attribute 867 numeric
@attribute 868 numeric
@attribute 8835 numeric
@attribute 894 numeric
@attribute 896 numeric
@attribute 9021 numeric
@attribute 9063 numeric
@attribute 9180 numeric
@attribute 9655 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.6233,0.1625,1.3761,1.7344,0.7817,0.4492,1.2154,-0.1051,1.4705,-0.0069,1.4764,0.1205,1.4136,-0.1494,1.776,-0.2151,0.056,0.25,0.2387,0.0931,1.9196,0.0473,0.3371,0.6157,0.8453,0.3899,1.4389,0.0204,-0.1589,-0.0986,-0.1002,1.6355,-0.1373,0.4237,-0.0924,-0.0978,-0.4006,-0.1045,0.629,1.8546,1.8776,-0.059,0.7042,2.0903,1.3871,-0.1247,-0.0738,0.5941,1.6994,2.5582,-0.1424,-0.2431,1.4241,-0.0358,0.1066,0.0868,2.3231,0.1443,3.5489,-0.2071,0.0038,2.6822,1.1446,0.1759,0.9711,0.0145,-0.0544,0.8824,0.3906,-0.1205,1.0832,0.3762,0.4249,1.8794,1.1912,1.7342,-0.0953,0.4786,-0.0274,-0.0929,0.4321,1.4375,0.5686,-0.1033,0.8076,-0.1412,0.8539,0.7671,1.5746,1.5626,1.7959,1.3366,1.8406,1.4982,0.2071,-0.1589,0.0292,-0.2457,-0.0567,0.0732,0.09,1.8033,0.5566,-0.1052,0.0313,0.1356,0.5469,1.1256,1.3471,2.3654,2.2851,1.4524,1.9054,1.2133,1.495,2.362,-0.1401,1.1125,1.5545,-0.0079,0.0818,-0.0809,1.4921,0.0596,1.4692,1.059,0.5255,1.3798,1.4796,0.619,1.1425,-0.1041,0.4658,Control
Utah__A02,0.3831,0.0194,1.2214,1.4174,0.7015,0.2283,0.823,-0.0521,1.1306,0.034,1.2354,0.1793,1.3705,-0.1862,1.73,-0.1242,0.0587,0.2112,0.1902,0.1223,1.7075,0.0034,0.2694,0.5686,0.6275,0.3902,1.1486,-0.0196,-0.1385,-0.0029,0.0324,1.481,-0.0251,0.2354,-0.1232,-0.1114,-0.416,0.0423,0.6933,1.6998,1.5115,-0.1975,1.5545,2.007,1.4009,-0.1836,0.0386,0.2311,1.8945,2.4587,-0.0817,-0.2105,1.0483,-0.0625,0.1213,0.0155,1.8081,0.2406,3.5752,-0.1232,-0.0899,2.5495,0.9868,0.1817,0.4956,-0.0023,-0.0555,0.7596,0.2631,-0.1479,0.9841,0.3062,0.4809,1.6629,1.0674,1.3696,-0.122,0.3779,-0.0879,-0.0438,0.3987,1.0182,0.3024,0.0259,0.5505,-0.1178,0.4239,0.6121,1.3014,1.4139,1.368,1.1106,2.0413,1.1993,0.1689,-0.0926,0.082,-0.2523,-0.1333,0.0323,-0.2914,1.8803,0.4031,-0.0463,0.0639,0.1049,0.4995,0.9005,1.2046,2.5389,2.1881,1.317,1.5178,1.1168,1.0726,2.3107,-0.0262,0.9142,1.2482,0.0315,0.0895,-0.1157,1.056,-0.1021,1.3404,0.7344,0.2843,1.244,1.3696,0.4328,0.8535,-0.0197,0.3341,Control
Utah__A03,0.396,0.0085,1.4678,1.8359,0.8399,0.0759,0.7127,-0.1015,1.3074,0.0398,1.4513,0.2377,1.5927,-0.0517,1.8135,-0.166,-0.022,0.4209,0.3261,0.1942,1.9357,0.0288,0.3191,0.6805,0.7841,0.4405,1.5932,-0.1324,-0.1132,-0.0597,0.0081,1.7658,-0.0632,0.3062,-0.1731,-0.1935,-0.3469,-0.0143,0.5847,1.7278,1.907,-0.2531,2.0921,1.992,1.5925,-0.1172,-0.0552,0.2004,2.1755,2.5504,-0.0695,-0.2256,1.06,-0.0242,0.147,0.0054,1.7856,0.0962,2.448,-0.0894,0.1344,2.8303,1.2172,0.1348,0.5819,0.0158,0.0503,1.0816,0.4429,-0.1156,1.0406,0.5331,0.6838,1.8002,1.4901,1.5721,-0.0098,0.4011,-0.0421,-0.0708,0.3886,0.8555,0.6006,-0.0541,0.841,-0.1168,0.475,0.7879,1.3967,1.4596,1.53,1.2772,2.162,1.3339,0.2691,-0.0868,0.1298,-0.2093,-0.0466,0.0664,-0.185,1.95,0.48,-0.082,0.0571,0.1251,0.6583,1.1275,1.3774,2.8972,2.5726,1.4815,1.5488,1.269,1.2059,2.3941,-0.0457,1.189,1.4016,0.031,0.2042,-0.0817,1.3794,-0.0609,1.4201,0.9609,0.3085,1.1477,1.4575,0.8413,0.9448,-0.0588,0.422,Control
Utah__A04,0.5255,0.1993,1.2605,1.4555,0.6855,0.1258,0.6301,-0.0275,0.9882,0.0713,1.2933,0.1648,1.2739,0.0737,1.7131,0.055,0.0793,0.1502,0.1347,0.0885,1.6503,0.0907,0.3255,0.6225,0.7141,0.5045,1.374,0.013,-0.0525,-0.0411,-0.0394,1.4795,-0.0666,0.3228,-0.1026,-0.1827,-0.1293,0.0072,0.4194,1.563,1.6053,-0.1922,0.6554,1.866,1.097,-0.131,0.0745,0.2505,2.0649,2.5504,-0.1333,0.002,1.4196,-0.1614,0.1644,0.0835,1.9169,0.087,4.0046,-0.0686,-0.0683,2.8324,1.0173,0.1883,0.5556,0.1344,-0.0732,0.8199,0.1609,-0.142,0.7863,0.2752,0.4305,1.964,0.865,1.63,-0.0687,0.4421,-0.0886,-0.0332,0.4972,1.35,0.4779,-0.0187,0.6696,-0.1489,0.4363,0.7489,1.353,1.4002,1.5904,1.2477,2.0983,1.4882,0.2883,-0.0787,0.0612,-0.1863,-0.0924,0.0212,0.121,1.8859,0.3995,-0.049,-0.0169,0.2164,0.4147,1.028,1.2203,2.379,1.9536,1.3965,1.7396,1.1765,1.2032,2.3202,-0.0489,1.0194,1.3023,-0.0284,0.0407,-0.0214,1.0936,0.1671,1.3018,0.8992,0.351,1.2843,1.5627,1.3056,0.867,-0.0903,0.3343,Control
Utah__A05,0.5106,0.1669,1.4428,1.7826,0.8337,0.1073,0.7665,-0.0784,1.1617,0.0675,1.4436,0.1998,1.7758,0.0287,2.2548,-0.0019,-0.0254,0.3289,0.0652,0.1664,1.9547,0.0906,0.4588,0.7463,0.7904,0.4521,1.5816,-0.0472,-0.0935,-0.0301,-0.0153,1.8562,-0.0931,0.3642,-0.0383,-0.1619,-0.2426,0.0292,0.5525,1.8005,1.8479,-0.0891,0.6132,2.2635,1.5675,-0.1835,0.0385,0.3345,2.2852,2.2802,-0.0485,-0.1394,1.3259,0.0742,0.1501,0.0837,1.9514,0.0947,3.0209,-0.1676,0.0238,2.8283,1.1743,0.1698,0.5879,0.0536,-0.0426,0.9542,0.2583,-0.1454,1.1744,0.449,0.4794,1.8971,1.3068,1.5472,-0.0435,0.6056,-0.1351,-0.0867,0.8572,1.0965,0.5164,-0.0052,0.6519,-0.1057,0.5526,0.8208,1.4836,1.8548,1.565,1.357,2.0939,1.3381,0.3996,-0.0862,0.0605,-0.175,-0.1172,0.1556,-0.1249,2.0105,0.4857,-0.024,0.0134,0.1872,0.5794,1.0464,1.3739,2.648,2.3031,1.4478,1.5442,1.3211,1.2305,2.5513,-0.0779,1.1783,1.4484,0.0174,0.1426,-0.0901,1.3243,0.0527,1.5154,0.8743,0.3493,1.1918,1.8026,0.9278,0.9693,-0.0745,0.4635,Control
Utah__A06,0.4506,0.0885,1.3459,1.5056,0.6778,0.0528,0.6313,0.0021,1.0838,-0.0185,1.3768,0.1793,1.444,-0.1207,2.1048,-0.2225,0.0551,0.241,0.0655,0.1594,1.8403,-0.0191,0.28,0.6458,0.7372,0.4088,1.4575,-0.1252,-0.1937,-0.0545,-0.084,1.5705,-0.0141,0.3162,-0.1496,-0.3673,-0.4509,0.0323,0.564,1.6346,1.7394,-0.1403,0.085,2.1594,1.4364,-0.15,0.1258,0.2119,2.3722,2.1881,-0.0812,-0.1429,0.9369,-0.0316,0.1226,-0.0531,1.8174,0.0067,3.1373,-0.1112,-0.0026,2.7984,1.1535,0.0661,0.6461,0.0214,-0.0077,0.7333,0.501,-0.139,1.1424,0.3124,0.3589,1.8036,1.0847,1.2322,-0.0848,0.51,-0.1246,-0.0572,0.4848,1.2048,0.5537,0.0545,0.4694,-0.1065,0.4537,0.6473,1.3845,1.4475,1.2539,1.2439,1.9853,1.3761,0.1914,-0.1165,0.0676,-0.1946,-0.0766,0.1699,-0.1185,1.823,0.4941,-0.0595,0.0415,0.0491,0.4694,0.8852,1.3309,2.2254,2.1935,1.3706,1.6425,1.129,1.1159,2.4537,-0.0836,1.0991,1.309,-0.0019,0.0877,-0.082,1.1741,0.0167,1.3978,0.9094,0.1894,1.1126,1.4517,0.857,0.9324,-0.0689,0.2565,Control
Utah__A07,0.74,0.1457,1.5474,1.5737,0.7614,0.1941,0.7435,-0.0458,1.4211,-0.0343,1.4744,0.2155,1.4183,-0.1101,1.8646,-0.1148,0.0349,0.6149,0.153,0.1856,1.9418,-0.0671,0.2802,0.597,0.7443,0.3928,1.4083,-0.0857,-0.2568,-0.0524,-0.0276,1.8609,-0.025,0.3426,-0.1954,-0.1783,-0.1853,-8e-04,0.5528,1.6646,2.2039,-0.0051,0.9455,2.1762,1.3999,-0.1914,0.005,0.3066,2.1297,2.3519,0.0013,-0.0564,1.0401,-0.003,0.0897,0.2383,2.1348,0.025,3.4316,-0.0636,0.038,2.8021,1.1332,0.0846,0.5861,-0.0315,-0.0394,0.8537,0.2685,-0.1652,1.1847,0.5756,0.4129,2.0093,1.4226,1.3739,-0.0426,0.5965,-0.1917,-0.0408,0.5532,1.1245,0.3767,-0.1618,0.6737,-0.1793,0.5353,0.7412,1.5934,1.5467,1.4493,1.2997,1.9624,1.6231,0.2011,-0.1034,0.1484,-0.1956,-0.1011,0.2143,0.0589,1.8362,0.5361,-0.014,0.0985,0.1216,0.6185,1.1765,1.4837,2.2112,2.1592,1.4224,1.8251,1.0809,1.3173,2.4066,-0.0714,1.1048,1.4084,-0.0442,0.1594,-0.1636,1.6166,-0.005,1.5784,1.248,0.2323,1.3269,1.5322,0.5311,1.1267,-0.0549,0.6076,Control
Utah__A08,1.0516,0.063,1.4388,1.4318,0.7532,0.1754,0.9433,-0.0612,1.0721,0.0122,1.5962,0.1379,1.1103,-0.206,1.5293,-0.2027,0.1887,0.5493,0.1118,0.1336,2.0295,0.0801,0.2127,0.5375,0.7355,0.2528,1.3564,-0.051,-0.177,-0.097,0.0893,1.7198,-0.0796,0.3499,-0.1918,-0.2066,-0.2312,0.0635,0.6594,1.5376,2.2359,-0.2383,0.7944,1.8153,1.3678,-0.1437,-0.0872,0.4718,2.095,2.2568,-0.0984,-0.1643,1.0889,-0.1885,0.0509,0.1461,2.2571,0.0524,3.3625,-0.1402,-0.0136,2.5475,1.1577,0.1188,0.6941,-0.0265,-0.0424,0.6711,0.4055,-0.0693,0.8999,0.7961,0.4693,2.2698,1.4684,1.2857,-0.1452,0.3349,0.0122,-0.0711,0.187,1.0832,0.2286,-0.0204,0.6826,-0.1829,0.4087,0.5467,1.7501,1.5683,1.3195,1.321,2.0579,1.714,0.168,-0.1475,0.1644,-0.2145,-0.1077,0.105,-0.0859,1.6778,0.621,-0.0702,-0.0382,0.0853,0.6098,1.467,1.4271,2.5672,2.0732,1.3603,2.1393,1.023,1.3652,2.0624,-0.1728,0.9992,1.5019,-0.0175,0.1918,-0.1374,1.8492,-0.0957,1.5716,1.6296,0.272,1.3603,1.2866,0.493,1.3175,-0.112,0.617,Control
Utah__A09,0.7535,0.1646,1.2582,1.5776,0.6696,0.2481,0.9081,-0.0786,1.2529,-0.0202,1.4502,0.1946,1.1992,-0.0624,1.4646,-0.1199,-0.0136,0.3062,0.1056,0.1495,1.9327,0.098,0.2583,0.5633,0.6938,0.3735,1.3804,-0.0782,-0.0563,-0.0708,-0.0555,1.8278,-0.0563,0.3145,-0.2021,-0.1218,-0.3535,-0.0343,0.5188,1.7738,2.0696,-0.0413,0.7784,1.9194,1.2992,-0.1444,-0.0099,0.3707,1.8858,2.5254,-0.0996,-0.2088,0.9966,0.082,0.0029,0.1333,2.0952,0.0896,3.6879,-0.0116,0.1078,2.7536,1.0857,0.0872,0.6224,0.0975,-0.0724,0.7669,0.2447,-0.0714,0.9243,0.5007,0.432,1.9491,1.3695,1.4313,0.0035,0.3735,-0.0613,-0.0672,0.5157,1.1598,0.5065,0.0047,0.628,-0.1248,0.7291,0.6578,1.4582,1.4714,1.4902,1.2447,1.976,1.5464,0.1702,-0.098,0.0548,-0.237,-0.1227,0.1035,0.1615,1.8256,0.4602,-0.0706,0.0041,0.0974,0.5295,0.9988,1.3188,2.4187,2.1477,1.3413,1.7935,1.0927,1.2773,2.4285,-0.0327,0.9788,1.5176,0.0418,0.0917,-0.1436,1.5997,0.0082,1.523,1.1452,0.3006,1.2787,1.3709,0.7608,1.1253,-0.0665,0.4758,Control
Utah__A10,0.8026,0.0324,1.5679,1.623,0.8273,0.0804,0.6922,-0.0477,1.2481,-3e-04,1.5075,0.1786,1.4056,-0.0036,2.0491,-0.0133,0.0466,0.3133,0.2541,0.126,1.9649,0.027,0.325,0.5633,0.7332,0.4623,1.4485,-0.0369,-0.1972,-0.0928,-0.034,1.802,-0.0531,0.303,-0.1533,-0.0979,-0.3127,0.035,0.4765,1.6564,1.9246,-0.0587,1.5207,2.1802,1.4044,-0.1196,0.011,0.2985,1.9013,2.5165,-0.1502,-0.1703,0.949,-0.1082,0.2976,-0.0405,2.0118,0.1313,3.5962,-0.1143,0.1019,2.7759,1.1318,0.1101,0.5253,-0.0062,-0.064,0.8934,0.2804,-0.2099,0.9968,0.632,0.4705,2.0508,1.4291,1.4774,-0.0972,0.4502,-0.1913,-0.0772,0.7254,0.9502,0.3822,-0.0108,0.6928,-0.1298,0.4809,0.6683,1.6941,1.7523,1.3504,1.2718,2.115,1.6535,0.2665,-0.126,0.1034,-0.1924,-0.1159,0.1177,-0.0397,1.8519,0.5199,-0.0496,-0.0484,0.1256,0.6749,1.3316,1.3713,2.7033,2.1464,1.4577,2.17,1.0601,1.2687,2.2558,-0.1094,1.0936,1.4329,-0.0186,0.2381,-0.0915,1.7148,-0.0182,1.4811,1.3815,0.2028,1.3394,1.5685,0.9115,1.2124,-0.082,0.6822,Control
