@relation data

@attribute id string
@attribute 10076 numeric
@attribute 10401 numeric
@attribute 1154 numeric
@attribute 3716 numeric
@attribute 3717 numeric
@attribute 3718 numeric
@attribute 5967 numeric
@attribute 6646 numeric
@attribute 8554 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,2e-04,0.7817,1.2154,1.8794,1.1912,1.7342,-0.1818,1.8994,1.4921,Control
Utah__A02,0.1256,0.7015,0.823,1.6629,1.0674,1.3696,-0.1598,1.8072,1.056,Control
Utah__A03,0.0473,0.8399,0.7127,1.8002,1.4901,1.5721,-0.1311,1.7768,1.3794,Control
Utah__A04,0.0632,0.6855,0.6301,1.964,0.865,1.63,-0.1303,1.7298,1.0936,Control
Utah__A05,0.0139,0.8337,0.7665,1.8971,1.3068,1.5472,-0.1454,2.0544,1.3243,Control
Utah__A06,0.0545,0.6778,0.6313,1.8036,1.0847,1.2322,-0.135,1.8699,1.1741,Control
Utah__A07,0.0422,0.7614,0.7435,2.0093,1.4226,1.3739,-0.123,1.9804,1.6166,Control
Utah__A08,0.0496,0.7532,0.9433,2.2698,1.4684,1.2857,-0.1721,1.9427,1.8492,Control
Utah__A09,0.0939,0.6696,0.9081,1.9491,1.3695,1.4313,-0.0841,1.7325,1.5997,Control
Utah__A10,-0.033,0.8273,0.6922,2.0508,1.4291,1.4774,-0.2029,2.0083,1.7148,Control
Utah__A11,-0.007,0.5114,0.6314,1.6694,0.976,1.2358,-0.0964,1.4485,1.3593,Control
Utah__A12,0.1235,0.5221,0.5154,1.4495,0.4637,0.6995,-0.0481,1.3371,0.6278,Control
Utah__B01,-0.0093,0.7071,0.3518,1.7935,0.9815,1.2483,0.0296,1.734,1.4565,Control
Utah__B02,0.0379,0.9288,0.2966,1.861,0.9702,1.7178,-0.0711,1.8851,1.1941,Control
Utah__B03,-0.0187,0.7987,0.5458,1.8576,1.0222,1.4462,-0.0659,2.0294,1.3531,BRCACancer
Utah__B04,0.0288,0.7838,0.7886,2.1389,1.3224,1.2697,-0.2725,1.7901,1.7683,BRCACancer
Utah__B05,0.0846,0.7153,0.3024,1.7979,0.8028,1.2166,-0.1202,1.418,1.1001,BRCACancer
Utah__B06,-0.0504,0.5856,0.4265,1.4884,0.7458,0.8149,0.1169,1.503,1.0636,BRCACancer
Utah__B07,0.0554,1.0086,1.0119,1.8836,1.1777,1.5622,-0.0934,1.9417,1.378,BRCACancer
Utah__B08,-0.0341,0.6188,0.8476,1.5898,0.9417,1.4211,-0.056,1.8497,1.1084,Control
Utah__B09,-0.041,0.6371,0.6624,2.0995,1.1346,0.9824,-0.1141,1.4271,1.6683,Control
Utah__B10,-0.0016,0.611,0.7111,2.0355,1.0493,0.9076,-0.07,1.7497,1.5076,Control
Utah__B11,0.0259,0.7408,0.9204,1.7208,1.078,1.2346,-0.1204,1.7106,1.2476,Control
Utah__B12,-0.0347,0.5192,0.583,1.898,0.9426,0.7889,-0.0771,1.1025,1.4087,Control
Utah__C01,0.0769,0.8161,0.9277,1.8655,1.2478,1.5326,-0.1796,1.7065,1.5321,BRCACancer
Utah__C02,0.0915,0.775,1.2059,1.9093,0.8611,1.5906,-0.2078,1.8303,0.9912,BRCACancer
Utah__C03,0.0786,1.0567,1.3737,1.8951,1.1874,1.9277,-0.1252,1.7613,1.1904,BRCACancer
Utah__C04,0.0872,0.4014,0.7294,1.5105,0.6283,1.34,-0.1703,0.9882,0.7633,Control
Utah__C05,0.0668,0.471,0.8501,1.6132,0.6115,1.3828,-0.1773,1.3939,0.7737,BRCACancer
Utah__C06,0.0754,0.102,-0.0353,0.8039,0.0456,0.3344,-0.2403,0.331,0.296,Control
Utah__C07,0.0455,0.5143,0.5219,1.7137,0.5995,1.2426,-0.1765,1.5311,0.8517,Control
Utah__C08,0.0401,0.5719,1.0595,1.6992,0.871,1.5432,-0.187,1.5969,0.9685,Control
Utah__C09,0.0321,0.5694,0.9815,1.755,0.5834,1.4924,-0.2138,1.5921,0.8023,Control
Utah__C10,0.042,0.6845,1.2481,1.8527,0.5113,1.4465,-0.1263,1.6896,0.7512,BRCACancer
Utah__C11,0.0012,0.6769,0.9199,1.7474,0.8911,1.7174,-0.1676,1.5818,1.0086,Control
Utah__C12,0.0737,0.3806,0.8245,1.4628,0.4351,1.1651,-0.1299,1.0527,0.5934,BRCACancer
Utah__D01,0.0824,0.6659,0.6394,1.9326,1.3661,1.2601,-0.0762,1.5095,1.801,BRCACancer
Utah__D02,0.0422,0.4891,0.7417,1.7786,0.685,1.421,-0.1701,1.4539,0.8828,BRCACancer
Utah__D03,0.0536,0.5297,0.9595,1.6691,0.8027,1.4915,-0.1485,1.2804,0.7781,BRCACancer
Utah__D04,0.0406,0.56,1.3123,1.6258,0.9645,1.5753,-0.1625,1.6321,1.0393,BRCACancer
Utah__D05,0.1092,0.6318,0.7762,1.7365,0.8915,1.4439,-0.15,1.7423,0.894,BRCACancer
Utah__D06,0.0399,0.775,1.1412,1.8189,0.9398,1.5195,-0.1287,1.82,1.0253,BRCACancer
Utah__D07,0.0294,0.6569,0.7858,1.7794,0.803,1.5317,-0.1465,1.7457,0.9068,Control
Utah__D08,0.0878,0.4529,1.0682,1.5141,0.6701,1.179,-0.0801,1.2451,0.8136,Control
Utah__D09,0.0805,0.6446,1.0516,1.7268,0.7075,1.5519,-0.1307,1.6222,0.9127,Control
Utah__D10,0.0628,0.459,0.7958,1.5702,0.6926,1.105,-0.0198,1.4291,0.9071,Control
Utah__D11,0.0777,0.2909,0.5026,1.1595,0.3034,0.6442,-0.1108,0.7614,0.5592,Control
Utah__D12,0.0628,0.3045,0.5934,1.4541,0.6172,1.1306,-0.1772,1.3529,0.7676,Control
Utah__E01,0.0251,0.517,0.5656,1.6553,0.5272,1.4941,-0.0303,1.3554,0.8066,BRCACancer
Utah__E02,0.0429,0.5983,0.7941,1.9417,0.6842,1.5977,-0.1467,1.8144,0.9047,Control
Utah__E03,0.0249,0.5683,0.6631,1.6468,0.931,1.6822,-0.0795,1.5942,0.928,Control
Utah__E04,0.0154,0.8863,1.3532,1.7651,0.7899,1.8267,-0.1348,1.6677,0.9917,Control
Utah__E05,0.0708,0.68,0.8445,1.8029,0.602,1.3176,-0.0543,1.6567,0.8831,Control
Utah__E06,0.1117,0.5496,0.4585,1.5149,0.7387,0.8452,-0.0776,1.5305,0.8656,BRCACancer
Utah__E07,-0.0146,0.6884,0.8362,1.751,0.8191,1.4568,-0.1904,1.6813,0.9178,BRCACancer
Utah__E08,-0.0111,0.7028,1.1365,1.8273,0.9283,1.8252,-0.1485,1.7777,0.9583,Control
Utah__E09,0.0768,0.61,1.0127,1.6663,0.6051,1.635,-0.1739,1.4992,0.9401,BRCACancer
Utah__E10,0.0097,0.8199,1.1208,1.9339,1.046,1.4793,-0.1171,1.944,1.2057,BRCACancer
Utah__E11,0.0805,0.5413,0.6693,1.6927,0.6476,1.4553,-0.0773,1.5663,0.798,Control
Utah__E12,-0.062,0.4135,0.5562,1.7371,0.4628,0.857,-0.1526,1.36,0.683,BRCACancer
Utah__F01,-0.0081,0.7034,1.4286,1.8248,1.0595,1.9399,-0.2536,1.5915,1.3082,Control
Utah__F02,0.066,0.8313,1.2435,1.8227,0.9158,1.8312,-0.0678,1.8512,1.0172,Control
Utah__F03,0.0947,0.727,0.9314,1.6327,0.7554,1.4717,-0.2055,1.6066,0.8376,Control
Utah__F04,0.0239,0.6768,0.9455,1.7334,1.335,1.4557,-0.1626,1.4439,1.3692,Control
Utah__F05,0.0713,0.7057,0.8687,1.804,0.8592,1.6405,-0.0483,1.6738,0.9358,Control
Utah__F06,0.1032,0.4315,0.8024,1.5188,0.8046,1.2574,-0.2146,1.3869,0.8514,Control
Utah__F07,-0.0152,0.6757,1.2006,2.0904,0.8733,1.664,-0.1809,1.5712,1.2591,Control
Utah__F09,0.0153,0.9275,0.981,1.7633,0.9668,1.7691,-0.1438,1.9256,1.1358,Control
Utah__F10,-0.0185,0.7904,1.2722,1.9638,1.1479,1.7658,-0.1489,1.9716,1.1439,Control
Utah__F11,0.0829,0.6592,0.9035,1.6324,0.9197,1.576,-0.0959,1.5737,0.8887,Control
Utah__F12,-0.0311,0.5807,0.8048,1.9646,1.4236,1.19,-0.118,1.7103,1.5097,Control
Utah__G01,0.0265,0.6378,0.6024,1.6537,0.9621,1.1377,-0.0605,1.5303,1.0308,Control
Utah__G02,0.1062,0.5406,0.9228,1.6388,0.8157,1.1294,-0.1172,1.2639,0.9281,Control
Utah__G03,0.083,0.8511,1.3709,1.8761,1.0039,1.6214,-0.1706,1.7657,1.1481,Control
Utah__G04,0.0016,0.7296,1.5697,1.9544,0.7936,1.8582,-0.0967,1.7752,0.9574,BRCACancer
Utah__G05,-0.0219,0.4622,0.43,1.4671,0.6905,1.098,-0.184,0.9617,0.9045,BRCACancer
Utah__G06,0.0485,0.7624,0.9756,1.8878,0.8355,1.3034,-0.1033,1.6718,1.0242,BRCACancer
Utah__G07,-0.0077,0.4786,0.9403,1.6804,0.6304,1.4909,-0.1367,1.4138,0.894,Control
Utah__G08,-0.0067,0.7174,0.5617,1.7474,1.059,1.4641,-0.1988,1.6413,1.1333,Control
Utah__G09,0.0155,0.5207,0.5054,1.5291,0.7994,0.957,-0.1655,1.21,0.9356,Control
Utah__G10,0.0921,0.2844,0.3877,1.7738,0.5693,1.0093,-0.0876,1.3,0.8183,BRCACancer
Utah__G11,-0.0833,0.1909,0.3695,1.226,0.3744,0.8092,0.0442,0.8581,0.7886,BRCACancer
Utah__G12,0.0189,0.5635,0.4328,1.8269,0.6797,1.188,-0.0812,1.5716,1.0954,BRCACancer
Utah__H01,0.0194,0.4287,0.9303,1.5126,0.6278,1.0044,-0.0702,1.1276,0.9111,Control
Utah__H02,0.0751,0.4719,0.8638,1.614,0.8203,1.4256,-0.0176,1.1731,0.9011,Control
Utah__H03,0.0299,0.5012,0.7283,1.623,0.6885,1.3032,-0.2113,1.3015,0.9475,Control
Utah__H04,0.0376,0.693,0.9018,1.6341,0.9751,1.5471,-0.2052,1.3147,1.3044,Control
Utah__H06,0.0508,0.4914,0.9426,1.6037,1.2175,1.3547,-0.1505,1.4457,0.9695,Control
Utah__H07,-0.009,0.6402,0.4157,1.6353,0.89,1.4014,-0.149,1.3632,1.1492,BRCACancer
Utah__H08,0.0528,0.5611,0.42,1.5361,0.9378,1.155,-0.1613,1.368,0.9223,BRCACancer
Utah__H09,0.0731,0.4753,0.108,1.8135,0.6635,0.7103,-0.1068,0.9132,1.1063,BRCACancer
Utah__H10,0.0748,0.5565,0.3823,1.5295,0.7211,0.9865,-0.2596,1.1857,1.0759,BRCACancer
Utah__H11,0.0701,0.6749,0.7471,1.9021,0.4944,1.0099,-0.1802,1.7278,0.7694,BRCACancer
Utah__H12,0.0232,0.8204,0.9007,1.8019,0.9421,1.506,-0.1904,1.9257,1.0594,BRCACancer
Utah__I01,-1e-04,0.6854,0.9335,2.107,1.1705,1.6448,-0.1055,1.5218,1.4077,Control
Utah__I02,0.0923,0.4272,1.0092,1.7585,0.7754,1.1597,-0.126,1.3014,1.1551,Control
Utah__I03,0.0344,0.4779,0.6151,1.5474,0.4474,0.8788,-0.0448,0.9906,0.7317,Control
Utah__I04,0.0573,0.658,0.7609,1.8455,0.8118,1.919,-0.0692,1.6062,0.9126,Control
Utah__I05,0.127,0.6448,1.0467,1.5957,0.6346,1.6995,-0.2232,1.2094,0.8076,Control
Utah__I06,0.0992,0.5248,0.6465,1.8572,0.657,1.5459,-0.1467,1.4045,0.8535,Control
Utah__I07,0.0336,0.9703,1.3048,1.8685,1.0763,1.8393,-0.1765,1.6937,1.1585,Control
Utah__I08,-0.0349,0.8395,0.8439,1.9085,0.725,1.5118,-0.1787,1.9055,0.9487,Control
Utah__I09,0.0753,0.5996,0.4513,1.5454,0.7923,1.2999,-0.1855,1.2042,0.9076,Control
Utah__I10,0.0493,0.8032,1.1209,1.7745,1.1384,1.519,-0.1445,1.694,1.1179,Control
Utah__I11,0.1427,0.4887,0.6419,1.5234,0.4361,0.8653,0.0278,1.2886,0.7097,Control
Utah__I12,0.0676,0.5926,0.8891,1.6705,0.7323,1.2227,-0.1749,1.5232,0.9257,Control
Utah__I13,0.0452,0.6444,0.9678,1.8306,0.7654,1.5913,-0.1174,1.5787,0.9947,Control
Utah__J01,0.0457,0.4125,0.6877,1.5537,0.7157,1.0405,-0.1773,0.9827,0.7933,Control
Utah__J02,0.0371,0.5123,0.8214,1.7306,0.5943,1.4443,-0.0383,1.2693,0.9635,Control
Utah__J03,0.0492,0.9005,0.9925,1.902,0.8466,1.6638,-0.1637,1.8425,1.0501,Control
Utah__J04,0.0581,0.6532,0.962,1.8971,0.9767,1.7845,-0.1987,1.5624,1.1437,Control
