@relation data

@attribute id string
@attribute 10018 numeric
@attribute 1066 numeric
@attribute 317 numeric
@attribute 572 numeric
@attribute 578 numeric
@attribute 581 numeric
@attribute 596 numeric
@attribute 598 numeric
@attribute 637 numeric
@attribute 842 numeric
@attribute 8915 numeric
@attribute 9994 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.9735,0.8953,1.7652,0.2409,0.8071,0.9097,1.5972,0.5469,0.8571,0.8967,1.1564,0.9723,Control
Utah__A02,0.6231,0.6117,1.6967,0.1478,0.9738,0.8576,0.7857,0.4995,0.8402,0.6211,0.881,0.648,Control
Utah__A03,0.9551,0.5057,1.842,0.1867,1.0501,1.0921,0.7002,0.6583,0.9951,0.9002,1.0986,0.7646,Control
Utah__A04,0.8267,0.8051,1.5185,0.2507,0.9745,0.896,0.8705,0.4147,0.9376,0.7648,0.9132,0.7295,Control
Utah__A05,0.9157,1.3352,1.9657,0.3108,1.2351,1.0811,0.8938,0.5794,0.9553,0.998,1.169,0.7597,Control
Utah__A06,0.8774,1.4285,1.8074,0.2291,0.9465,0.8694,0.813,0.4694,0.8535,0.9565,0.957,0.6429,Control
Utah__A07,0.8414,1.265,1.9975,0.2349,0.9882,0.8894,1.3348,0.6185,0.9925,0.8172,1.0819,0.8449,Control
Utah__A08,1.0319,0.6291,1.7332,0.086,0.7329,0.7309,1.9587,0.6098,0.8703,0.7257,0.9264,0.9659,Control
Utah__A09,0.8154,0.3826,1.7471,0.207,0.8097,0.8938,1.6272,0.5295,0.891,0.7466,0.8187,0.6996,Control
Utah__A10,0.9358,1.3942,1.9048,0.2064,1.007,0.904,1.211,0.6749,0.8758,0.9483,1.0811,0.8929,Control
Utah__A11,0.6111,1.0617,1.7797,0.1519,0.549,0.8391,1.1887,0.4353,0.7143,0.5884,0.7662,0.5513,Control
Utah__A12,0.5205,0.5665,1.1187,0.0625,0.6052,0.5776,0.4731,0.3424,0.6926,0.5065,0.5825,0.458,Control
Utah__B01,0.9922,0.7528,1.3451,-0.0285,0.7838,0.5718,1.3335,0.4362,0.6343,0.7169,0.9094,0.8535,Control
Utah__B02,0.9058,1.1231,1.5498,0.2533,1.1044,1.0516,0.7824,0.4267,0.93,0.87,1.0847,0.8296,Control
Utah__B03,0.945,0.7801,1.6609,0.1479,0.8906,0.8424,1.0604,0.3893,0.8008,0.7021,1.0675,0.844,BRCACancer
Utah__B04,0.9924,0.6557,1.5258,0.0771,0.7906,0.5867,1.7255,0.6671,0.7838,0.6354,0.7066,0.8877,BRCACancer
Utah__B05,0.7799,0.0802,1.2681,0.1261,0.7002,0.8946,0.6514,0.3295,0.8953,0.6323,0.7717,0.5879,BRCACancer
Utah__B06,0.7306,0.9764,1.2489,-0.0875,0.4822,0.3475,0.8106,0.3837,0.4697,0.5456,0.5986,0.7185,BRCACancer
Utah__B07,0.9591,1.1208,1.7522,0.1931,0.8976,1.057,1.1266,0.5053,0.8819,0.7445,1.0374,0.9932,BRCACancer
Utah__B08,0.5249,1.4141,1.8863,0.2705,0.7412,0.9242,0.7055,0.5211,0.9342,0.8397,0.921,0.6567,Control
Utah__B09,0.9052,0.2052,1.1326,0.0705,0.6829,0.6325,2.0128,0.6229,0.6382,0.3871,0.6411,0.6841,Control
Utah__B10,0.702,0.3667,1.4136,0.0864,0.466,0.6199,1.4518,0.4094,0.6595,0.5618,0.6016,0.7212,Control
Utah__B11,0.7951,0.4818,1.8732,0.2046,0.6096,0.9848,0.9615,0.4216,0.8701,0.6359,0.812,0.7245,Control
Utah__B12,0.7463,0.2894,1.089,0.0512,0.5545,0.3304,1.9409,0.3517,0.6379,0.3324,0.3701,0.6229,Control
Utah__C01,0.8872,1.2574,1.8875,0.221,1.0426,0.959,0.9344,0.6658,0.9531,0.7952,0.823,0.7012,BRCACancer
Utah__C02,0.7075,0.9625,1.6389,0.277,1.1313,0.9752,0.8697,0.4854,0.8384,0.879,0.928,0.7821,BRCACancer
Utah__C03,0.8573,1.2055,1.7251,0.3606,1.2416,1.1473,0.8652,0.6208,0.947,0.9414,0.9827,0.7977,BRCACancer
Utah__C04,0.517,0.8476,1.2931,0.2397,0.5196,0.7305,0.634,0.4619,0.7252,0.3835,0.4695,0.3231,Control
Utah__C05,0.4891,1.1923,1.4311,0.0823,0.8242,0.5848,0.4891,0.3238,0.7277,0.5035,0.609,0.317,BRCACancer
Utah__C06,0.1592,0.4239,0.1682,0.1031,0.3589,0.3578,0.2427,0.273,0.3325,0.0213,0.0577,0.0728,Control
Utah__C07,0.51,0.9075,1.5448,0.2168,0.6896,0.7442,0.4061,0.3541,0.696,0.614,0.6744,0.48,Control
Utah__C08,0.6372,0.9926,1.5409,0.1844,0.8721,0.879,0.7777,0.5497,0.8405,0.6996,0.7539,0.628,Control
Utah__C09,0.5199,1.2366,1.2743,0.1465,0.8746,0.7369,0.5166,0.4399,0.7221,0.5648,0.8141,0.5078,Control
Utah__C10,0.5951,0.2689,1.3267,0.1704,1.0659,0.7823,0.5432,0.4401,0.7146,0.7244,0.8168,0.574,BRCACancer
Utah__C11,0.7043,0.8905,1.485,0.29,0.7869,0.9982,0.7038,0.6441,0.7519,0.811,0.8564,0.6553,Control
Utah__C12,0.5136,0.5796,0.9405,0.1464,0.4525,0.643,0.5118,0.4006,0.6528,0.4262,0.5127,0.2994,BRCACancer
Utah__D01,0.7391,0.6756,1.4477,0.1559,0.7953,0.7449,1.9158,0.5806,0.7827,0.37,0.5319,0.8425,BRCACancer
