@relation data

@attribute id string
@attribute 107 numeric
@attribute 121916 numeric
@attribute 1385 numeric
@attribute 2002 numeric
@attribute 2353 numeric
@attribute 2770 numeric
@attribute 2776 numeric
@attribute 2778 numeric
@attribute 2782 numeric
@attribute 2792 numeric
@attribute 3265 numeric
@attribute 3725 numeric
@attribute 4772 numeric
@attribute 4773 numeric
@attribute 4775 numeric
@attribute 4776 numeric
@attribute 5335 numeric
@attribute 5530 numeric
@attribute 5532 numeric
@attribute 5533 numeric
@attribute 5567 numeric
@attribute 5568 numeric
@attribute 5573 numeric
@attribute 5575 numeric
@attribute 5576 numeric
@attribute 5577 numeric
@attribute 5578 numeric
@attribute 5579 numeric
@attribute 5595 numeric
@attribute 5604 numeric
@attribute 5894 numeric
@attribute 6197 numeric
@attribute 801 numeric
@attribute 805 numeric
@attribute 808 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,-0.0295,-0.1275,1.8356,0.4506,2.8919,0.0531,0.6485,0.7306,1.4299,-0.119,0.4236,1.2901,0.454,0.6032,1.3973,0.0341,1.7307,0.7429,1.2926,1.379,1.1287,-0.1227,1.8555,0.0687,1.1825,1.0216,0.5534,1.0586,1.0952,0.7341,1.7841,1.9037,2.327,1.1541,2.0788,Control
Utah__A02,0.0718,-0.0366,1.527,0.2934,1.0722,0.0345,0.2358,0.5967,1.392,-0.0204,0.3716,0.8169,0.3831,0.4413,1.1321,0.0767,1.247,0.6208,0.9495,1.0794,0.9806,-0.1089,1.8585,0.0861,1.0744,1.1411,0.2001,0.7032,1.0379,0.48,1.5394,1.6531,2.3401,0.9777,2.1743,Control
Utah__A03,0.0628,-0.0684,1.7022,0.364,2.3576,0.0376,0.4627,0.6975,1.4897,-0.1335,0.3757,1.1876,0.4227,0.7027,1.3502,0.0349,1.3323,0.7759,1.2205,1.157,0.9935,-0.0955,1.9244,0.0926,1.2517,1.0566,0.1966,0.9762,1.0752,0.7059,1.7337,1.847,2.5223,1.2312,2.1303,Control
Utah__A04,0.0443,-0.1701,1.6873,0.3909,1.55,0.0186,0.3177,0.6569,1.4717,-0.0544,0.3609,1.2809,0.4964,0.4953,1.1975,0.0412,1.3202,0.692,0.9394,1.2377,1.1638,-0.1322,1.8452,0.1265,1.2396,1.3226,0.3061,0.82,1.0602,0.5113,1.6705,1.8121,2.6032,1.025,2.2819,Control
Utah__A05,0.0207,-0.0415,1.7772,0.4547,1.9884,0.0445,0.4844,0.6767,1.5737,-0.0887,0.4772,1.2201,0.4674,0.5023,1.2615,0.06,1.2108,0.7965,1.0923,1.1578,1.0454,-0.0826,1.9782,0.1139,1.3175,1.4163,0.3059,0.9512,1.2157,0.726,1.8077,1.8169,2.287,0.9902,2.3833,Control
Utah__A06,0.0266,-0.1184,1.6188,0.4061,3.0931,0.0635,0.3651,0.5918,1.4137,-0.116,0.2467,0.8267,0.3325,0.4665,1.1902,0.0137,1.2063,0.6451,0.9526,0.9225,0.8785,-0.1543,1.9638,0.061,1.1796,1.0561,0.296,0.9045,1.0037,0.6824,1.7479,1.6695,2.2428,1.1486,2.1363,Control
Utah__A07,0.0569,-0.2109,1.8387,0.3002,2.7085,0.0356,0.8957,0.6707,1.5236,-0.1604,0.364,1.2177,0.3693,0.6422,1.3738,0.0071,1.2924,1.0466,1.3272,1.1807,1.1356,-0.131,2.0261,0.1063,1.2869,1.1756,0.5102,1.3099,0.9863,0.8669,1.7697,2.0157,2.296,1.4495,2.1759,Control
Utah__A08,-0.0018,-0.0487,1.919,0.3245,1.7156,-0.0088,1.0393,0.6901,1.4965,-0.0941,0.2967,0.8932,0.4111,0.8832,1.5498,0.0676,1.4821,1.1754,1.4644,1.5305,1.1812,-0.03,1.7243,0.0189,1.1737,0.8746,0.8364,1.4137,1.0102,0.8829,1.7375,1.9639,2.2139,1.2527,1.9205,Control
Utah__A09,0.0294,-0.1254,1.7005,0.3747,2.2374,-0.0266,0.8753,0.6175,1.4111,-0.1405,0.349,0.9938,0.3756,0.6233,1.2729,0.0135,1.3752,0.8882,1.2405,1.1693,1.096,-0.2464,1.9258,0.0974,1.1124,1.1918,0.5718,1.2508,1.0062,0.7767,1.637,1.9382,2.2423,0.951,2.3034,Control
Utah__A10,-0.0156,-0.1158,1.9569,0.3376,3.1715,0.1115,0.8224,0.6986,1.5165,-0.1499,0.398,1.3414,0.3753,0.7374,1.4029,0.0178,1.2657,1.0953,1.2521,1.4239,1.2467,-0.1022,1.9263,0.0576,1.2695,1.3995,0.3781,1.3167,0.9394,0.8171,1.7832,1.8103,2.2774,1.2653,2.2451,Control
Utah__A11,-0.0037,-0.1132,1.3699,0.3242,2.8363,-0.0464,0.5344,0.6091,1.2608,-0.1745,0.2904,1.0631,0.3543,0.6323,1.2653,0.1135,1.1776,0.643,1.0422,0.9878,0.9113,-0.0051,1.7363,0.0123,0.9531,0.9148,0.3263,0.9853,0.9926,0.6056,1.2804,1.7123,2.2562,0.7584,2.1908,Control
