@relation data

@attribute id string
@attribute 10154 numeric
@attribute 1020 numeric
@attribute 10298 numeric
@attribute 10371 numeric
@attribute 10500 numeric
@attribute 10501 numeric
@attribute 10505 numeric
@attribute 10507 numeric
@attribute 10509 numeric
@attribute 10512 numeric
@attribute 1072 numeric
@attribute 10725 numeric
@attribute 1073 numeric
@attribute 11261 numeric
@attribute 137970 numeric
@attribute 1630 numeric
@attribute 1942 numeric
@attribute 1943 numeric
@attribute 1944 numeric
@attribute 1945 numeric
@attribute 1946 numeric
@attribute 1947 numeric
@attribute 1948 numeric
@attribute 1949 numeric
@attribute 1969 numeric
@attribute 2041 numeric
@attribute 2042 numeric
@attribute 2043 numeric
@attribute 2044 numeric
@attribute 2045 numeric
@attribute 2046 numeric
@attribute 2047 numeric
@attribute 2048 numeric
@attribute 2049 numeric
@attribute 2050 numeric
@attribute 2051 numeric
@attribute 219699 numeric
@attribute 223117 numeric
@attribute 2242 numeric
@attribute 22854 numeric
@attribute 22885 numeric
@attribute 23365 numeric
@attribute 23380 numeric
@attribute 23654 numeric
@attribute 25 numeric
@attribute 2534 numeric
@attribute 25791 numeric
@attribute 27289 numeric
@attribute 2770 numeric
@attribute 2771 numeric
@attribute 2773 numeric
@attribute 285220 numeric
@attribute 2932 numeric
@attribute 29984 numeric
@attribute 3265 numeric
@attribute 3688 numeric
@attribute 3845 numeric
@attribute 387 numeric
@attribute 3897 numeric
@attribute 3983 numeric
@attribute 3984 numeric
@attribute 3985 numeric
@attribute 4233 numeric
@attribute 4690 numeric
@attribute 4772 numeric
@attribute 4773 numeric
@attribute 4775 numeric
@attribute 4776 numeric
@attribute 4893 numeric
@attribute 4917 numeric
@attribute 5058 numeric
@attribute 5062 numeric
@attribute 5063 numeric
@attribute 5361 numeric
@attribute 5362 numeric
@attribute 5364 numeric
@attribute 5365 numeric
@attribute 54437 numeric
@attribute 54910 numeric
@attribute 5530 numeric
@attribute 5532 numeric
@attribute 5533 numeric
@attribute 5534 numeric
@attribute 55558 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 56896 numeric
@attribute 56920 numeric
@attribute 56924 numeric
@attribute 57144 numeric
@attribute 5747 numeric
@attribute 57522 numeric
@attribute 57556 numeric
@attribute 57689 numeric
@attribute 57715 numeric
@attribute 5879 numeric
@attribute 5880 numeric
@attribute 5881 numeric
@attribute 5921 numeric
@attribute 59277 numeric
@attribute 5998 numeric
@attribute 6091 numeric
@attribute 6092 numeric
@attribute 6093 numeric
@attribute 6387 numeric
@attribute 63928 numeric
@attribute 6405 numeric
@attribute 64221 numeric
@attribute 6585 numeric
@attribute 6586 numeric
@attribute 7852 numeric
@attribute 7869 numeric
@attribute 80031 numeric
@attribute 8440 numeric
@attribute 84448 numeric
@attribute 8482 numeric
@attribute 8633 numeric
@attribute 8829 numeric
@attribute 90249 numeric
@attribute 9037 numeric
@attribute 9353 numeric
@attribute 9423 numeric
@attribute 9475 numeric
@attribute 9723 numeric
@attribute 9901 numeric
@attribute 998 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,1.1632,0.5311,0.1948,0.0791,-0.089,0.239,0.2948,1.8285,0.4319,0.0923,0.6877,1.265,1.0352,1.0959,-0.0915,-0.1107,0.1028,0.0825,0.134,0.1307,-0.1224,0.3079,-0.0885,-0.1958,-0.0244,0.3727,-0.1558,0.5562,-0.1163,-0.0768,0.0034,0.013,0.0816,0.0122,0.1675,0.4766,0.1001,-0.0744,0.5518,-0.139,0.2279,0.7327,0.6806,1.9658,0.4177,1.6042,-0.139,-0.0551,0.0531,0.7412,1.6225,-0.1534,0.6628,0.2166,0.4236,2.4273,1.5967,0.765,-0.009,0.488,0.4778,0.752,-0.0539,0.8713,0.454,0.6032,1.3973,0.0341,2.7938,0.0336,1.1544,1.0093,-0.0528,0.2885,0.0228,0.0097,0.0315,-0.0254,0.7004,0.7429,1.2926,1.379,1.3074,0.3581,1.76,1.0952,-0.0982,-0.0192,0.0198,-0.115,0.2595,-0.0355,-0.083,-0.1213,-0.1075,0.6575,1.5732,0.0321,1.2823,0.0219,0.1387,-0.0705,-0.1267,1.5435,-0.0791,-0.1833,-0.0091,0.0589,-0.0553,-0.0501,2.7268,-0.2013,-0.1193,0.9437,0.0285,0.3464,-0.1098,-0.0538,-0.0549,-0.0093,-0.0884,-0.0751,1.0241,-0.1677,0.0256,1.3548,Control
Utah__A02,1.0859,0.4824,0.2198,-8e-04,-0.0609,0.1747,0.1507,1.5171,0.3185,0.1449,0.5874,0.9015,1.067,1.2156,-0.0264,-0.1051,0.089,0.1471,0.1846,0.1237,-0.072,0.2342,-0.1023,-0.0702,0.0871,0.3117,-0.0533,0.2601,-0.0791,-0.0344,0.1062,0.052,0.0841,0.005,0.1568,0.2854,0.1149,0.0131,0.3855,-0.0617,0.2815,0.7351,0.6127,2.2859,0.303,1.263,-0.017,-0.1273,0.0345,0.8012,1.6462,-0.0971,0.4686,0.1883,0.3716,2.1759,1.3547,0.54,-0.0412,0.2409,0.5419,0.5377,0.1428,0.7212,0.3831,0.4413,1.1321,0.0767,2.9993,0.0456,1.1633,0.8765,-0.125,0.2782,0.0632,0.1114,0.0065,0.0633,0.4558,0.6208,0.9495,1.0794,1.0986,0.1921,1.6579,1.0379,-0.0453,0.0514,0.041,-0.1375,0.1285,-0.1234,-0.0528,-0.1666,-0.0989,0.5148,1.4654,-0.0202,0.8797,-0.0248,0.1785,-0.0165,-0.0996,1.2563,-0.0476,-0.162,0.1578,-0.0391,-0.0809,-0.0159,2.4224,-0.1555,-0.1625,0.6136,0.1095,0.3355,-0.0325,-0.0708,0.0674,0.031,-0.0407,-0.0719,0.7698,-0.0884,0.0153,1.0825,Control
Utah__A03,1.2941,0.7743,0.2544,-0.0188,-0.0705,0.2559,0.1756,1.5652,0.3747,0.2266,0.8608,1.1474,1.1651,1.2948,-0.0611,-0.1243,0.159,0.09,0.1631,0.1667,-0.0597,0.3587,-0.1014,-0.1571,0.0349,0.2818,-0.0953,0.285,-0.0941,-0.0949,0.1213,0.036,0.1534,0.0816,0.0938,0.3605,0.0969,-0.0415,0.6974,-0.1135,0.2776,0.8563,0.9845,2.4897,0.4434,1.4626,-0.0125,-0.053,0.0376,0.92,1.7211,-0.1198,0.609,0.1494,0.3757,2.3183,1.6527,0.8594,0.0301,0.2981,0.6022,0.8119,0.1217,0.8561,0.4227,0.7027,1.3502,0.0349,3.0903,0.0127,1.4142,0.9832,-0.1007,0.2886,0.1145,0.1278,0.0211,0.0751,0.537,0.7759,1.2205,1.157,1.2768,0.271,1.9065,1.0752,-0.0788,0.101,-0.0155,-0.2101,0.1567,-0.1005,-0.0411,-0.1348,-0.0973,0.7441,1.5812,0.052,1.0695,-0.0348,0.2854,-0.0309,-0.0817,1.5334,0.0356,-0.1684,0.0928,-0.0664,-0.0615,-0.009,2.2371,-0.1555,-0.1992,0.6927,0.1189,0.3285,-0.0919,0.0019,0.0349,-0.0194,-0.0371,-0.0529,0.9883,-0.092,0.0321,1.3582,Control
Utah__A04,0.9976,0.5908,0.258,0.0172,0.0303,0.3374,0.1763,1.6149,0.3543,0.1144,0.6536,0.9037,0.9444,1.2501,-0.052,-0.1112,0.0557,0.2139,0.1329,0.2109,-0.0627,0.3203,-0.0803,-0.1156,0.1292,0.3759,-0.0462,0.5082,-0.0465,-0.038,0.1105,0.0181,0.0594,0.0372,0.1463,0.338,0.1227,-0.0237,0.3662,-0.084,0.2545,0.6639,0.5399,2.0786,0.3637,1.4429,-0.0227,-0.1028,0.0186,0.8901,1.769,-0.0779,0.5054,0.193,0.3609,2.3751,1.1951,0.5096,0.0493,0.3339,0.5622,0.4586,0.0367,0.7593,0.4964,0.4953,1.1975,0.0412,3.0364,0.1839,1.0138,0.9574,-0.0852,0.3301,0.0524,0.1004,0.1187,0.0436,0.6745,0.692,0.9394,1.2377,1.2271,0.35,1.7434,1.0602,-0.0558,0.0639,0.0146,-0.131,0.158,-0.0894,-0.0495,-0.0802,-0.0648,0.4666,1.5576,0.1357,0.9939,0.0403,0.1572,-0.0311,-0.0818,1.1857,-0.0252,-0.123,0.1005,0.0311,-0.0604,-0.0287,3.1235,-0.0083,-0.1316,0.8155,0.0959,0.2624,-0.0654,-0.0852,0.1261,0.0036,-0.0571,-0.0529,0.9111,-0.0729,-0.0352,1.2386,Control
Utah__A05,1.2788,0.8706,0.2712,-0.0167,-0.0104,0.4448,0.1539,1.667,0.4738,0.3319,0.7912,1.1153,1.04,1.4293,-0.0702,-0.0787,0.0975,0.2055,0.2058,0.2418,-0.0489,0.3894,-0.0466,-0.1103,0.1294,0.2784,-0.0767,0.3814,-0.0837,-0.0558,0.0845,0.0185,0.1197,0.0734,0.1831,0.3799,0.1699,-0.0568,0.7887,-0.0928,0.4219,0.969,0.7843,2.7205,0.4102,1.4763,-0.0465,-0.0409,0.0445,1.0476,1.7746,-0.0967,0.6009,0.1458,0.4772,2.221,1.4096,0.6538,0.0065,0.3786,0.8112,0.759,0.0534,0.8332,0.4674,0.5023,1.2615,0.06,3.3113,0.1809,1.356,1.0515,-0.0745,0.3002,0.1183,0.0733,0.1776,0.0099,0.6713,0.7965,1.0923,1.1578,1.3083,0.2767,1.9721,1.2157,-0.0815,0.0624,0.0071,-0.1045,0.2684,-0.0528,-0.0882,-0.0781,-0.0827,0.6929,1.5776,0.0025,1.1017,-0.0415,0.2336,-0.0269,-0.1221,1.4238,0.0069,-0.0599,0.0694,0.0212,-0.0508,-0.0448,2.5718,-0.0987,-0.142,0.7393,0.0648,0.4224,-0.0524,-0.0537,0.0448,-0.0058,-0.0556,-0.0404,1.0007,-0.0502,-0.0026,1.2977,Control
Utah__A06,1.1841,0.6335,0.1644,0.0215,-0.0374,0.2364,0.2147,1.6207,0.3154,0.2823,0.669,1.066,1.0048,1.3792,-0.0843,-0.1322,0.1424,0.0326,0.109,0.1908,-0.043,0.2775,-0.073,-0.1873,0.0546,0.3171,-0.0772,0.2509,-0.0829,-0.048,0.0464,0.0416,0.076,0.0407,0.0882,0.3056,0.0195,-0.0341,0.707,-0.1396,0.3305,0.7818,0.844,2.3513,0.411,1.3895,-0.0797,-0.126,0.0635,0.8391,1.6716,-0.133,0.5351,0.0669,0.2467,2.0446,1.4336,0.5802,-0.0739,0.4048,0.5633,0.6212,0.0458,0.6693,0.3325,0.4665,1.1902,0.0137,2.8748,-0.0173,1.2821,0.8871,-0.128,0.2323,0.1027,0.0796,0.0187,0.0504,0.5369,0.6451,0.9526,0.9225,1.1683,0.1477,1.8749,1.0037,-0.0489,-0.0111,-0.0042,-0.1807,0.1239,0.0172,-0.0476,-0.0978,-0.1139,0.5468,1.518,0.0266,0.9595,-0.0066,0.1711,-0.0409,-0.1344,1.3049,5e-04,-0.0916,0.0966,-0.0418,-0.0804,0.0105,3.0026,-0.1537,-0.1608,0.5958,0.0652,0.2803,-0.0547,0.0125,0.0142,-0.0109,-0.0846,-0.0619,0.8291,-0.1008,0.0388,1.1472,Control
Utah__A07,1.377,0.675,0.2179,-0.0206,-0.0279,0.1105,0.2487,1.6395,0.3817,0.3367,0.5738,1.256,0.8094,1.3022,-0.0439,-0.1326,0.116,0.0926,0.1785,0.1983,-0.078,0.2325,-0.0817,-0.1695,0.2125,0.3861,-0.0818,0.4105,-0.0566,-0.0333,0.0959,0.1687,0.1052,0.0821,0.1283,0.3384,0.0094,-0.0102,0.661,-0.0984,0.2616,0.7097,0.8817,2.3504,0.4552,1.8589,-0.0108,-0.0093,0.0356,0.9528,1.7793,-0.0916,0.8251,0.0858,0.364,2.4763,1.7064,0.7994,-0.0766,0.3989,0.5803,0.6768,0.0411,0.926,0.3693,0.6422,1.3738,0.0071,2.9085,0.0957,1.3527,1.0399,-0.1132,0.2968,0.111,0.1265,0.0391,0.0461,0.7167,1.0466,1.3272,1.1807,1.5577,0.2198,1.9127,0.9863,-0.048,0.0556,0.0223,-0.1822,0.2112,-0.0936,-0.0475,-0.1604,-0.1164,0.7206,1.6586,0.0042,1.3399,-0.052,0.2352,-0.0249,-0.1057,1.5625,-0.1415,-0.1397,0.0803,-0.0141,-0.0886,-0.0146,2.2907,-0.1279,-0.1789,0.9159,0.1191,0.3183,-0.0383,0.0197,0.0581,0.0229,-0.0548,-0.0788,1.0158,-0.088,0.0596,1.571,Control
Utah__A08,1.3439,0.4113,0.2161,-0.0402,-0.1069,0.1674,0.318,1.6975,0.3284,0.176,0.5525,1.3488,0.6964,1.1024,-0.0934,-0.1252,0.1016,0.059,0.0777,0.0162,-0.0834,0.16,-0.1379,-0.1473,-0.0346,0.374,-0.1255,0.4554,-0.1037,-0.1315,-0.0134,-0.0088,0.0074,-0.0346,0.1027,0.364,0.0891,-0.0859,0.4045,-0.1292,0.1795,0.6115,0.9059,1.8461,0.5692,1.9941,-0.168,-0.0511,-0.0088,0.8292,1.4607,-0.1201,1.0661,0.126,0.2967,2.328,1.6216,0.8642,-0.0364,0.5485,0.421,0.7857,-0.0034,0.9677,0.4111,0.8832,1.5498,0.0676,2.6904,0.002,1.1951,1.2064,-0.0907,0.2761,0.0826,0.0376,-0.0048,0.0223,0.6084,1.1754,1.4644,1.5305,1.735,0.2622,1.9432,1.0102,-0.0664,-0.0324,0.0158,-0.1377,0.2145,-0.0121,-0.0637,-0.1163,-0.0745,0.8123,1.3993,-0.0309,1.5435,-0.0076,0.2817,-0.0768,-0.127,1.5997,-0.0901,-0.2384,0.0052,0.0146,-0.1124,-0.0582,2.3261,-0.2134,-0.1469,1.1216,0.0649,0.2544,-0.0842,-0.0904,-0.0821,-0.0161,-0.0837,-0.0757,0.995,-0.1844,0.017,1.6801,Control
Utah__A09,1.3861,0.536,0.2022,-0.0112,-0.0505,0.2066,0.2475,1.7249,0.3422,0.2082,0.6291,1.1755,0.8021,1.2395,-0.0544,-0.1017,0.0838,0.0188,0.1266,0.1843,-0.0863,0.2338,-0.0612,-0.1585,0.1341,0.3271,-0.0903,0.4378,-0.0904,-0.0599,0.1236,0.063,0.0697,0.0854,0.1314,0.3035,0.0329,-0.0259,0.4434,-0.0932,0.2956,0.8489,0.7068,1.9465,0.4045,1.7212,-0.048,-0.0433,-0.0266,0.8156,1.6021,-0.1093,0.7154,0.182,0.349,2.5756,1.5553,0.5863,-0.0194,0.4365,0.4957,0.7065,0.0382,0.8191,0.3756,0.6233,1.2729,0.0135,2.8883,0.0469,1.2691,0.9376,-0.075,0.2824,0.1236,0.1283,0.0124,0.0721,0.5912,0.8882,1.2405,1.1693,1.3777,0.2467,1.8616,1.0062,-0.0686,0.0532,0.0176,-0.1253,0.2051,-0.0456,-0.0504,-0.0889,-0.0841,0.5927,1.481,-0.0055,1.182,-0.0273,0.1198,-0.0615,-0.097,1.5151,-0.0697,-0.1799,0.1303,-0.0343,-0.0659,-0.0124,2.5767,-0.0894,-0.1524,0.9109,0.1064,0.3728,-0.052,-0.0447,0.0395,0.005,-0.0575,-0.0561,0.8802,-0.1191,0.0495,1.4154,Control
Utah__A10,1.4356,0.6306,0.2588,-0.0506,-0.0163,0.3059,0.2029,1.7858,0.4214,0.2965,0.5694,1.2398,0.8108,1.2083,-0.0911,-0.0861,0.0914,0.1384,0.1272,0.1457,-0.0511,0.2258,-0.0525,-0.0915,0.0619,0.2147,-0.0815,0.5024,-0.1062,-0.0937,-0.0034,-0.0383,0.053,0.014,0.147,0.2747,0.0877,-0.0354,0.5292,-0.1088,0.3446,0.9036,0.8573,2.0946,0.4425,1.9662,-0.082,-0.0662,0.1115,0.853,1.722,-0.1104,0.9142,0.2188,0.398,2.7093,1.4415,0.7708,-0.0028,0.3797,0.5862,0.7383,0.0124,0.932,0.3753,0.7374,1.4029,0.0178,2.9966,0.0581,1.3532,1.0688,-0.0677,0.2155,0.0943,0.0548,0.0813,-0.0063,0.7021,1.0953,1.2521,1.4239,1.6032,0.2638,1.9537,0.9394,-0.1532,-0.0225,0.008,-0.1066,0.2446,-0.014,-0.0731,-0.1003,-0.0595,0.7228,1.5596,0.0557,1.3374,0.0202,0.2955,-0.0529,-0.1091,1.483,-0.0068,-0.1298,0.0353,-0.025,-0.0704,-0.0359,2.3087,-0.1521,-0.1446,0.9163,0.0564,0.3947,-0.0523,-0.0603,0.0364,0.0384,-0.0672,-0.045,1.1883,-0.1095,3e-04,1.5851,Control
