@relation data

@attribute id string
@attribute 27010 numeric
@attribute 79178 numeric
@attribute 84284 numeric
@attribute 9054 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.364,0.2825,0.1852,0.668,Control
Utah__A02,0.1926,0.1598,0.146,0.4674,Control
Utah__A03,0.2648,0.1461,0.2341,0.5732,Control
Utah__A04,0.2716,0.101,0.2165,0.4569,Control
Utah__A05,0.3555,0.4248,0.1665,0.6542,Control
Utah__A06,0.2605,0.2344,0.2561,0.5128,Control
Utah__A07,0.4609,0.3129,0.3283,0.5897,Control
Utah__A08,0.6346,0.2644,0.259,0.536,Control
Utah__A09,0.3896,0.1525,0.1447,0.5729,Control
Utah__A10,0.4998,0.2806,0.1995,0.5892,Control
Utah__A11,0.2513,0.0901,0.1499,0.5801,Control
Utah__A12,0.1858,-0.1598,0.1744,0.2771,Control
Utah__B01,0.3392,0.0048,0.2449,0.4672,Control
Utah__B02,0.3001,0.1235,0.1726,0.594,Control
Utah__B03,0.2991,0.1526,0.2925,0.5144,BRCACancer
Utah__B04,0.5757,0.2222,0.4384,0.4038,BRCACancer
Utah__B05,0.2136,-0.1228,0.1971,0.3349,BRCACancer
Utah__B06,0.1763,-0.2806,0.316,0.1901,BRCACancer
Utah__B07,0.2882,0.1449,0.3514,0.6857,BRCACancer
Utah__B08,0.1583,0.0835,0.1455,0.5871,Control
Utah__B09,0.4833,0.1273,0.0981,0.2576,Control
Utah__B10,0.3664,0.0758,0.1075,0.282,Control
Utah__B11,0.2704,0.0557,0.2165,0.4651,Control
Utah__B12,0.4057,0.1945,0.0926,0.2291,Control
Utah__C01,0.3107,0.2233,0.3587,0.5967,BRCACancer
Utah__C02,0.2555,0.2258,0.2071,0.5991,BRCACancer
Utah__C03,0.2995,0.4502,0.3715,0.7015,BRCACancer
Utah__C04,0.1264,-0.0572,0.0517,0.3026,Control
Utah__C05,0.1567,0.1163,0.0343,0.343,BRCACancer
Utah__C06,-0.1145,-0.3111,0.085,0.0308,Control
Utah__C07,0.1719,0.0017,0.0661,0.3201,Control
Utah__C08,0.1577,0.0532,0.22,0.5209,Control
Utah__C09,0.0996,0.022,0.0987,0.4497,Control
Utah__C10,0.1723,0.0449,0.107,0.4344,BRCACancer
Utah__C11,0.1956,0.2396,0.1725,0.5325,Control
Utah__C12,0.0843,0.1937,0.0739,0.2608,BRCACancer
Utah__D01,0.4138,0.3003,0.1576,0.47,BRCACancer
Utah__D02,0.1288,0.191,0.0331,0.4287,BRCACancer
Utah__D03,0.1308,0.0361,0.0543,0.2931,BRCACancer
Utah__D04,0.1774,0.2104,0.1443,0.4611,BRCACancer
Utah__D05,0.2099,0.0436,0.0897,0.4046,BRCACancer
Utah__D06,0.2032,0.2692,0.1178,0.5475,BRCACancer
Utah__D07,0.1522,0.2891,0.1264,0.5151,Control
Utah__D08,0.121,0.0204,0.1407,0.2496,Control
Utah__D09,0.1841,0.0627,0.2025,0.5296,Control
Utah__D10,0.1488,0.0479,0.0768,0.3386,Control
Utah__D11,-0.0667,-0.0819,-0.0364,0.1377,Control
Utah__D12,0.0577,0.1464,0.0948,0.3473,Control
Utah__E01,0.1165,-0.0596,0.0975,0.3577,BRCACancer
Utah__E02,0.2671,0.191,0.1587,0.5225,Control
Utah__E03,0.1362,0.2637,0.1079,0.5227,Control
Utah__E04,0.2594,0.365,0.1571,0.5187,Control
Utah__E05,0.2504,0.0161,0.2198,0.3034,Control
Utah__E06,0.2429,-0.0629,0.1497,0.2279,BRCACancer
Utah__E07,0.1721,0.3047,0.2466,0.4568,BRCACancer
Utah__E08,0.1972,0.3101,0.1308,0.5078,Control
Utah__E09,0.2101,0.1607,0.2031,0.439,BRCACancer
Utah__E10,0.2978,0.2189,0.168,0.4935,BRCACancer
Utah__E11,0.1668,-0.0312,0.0461,0.3516,Control
Utah__E12,0.0501,-0.0527,0.0921,0.2599,BRCACancer
Utah__F01,0.2127,0.3972,0.1616,0.5092,Control
Utah__F02,0.2094,0.3546,0.3003,0.593,Control
Utah__F03,0.117,0.1665,0.2076,0.4405,Control
Utah__F04,0.2017,0.325,0.2492,0.4643,Control
Utah__F05,0.2216,-0.0102,0.1787,0.5233,Control
Utah__F06,0.1718,0.0175,0.1582,0.3205,Control
Utah__F07,0.3923,0.2421,0.1248,0.5048,Control
Utah__F09,0.2622,0.3781,0.2219,0.7214,Control
Utah__F10,0.3385,0.3588,0.2183,0.6411,Control
Utah__F11,0.1445,0.197,0.1544,0.5219,Control
Utah__F12,0.324,0.18,0.23,0.4645,Control
Utah__G01,0.1886,0.2718,0.2114,0.4534,Control
Utah__G02,0.1359,0.1439,0.1035,0.3918,Control
Utah__G03,0.3129,0.2962,0.3681,0.5888,Control
