@relation data

@attribute id string
@attribute 3141 numeric
@attribute 686 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.2005,0.4383,Control
Utah__A02,0.0582,0.2735,Control
Utah__A03,0.1623,0.3887,Control
Utah__A04,0.1483,0.3616,Control
Utah__A05,0.1545,0.4077,Control
Utah__A06,0.1337,0.3185,Control
Utah__A07,0.2315,0.4093,Control
Utah__A08,0.3375,0.4007,Control
Utah__A09,0.2109,0.3214,Control
Utah__A10,0.1986,0.432,Control
Utah__A11,0.205,0.3114,Control
Utah__A12,0.0412,0.2868,Control
Utah__B01,0.1872,0.249,Control
Utah__B02,0.1747,0.37,Control
Utah__B03,0.2005,0.3442,BRCACancer
Utah__B04,0.2957,0.223,BRCACancer
Utah__B05,0.1384,0.2584,BRCACancer
Utah__B06,0.0102,0.1065,BRCACancer
Utah__B07,0.1036,0.409,BRCACancer
Utah__B08,0.1066,0.2595,Control
Utah__B09,0.2653,0.1076,Control
Utah__B10,0.1633,0.1876,Control
Utah__B11,0.0847,0.2661,Control
Utah__B12,0.1335,0.121,Control
Utah__C01,0.0981,0.3475,BRCACancer
Utah__C02,0.0954,0.3967,BRCACancer
Utah__C03,0.1473,0.4328,BRCACancer
Utah__C04,0.0405,0.1361,Control
Utah__C05,0.0321,0.2056,BRCACancer
Utah__C06,0.0682,0.0383,Control
Utah__C07,0.082,0.2167,Control
Utah__C08,0.1451,0.2794,Control
Utah__C09,0.0973,0.2218,Control
Utah__C10,0.0555,0.2803,BRCACancer
Utah__C11,0.1592,0.2023,Control
Utah__C12,0.0587,0.1079,BRCACancer
Utah__D01,0.2742,0.298,BRCACancer
Utah__D02,0.1436,0.215,BRCACancer
Utah__D03,0.0774,0.2039,BRCACancer
Utah__D04,0.0706,0.2284,BRCACancer
Utah__D05,0.0675,0.235,BRCACancer
Utah__D06,0.1789,0.3522,BRCACancer
Utah__D07,0.1281,0.262,Control
Utah__D08,0.1057,0.0984,Control
Utah__D09,0.1187,0.1714,Control
Utah__D10,0.1082,0.1902,Control
Utah__D11,0.0619,0.0731,Control
Utah__D12,0.0833,0.007,Control
Utah__E01,0.0444,0.2119,BRCACancer
Utah__E02,0.1073,0.3455,Control
Utah__E03,0.079,0.2581,Control
Utah__E04,0.0845,0.3576,Control
Utah__E05,0.0943,0.3079,Control
Utah__E06,0.0307,0.2217,BRCACancer
Utah__E07,0.0841,0.1715,BRCACancer
Utah__E08,0.0913,0.2832,Control
Utah__E09,0.1149,0.2949,BRCACancer
Utah__E10,0.1657,0.3368,BRCACancer
Utah__E11,0.0841,0.2386,Control
Utah__E12,0.0599,0.1805,BRCACancer
Utah__F01,0.1688,0.3824,Control
Utah__F02,0.097,0.3733,Control
Utah__F03,0.1062,0.4058,Control
Utah__F04,0.1443,0.2464,Control
Utah__F05,0.1394,0.3246,Control
Utah__F06,0.0237,0.2128,Control
Utah__F07,0.1999,0.3252,Control
Utah__F09,0.1303,0.4485,Control
Utah__F10,0.1654,0.352,Control
Utah__F11,0.1115,0.3344,Control
Utah__F12,0.1844,0.3536,Control
Utah__G01,0.1388,0.2511,Control
Utah__G02,0.086,0.1956,Control
Utah__G03,0.1241,0.3849,Control
Utah__G04,0.0833,0.3004,BRCACancer
Utah__G05,0.1617,0.1011,BRCACancer
Utah__G06,0.101,0.3581,BRCACancer
Utah__G07,0.0617,0.267,Control
Utah__G08,0.1703,0.3344,Control
Utah__G09,0.1136,0.1034,Control
Utah__G10,0.0416,0.2198,BRCACancer
Utah__G11,0.0473,0.1259,BRCACancer
Utah__G12,0.0799,0.2548,BRCACancer
Utah__H01,0.0323,0.2152,Control
Utah__H02,0.1087,0.1669,Control
Utah__H03,0.144,0.214,Control
Utah__H04,0.1235,0.3586,Control
Utah__H06,0.0655,0.2485,Control
Utah__H07,0.0697,0.2056,BRCACancer
Utah__H08,0.0844,0.1098,BRCACancer
Utah__H09,0.111,0.135,BRCACancer
Utah__H10,0.0061,0.1821,BRCACancer
Utah__H11,0.0624,0.3799,BRCACancer
Utah__H12,0.1866,0.3667,BRCACancer
Utah__I01,0.2209,0.2873,Control
Utah__I02,0.1092,0.2001,Control
Utah__I03,0.0611,0.1911,Control
Utah__I04,0.0862,0.2837,Control
