@relation data

@attribute id string
@attribute 10228 numeric
@attribute 112755 numeric
@attribute 2054 numeric
@attribute 23673 numeric
@attribute 6616 numeric
@attribute 6804 numeric
@attribute 6809 numeric
@attribute 6810 numeric
@attribute 6811 numeric
@attribute 6843 numeric
@attribute 6844 numeric
@attribute 8417 numeric
@attribute 8675 numeric
@attribute 8676 numeric
@attribute 8677 numeric
@attribute 9482 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.8657,-0.0392,0.8079,1.1258,-0.1894,0.1231,0.7927,1.0049,1.1894,1.3418,1.6061,1.3386,1.531,0.8182,1.4214,0.2236,Control
Utah__A02,0.7686,-0.053,0.6916,0.9487,-0.2133,0.1268,0.5182,0.9637,0.8884,1.1071,1.4751,1.0924,1.2358,0.7259,1.333,0.0866,Control
Utah__A03,0.8435,-0.1017,0.9209,1.143,-0.2007,0.1432,0.6755,1.0403,1.1291,1.2042,1.6377,1.281,1.3637,1.3098,1.5205,0.2102,Control
Utah__A04,0.6929,-0.0421,0.7488,0.9639,-0.1396,0.1704,0.4495,0.8141,0.9143,1.1316,1.573,1.1673,1.209,1.0071,1.3512,0.1223,Control
Utah__A05,0.8604,-0.0187,0.6553,1.2649,-0.1728,0.2352,0.8656,1.1033,1.0678,1.088,1.5643,1.4105,1.2936,1.3093,1.8153,0.1985,Control
Utah__A06,0.8698,-0.0703,0.535,1.0403,-0.1568,0.1017,0.7932,0.8768,1.0585,1.0911,1.4545,1.0941,1.2838,1.1677,1.4712,0.0565,Control
Utah__A07,1.0894,-0.0415,0.8495,1.1835,-0.177,0.1564,0.8182,0.968,1.0756,1.2233,1.3443,1.6116,1.4624,1.1961,1.4615,0.2405,Control
Utah__A08,0.9563,-0.0347,0.7804,1.129,-0.1349,0.0678,0.6584,0.9165,1.0092,1.2804,1.3689,1.534,1.5235,1.2412,1.1418,0.4046,Control
Utah__A09,0.8419,-0.0719,0.9049,0.9132,-0.1564,0.1793,0.6625,0.937,0.9149,0.9655,1.4569,1.3376,1.4431,1.1358,1.3026,0.2118,Control
Utah__A10,0.9403,0.0225,0.736,1.149,-0.1645,0.1507,0.9208,0.9389,1.0445,1.1547,1.5069,1.5111,1.3649,1.6746,1.3106,0.2748,Control
Utah__A11,0.6408,-0.078,0.806,0.7618,-0.1109,0.0254,0.5474,0.8112,0.9012,0.9409,1.446,0.9785,1.1884,0.693,1.2033,0.2066,Control
Utah__A12,0.5718,-0.2425,0.3822,0.6426,-0.1327,0.2015,0.1838,0.6181,0.5271,0.6775,1.1582,0.6944,0.7566,0.4243,0.8773,-0.0091,Control
Utah__B01,0.7663,-0.2621,0.9408,0.9185,-0.1144,-0.0846,0.5955,0.6719,1.05,1.291,1.4149,1.2017,1.4167,0.8204,0.8934,0.1852,Control
Utah__B02,0.9144,-0.1046,0.8309,1.0533,-0.1509,0.087,0.6234,1.0872,1.2234,1.3966,1.7608,1.2278,1.4443,0.9901,1.5711,0.1173,Control
Utah__B03,0.8478,-0.128,0.9708,0.9477,-0.1063,-0.0585,0.6549,0.9285,1.0994,1.3118,1.5403,1.2599,1.3964,0.9252,1.3043,0.1751,BRCACancer
Utah__B04,1.0442,-0.1179,0.829,1.0692,-0.1875,0.1089,0.7325,0.8341,0.9467,1.1488,1.3858,1.4455,1.4618,1.0612,0.9366,0.3894,BRCACancer
Utah__B05,0.6845,-0.1393,0.376,0.8833,-0.2183,0.1112,0.2818,0.9448,0.9629,0.9185,1.4872,1.0403,1.2506,0.677,1.1697,0.1298,BRCACancer
Utah__B06,0.6724,-0.2869,0.7353,0.7898,-0.0682,-0.0082,0.7353,0.5646,0.7792,1.2523,0.9928,1.1998,1.1599,0.5692,0.734,0.052,BRCACancer
Utah__B07,0.8514,-0.0877,1.0488,1.1725,-0.1793,0.1932,0.7923,1.1398,1.1322,1.4802,1.6564,1.4488,1.4635,0.7857,1.3782,0.1298,BRCACancer
Utah__B08,0.8096,0,0.7288,0.9242,-0.142,0.2205,0.6178,1.0104,1.0445,1.1053,1.4257,1.0627,1.3254,0.6029,1.5897,0.1249,Control
Utah__B09,0.7371,-0.1827,0.5215,0.8616,-0.1833,0.0796,0.5501,0.7957,0.8023,1.4125,1.6074,1.3184,1.3873,0.8817,0.7606,0.4687,Control
Utah__B10,0.7754,-0.151,0.5388,0.8615,-0.1355,0.0817,0.4579,0.7207,0.7079,0.768,1.2783,1.2127,1.1123,0.8039,0.8817,0.1793,Control
Utah__B11,0.8053,-0.0145,0.7142,0.951,-0.1296,0.1586,0.6205,1.0446,0.8295,0.7132,1.3672,1.0271,1.1187,1.0006,1.3686,0.1425,Control
