@relation data

@attribute id string
@attribute 3141 numeric
@attribute 686 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.1941,0.4331,Control
Utah__A02,0.0511,0.2704,Control
Utah__A03,0.1558,0.3841,Control
Utah__A04,0.1417,0.3574,Control
Utah__A05,0.1479,0.4029,Control
Utah__A06,0.1271,0.3148,Control
Utah__A07,0.2253,0.4045,Control
Utah__A08,0.3318,0.396,Control
Utah__A09,0.2046,0.3177,Control
Utah__A10,0.1923,0.4269,Control
Utah__A11,0.1986,0.3078,Control
Utah__A12,0.0341,0.2835,Control
Utah__B01,0.1808,0.2462,Control
Utah__B02,0.1682,0.3657,Control
Utah__B03,0.1942,0.3402,BRCACancer
Utah__B04,0.2898,0.2205,BRCACancer
Utah__B05,0.1317,0.2554,BRCACancer
Utah__B06,0.0029,0.1054,BRCACancer
Utah__B07,0.0968,0.4042,BRCACancer
Utah__B08,0.0998,0.2565,Control
Utah__B09,0.2592,0.1065,Control
Utah__B10,0.1568,0.1855,Control
Utah__B11,0.0778,0.263,Control
Utah__B12,0.1268,0.1197,Control
Utah__C01,0.0912,0.3435,BRCACancer
Utah__C02,0.0886,0.392,BRCACancer
Utah__C03,0.1407,0.4276,BRCACancer
Utah__C04,0.0334,0.1346,Control
Utah__C05,0.0249,0.2033,BRCACancer
Utah__C06,0.0612,0.0381,Control
Utah__C07,0.075,0.2143,Control
Utah__C08,0.1385,0.2762,Control
Utah__C09,0.0905,0.2193,Control
Utah__C10,0.0484,0.2771,BRCACancer
Utah__C11,0.1526,0.2,Control
Utah__C12,0.0517,0.1068,BRCACancer
Utah__D01,0.2682,0.2946,BRCACancer
Utah__D02,0.137,0.2126,BRCACancer
Utah__D03,0.0705,0.2016,BRCACancer
Utah__D04,0.0636,0.2258,BRCACancer
Utah__D05,0.0605,0.2323,BRCACancer
Utah__D06,0.1724,0.3481,BRCACancer
Utah__D07,0.1214,0.259,Control
Utah__D08,0.0989,0.0974,Control
Utah__D09,0.112,0.1695,Control
Utah__D10,0.1014,0.1881,Control
Utah__D11,0.0548,0.0724,Control
Utah__D12,0.0764,0.0071,Control
Utah__E01,0.0373,0.2095,BRCACancer
Utah__E02,0.1005,0.3415,Control
Utah__E03,0.0721,0.2551,Control
Utah__E04,0.0775,0.3534,Control
Utah__E05,0.0874,0.3043,Control
Utah__E06,0.0235,0.2192,BRCACancer
Utah__E07,0.0772,0.1696,BRCACancer
Utah__E08,0.0844,0.2799,Control
Utah__E09,0.1082,0.2915,BRCACancer
Utah__E10,0.1592,0.3328,BRCACancer
Utah__E11,0.0772,0.2359,Control
Utah__E12,0.0528,0.1785,BRCACancer
Utah__F01,0.1623,0.3779,Control
Utah__F02,0.0901,0.3689,Control
Utah__F03,0.0994,0.401,Control
Utah__F04,0.1377,0.2435,Control
Utah__F05,0.1328,0.3208,Control
Utah__F06,0.0164,0.2104,Control
Utah__F07,0.1935,0.3214,Control
Utah__F09,0.1236,0.4432,Control
