@relation data

@attribute id string
@attribute 197258 numeric
@attribute 2203 numeric
@attribute 226 numeric
@attribute 229 numeric
@attribute 230 numeric
@attribute 231 numeric
@attribute 2762 numeric
@attribute 29085 numeric
@attribute 29925 numeric
@attribute 29926 numeric
@attribute 3098 numeric
@attribute 3099 numeric
@attribute 3101 numeric
@attribute 3795 numeric
@attribute 4351 numeric
@attribute 5207 numeric
@attribute 5208 numeric
@attribute 5209 numeric
@attribute 5210 numeric
@attribute 5211 numeric
@attribute 5213 numeric
@attribute 5214 numeric
@attribute 5372 numeric
@attribute 5373 numeric
@attribute 57016 numeric
@attribute 57103 numeric
@attribute 6652 numeric
@attribute 7167 numeric
@attribute 7264 numeric
@attribute 80201 numeric
@attribute 8776 numeric
@attribute 8789 numeric
@attribute 8790 numeric
@attribute 8898 numeric
@attribute 9107 numeric
@attribute 9108 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.4689,1.1313,0.9067,-0.0711,0.7829,0.6158,0.1438,0.5119,0.4101,0.8542,0.5646,0.2692,0.9774,0.0244,0.7928,-0.0841,0.5939,0.8151,0.6798,1.1168,0.8282,0.7598,0.3277,0.6062,0.008,1.1085,0.4082,0.0434,1.1524,0.2878,1.1335,-0.097,1.2217,0.942,1.7637,-0.0358,Control
Utah__A02,0.3307,1.2318,0.8206,-0.0019,0.4329,0.6193,0.099,0.4457,0.4136,0.686,0.5452,0.2585,1.0388,0.1221,0.3605,-0.1347,0.5636,0.6129,0.595,0.9413,0.2908,0.5417,0.2134,0.3534,0.0677,0.9231,0.1934,-0.0629,1.0421,-0.0353,0.7792,-0.1359,0.998,0.726,1.543,-0.069,Control
Utah__A03,0.4215,1.3374,0.8874,-0.0548,0.4582,0.5269,0.1769,0.6912,0.4343,0.8852,0.6117,0.3822,1.3051,0.1129,0.379,-0.1913,0.5603,1.056,0.8678,1.1275,0.5222,0.5906,0.3554,0.5276,0.0427,1.1969,0.2844,0.0409,1.2124,-0.0581,0.9867,-0.1015,1.0402,0.9611,1.7335,-0.0787,Control
Utah__A04,0.3516,1.0915,0.9468,-0.0367,0.5394,0.4996,0.1427,0.5741,0.4233,0.7225,0.5447,0.1612,0.9648,0.0835,0.5653,-0.1496,0.5099,0.7674,0.5702,1.1086,0.4084,0.4545,0.2977,0.3978,0.0059,0.5527,0.2587,0.1444,0.9456,0.0755,0.8775,-0.0683,1.0217,0.7383,1.3983,-0.0458,Control
Utah__A05,0.4607,1.6454,1.0027,-0.0505,0.7075,0.4831,0.1589,0.6072,0.6163,0.9053,0.6485,0.3028,1.5404,0.1082,0.5854,-0.0834,0.681,1.01,0.8797,1.2248,0.5608,0.6402,0.372,0.5018,0.0324,0.9461,0.2493,0.0923,1.2896,0.0357,0.8747,-0.0838,1.3287,0.9396,1.6923,-0.0427,Control
Utah__A06,0.3538,1.595,0.9118,-0.1266,0.5558,0.6409,0.1194,0.3922,0.4437,0.8612,0.5774,0.3578,1.3195,0.0151,0.3729,-0.164,0.6032,1.1342,0.8411,0.9875,0.4095,0.3528,0.2619,0.4991,0.084,0.9543,0.3982,0.0288,1.0271,0.0395,0.927,-0.3016,1.0672,0.8198,1.6635,-0.096,Control
Utah__A07,0.3851,1.2609,0.8797,-0.1198,0.5927,0.5301,0.2816,0.5672,0.5574,0.8091,0.588,0.5118,1.1829,0.126,0.4911,-0.1702,0.7096,0.8281,0.7295,1.0338,0.5202,0.4445,0.2703,0.6893,0.0587,1.0486,0.2857,-0.0221,1.1459,0.1172,1.074,-0.2142,1.3923,0.8648,1.741,-0.0924,Control
Utah__A08,0.3354,1.0413,0.7384,-0.0251,0.539,0.5944,0.3792,0.4796,0.361,0.5775,0.5819,0.3109,0.8672,-0.0075,0.5883,-0.0572,0.4963,0.8957,0.6944,0.9493,0.5014,0.4732,0.2246,0.8029,-0.0151,0.7378,0.2777,-0.0816,0.8601,0.1349,1.178,-0.1236,1.2054,0.863,1.4912,-0.0531,Control
Utah__A09,0.3809,1.3109,0.825,-0.0927,0.5857,0.5278,0.2405,0.4874,0.5043,0.6178,0.5461,0.395,1.0264,0.0296,0.5185,-0.1247,0.5187,0.8364,0.6155,1.0039,0.5973,0.4198,0.2426,0.6577,0.059,0.9875,0.3543,0.0231,1.1676,0.148,1.0636,-0.1036,1.0483,0.8613,1.6616,-0.082,Control
Utah__A10,0.3734,1.1819,0.8858,0.0067,0.4628,0.5073,0.3124,0.5811,0.4805,0.826,0.5709,0.5263,1.1307,-0.014,0.4614,-0.1196,0.513,0.7985,0.7364,0.9683,0.7058,0.5202,0.2888,0.6189,0.0033,0.8861,0.2495,0.0509,0.9823,-0.0585,1.017,-0.1064,1.3955,1.0075,1.6577,-0.0244,Control
Utah__A11,0.3536,1.233,0.8082,0.0059,0.6472,0.4763,0.1147,0.4404,0.3268,0.6127,0.4796,0.1556,0.5762,0.0498,0.4675,-0.1087,0.2961,0.689,0.4328,0.9436,0.543,0.4124,0.3076,0.4389,0.013,0.9326,0.3328,-0.1353,1.1784,-0.0532,0.8603,-0.1188,0.7402,0.8733,1.4998,-0.0585,Control
Utah__A12,0.2483,0.7841,0.6468,-0.0527,0.4187,0.6338,0.1148,0.2285,0.3996,0.6399,0.3259,0.2338,0.5295,0.0957,0.196,-0.0636,0.3544,0.4227,0.5702,0.5409,0.2834,0.2971,0.0631,0.2344,0.091,0.4674,0.2883,-0.3626,0.9266,-0.1191,0.5286,-0.0647,0.536,0.5984,0.9939,-0.0249,Control
Utah__B01,0.2328,0.9167,0.6449,-0.0578,0.4975,0.7727,0.1484,0.1628,0.3924,0.5832,0.4444,0.2669,0.6442,0.0201,0.5069,-0.0267,0.6355,0.7645,0.6535,0.6519,0.6693,0.3016,0.1157,0.5346,0.1176,0.7992,0.2648,-0.306,0.7619,-0.0869,1.044,-0.2477,0.9255,0.7147,1.5604,-0.0234,Control
Utah__B02,0.5166,1.3577,1.0101,-0.0841,0.8681,0.7632,0.1199,0.6718,0.6445,0.9299,0.5424,0.2513,1.1232,0.0169,0.6699,-0.0589,0.6739,1.0836,0.7125,1.1309,0.7155,0.5787,0.3282,0.4734,0.0361,0.8922,0.3934,0.0502,1.2777,0.0694,0.9103,-0.1461,1.1026,0.8688,1.6525,-0.0272,Control
Utah__B03,0.3424,1.2379,0.9026,0.0208,0.6269,0.6348,0.1114,0.4601,0.4975,0.6471,0.5497,0.2746,1.0019,-0.0092,0.5263,-0.0079,0.6139,0.8058,0.6567,0.9426,0.6192,0.4747,0.2597,0.4996,0.0951,0.8578,0.1864,-0.071,0.9813,0.0129,0.9631,-0.083,0.9493,0.8014,1.6642,0.0183,BRCACancer
Utah__B04,0.2836,0.5982,0.6733,-0.0178,0.2256,0.6028,0.4008,0.3806,0.3313,0.5657,0.5174,0.4651,0.9419,-0.0241,0.2746,-0.1484,0.4058,0.683,0.5935,0.7603,0.3125,0.599,0.1367,0.7253,0.0375,0.6306,0.3517,-0.1278,0.5872,-0.13,0.9683,-0.1085,0.8645,0.7672,1.2161,-0.0874,BRCACancer
Utah__B05,0.2694,1.5026,0.8295,-0.0336,0.4795,0.5759,0.162,0.5016,0.4273,0.7182,0.3784,0.3033,0.9058,0.1403,0.3269,-0.1427,0.8107,1.111,0.63,0.8454,0.1446,0.378,0.1273,0.371,0.0879,0.6878,0.3266,-0.0812,0.942,-0.0725,0.8857,-0.1047,0.6419,0.6445,1.3676,-0.1043,BRCACancer
Utah__B06,0.045,0.6624,0.4782,-0.0099,0.1859,0.4944,0.1424,0.0339,0.2186,0.4947,0.2751,0.2822,0.7705,-0.11,0.121,-0.0999,0.6098,0.4333,0.422,0.3903,0.5855,0.0626,-0.0677,0.3953,0.1917,0.6518,0.1205,-0.5339,0.4436,-0.162,0.707,-0.3678,1.0149,0.5827,1.1505,2e-04,BRCACancer
Utah__B07,0.4935,1.2397,0.8449,-0.1211,0.5775,0.7021,0.1434,0.6645,0.5516,0.8925,0.4872,0.2844,1.1552,0.0558,0.5681,-0.0959,0.566,0.8919,0.658,1.0244,0.635,0.6069,0.2946,0.6505,0.06,1.046,0.2891,-0.0794,1.172,0.0972,1.0176,-0.2365,1.3287,0.933,1.685,-0.0476,BRCACancer
Utah__B08,0.4325,1.5006,0.963,0.0205,0.5757,0.5412,0.0827,0.5067,0.4066,0.6456,0.5934,0.2507,1.0191,0.0487,0.4226,-0.1169,0.4772,0.8145,0.7348,1.035,0.6656,0.5436,0.3658,0.472,0.0346,0.9637,0.3579,0.0056,1.0262,0.0575,0.7897,-0.057,1.2438,0.944,1.7438,-0.0138,Control
Utah__B09,0.3002,0.3407,0.6706,-0.1392,0.3057,0.5325,0.3328,0.3114,0.231,0.3966,0.5105,0.2378,0.8487,-0.0636,0.1206,-0.1982,0.4502,0.8392,0.4132,0.8199,0.2932,0.3193,0.0724,0.6265,-0.0484,0.3355,0.3594,-0.0297,0.6017,-0.155,0.937,-0.1138,0.6862,0.6662,1.0483,-0.0659,Control
