@relation data

@attribute id string
@attribute 10000 numeric
@attribute 10297 numeric
@attribute 1495 numeric
@attribute 1496 numeric
@attribute 1499 numeric
@attribute 1950 numeric
@attribute 1956 numeric
@attribute 2002 numeric
@attribute 2064 numeric
@attribute 207 numeric
@attribute 208 numeric
@attribute 2309 numeric
@attribute 23533 numeric
@attribute 2885 numeric
@attribute 29119 numeric
@attribute 2932 numeric
@attribute 324 numeric
@attribute 3265 numeric
@attribute 3611 numeric
@attribute 369 numeric
@attribute 3845 numeric
@attribute 4292 numeric
@attribute 4609 numeric
@attribute 4893 numeric
@attribute 51176 numeric
@attribute 5170 numeric
@attribute 5290 numeric
@attribute 5291 numeric
@attribute 5293 numeric
@attribute 5294 numeric
@attribute 5295 numeric
@attribute 5296 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5604 numeric
@attribute 5605 numeric
@attribute 572 numeric
@attribute 5728 numeric
@attribute 5894 numeric
@attribute 595 numeric
@attribute 6654 numeric
@attribute 6655 numeric
@attribute 673 numeric
@attribute 6932 numeric
@attribute 6934 numeric
@attribute 7157 numeric
@attribute 8312 numeric
@attribute 8313 numeric
@attribute 83439 numeric
@attribute 842 numeric
@attribute 8503 numeric
@attribute 999 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.6002,-0.1172,0.3696,-0.1063,2.1612,0.6019,-0.0786,0.4312,0.1419,0.6045,0.8246,0.583,1.3891,1.6544,-0.1075,0.6542,0.6744,0.4247,1.5549,1.3626,1.5983,0.4706,1.5122,2.847,1.8985,0.7691,1.6169,1.5303,1.3241,1.8391,1.4782,0.1982,1.7309,1.0783,0.718,0.4255,0.2521,1.243,1.7847,0.1429,1.1294,1.3492,0.5902,1.561,0.2725,0.7723,0.318,0.4947,-0.0434,0.8952,0.1026,0.1369,Control
Utah__A02,0.3429,-0.0947,0.306,-0.0642,1.955,0.4253,0.0036,0.2767,0.2472,0.5571,0.607,0.3235,1.0974,1.493,-0.1292,0.4588,0.524,0.3701,1.5892,1.1266,1.3547,0.3049,1.03,3.0554,0.9233,0.6471,1.3286,1.3861,1.0956,2.0614,1.1561,0.1599,1.6299,1.0214,0.4692,0.2945,0.1564,0.647,1.5429,0.1112,0.9018,1.1968,0.4558,0.97,0.3016,0.5902,0.2239,0.1022,-0.007,0.614,0.1135,-0.0735,Control
Utah__A03,0.3568,-0.0715,0.5058,-0.0794,2.2554,0.4869,-0.0126,0.3461,0.2761,0.6699,0.7634,0.5552,1.5442,1.7906,-0.13,0.6001,0.6483,0.3745,1.7175,1.396,1.6547,0.3713,0.8428,3.1476,0.7885,0.777,1.4291,1.4305,1.2641,2.1951,1.3011,0.2603,1.8758,1.0584,0.6904,0.494,0.1963,0.9196,1.7349,0.132,1.1313,1.3816,0.5095,0.7731,0.6281,0.8387,0.3962,0.0844,-0.0378,0.8989,0.2773,0.0745,Control
Utah__A04,0.4955,0.0062,0.332,-0.0786,2.1372,0.3997,-0.0237,0.3725,0.2824,0.6114,0.6935,0.363,1.3239,1.4914,-0.101,0.4958,0.4394,0.3589,1.47,1.2141,1.1941,0.3213,1.4116,3.093,1.1649,0.7264,1.383,1.3728,1.2342,2.1245,1.4673,0.2795,1.7145,1.0435,0.4999,0.4226,0.2622,0.7631,1.6725,0.2259,1.0307,1.2135,0.5557,1.3869,0.2486,0.598,0.2628,0.1622,-0.0375,0.7606,0.0439,0.0138,Control
Utah__A05,0.4795,0.0198,0.5316,-0.0902,2.1443,0.8239,-0.0402,0.4351,0.3567,0.7362,0.7698,0.5148,1.5325,1.8851,-0.0963,0.5918,0.5986,0.4809,1.8979,1.3258,1.41,0.4118,1.1201,3.3716,1.0277,0.8704,1.5208,1.8135,1.3448,2.1197,1.3057,0.3911,1.9408,1.1978,0.7099,0.4974,0.324,0.9399,1.808,0.1959,1.0492,1.3778,0.6029,1.0797,0.412,0.7928,0.3402,0.1727,-0.0608,0.9986,0.1894,0.0481,Control
Utah__A06,0.4153,-0.1626,0.3789,-0.0512,2.0873,0.4647,-0.0106,0.3874,0.2736,0.6349,0.7165,0.4809,1.4078,1.5864,-0.1193,0.5257,0.5501,0.2391,1.571,1.2902,1.4342,0.3551,1.2447,2.9291,1.0148,0.7642,1.4163,1.4187,1.2303,1.9994,1.3466,0.1824,1.8446,0.9874,0.6673,0.3508,0.24,0.8375,1.7489,0.0539,0.8863,1.3318,0.4936,1.1047,0.2973,0.6071,0.2547,0.0895,-0.0422,0.9562,0.1109,-0.0054,Control
Utah__A07,0.7253,-0.0826,0.5003,-0.0695,2.27,0.4296,-0.0137,0.2834,0.2863,0.5857,0.7237,0.9278,1.3584,1.89,-0.1435,0.8174,0.7132,0.3621,1.6076,1.2727,1.7087,0.4276,1.1522,2.9633,1.6061,0.7972,1.6368,1.5148,1.2868,1.974,1.6128,0.1921,1.882,0.9702,0.8479,0.4043,0.246,1.3109,1.7704,0.1284,1.1809,1.4952,0.6968,1.2907,0.6877,0.6983,0.3653,0.1591,-0.0294,0.8141,0.2134,-0.0494,Control
Utah__A08,1.0592,-0.1314,0.5196,-0.1033,2.3026,0.2493,-0.0387,0.3073,0.2563,0.5257,0.7148,1.0472,1.3062,1.7425,-0.0956,1.0598,0.8398,0.2915,1.2861,1.1993,1.6234,0.5148,1.1048,2.7421,2.2662,0.8157,1.8021,1.5358,1.3083,2.0798,1.7107,0.159,1.9122,0.9939,0.8635,0.3356,0.0928,1.5,1.7386,0.0912,1.4746,1.4347,0.8646,1.6142,0.9705,0.6576,0.3652,0.2748,-0.0732,0.7207,0.2596,-0.0656,Control
Utah__A09,0.7398,-0.0719,0.419,-0.064,2.2015,0.5342,-0.0275,0.3567,0.1878,0.5517,0.6732,0.7904,1.3303,1.8554,-0.1041,0.707,0.5787,0.3464,1.5733,1.2421,1.5566,0.3487,1.1929,2.9428,1.8463,0.8094,1.4941,1.4418,1.2311,1.9891,1.5301,0.1611,1.8315,0.99,0.7596,0.3503,0.2173,1.3575,1.6393,0.1035,1.0011,1.3189,0.677,1.4018,0.6903,0.5363,0.2977,0.2765,-0.0221,0.7421,0.1167,0.0059,Control
Utah__A10,0.7924,-0.0362,0.552,-0.0808,2.3949,0.7762,-0.0564,0.3201,0.2526,0.5517,0.7126,1.0304,1.3987,1.8284,-0.1136,0.907,0.7359,0.3978,1.7238,1.1361,1.4421,0.4554,0.9518,3.0526,1.2251,0.8424,1.743,1.7142,1.2585,2.143,1.6455,0.2578,1.9225,0.9237,0.7992,0.4701,0.2166,1.3359,1.7838,0.1325,1.3376,1.3751,0.7838,1.0986,0.5053,0.5893,0.3538,0.0861,-0.0655,0.9479,0.3257,0.0315,Control
