@relation data

@attribute id string
@attribute 1499 numeric
@attribute 1855 numeric
@attribute 28514 numeric
@attribute 2932 numeric
@attribute 324 numeric
@attribute 3516 numeric
@attribute 4851 numeric
@attribute 5663 numeric
@attribute 6868 numeric
@attribute 6927 numeric
@attribute 7471 numeric
@attribute 8312 numeric
@attribute 8321 numeric
@attribute 8945 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,2.1378,0.36,0.0889,0.6628,0.6808,0.8205,0.7736,1.146,1.558,-0.0533,0.1406,0.3495,0.1744,0.5487,Control
Utah__A02,1.9406,0.3649,0.0884,0.4686,0.5297,0.6514,0.664,0.9651,1.3848,-0.0445,0.1477,0.2528,0.2626,0.3102,Control
Utah__A03,2.228,0.3709,0.1393,0.609,0.6545,0.9229,0.8797,1.2426,1.7811,-0.0764,0.1693,0.4299,0.3037,0.4467,Control
Utah__A04,2.1149,0.4706,0.0668,0.5054,0.4447,0.7108,0.7013,0.9418,1.4159,-0.0141,0.2317,0.2928,0.3376,0.3892,Control
Utah__A05,2.1217,0.4887,0.0995,0.6009,0.6046,0.8433,0.9069,1.1607,1.6851,-0.0231,0.2046,0.3723,0.5292,0.423,Control
Utah__A06,2.0671,0.3904,0.0138,0.5351,0.5559,0.7367,0.709,1.0958,1.4243,-0.0388,0.0135,0.2844,0.1663,0.3873,Control
Utah__A07,2.242,0.4336,0.0476,0.8251,0.7198,0.9338,0.7326,1.2707,1.6488,-0.0637,0.1429,0.3981,0.3928,0.5287,Control
Utah__A08,2.2731,0.3033,0.0225,1.0661,0.8468,0.9916,0.731,1.2327,1.6493,-0.0832,0.11,0.3981,0.1077,0.6707,Control
Utah__A09,2.1764,0.4222,0.1092,0.7154,0.5846,0.8669,0.6632,1.1392,1.4114,-0.0696,0.0933,0.3286,0.3654,0.524,Control
Utah__A10,2.3614,0.3405,0.0496,0.9142,0.7425,1.0117,0.8042,1.2312,1.7081,-0.0623,0.1711,0.3863,0.3205,0.5675,Control
Utah__A11,1.8734,0.2527,-0.0631,0.4848,0.3841,0.5828,0.6659,0.9938,1.2079,0.0461,0.1626,0.2831,0.0762,0.3881,Control
Utah__A12,1.615,0.2785,-0.0112,0.3984,0.354,0.4389,0.3498,0.5465,1.1006,-0.0939,0.0447,0.1583,0.0657,0.1622,Control
Utah__B01,2.2274,0.1195,-0.1825,0.6768,0.559,0.7164,0.3992,0.9784,1.4776,-0.1863,-0.1627,0.1723,-0.0794,0.4342,Control
Utah__B02,2.3355,0.4366,0.0669,0.5494,0.4993,0.7367,0.7496,1.1548,1.5421,-0.048,0.1566,0.3799,0.3321,0.363,Control
Utah__B03,2.3868,0.2728,-0.0525,0.6557,0.547,0.7699,0.5939,1.0382,1.5246,-0.0948,0.075,0.2555,0.1155,0.3574,BRCACancer
Utah__B04,2.1299,0.3293,-0.0276,1.0929,0.807,1.0869,0.6905,1.2182,1.6309,0.0675,0.1141,0.4053,-0.0346,0.5545,BRCACancer
