@relation data

@attribute id string
@attribute 1022 numeric
@attribute 1025 numeric
@attribute 11198 numeric
@attribute 2068 numeric
@attribute 2071 numeric
@attribute 22916 numeric
@attribute 25920 numeric
@attribute 2962 numeric
@attribute 2963 numeric
@attribute 2965 numeric
@attribute 2967 numeric
@attribute 2968 numeric
@attribute 4331 numeric
@attribute 4686 numeric
@attribute 51497 numeric
@attribute 5430 numeric
@attribute 5431 numeric
@attribute 5432 numeric
@attribute 5433 numeric
@attribute 5434 numeric
@attribute 5435 numeric
@attribute 5436 numeric
@attribute 5437 numeric
@attribute 5438 numeric
@attribute 5439 numeric
@attribute 5440 numeric
@attribute 5441 numeric
@attribute 6749 numeric
@attribute 6827 numeric
@attribute 6829 numeric
@attribute 6917 numeric
@attribute 6921 numeric
@attribute 6923 numeric
@attribute 6924 numeric
@attribute 7469 numeric
@attribute 7936 numeric
@attribute 8178 numeric
@attribute 902 numeric
@attribute 904 numeric
@attribute 9150 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.5741,1.9127,1.5273,0.3536,0.9639,1.228,0.792,0.9239,0.4304,0.9361,1.2507,0.3109,0.3161,1.7929,1.5634,1.5867,2.0596,1.1733,0.7907,0.9985,0.7216,1.4112,1.1046,0.1991,0.8592,1.1193,0.8237,0.9896,2.2972,0.993,0.4905,0.9225,0.4409,1.3809,0.3791,1.1082,0.4641,1.626,1.5258,0.5888,Control
Utah__A02,0.3587,1.7772,1.4194,0.2581,0.7176,0.9567,0.6495,0.7645,0.2268,0.5947,0.9149,0.1316,0.1346,1.5167,1.3926,1.4247,2.0604,0.913,0.6527,0.873,0.4074,1.1321,0.9106,0.0868,0.7115,0.925,0.6974,0.8362,2.2953,0.8023,0.269,0.4597,0.4971,1.0774,0.3738,0.8514,0.3591,1.2003,1.1691,0.484,Control
Utah__A03,0.5493,1.9244,1.599,0.3958,0.9385,1.0935,0.8543,0.9173,0.3748,0.7758,1.0688,0.235,0.2105,1.7126,1.548,1.6028,2.0325,1.1436,0.7658,1.0436,0.7004,1.3466,0.9876,0.1291,0.8542,1.1115,0.691,0.9569,2.5218,0.9037,0.4675,0.7818,0.6916,1.4064,0.3817,0.985,0.4308,1.5333,1.4282,0.627,Control
Utah__A04,0.5533,1.8603,1.4403,0.3302,0.7658,1.0721,0.8158,0.8758,0.2631,0.5436,0.8439,0.2444,0.1798,1.4294,1.312,1.4929,2.1122,1.0835,0.672,0.9307,0.5789,1.2275,1.0146,0.2888,0.8809,1.1223,0.7874,0.8312,2.3563,0.892,0.2934,0.5557,0.6623,1.2674,0.4933,0.9969,0.3914,1.4337,1.223,0.6968,Control
Utah__A05,0.5475,1.9086,1.4331,0.4459,0.8599,1.0768,0.913,1.0592,0.3658,0.6282,1.0253,0.3158,0.1989,1.6256,1.3634,1.6063,2.0898,1.0597,0.7545,1.1613,0.7281,1.4238,1.0117,0.4039,0.9178,1.0206,0.9355,0.9272,2.6159,1.0012,0.3704,0.6264,0.6958,1.4859,0.4213,1.1726,0.4965,1.4419,1.2855,0.7648,Control
Utah__A06,0.4938,1.8896,1.4608,0.301,0.7976,0.9676,0.7114,0.9599,0.2454,0.6772,1.0165,0.2892,0.1536,1.6166,1.2795,1.4852,1.991,1.063,0.6394,1.0126,0.634,1.3221,0.9888,0.2062,0.9302,0.9865,0.8716,0.8921,2.3051,0.889,0.2505,0.563,0.4149,1.3249,0.2998,1.0087,0.4186,1.421,1.4305,0.5825,Control
Utah__A07,0.5297,1.8971,1.4899,0.3376,0.8856,1.1628,0.7645,0.9639,0.4286,0.8017,1.0785,0.2985,0.3843,1.7605,1.3933,1.5124,2.0837,1.107,0.805,0.9793,0.7275,1.2395,1.0136,0.1469,0.7142,0.932,0.6767,0.9116,2.3782,0.8201,0.4042,0.7631,0.3954,1.3688,0.4169,1.0135,0.4633,1.7099,1.4954,0.5953,Control
Utah__A08,0.5947,1.6676,1.4136,0.2761,0.9227,1.045,0.6475,0.7215,0.4778,0.7686,0.9915,0.1543,0.5743,1.7461,1.2536,1.6185,1.9818,0.9158,0.6453,0.6605,0.5969,1.0783,0.8421,0.0162,0.8682,0.9012,0.6333,0.8522,1.9226,0.7722,0.6647,0.6706,0.3077,1.2629,0.3232,0.9457,0.408,1.8094,1.3509,0.5401,Control
Utah__A09,0.5279,1.865,1.4858,0.2396,0.8179,0.9815,0.7292,0.9838,0.4178,0.634,1.139,0.1649,0.3797,1.6503,1.2689,1.4899,2.0086,0.9853,0.6954,0.9128,0.5718,1.3253,0.9198,0.2098,0.8829,0.8544,0.5969,0.9696,2.3539,0.8076,0.4225,0.6551,0.3546,1.2947,0.3306,0.9808,0.3733,1.6033,1.437,0.6013,Control
Utah__A10,0.6165,1.8484,1.4479,0.331,0.9627,1.0572,0.7194,0.8506,0.4091,0.6367,0.9752,0.1928,0.3731,1.665,1.4066,1.5522,2.1441,0.9887,0.6526,0.9619,0.6541,1.2843,0.9751,0.3109,0.9141,1.0208,0.7347,0.8968,2.2748,0.7396,0.3801,0.6264,0.4283,1.4438,0.3288,1.1012,0.4458,1.8899,1.4682,0.5964,Control
