@relation data

@attribute id string
@attribute 10488 numeric
@attribute 1326 numeric
@attribute 1385 numeric
@attribute 1846 numeric
@attribute 1848 numeric
@attribute 1852 numeric
@attribute 1977 numeric
@attribute 2872 numeric
@attribute 2885 numeric
@attribute 29904 numeric
@attribute 4342 numeric
@attribute 466 numeric
@attribute 4790 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5604 numeric
@attribute 5605 numeric
@attribute 572 numeric
@attribute 5906 numeric
@attribute 6195 numeric
@attribute 6196 numeric
@attribute 6197 numeric
@attribute 6464 numeric
@attribute 6654 numeric
@attribute 6655 numeric
@attribute 673 numeric
@attribute 7187 numeric
@attribute 8569 numeric
@attribute 9586 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,1.0424,0.7039,1.8416,0.0722,1.9155,-0.1792,0.572,1.3654,1.6544,0.3819,-0.1592,1.4724,1.6889,1.7309,1.0783,0.718,0.4255,0.2521,1.315,0.9065,0.1026,1.8816,0.75,1.1294,1.3492,0.5902,0.9273,0.7724,0.1344,Control
Utah__A02,0.8369,0.7622,1.5349,-0.0227,1.8067,-0.1584,0.4218,1.3069,1.493,0.1521,-0.0873,1.2604,1.279,1.6299,1.0214,0.4692,0.2945,0.1564,1.019,0.9246,0.1045,1.6266,0.7973,0.9018,1.1968,0.4558,0.6124,0.5977,0.1246,Control
Utah__A03,1.0519,0.9664,1.7089,0.1975,1.9201,-0.1719,0.532,1.4272,1.7906,0.3381,-0.1985,1.2702,1.4481,1.8758,1.0584,0.6904,0.494,0.1963,1.1662,1.0222,0.1148,1.8238,0.7917,1.1313,1.3816,0.5095,0.8788,0.8032,0.1973,Control
Utah__A04,0.8542,0.8055,1.6942,0.1832,1.4748,0.0269,0.4744,1.4689,1.4914,0.2147,0.0277,1.212,1.4307,1.7145,1.0435,0.4999,0.4226,0.2622,1.0589,1.0052,0.112,1.7883,0.7946,1.0307,1.2135,0.5557,0.6794,0.6665,0.104,Control
Utah__A05,1.0679,0.9005,1.7835,0.169,2.2342,0.0039,0.4719,1.6038,1.8851,0.3619,-0.0043,1.3174,1.5153,1.9408,1.1978,0.7099,0.4974,0.324,1.0745,1.1126,0.1047,1.7933,0.89,1.0492,1.3778,0.6029,0.7901,0.7315,0.2297,Control
Utah__A06,0.9009,0.9507,1.6261,-0.1592,1.7831,-0.2082,0.385,1.3143,1.5864,0.2005,-0.2065,1.2662,1.3528,1.8446,0.9874,0.6673,0.3508,0.24,0.9034,0.9801,0.1159,1.6432,0.7604,0.8863,1.3318,0.4936,0.6213,0.7041,0.1625,Control
Utah__A07,0.951,0.8271,1.8447,-0.0279,2.1442,-0.1448,0.6208,1.3551,1.89,0.269,-0.1237,1.4455,1.6808,1.882,0.9702,0.8479,0.4043,0.246,1.4904,0.9852,0.1706,1.9955,0.7917,1.1809,1.4952,0.6968,0.9173,0.7993,0.2715,Control
Utah__A08,0.8348,0.8023,1.9244,-0.1687,1.2531,-0.2118,0.6957,1.1355,1.7425,0.2876,-0.1449,1.2063,1.8517,1.9122,0.9939,0.8635,0.3356,0.0928,1.7261,0.8456,0.1698,1.9428,0.777,1.4746,1.4347,0.8646,1.0445,0.7671,0.2078,Control
Utah__A09,0.9741,0.7599,1.7073,0.018,1.5273,-0.1752,0.563,1.3166,1.8554,0.2178,-0.0816,1.3663,1.6,1.8315,0.99,0.7596,0.3503,0.2173,1.2507,0.827,0.1382,1.9167,0.7709,1.0011,1.3189,0.677,0.9676,0.6377,0.237,Control
Utah__A10,0.9451,0.9048,1.9621,0.0813,2.1419,-0.0398,0.5259,1.3642,1.8284,0.2656,0.048,1.3076,1.6339,1.9225,0.9237,0.7992,0.4701,0.2166,1.5275,0.9676,0.0611,1.7865,0.7829,1.3376,1.3751,0.7838,0.9314,0.7839,0.3346,Control
