@relation data

@attribute id string
@attribute 10423 numeric
@attribute 113026 numeric
@attribute 138429 numeric
@attribute 200576 numeric
@attribute 23236 numeric
@attribute 23396 numeric
@attribute 253430 numeric
@attribute 27124 numeric
@attribute 3612 numeric
@attribute 3613 numeric
@attribute 3628 numeric
@attribute 3631 numeric
@attribute 3632 numeric
@attribute 3633 numeric
@attribute 3636 numeric
@attribute 3705 numeric
@attribute 3706 numeric
@attribute 3707 numeric
@attribute 4329 numeric
@attribute 4952 numeric
@attribute 51196 numeric
@attribute 51477 numeric
@attribute 51763 numeric
@attribute 5286 numeric
@attribute 5287 numeric
@attribute 5288 numeric
@attribute 5289 numeric
@attribute 5290 numeric
@attribute 5291 numeric
@attribute 5293 numeric
@attribute 5294 numeric
@attribute 5297 numeric
@attribute 5298 numeric
@attribute 5305 numeric
@attribute 5330 numeric
@attribute 5331 numeric
@attribute 5332 numeric
@attribute 5333 numeric
@attribute 5335 numeric
@attribute 5336 numeric
@attribute 55300 numeric
@attribute 55361 numeric
@attribute 55586 numeric
@attribute 56623 numeric
@attribute 5728 numeric
@attribute 64768 numeric
@attribute 7167 numeric
@attribute 79837 numeric
@attribute 8394 numeric
@attribute 8395 numeric
@attribute 8396 numeric
@attribute 84812 numeric
@attribute 8821 numeric
@attribute 8867 numeric
@attribute 8871 numeric
@attribute 89869 numeric
@attribute 9562 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,1.7741,-0.0037,-0.1543,1.5965,0.4303,0.2929,0.763,0.0653,1.1193,0.4236,0.5388,1.1256,0.2603,0.9732,1.0632,0.3551,-0.2728,1.0966,0.7139,0.438,-0.0933,0.318,1.0051,1.248,0.7797,-0.1239,1.215,1.6169,1.5303,1.3241,1.8391,1.5033,0.9012,0.9003,1.7084,0.577,-0.0589,0.4363,1.7289,0.5941,1.1781,1.1572,0.0882,0.3098,1.243,0.403,0.0434,1.1093,0.4534,0.1564,1.0284,-0.0059,0.6882,1.2422,0.2946,-0.0633,1.0297,Control
Utah__A02,1.6185,0.002,-0.0932,1.3711,0.2262,0.2863,0.4096,0.0586,0.7407,0.3765,0.5046,0.9401,0.1804,0.8472,1.0717,0.3118,-0.2148,0.6518,0.4381,0.2294,-0.0982,0.1207,0.7859,0.9516,0.4195,-0.1304,0.8686,1.3286,1.3861,1.0956,2.0614,1.2142,0.7548,0.5139,1.6702,0.4872,-0.0815,0.3155,1.2376,0.584,0.995,1.0805,0.1946,0.1734,0.647,0.2398,-0.0629,0.9127,0.2908,0.0013,0.7814,0.0158,0.3206,0.9419,0.1827,-0.1078,0.8155,Control
Utah__A03,1.7376,0.0957,-0.1712,1.4911,0.3007,0.3914,0.7228,0.1105,0.9375,0.458,0.5996,1.2292,0.2371,0.9589,1.2107,0.4469,-0.2764,0.7324,0.4838,0.3807,-0.1112,0.1729,1.0806,1.2264,0.5275,-0.1393,1.0662,1.4291,1.4305,1.2641,2.1951,1.4424,0.8959,0.8008,2.0238,0.7102,-0.1083,0.4025,1.3242,0.7859,1.2826,1.4179,0.1629,0.2515,0.9196,0.338,0.0409,1.2083,0.3825,0.1286,0.9333,-0.0045,0.2637,1.3299,0.2699,-0.1091,1.048,Control
Utah__A04,1.6768,0.0719,-0.0637,1.3936,0.1828,0.4184,0.4698,0.1028,0.7841,0.3852,0.3877,1.1133,0.2359,0.9284,1.0791,0.3014,-0.0499,0.7982,0.4898,0.2162,-0.1145,0.2736,0.9145,0.8937,0.6932,-0.0782,0.8517,1.383,1.3728,1.2342,2.1245,1.2727,0.8103,0.6554,1.6228,0.5036,-0.0722,0.4252,1.312,0.4817,1.0468,1.0347,0.334,0.2417,0.7631,0.2657,0.1444,0.9664,0.252,0.0418,0.8866,3e-04,0.3789,0.8262,0.2897,-0.1065,0.7614,Control
Utah__A05,1.9051,0.1275,-0.0754,1.5724,0.4625,0.5517,0.7075,0.0405,0.9262,0.5685,0.5782,1.1785,0.299,0.9894,1.3984,0.4002,-0.0961,0.8411,0.6703,0.44,-0.0924,0.2932,1.0395,1.1797,0.5666,-0.0785,1.023,1.5208,1.8135,1.3448,2.1197,1.4649,0.8689,0.74,1.8707,0.8193,-0.0609,0.4024,1.2008,0.7428,1.116,1.419,0.173,0.2744,0.9399,0.387,0.0923,1.0702,0.2983,0.1325,0.9635,0.0154,0.3109,1.1391,0.2713,-0.1038,0.9895,Control
Utah__A06,1.7377,-0.0292,-0.134,1.4741,0.3563,0.3386,0.7128,0.06,0.902,0.4724,0.5214,1.126,0.166,0.8701,1.1561,0.3831,-0.274,0.7714,0.6171,0.4345,-0.1097,0.1523,0.8741,1.0988,0.3784,-0.122,0.9651,1.4163,1.4187,1.2303,1.9994,1.4367,0.7762,0.7125,1.742,0.6236,-0.0817,0.2641,1.1962,0.6112,0.9273,1.1552,0.1412,0.223,0.8375,0.2954,0.0288,0.9624,0.3167,0.0444,0.907,-0.0219,0.2361,1.1162,0.2116,-0.0885,0.9242,Control
Utah__A07,1.6736,0.0361,-0.1728,1.6142,0.8391,0.378,0.8999,0.0253,1.0569,0.562,0.5443,1.369,0.2328,0.9866,1.1408,0.4496,-0.1231,1.2065,0.608,0.4244,-0.1365,0.1537,0.8574,1.2689,0.4726,-0.1366,1.2166,1.6368,1.5148,1.2868,1.974,1.4362,0.8343,1.1792,1.7855,0.642,-0.0893,0.3787,1.2837,0.6739,1.1324,1.269,0.116,0.2295,1.3109,0.3785,-0.0221,0.9842,0.4008,0.1631,0.9528,0.0096,0.5926,1.2093,0.2929,-0.1092,1.0172,Control
Utah__A08,1.4406,-0.0408,-0.1697,1.7269,0.6234,0.3217,1.0027,0.1396,1.0427,0.3113,0.3607,1.4511,0.2824,0.9619,1.0004,0.5003,-0.2966,1.3348,0.5037,0.427,-0.1035,0.1405,0.8453,1.4553,0.5409,-0.129,1.3829,1.8021,1.5358,1.3083,2.0798,1.5184,0.8081,1.4087,1.7589,0.4185,-0.0928,0.2994,1.4764,0.7942,1.1702,1.0115,0.1734,0.1518,1.5,0.3657,-0.0816,1.0666,0.473,0.189,0.8249,-0.022,0.947,1.3002,0.3702,-0.0766,0.8275,Control
Utah__A09,1.7201,0.0289,-0.1791,1.4274,0.7121,0.3282,0.8706,0.0912,0.9907,0.3588,0.4393,1.2439,0.2435,0.9106,1.0352,0.4089,-0.1635,1.0956,0.5565,0.3352,-0.1069,0.2141,0.8554,1.1511,0.4676,-0.113,1.2408,1.4941,1.4418,1.2311,1.9891,1.4162,0.7541,1.1055,1.6492,0.5998,-0.0597,0.3873,1.3678,0.619,1.0845,1.1596,-0.0544,0.1526,1.3575,0.3295,0.0231,0.9575,0.2966,0.1412,0.8976,0.0132,0.7254,1.2068,0.2333,-0.1114,0.9118,Control
Utah__A10,1.7249,0.0406,-0.1085,1.7186,0.9357,0.3586,0.7702,0.0939,1.0249,0.4206,0.4446,1.396,0.2607,0.9637,1.1811,0.4632,-0.1121,1.0771,0.5148,0.3739,-0.0882,0.1763,0.906,1.2018,0.4355,-0.0953,1.2259,1.743,1.7142,1.2585,2.143,1.4484,0.8529,1.303,1.7309,0.5409,-0.0569,0.3391,1.2566,0.6952,1.0889,1.1926,0.1467,0.1736,1.3359,0.3732,0.0509,1.0727,0.3546,0.1511,0.8917,0.0351,0.6021,1.1557,0.175,-0.0677,0.9381,Control
