@relation data

@attribute id string
@attribute 10390 numeric
@attribute 123745 numeric
@attribute 133121 numeric
@attribute 151056 numeric
@attribute 254531 numeric
@attribute 26279 numeric
@attribute 30814 numeric
@attribute 391013 numeric
@attribute 5048 numeric
@attribute 50487 numeric
@attribute 5049 numeric
@attribute 5050 numeric
@attribute 5051 numeric
@attribute 5168 numeric
@attribute 5319 numeric
@attribute 5320 numeric
@attribute 5321 numeric
@attribute 5322 numeric
@attribute 5337 numeric
@attribute 5338 numeric
@attribute 54947 numeric
@attribute 56994 numeric
@attribute 64600 numeric
@attribute 7941 numeric
@attribute 79888 numeric
@attribute 81579 numeric
@attribute 8398 numeric
@attribute 8399 numeric
@attribute 84647 numeric
@attribute 8540 numeric
@attribute 85465 numeric
@attribute 8611 numeric
@attribute 8612 numeric
@attribute 8613 numeric
@attribute 8681 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,1.2658,2e-04,-0.0393,0.2269,0.6806,0.1003,-0.133,-0.1244,1.2412,-0.0924,1.3524,0.5886,1.0698,0.2397,-0.0518,-0.0825,0.541,-0.198,0.3243,0.5659,1.1276,0.8699,0.0052,1.5058,0.547,0.4155,0.464,0.2044,-0.0753,1.4531,1.0342,0.2455,0.0943,0.0152,0.6991,Control
Utah__A02,0.9708,0.0288,-0.0239,0.1446,0.4461,0.1235,0.0302,0.0305,0.9138,-3e-04,1.1257,0.4842,1.0709,0.1248,-0.0708,0.0619,0.4199,-0.1858,0.2387,0.4611,1.1229,0.5796,0.0506,1.1931,0.6731,0.3673,0.2477,-0.0422,-0.06,1.2887,0.6995,0.0887,0.0759,0.0728,0.3054,Control
Utah__A03,1.2235,-0.0184,0.0651,0.1698,0.5844,0.2143,-0.0621,0.0504,1.1312,-0.0197,1.3875,0.5757,1.2491,0.0383,-0.0493,0.0236,0.5097,-0.1014,0.3963,0.5797,1.5436,0.8143,-0.0604,1.3483,0.8674,0.2585,0.4022,-0.0424,-0.1217,1.5497,0.943,0.1119,0.0687,0.0545,0.5214,Control
Utah__A04,1.1153,0.0154,-0.0339,0.121,0.4985,0.155,-0.0816,-0.108,0.9232,0.0112,1.2134,0.4979,1.054,0.0747,0.0442,0.0279,0.324,-0.1458,0.1767,0.4766,0.8577,0.6915,-0.0426,1.3223,0.6615,0.2732,0.3282,-0.2316,-0.1663,1.3139,0.8029,0.1458,0.105,-0.0072,0.3987,Control
Utah__A05,1.1506,-0.0355,-0.0056,0.3215,0.4912,0.1888,-0.1104,-0.0639,1.0157,0.0413,1.3628,0.5522,1.2291,0.1844,0.0279,-0.0669,0.6523,-0.122,0.4633,0.7495,1.5289,0.7884,0.0186,1.906,0.8206,0.3608,0.3537,0.0525,-0.0556,1.5959,0.8875,0.0723,0.1395,-0.0011,0.5053,Control
Utah__A06,0.9864,-0.0214,-0.0243,0.2321,0.3734,0.0317,-0.0085,0.0583,0.9721,-0.0073,1.334,0.5159,1.1689,0.1146,0.0536,0.0098,0.4123,-0.1602,0.4964,0.6227,1.3168,0.7165,-0.0281,1.6375,0.7696,0.3895,0.3665,-0.0866,-0.0663,1.4113,0.7183,0.1002,-0.0012,0.0068,0.4826,Control
Utah__A07,1.4757,-0.0681,0.018,0.2887,0.5098,0.1884,-0.0157,-0.0232,1.1536,-0.0098,1.3357,0.4711,1.1616,0.2361,-0.1046,-0.0235,0.6192,-0.1308,0.4958,0.5604,1.3284,1.0229,0.0369,1.5846,0.7164,0.7497,0.2803,-0.0888,-0.1166,1.5709,1.0254,0.1737,0.1182,-0.0174,0.4214,Control
Utah__A08,1.5694,0.0345,-0.0864,0.1692,0.4988,-0.0182,-0.043,-0.0744,1.2225,-0.0196,1.2246,0.3718,1.1018,0.1814,0.0031,-0.0028,0.4231,-0.118,0.3479,0.4345,1.0964,0.9744,0.0122,1.1397,0.6798,0.555,0.3545,0.0187,-0.0775,1.6037,1.1012,0.3339,0.025,-0.0648,0.5394,Control
Utah__A09,1.2669,-0.0223,-0.0287,0.2577,0.3741,0.1139,-0.0426,-0.0373,1.0833,0.0414,1.1633,0.4145,0.9837,0.177,-0.0301,0.0389,0.4106,-0.1187,0.2681,0.4912,1.3372,0.8268,0.0078,1.0577,0.6245,0.4755,0.2703,0.0993,-0.1198,1.5019,0.8081,0.1733,0.1228,0.0784,0.538,Control
Utah__A10,1.4451,-0.0029,-0.0352,0.2287,0.4973,0.091,-0.0138,-0.0661,1.0434,0.0706,1.3121,0.4307,1.2678,0.0924,-0.0449,-0.0152,0.6973,-0.1018,0.4834,0.5939,1.253,0.8545,-0.0201,1.8599,0.8997,0.479,0.3453,-0.0936,-0.0982,1.6283,1.0395,0.0981,0.1028,0.0718,0.4287,Control
Utah__A11,0.8489,0.0628,-0.0152,0.1156,0.4044,0.0677,-8e-04,-0.0321,0.9992,-0.0141,1.1767,0.4726,1.1032,0.035,0.0848,-0.0128,0.2168,-0.2318,0.201,0.4391,1.0277,0.625,-0.0593,0.9229,0.5555,0.0773,0.2705,0.137,0.0466,1.1791,0.6418,0.1028,0.1114,0.0705,0.3248,Control
Utah__A12,0.744,0.0564,0.0624,0.2509,0.2089,0.3118,0.1288,0.2378,0.5904,0.0554,0.8054,0.368,1.005,-0.0652,-0.08,0.2002,0.226,0.0609,0.1658,0.1515,0.55,0.5041,0.2264,0.8718,0.5163,0.2558,0.1435,0.147,-0.0087,0.9405,0.486,0.1784,-0.0405,0.1772,0.1131,Control
Utah__B01,1.2107,0.0595,-0.0529,0.2352,0.4872,0.0634,0.0071,0.1816,1.1593,0.0275,1.1324,0.2436,0.9258,0.2404,0.0663,0.0585,0.2717,0.045,0.2055,0.2924,0.9558,0.9408,0.078,0.9138,0.3228,0.3692,0.2395,0.2066,-0.0081,1.3558,0.843,0.3036,-0.1242,0.091,0.5154,Control
Utah__B02,1.2159,-0.0025,-0.0076,0.2481,0.5332,0.0228,0.0459,0.082,1.0758,0.0433,1.2564,0.5405,1.0939,0.1903,0.0105,-0.0602,0.3776,-0.0791,0.2942,0.5546,1.1944,0.8056,0.0623,0.9484,0.834,0.3636,0.3484,0.079,-0.0538,1.5055,0.9386,0.1427,0.1179,0.0783,0.7367,Control
Utah__B03,1.2236,0.0018,-0.0375,0.2467,0.5324,0.1643,-0.0178,0.1238,1.1057,0.0866,1.209,0.4505,1.0252,0.1325,-0.008,0.0282,0.3694,-0.0745,0.2673,0.4885,1.092,0.8287,-0.0606,0.9352,0.619,0.2725,0.3121,0.0654,-0.0491,1.465,0.8426,0.1652,-0.0146,0.005,0.5568,BRCACancer
Utah__B04,1.502,-0.0207,-0.034,0.2029,0.4896,-0.0371,-0.0825,-0.0231,1.236,0.0552,1.2091,0.4282,1.1408,0.0293,-0.0716,0.0429,0.4318,-0.142,0.3861,0.37,0.7628,0.8167,0.0195,0.7273,0.8453,0.543,0.3132,-0.06,-0.1579,1.4791,1.1084,0.176,-0.0383,0.0509,0.4234,BRCACancer
Utah__B05,0.9224,0.0217,0.027,0.1633,0.3268,0.0998,0.0684,0.0053,0.9922,-0.0173,1.1646,0.3668,1.0016,0.2188,-0.0829,0.0645,0.2146,-0.0915,0.1121,0.5259,0.9232,0.6899,0.043,0.5806,0.8845,0.2195,0.3196,-0.2379,-0.0595,1.1102,0.7214,0.1342,0.0041,0.075,0.3824,BRCACancer
Utah__B06,0.9607,-0.0683,-0.1045,0.2872,0.3587,0.2251,-0.2514,0.1026,0.8562,-0.1043,0.7871,0.2592,0.862,-0.0549,-0.0115,0.1325,0.2832,0.1619,0.161,0.2597,0.7039,0.4152,-0.1526,1.3377,0.2967,0.239,0.1537,0.1536,0.0059,1.0682,0.7178,0.1743,-0.2969,0.2727,0.2021,BRCACancer
Utah__B07,1.4014,-0.0713,-0.0216,0.2091,0.6579,0.0691,0.0629,-0.0169,1.2964,0.1405,1.247,0.4865,1.2282,0.0283,-0.0949,-0.0013,0.432,-0.1791,0.3315,0.6157,1.0701,0.7807,-0.0371,1.5543,0.8629,0.514,0.4622,0.088,-0.0431,1.5183,1.0132,0.164,0.1228,0.0891,0.6768,BRCACancer
Utah__B08,0.9783,-0.0089,-0.0371,0.1563,0.5164,0.0716,-0.1207,-0.0382,1.026,0.1242,1.3124,0.5074,1.0569,0.0925,-0.0053,-0.0065,0.4514,-0.1291,0.1862,0.5635,1.2702,0.6899,-0.0042,1.1086,0.4722,0.3608,0.306,-0.0394,-0.0504,1.3371,0.7436,0.0814,0.1026,0.0664,0.415,Control
Utah__B09,1.0724,0.043,-0.092,0.1457,0.4254,0.2552,0.0909,-0.0401,1.2157,-0.0178,1.3338,0.3787,0.848,-0.0587,0.1201,-0.0757,0.2316,-0.2273,0.1483,0.4883,0.5809,0.7297,-0.0685,0.3263,0.85,0.4485,0.3119,0.0588,-0.0234,1.1749,0.9062,0.2562,0.1029,0.1183,0.4069,Control
Utah__B10,1.1093,-0.0215,0.0297,0.1779,0.273,0.1511,-0.0112,-0.0205,0.984,-0.0739,1.0384,0.2987,1.089,-0.0686,0.1098,-0.0338,0.3194,-0.0853,0.1514,0.2488,0.6083,0.5581,0.0395,0.6381,0.7855,0.3345,0.1911,-0.0541,-0.0028,1.3306,0.8136,0.1319,0.1256,0.0107,0.277,Control
