@relation data

@attribute id string
@attribute 1610 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.0222,Control
Utah__A02,-0.0034,Control
Utah__A03,-0.0635,Control
Utah__A04,-0.0505,Control
Utah__A05,-0.0619,Control
Utah__A06,-0.0499,Control
Utah__A07,-0.1142,Control
Utah__A08,-0.0327,Control
Utah__A09,-0.0341,Control
Utah__A10,-0.009,Control
Utah__A11,0.0705,Control
Utah__A12,0.0577,Control
Utah__B01,0.0751,Control
Utah__B02,0.0384,Control
Utah__B03,0.0496,BRCACancer
Utah__B04,-0.0519,BRCACancer
Utah__B05,0.0225,BRCACancer
Utah__B06,0.2434,BRCACancer
Utah__B07,-0.0859,BRCACancer
Utah__B08,-0.0165,Control
Utah__B09,-0.0369,Control
Utah__B10,-0.0147,Control
Utah__B11,-0.1149,Control
Utah__B12,0.031,Control
Utah__C01,-0.0571,BRCACancer
Utah__C02,-0.0836,BRCACancer
Utah__C03,-0.0586,BRCACancer
Utah__C04,0.0293,Control
Utah__C05,-0.1025,BRCACancer
Utah__C06,0.0066,Control
Utah__C07,-0.0629,Control
Utah__C08,-0.0171,Control
Utah__C09,0.0111,Control
Utah__C10,-0.0919,BRCACancer
Utah__C11,0.0515,Control
Utah__C12,0.0043,BRCACancer
Utah__D01,0.0219,BRCACancer
Utah__D02,0.0235,BRCACancer
Utah__D03,-0.0336,BRCACancer
Utah__D04,-0.0241,BRCACancer
Utah__D05,-0.0781,BRCACancer
Utah__D06,0.0276,BRCACancer
Utah__D07,0.0016,Control
Utah__D08,0.0558,Control
Utah__D09,-0.0259,Control
Utah__D10,-0.0345,Control
Utah__D11,0.0509,Control
Utah__D12,0.1092,Control
Utah__E01,-0.0236,BRCACancer
Utah__E02,-0.0375,Control
Utah__E03,-0.0321,Control
Utah__E04,0.0122,Control
Utah__E05,-0.0621,Control
Utah__E06,0.0625,BRCACancer
Utah__E07,-0.0496,BRCACancer
Utah__E08,-0.0472,Control
Utah__E09,-0.0984,BRCACancer
Utah__E10,-0.0538,BRCACancer
Utah__E11,-0.1486,Control
Utah__E12,0.2227,BRCACancer
Utah__F01,0.0058,Control
Utah__F02,-0.0343,Control
Utah__F03,-0.0566,Control
Utah__F04,-0.0431,Control
Utah__F05,-0.0203,Control
Utah__F06,0.0211,Control
Utah__F07,0.0174,Control
Utah__F09,-0.0788,Control
