@relation data

@attribute id string
@attribute 125 numeric
@attribute 126 numeric
@attribute 127 numeric
@attribute 130 numeric
@attribute 131 numeric
@attribute 216 numeric
@attribute 55902 numeric
@attribute 84532 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,-0.1225,-0.3161,-0.0909,-0.1644,-0.1322,1.0631,0.488,0.7971,Control
Utah__A02,-0.1407,-0.069,0.0807,-0.1558,-0.0795,1.359,0.3176,0.576,Control
Utah__A03,-0.049,-0.3161,-0.0771,-0.1815,-0.0216,1.4425,0.4196,0.8127,Control
Utah__A04,-0.1087,-0.0735,-0.0306,-0.0939,-0.1319,0.8117,0.3058,0.6599,Control
Utah__A05,-0.0859,-0.2627,-0.049,-0.0775,-0.1289,1.5037,0.5162,0.7395,Control
Utah__A06,-0.1302,-0.2259,-0.0126,-0.1286,-0.0889,1.538,0.4104,0.6386,Control
Utah__A07,-0.1117,-0.3183,0.0456,-0.1117,-0.0789,1.3376,0.4672,0.7203,Control
Utah__A08,-0.1294,-0.1831,-0.052,-0.1574,-0.0798,0.7801,0.4279,0.7039,Control
Utah__A09,-0.1342,-0.2127,-0.0316,-0.0911,-0.1516,0.9458,0.3922,0.635,Control
Utah__A10,-0.0931,-0.1429,-0.0035,-0.103,-0.1105,1.2287,0.419,0.6856,Control
Utah__A11,-0.1401,-0.313,0.057,-0.1722,-0.1469,1.1388,0.3157,0.5679,Control
Utah__A12,-0.0268,-0.3019,0.052,-0.0592,-0.0489,0.6878,0.1233,0.3907,Control
Utah__B01,-0.198,-0.4904,0.042,-0.1038,-0.0598,0.854,0.3565,0.6378,Control
Utah__B02,-0.0831,-0.2653,-0.0551,-0.1071,-0.1367,1.1369,0.4183,0.7854,Control
Utah__B03,-0.1003,-0.3802,0.0371,-0.1061,-0.0841,1.0444,0.362,0.7136,BRCACancer
Utah__B04,-0.1378,-0.3485,-0.0211,-0.1547,-0.1607,0.314,0.3345,0.5956,BRCACancer
Utah__B05,-0.0967,-0.4126,0.1304,-0.1131,-0.1004,0.2743,0.2241,0.5831,BRCACancer
Utah__B06,-0.068,-0.4695,0.153,-0.0447,-0.0332,1.0274,0.2891,0.3446,BRCACancer
Utah__B07,-0.1151,-0.318,0.1234,-0.087,-0.0567,0.9651,0.4192,0.7361,BRCACancer
Utah__B08,-0.1295,-0.2846,0.0306,-0.1283,-0.1151,0.9921,0.4358,0.6218,Control
Utah__B09,-0.0823,-0.3822,-0.0388,-0.1258,-0.2372,0.4031,0.2496,0.6534,Control
Utah__B10,-0.092,-0.2784,0.096,-0.0958,-0.1398,0.4094,0.2711,0.4643,Control
Utah__B11,-0.0541,-0.4222,-0.0011,-0.0881,-0.0304,0.8609,0.3608,0.6116,Control
Utah__B12,-0.1052,-0.4304,0.1383,-0.0991,-0.1438,0.3917,0.143,0.3567,Control
Utah__C01,-0.1285,-0.3319,-0.1002,-0.0982,-0.0935,0.9153,0.4737,0.7992,BRCACancer
Utah__C02,-0.0796,-0.272,0.0201,-0.0759,-0.1278,1.1563,0.3452,0.7343,BRCACancer
Utah__C03,-0.0638,-0.2828,-0.0298,-0.0615,-0.0294,1.2313,0.424,0.923,BRCACancer
Utah__C04,-0.1086,-0.2155,0.039,-0.0322,-0.0356,0.7836,0.2606,0.4934,Control
Utah__C05,-0.0753,-0.2405,0.0305,-0.0948,-0.0335,0.6926,0.2354,0.4653,BRCACancer
Utah__C06,-0.2881,-0.4351,-0.0267,-0.2255,0.0087,0.2601,0.0581,0.1317,Control
Utah__C07,-0.1145,-0.1052,-0.0387,-0.0888,-0.0905,0.8468,0.2255,0.5169,Control
Utah__C08,-0.249,-0.3735,0.0339,-0.0269,-0.0167,1.1139,0.3566,0.6341,Control
Utah__C09,-0.0888,-0.4114,0.0764,-0.1226,-0.1368,0.6556,0.2546,0.5864,Control
Utah__C10,-0.05,-0.1725,-0.0221,-0.0537,-0.0718,0.909,0.1691,0.5506,BRCACancer
Utah__C11,-0.0537,-0.1236,-0.056,-0.1047,-0.1342,0.8106,0.3771,0.7564,Control
Utah__C12,-0.1791,-0.2391,0.0863,-0.1365,-0.1133,0.3579,0.1872,0.4536,BRCACancer
Utah__D01,-0.0891,-0.3958,0.0249,-0.1176,-0.1844,0.6728,0.3805,0.6977,BRCACancer
Utah__D02,-0.1004,-0.3346,0.0209,-0.0736,-0.1827,0.6865,0.2562,0.641,BRCACancer
Utah__D03,-0.083,-0.3119,0.0378,-0.1222,-0.1055,0.4144,0.2622,0.6266,BRCACancer
Utah__D04,-0.1086,-0.2408,0.0741,-0.1162,0.0303,0.7045,0.4009,0.6418,BRCACancer
Utah__D05,-0.106,-0.2748,-0.0134,-0.0813,-0.0527,1.186,0.2851,0.6326,BRCACancer
Utah__D06,-0.0926,-0.253,-0.0285,-0.0779,-0.0797,1.1348,0.3881,0.7901,BRCACancer
Utah__D07,-0.0543,-0.2741,0.0482,-0.0658,-0.0632,0.9851,0.2731,0.7443,Control
Utah__D08,-0.0696,-0.3008,0.0837,-0.1043,-0.1538,0.69,0.2177,0.4607,Control
Utah__D09,-0.1459,-0.0531,-0.0354,-0.1503,-0.1716,0.9189,0.2979,0.5885,Control
Utah__D10,-0.1433,-0.3033,-0.03,-0.0943,-0.0519,0.9221,0.3256,0.5931,Control
Utah__D11,-0.0271,-0.4741,0.0812,-0.1069,-0.1699,0.2392,0.0184,0.2553,Control
Utah__D12,-0.1667,-0.3527,-0.0337,-0.1276,-0.1297,0.8184,0.2716,0.5309,Control
Utah__E01,-0.1241,-0.2042,0.0445,-0.031,-0.1078,0.8331,0.1656,0.5564,BRCACancer
Utah__E02,-0.0676,-0.4468,0.009,-0.0382,-0.123,0.8602,0.2724,0.7004,Control
Utah__E03,-0.104,-0.0686,-0.0074,-0.1135,-0.0345,1.186,0.3816,0.6858,Control
Utah__E04,-0.0389,-0.2335,-0.0194,-0.08,-0.1449,0.6234,0.4184,0.789,Control
Utah__E05,-0.1052,-0.2986,-0.0292,-0.0836,-0.0203,0.4287,0.1936,0.5049,Control
Utah__E06,-0.0657,-0.1916,-0.0848,-0.0415,-0.1879,0.9339,0.2152,0.4158,BRCACancer
Utah__E07,-0.0894,-0.1534,-0.0288,-0.0703,-0.0661,0.9393,0.3139,0.5943,BRCACancer
Utah__E08,-0.1496,-0.1528,-0.0346,-0.0673,-0.071,0.7635,0.2949,0.725,Control
Utah__E09,-0.0918,-0.144,4e-04,-0.0758,-0.1439,0.8182,0.3528,0.6383,BRCACancer
Utah__E10,-0.0582,-0.1681,-0.0201,-0.1395,-0.0942,1.0757,0.3277,0.7648,BRCACancer
Utah__E11,-0.1791,-0.4276,-0.0031,-0.1263,-0.1262,0.8057,0.2008,0.4972,Control
Utah__E12,-0.1176,-0.0902,-0.044,-0.0606,-0.011,0.8254,0.175,0.4581,BRCACancer
Utah__F01,-0.1292,-0.3731,0.0104,-0.1514,-0.0083,0.7403,0.4417,0.824,Control
Utah__F02,-0.1627,-0.269,-0.0374,-0.1251,-0.0861,1.0486,0.412,0.6946,Control
Utah__F03,-0.0962,-0.1949,0.012,-0.0935,-0.1296,1.0579,0.3212,0.6293,Control
Utah__F04,-0.1562,-0.4571,-0.002,-0.1228,-0.073,1.1663,0.3605,0.7639,Control
Utah__F05,-0.137,-0.284,0.026,-0.1085,-0.0922,1.0848,0.3381,0.6183,Control
Utah__F06,-0.1471,-0.399,0.0315,-0.0865,-0.0446,1.2563,0.2855,0.5339,Control
Utah__F07,-0.1485,-0.1443,-0.0987,-0.1376,-0.1249,0.4544,0.3768,0.7226,Control
Utah__F09,-0.0813,-0.3211,-0.0616,-0.1477,-0.1554,1.2118,0.533,0.7457,Control
Utah__F10,-0.1217,-0.183,-0.0642,-0.0818,-0.0528,1.265,0.4288,0.7729,Control
Utah__F11,-0.0762,-0.2229,0.0652,-0.0816,-0.0114,1.2123,0.3921,0.6178,Control
Utah__F12,-0.0949,-0.356,0.048,-0.1118,-0.1453,1.041,0.3384,0.6489,Control
Utah__G01,-0.1209,-0.2868,0.0097,-0.1926,-0.1321,0.8672,0.3164,0.5526,Control
Utah__G02,-0.1225,-0.2789,-0.0483,-0.1074,-0.1174,0.9512,0.2339,0.4999,Control
Utah__G03,-0.1193,-0.1971,-0.0264,-0.1032,-0.0801,1.2669,0.4781,0.6256,Control
Utah__G04,-0.1146,-0.1994,-0.0045,-0.0314,-0.1365,1.0712,0.3456,0.6755,BRCACancer
Utah__G05,-0.2554,-0.4558,-0.0311,-0.1719,-0.1469,0.6163,0.2663,0.47,BRCACancer
Utah__G06,-0.1768,-0.2386,-4e-04,-0.1174,0.0046,0.5506,0.3429,0.5053,BRCACancer
Utah__G07,-0.1161,-0.3812,0.0081,-0.0551,-0.1431,0.6381,0.2633,0.5911,Control
Utah__G08,-0.173,-0.4399,0.0015,-0.1311,-0.2031,1.1974,0.4591,0.7088,Control
Utah__G09,-0.141,-0.1991,0.0081,-0.1314,-0.124,0.855,0.2956,0.4025,Control
Utah__G10,-0.1214,-0.4325,0.1033,-0.0311,-0.156,0.1601,0.0237,0.4276,BRCACancer
Utah__G11,-0.0634,-0.5752,0.1567,-0.0448,0.1144,0.4212,0.1972,0.3585,BRCACancer
Utah__G12,-0.1195,-0.1917,0.0132,-0.0984,-0.0483,0.5118,0.2163,0.4954,BRCACancer
Utah__H01,-0.0776,-0.1543,0.2134,-0.1712,-0.0683,0.6769,0.1759,0.473,Control
Utah__H02,-0.1304,-0.0182,0.0552,-0.1117,-0.0907,0.9561,0.3196,0.5909,Control
Utah__H03,-0.1797,-0.2686,0.0286,-0.1646,-0.1133,0.7139,0.2314,0.6334,Control
Utah__H04,-0.0817,-0.3492,-0.0143,-0.2353,-0.0744,1.0234,0.4195,0.7336,Control
Utah__H06,-0.179,-0.3362,-0.0788,-0.1227,-0.0702,1.1905,0.3579,0.5844,Control
