@relation data

@attribute id string
@attribute 1001 numeric
@attribute 10053 numeric
@attribute 10205 numeric
@attribute 10207 numeric
@attribute 1040 numeric
@attribute 10653 numeric
@attribute 11030 numeric
@attribute 11227 numeric
@attribute 114569 numeric
@attribute 118429 numeric
@attribute 118932 numeric
@attribute 120224 numeric
@attribute 123036 numeric
@attribute 126695 numeric
@attribute 128077 numeric
@attribute 128218 numeric
@attribute 1364 numeric
@attribute 1366 numeric
@attribute 143098 numeric
@attribute 147700 numeric
@attribute 147798 numeric
@attribute 152002 numeric
@attribute 161291 numeric
@attribute 1832 numeric
@attribute 200634 numeric
@attribute 2041 numeric
@attribute 2065 numeric
@attribute 2125 numeric
@attribute 2335 numeric
@attribute 2591 numeric
@attribute 25987 numeric
@attribute 266977 numeric
@attribute 26751 numeric
@attribute 27134 numeric
@attribute 27242 numeric
@attribute 29841 numeric
@attribute 3176 numeric
@attribute 347735 numeric
@attribute 3694 numeric
@attribute 3880 numeric
@attribute 4070 numeric
@attribute 4072 numeric
@attribute 4313 numeric
@attribute 4582 numeric
@attribute 50848 numeric
@attribute 5349 numeric
@attribute 5468 numeric
@attribute 54836 numeric
@attribute 54845 numeric
@attribute 54961 numeric
@attribute 55040 numeric
@attribute 55615 numeric
@attribute 55620 numeric
@attribute 558 numeric
@attribute 5603 numeric
@attribute 5652 numeric
@attribute 57111 numeric
@attribute 57402 numeric
@attribute 57619 numeric
@attribute 57669 numeric
@attribute 59084 numeric
@attribute 6337 numeric
@attribute 64063 numeric
@attribute 6935 numeric
@attribute 7040 numeric
@attribute 7431 numeric
@attribute 79098 numeric
@attribute 79767 numeric
@attribute 79977 numeric
@attribute 83481 numeric
@attribute 84674 numeric
@attribute 8829 numeric
@attribute 92359 numeric
@attribute 9289 numeric
@attribute 999 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,-0.0691,0.0629,0.5168,0.51,-0.1007,0.6136,-0.1176,-0.085,-0.1007,1.6081,0.2765,0.4814,2.8663,0.2441,1.0661,-0.0618,-0.1968,0.0285,0.8711,-0.0294,0.0673,0.0633,0.1377,0.1697,0.2593,0.3727,-0.0665,-0.0057,-0.0489,0.5074,-0.172,-0.0742,0.5139,0.4262,0.0117,0.0505,0.6304,0.2847,-0.0633,-0.1591,-0.0251,-0.2411,-0.1545,0.1235,1.2746,-0.0173,0.0066,0.1947,-0.1615,0.0929,-0.1037,0.1845,0.0482,0.0514,1.0042,-0.0924,-0.042,0.0576,-0.1022,0.3844,0.1302,-0.1019,-0.1537,0.9942,2.044,2.3884,0.1135,0.1099,-0.141,0.485,0.8516,-0.0538,0.0351,0.4206,0.0981,Control
Utah__A02,-0.0957,0.1118,0.4542,0.2475,0.0035,0.5169,-0.0708,-0.0224,-0.1649,1.203,0.6061,-7e-04,2.5257,0.3184,0.9454,0.0168,-0.2548,-0.0836,0.5313,-0.0482,0.0597,0.1271,0.0591,0.1211,0.0485,0.3117,-0.1155,-0.0588,-0.002,0.5917,-0.1214,0.0442,0.4477,0.2476,0.1009,-7e-04,0.5811,0.284,-0.0086,-0.2293,-0.0068,-0.0834,-0.2149,0.1328,1.1375,0.024,0.0419,-0.001,-0.0378,0.0566,-0.1273,0.1868,-0.0403,0.0293,0.9425,-0.2146,-0.1378,-0.021,-0.0295,0.2163,0.2156,-0.07,-0.0927,0.4581,2.0529,2.1809,0.1272,0.0353,-0.0938,0.176,0.8887,-0.0708,0.0876,0.9331,-0.0641,Control
Utah__A03,-0.084,0.1419,0.6287,0.193,-0.0518,0.5905,-0.0746,-0.0234,-0.1368,1.5111,0.9756,0.0603,2.4941,0.2728,0.9532,-6e-04,-0.0682,0.003,0.6694,-0.0371,0.1047,0.142,0.0463,-0.0256,0.0223,0.2818,-0.0881,-0.041,-0.0268,0.7254,-0.1883,-0.0523,0.4016,0.1792,0.0467,0.0419,0.7391,0.3504,-0.0387,-0.0741,0.055,-0.136,-0.177,0.2647,1.1179,0.0214,0.0257,0.1751,-0.1289,0.1772,-0.0845,0.1849,0.0189,0.1001,0.9742,-0.0639,-0.0816,0.0248,-0.0656,0.2131,0.255,-0.1021,-0.1875,0.6102,2.233,2.5655,0.18,0.0665,-0.0997,0.1274,1.1612,0.0019,-0.0745,1.3315,0.05,Control
Utah__A04,-0.0522,0.0312,0.3252,0.3426,0.0254,0.5891,-0.0714,-0.0744,-0.0784,1.4665,0.1835,0.3002,2.785,0.2742,1.2357,-0.0622,-0.1836,-0.1211,0.5414,0.0861,0.168,0.106,0.1546,0.2298,0.1371,0.3759,-0.11,-0.0195,-0.0521,0.5275,-0.0051,-0.0137,0.4085,0.2524,0.0745,0.0815,0.5065,0.2991,-0.0408,-0.1319,-0.1003,-0.0785,-0.1674,0.1304,1.191,-0.0444,0.0309,0.1171,-0.0907,0.1122,-0.0173,0.2412,0.0045,0.0348,1.0887,-0.1756,-4e-04,-0.1172,-0.0478,0.239,0.1937,-0.0862,-0.0045,0.6077,2.1844,2.3067,0.0829,0.0947,-0.0755,0.1293,0.8532,-0.0852,0.158,1.0342,0.0031,Control
Utah__A05,-0.0577,0.2212,0.509,0.2801,-0.0086,0.8575,-0.0923,-0.0758,-0.1135,1.6474,0.3734,0.0918,2.4356,0.1523,1.2141,0.0413,-0.1966,-0.0058,0.7651,0.0676,0.035,0.1218,0.0838,-0.0338,0.0809,0.2784,-0.1051,0.0199,-0.0661,0.6373,-0.1011,-0.0316,0.4133,0.2264,0.0996,0.06,0.8383,0.3785,-0.0195,-0.1473,-0.0928,-0.0752,-0.1226,0.0939,1.5565,-0.0451,-0.0035,0.2045,-0.1113,0.208,-0.0343,0.1804,-0.0199,0.0191,0.9788,-0.1061,-0.1264,0.0206,-0.0511,0.2736,0.2487,-0.0572,-0.066,0.5267,2.5268,2.6628,0.2178,0.1466,-0.119,0.292,1.214,-0.0537,0.1703,1.0394,0.0296,Control
Utah__A06,-0.1013,0.1003,0.566,0.2834,-0.1126,0.6765,-0.0689,-0.026,-0.1866,1.4166,0.3238,0.1113,2.3069,0.1009,0.9329,-0.0273,-0.1395,-0.0058,0.7923,-0.1213,0.0672,0.1022,0.0276,-0.0726,0.0363,0.3171,-0.0853,-0.0969,-0.0507,0.6593,-0.1937,-0.0404,0.4663,0.2075,0.178,0.0313,0.8387,0.3194,-0.0715,-0.2257,-0.0565,-0.1221,-0.1747,0.0282,1.1879,0.0031,0.0311,0.1251,-0.102,0.0778,-0.1702,0.2263,-0.0592,-0.0121,0.8609,-0.1043,-0.0705,0.0339,-0.0547,0.2668,0.1885,-0.1085,-0.1833,0.5277,2.0798,2.5395,0.0175,0.0502,-0.0887,0.3076,1.0312,0.0125,-0.0622,0.9322,-0.0117,Control
Utah__A07,-0.1215,0.0739,0.5683,0.3865,9e-04,0.7769,-0.0681,-0.0215,-0.1453,1.7736,0.1525,0.2241,2.6939,0.2635,1.0431,0.0279,-0.1165,-0.1083,0.9178,-0.0207,0.0052,0.1832,0.0298,0.0037,0.1563,0.3861,-0.1056,-0.0317,-0.0393,0.7925,-0.1823,-0.0586,0.606,0.2408,0.202,0.0354,0.8672,0.2855,-0.0161,-0.1848,-0.0537,-0.1222,-0.2058,0.0896,1.2402,-0.0023,0.0339,0.1453,-0.076,0.1194,-0.1384,0.2106,-0.0042,0.0304,0.9428,-0.1203,-0.096,-0.0454,-0.0368,0.2296,0.2889,-0.0744,-0.1256,0.8863,2.1037,2.6143,0.1223,0.0436,-0.0827,0.2719,1.0716,0.0197,-0.0082,0.9098,-0.0456,Control
Utah__A08,-0.1366,0.0482,0.3437,0.5601,-0.0789,0.3059,-0.1089,-0.0608,-0.2441,1.8478,0.2056,0.3469,2.767,0.1114,0.9119,0.0145,-0.3059,-0.0026,1.0543,-0.0368,0.0719,0.1203,0.0803,0.0928,0.3779,0.374,-0.1166,-0.0546,-0.067,0.6728,-0.2049,-0.0863,0.7686,0.2821,3e-04,0.044,0.6622,0.17,-0.0846,-0.174,0.0026,-0.1677,-0.1389,0.0804,0.9772,0.078,-0.0091,0.0334,-0.1212,0.0413,-0.1431,0.1227,0.0386,0.0245,0.8045,-0.1735,-0.1254,0.0462,-0.0861,0.3973,0.1413,-0.0942,-0.184,1.1823,1.7967,2.2635,0.0483,0.0408,-0.1428,0.5337,0.7537,-0.0904,-0.0687,0.9351,-0.058,Control
Utah__A09,-0.0826,0.2338,0.316,0.3703,-0.0361,0.5792,-0.0672,-0.0453,-0.1324,1.6792,0.1339,0.3506,3.101,0.2827,0.9838,0.0198,-0.2002,-0.0973,0.8959,-0.0774,-0.0035,0.1556,0.0021,0.0402,0.2174,0.3271,-0.0762,-0.0402,-0.0476,0.5652,-0.0753,-0.0528,0.4082,0.3159,0.051,-0.0173,0.5268,0.2338,-0.038,-0.1468,0.0433,-0.0552,-0.1538,0.1391,1.2376,-0.0107,0.0676,0.1743,-0.1154,0.0581,-0.135,0.2793,0.0702,-0.0301,0.8572,-0.0945,0.0321,0.0478,-0.049,0.2428,0.0911,-0.157,-0.0971,0.865,2.0877,2.421,0.0553,0.0966,-0.108,0.2811,0.785,-0.0447,0.089,0.6717,-0.0029,Control
Utah__A10,-0.1125,0.1738,0.459,0.358,-0.0439,0.6072,-0.0929,-0.085,-0.1514,1.593,0.3608,0.066,2.9545,0.1814,1.0794,0.0176,-0.1871,-0.0679,0.905,0.0292,0.0577,0.112,0.0188,-0.0385,0.2044,0.2147,-0.089,-0.0148,-0.0093,0.7652,-0.2019,-0.0542,0.4636,0.2309,-0.0567,-0.0136,0.7525,0.2486,-0.027,-0.1585,-0.0326,-0.0672,-0.1788,0.0346,1.3315,0.042,0.0733,0.0721,-0.1115,0.0933,-0.0507,0.2958,-0.0335,-0.0329,1.0123,-0.0426,-0.0836,0.0345,-0.083,0.2808,0.4095,-0.103,-0.0705,0.7848,2.136,2.4883,0.0321,0.0937,-0.1388,0.1323,0.9191,-0.0603,0.0647,1.0845,0.0168,Control
