@relation data

@attribute id string
@attribute 1147 numeric
@attribute 1387 numeric
@attribute 1432 numeric
@attribute 1843 numeric
@attribute 2033 numeric
@attribute 2908 numeric
@attribute 3551 numeric
@attribute 3553 numeric
@attribute 3576 numeric
@attribute 4088 numeric
@attribute 4089 numeric
@attribute 4615 numeric
@attribute 4790 numeric
@attribute 4792 numeric
@attribute 5600 numeric
@attribute 5606 numeric
@attribute 5608 numeric
@attribute 5970 numeric
@attribute 6885 numeric
@attribute 7046 numeric
@attribute 7048 numeric
@attribute 7097 numeric
@attribute 7124 numeric
@attribute 9020 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,1.5306,1.4419,1.4426,3.2944,1.911,0.9149,1.1434,1.5545,2.3769,0.8226,1.5527,1.4781,1.6889,2.2235,-0.0276,0.744,0.7028,1.4148,1.4603,1.338,1.8205,1.9375,0.4095,0.7542,Control
Utah__A02,1.317,1.1941,1.1508,2.328,1.6897,0.6393,0.9151,0.7205,0.4785,0.5356,1.1608,1.747,1.279,2.0678,-0.0188,0.722,0.2931,1.23,1.1513,1.203,1.3679,1.5387,0.4322,0.5135,Control
Utah__A03,1.5532,1.4161,1.3711,3.3982,1.9277,0.8394,1.0536,0.8663,0.9033,0.7217,1.2748,1.9692,1.4481,2.7745,0.0192,1.0145,0.429,1.459,1.3066,1.378,1.5703,1.9723,0.5375,0.7466,Control
Utah__A04,1.0954,1.2536,1.2559,2.7427,1.63,0.8465,0.9388,0.4163,0.7419,0.6842,1.1546,1.8283,1.4307,2.2888,0.1305,0.781,0.3654,1.4617,1.2606,1.2382,1.6568,1.4205,0.3432,0.6238,Control
Utah__A05,1.4575,1.4082,1.5137,3.1081,1.9476,0.8243,1.0568,0.6999,0.8423,0.6578,1.2751,2.0997,1.5153,2.4787,0.0999,0.9779,0.5039,1.5159,1.3929,1.3004,1.6985,2.0974,0.365,0.6847,Control
Utah__A06,1.4051,1.3394,1.2007,3.8276,1.8282,0.7419,0.9679,0.7341,1.2326,0.6253,1.248,1.7849,1.3528,2.4894,-0.0898,0.8196,0.6103,1.312,1.2752,1.2619,1.6303,1.8641,0.4132,0.5878,Control
Utah__A07,1.4813,1.4397,1.592,3.4449,1.9341,1.0975,1.1316,1.2177,0.9668,0.7816,1.5493,1.7324,1.6808,1.9854,-0.077,0.7471,0.5968,1.2303,1.5008,1.579,1.9951,2.2541,0.4675,0.7607,Control
Utah__A08,1.3335,1.5649,1.6309,2.7044,2.0256,1.2547,1.1825,0.4423,0.8097,1.0076,1.68,1.5837,1.8517,1.9135,-0.0922,0.6866,0.7273,1.2164,1.6185,1.604,2.234,1.7506,0.2445,0.7338,Control
Utah__A09,1.4215,1.4149,1.435,2.9633,1.9246,0.9804,1.0308,0.5926,0.7556,0.8599,1.4807,1.5714,1.6,2.2018,-0.0205,0.8065,0.5458,1.304,1.3452,1.4083,1.8341,1.8838,0.3484,0.6833,Control
Utah__A10,1.4407,1.4738,1.7367,3.6388,1.9583,1.1686,1.1319,1.4944,1.1064,0.8622,1.4449,1.7444,1.6339,2.1342,-0.0018,0.7525,0.6755,1.2969,1.6039,1.6761,2.0411,2.5528,0.4505,0.7161,Control
Utah__A11,1.3452,1.2954,1.1233,2.876,1.7813,0.7513,0.7572,0.6314,0.5536,0.7867,1.3018,1.19,1.1125,2.0686,-0.0624,0.6863,0.5351,1.1956,1.0633,1.562,1.2369,1.3526,0.1872,0.5971,Control
Utah__A12,0.8449,0.7447,0.8493,2.4147,0.9995,0.5113,0.7413,0.4221,0.7331,0.309,0.7635,1.2792,1.0664,1.6783,-0.2465,0.6913,0.2159,0.7846,0.8197,0.8099,0.9317,0.7856,0.0949,0.259,Control
Utah__B01,1.2751,1.2657,1.2183,2.7441,1.7081,0.9354,0.9675,0.9846,1.5089,0.6363,1.5174,1.2536,1.5141,2.5522,-0.3463,0.573,0.6443,1.1788,1.3462,1.1653,1.8115,1.5377,0.221,0.5788,Control
Utah__B02,1.2949,1.3037,1.3113,3.7459,1.7695,0.8673,1.0914,1.4302,1.5833,0.6328,1.3191,1.8021,1.4393,3.1122,0.0037,0.8811,0.5247,1.5668,1.34,1.2137,1.6906,1.9047,0.4265,0.7221,Control
Utah__B03,1.2866,1.2732,1.2964,3.5534,1.7464,0.9297,1.0365,1.2116,1.514,0.7174,1.3109,1.5754,1.4807,2.6831,-0.0909,0.708,0.5927,1.3846,1.3737,1.2682,1.6787,2.0194,0.1629,0.6262,BRCACancer
Utah__B04,1.0813,1.501,1.5574,1.9244,1.9242,1.1331,1.2905,0.6154,0.4971,1.0319,1.3074,1.5204,1.6477,1.6768,-0.0903,0.7454,0.6523,1.1066,1.4161,1.5925,2.1617,1.8843,0.3204,0.7358,BRCACancer
Utah__B05,1.0308,1.3143,1.0531,3.4779,1.758,0.804,0.8579,1.751,1.111,0.6685,1.1519,1.8138,1.2639,2.6534,-0.1129,0.8433,0.2515,1.2743,1.0362,1.0295,1.3944,0.9064,0.3651,0.5338,BRCACancer
Utah__B06,1.1032,0.9236,1.0091,1.8186,1.3232,0.683,0.8602,0.5355,1.1072,0.3984,1.0157,1.0216,1.2056,1.5007,-0.3907,0.3251,0.4629,0.8016,1.0289,1.1808,1.3692,1.4233,0.0826,0.3254,BRCACancer
Utah__B07,1.4799,1.4043,1.4636,2.3202,1.9144,0.9283,1.2148,0.6485,0.7585,0.7005,1.4591,1.6613,1.4768,2.1568,0.0257,0.8574,0.5065,1.4052,1.4521,1.5779,1.7504,2.0958,0.1916,0.7673,BRCACancer
Utah__B08,1.4267,1.1935,1.2368,2.398,1.6647,0.6412,0.8656,0.8813,0.6871,0.5657,1.3079,1.5663,1.2024,1.9468,0.1273,0.7926,0.433,1.2641,1.1057,1.2824,1.2903,1.7757,0.1785,0.6147,Control
Utah__B09,0.9438,1.3839,1.3351,2.3585,1.8836,1.0306,1.0191,0.1036,0.7343,1.0478,1.2551,1.1501,1.3963,2.012,-0.0968,0.6986,0.6246,1.0746,1.2557,1.468,1.8897,1.3195,0.0635,0.6344,Control
Utah__B10,1.0406,1.1843,1.3763,2.7291,1.7164,0.9878,0.9582,0.6415,0.9211,0.6098,1.2239,1.5148,1.488,1.5794,-0.0692,0.5039,0.4213,0.9463,1.2484,1.2968,1.8062,1.4252,0.0864,0.4409,Control
Utah__B11,1.2072,1.305,1.35,2.7912,1.8336,0.8237,0.8689,0.7016,0.7328,0.6023,1.2536,1.7252,1.3382,1.9276,-0.0522,0.759,0.4453,1.2114,1.1064,1.2204,1.4861,1.7626,0.1554,0.5328,Control
Utah__B12,0.5564,1.2458,1.113,1.9763,1.5738,0.7639,1.0292,0.2319,0.6265,0.7294,0.9484,1.1653,1.2842,1.5991,-0.1087,0.5235,0.3131,0.777,1.0496,1.2306,1.7053,1.4078,0.2909,0.4741,Control
Utah__C01,1.38,1.511,1.4476,2.641,2.0778,0.9534,1.1534,1.0638,0.7045,0.7537,1.2978,1.8466,1.4466,1.9287,-0.0058,0.9687,0.5762,1.4302,1.2559,1.4296,1.7681,1.9876,0.4812,0.7814,BRCACancer
Utah__C02,1.2322,1.2063,1.1796,2.5574,1.6525,0.7079,1.0308,0.7445,0.7264,0.561,1.1166,1.6794,1.3945,2.0466,0.1277,0.8616,0.3462,1.5139,1.2553,1.142,1.5035,1.5529,0.4151,0.6195,BRCACancer
Utah__C03,1.376,1.4746,1.3531,2.5052,1.9071,0.8702,1.1489,0.8734,0.685,0.7976,1.3587,1.928,1.3917,2.1791,0.1151,0.9484,0.3827,1.6895,1.3089,1.5478,1.7609,1.8112,0.5511,0.8353,BRCACancer
Utah__C04,0.7702,1.0435,0.6519,2.8917,1.3682,0.4654,0.6082,0.4131,0.7249,0.424,0.8349,1.454,0.9029,2.1606,0.1095,0.7873,0.2371,1.2122,0.7431,0.7956,0.9529,0.7409,0.1199,0.4063,Control
Utah__C05,0.8165,0.9674,0.7781,2.4717,1.4051,0.4896,0.6748,0.7626,0.6981,0.373,0.8387,1.6564,1.0868,1.6711,0.0748,0.6457,0.1362,1.1245,0.7841,0.9693,1.1509,0.8182,0.1511,0.4499,BRCACancer
Utah__C06,0.1994,0.4733,0.2166,0.95,0.4759,0.2639,0.306,0.0521,0.9719,0.3166,0.3091,0.5573,0.4197,0.8758,-0.0863,0.5213,0.0769,0.5461,0.1958,0.2689,0.2651,0.057,-0.1027,0.1594,Control
