@relation data

@attribute id string
@attribute 1147 numeric
@attribute 1676 numeric
@attribute 1677 numeric
@attribute 2620 numeric
@attribute 317 numeric
@attribute 329 numeric
@attribute 330 numeric
@attribute 331 numeric
@attribute 4000 numeric
@attribute 4790 numeric
@attribute 4792 numeric
@attribute 54205 numeric
@attribute 596 numeric
@attribute 5970 numeric
@attribute 637 numeric
@attribute 6709 numeric
@attribute 7186 numeric
@attribute 836 numeric
@attribute 839 numeric
@attribute 840 numeric
@attribute 841 numeric
@attribute 842 numeric
@attribute 843 numeric
@attribute 8717 numeric
@attribute 8718 numeric
@attribute 8737 numeric
@attribute 8743 numeric
@attribute 8772 numeric
@attribute 8795 numeric
@attribute 8797 numeric
@attribute 8837 numeric
@attribute 9020 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,1.5306,1.0097,0.4024,-0.0654,1.7487,2.2226,2.5287,1.0456,0.0793,1.6889,2.2235,0.7163,1.598,1.4148,0.857,1.9443,0.2448,1.24,0.7224,0.5342,1.465,0.8952,1.1688,1.2781,1.5038,1.4069,1.8321,0.8721,1.1907,1.2372,1.7865,0.7542,Control
Utah__A02,1.317,0.8814,0.2851,-0.1879,1.6818,2.0145,2.0638,0.7644,0.1723,1.279,2.0678,0.7423,0.7606,1.23,0.8393,1.6226,0.1827,1.2187,0.4214,0.4465,1.1745,0.614,0.7882,0.9188,0.9716,1.2491,1.9542,0.7017,0.9831,0.78,1.5898,0.5135,Control
Utah__A03,1.5532,0.9572,0.4308,-0.1915,1.8237,2.1844,1.9886,0.9372,0.2179,1.4481,2.7745,0.9311,0.6724,1.459,1.0016,1.8201,0.2495,1.3606,0.5022,0.6074,1.4136,0.8989,1.1272,1.0092,0.985,1.4813,2.2166,0.7949,1.1935,0.7811,1.8538,0.7466,Control
Utah__A04,1.0954,0.9315,0.3754,-0.0519,1.5078,1.8646,2.3516,0.8464,0.2038,1.4307,2.2888,0.7592,0.8481,1.4617,0.9414,1.7226,0.2383,1.1395,0.5659,0.4571,1.297,0.7606,0.8897,1.1988,1.3988,1.3259,1.504,0.7321,0.9065,0.93,1.5957,0.6238,Control
Utah__A05,1.4575,1.0851,0.4833,-0.0693,1.9445,2.0877,2.052,0.8225,0.2249,1.5153,2.4787,0.7999,0.8722,1.5159,0.9599,1.6116,0.2226,1.4523,0.5411,0.6018,1.3513,0.9986,1.1604,1.1025,1.0858,1.4854,2.0287,0.9607,1.1765,0.9467,1.7423,0.6847,Control
Utah__A06,1.4051,0.9397,0.415,-0.0704,1.7899,2.0417,1.6263,0.7214,0.0905,1.3528,2.4894,0.7842,0.7888,1.312,0.8533,1.5229,0.1497,1.162,0.3591,0.4586,1.2326,0.9562,1.1238,0.9259,1.0567,1.4059,1.6035,0.8172,1.0263,0.8703,1.6131,0.5878,Control
Utah__A07,1.4813,0.9592,0.4453,-0.1374,1.9755,2.2733,2.0648,1.008,0.1921,1.6808,1.9854,0.7672,1.3272,1.2303,0.999,1.6544,0.221,1.4389,0.5899,0.5353,1.4514,0.8141,1.1824,1.0883,1.2466,1.4578,1.818,0.9145,1.1307,1.0261,1.8573,0.7607,Control
Utah__A08,1.3335,0.6737,0.3799,-0.0851,1.7175,2.1889,1.9854,0.8792,0.0637,1.8517,1.9135,0.5666,1.971,1.2164,0.871,1.8142,0.1806,1.041,0.5323,0.4697,1.533,0.7207,1.325,0.8238,1.0486,1.4416,1.8618,0.5589,0.8357,1.0492,1.8989,0.7338,Control
Utah__A09,1.4215,0.8902,0.3718,-0.0767,1.731,2.2044,2.3026,0.9371,0.1991,1.6,2.2018,0.6669,1.6289,1.304,0.8926,1.8236,0.2206,1.0344,0.614,0.5133,1.2306,0.7421,0.9483,1.0496,1.1698,1.3374,1.6117,0.7888,0.985,0.9087,1.6491,0.6833,Control
Utah__A10,1.4407,0.9689,0.3736,-0.1077,1.885,2.1303,1.7943,0.9419,0.0935,1.6339,2.1342,0.5994,1.1995,1.2969,0.8767,1.7171,0.2134,1.2447,0.564,0.5352,1.3767,0.9479,0.9156,0.8903,0.9242,1.4147,1.896,0.712,1.0943,0.9857,2.0075,0.7161,Control
Utah__A11,1.3452,0.5957,0.1886,-0.1096,1.7629,2.0108,1.9084,0.9608,0.0198,1.1125,2.0686,0.6778,1.1764,1.1956,0.7075,1.6078,0.2149,0.8655,0.3557,0.485,0.999,0.5807,0.6776,0.881,0.7174,1.0851,1.2328,0.8053,0.8601,0.6541,1.4024,0.5971,Control
Utah__A12,0.8449,0.4083,0.2248,-0.1481,1.1173,1.628,1.4403,0.3797,0.176,1.0664,1.6783,0.4178,0.438,0.7846,0.6848,1.1132,0.0179,0.8947,0.3388,0.2236,0.9414,0.4971,0.4973,0.4303,0.8016,0.9064,1.0796,0.3738,0.5416,0.4396,1.1905,0.259,Control
Utah__B01,1.2751,0.5862,0.2721,-0.0713,1.3385,2.1294,2.3823,0.8126,-0.0618,1.5141,2.5522,0.5944,1.3259,1.1788,0.6237,1.6269,-0.0292,0.8888,0.6022,0.3321,1.3439,0.7117,0.9804,0.7183,1.1527,1.2248,1.3445,0.4426,0.8292,1.0119,1.4952,0.5788,Control
Utah__B02,1.2949,0.9423,0.4018,-0.0905,1.5383,2.0589,2.0671,0.8953,0.0976,1.4393,3.1122,1.0909,0.7573,1.5668,0.9334,1.835,0.2439,1.1595,0.6891,0.4436,1.362,0.868,0.9269,1.2002,1.3554,1.3491,1.6214,0.9088,1.1868,0.9734,1.7407,0.7221,Control
Utah__B03,1.2866,0.8598,0.3239,-0.053,1.6468,2.1642,2.2276,0.8552,-0.0427,1.4807,2.6831,0.9005,1.0441,1.3846,0.7981,1.7454,0.1441,1.0598,0.6444,0.4458,1.5046,0.6967,0.9174,1.1464,1.1965,1.3596,1.4798,0.7568,1.0245,1.0228,1.7555,0.6262,BRCACancer
Utah__B04,1.0813,0.7058,0.3778,-0.1417,1.5149,1.8746,1.4179,0.8629,0.1605,1.6477,1.6768,0.6219,1.7304,1.1066,0.7803,1.6934,0.184,1.0387,0.2945,0.4517,1.4123,0.6286,1.1038,0.6804,0.9827,1.2711,1.4958,0.4285,0.8672,0.7263,2.1134,0.7358,BRCACancer
Utah__B05,1.0308,0.5762,0.3021,-0.1434,1.2632,1.9171,1.7732,0.6369,0.1089,1.2639,2.6534,0.8085,0.622,1.2743,0.8971,1.5294,0.1159,1.1362,0.2812,0.2799,1.1158,0.6254,0.7935,0.6909,0.947,1.1351,1.1583,0.5029,0.5088,0.4551,1.6649,0.5338,BRCACancer
Utah__B06,1.1032,0.2774,0.1232,-0.0078,1.2445,1.777,1.7299,0.459,1e-04,1.2056,1.5007,0.1169,0.7863,0.8016,0.4513,1.2124,-0.169,0.9527,0.2566,0.2988,1.4129,0.5369,0.8054,0.4486,0.7618,1.0197,1.3309,0.2917,0.728,0.4506,1.458,0.3254,BRCACancer
Utah__B07,1.4799,1.0484,0.4226,-0.0785,1.736,2.1961,2.1866,0.9906,0.1594,1.4768,2.1568,0.8633,1.1124,1.4052,0.8831,1.8673,0.2551,1.2561,0.5909,0.5097,1.7409,0.7399,0.9649,1.2031,1.3287,1.5135,1.897,0.8924,1.0739,0.9428,2.0143,0.7673,BRCACancer
Utah__B08,1.4267,0.8009,0.3014,-0.0187,1.867,2.2475,1.9806,0.9221,0.1486,1.2024,1.9468,0.7197,0.6778,1.2641,0.9379,1.5907,0.218,1.1499,0.6141,0.5078,1.156,0.8371,0.8104,1.1586,1.0326,1.1911,1.6633,1.0596,1.152,0.929,1.5711,0.6147,Control
Utah__B09,0.9438,0.2908,0.2333,-0.1093,1.1309,1.8664,1.8549,0.7146,0.0282,1.3963,2.012,0.439,2.0269,1.0746,0.6279,1.6064,0.1315,0.9575,0.3189,0.2716,1.1372,0.3752,0.8939,0.7425,0.9605,1.1683,0.997,0.3824,0.7273,0.7977,1.6931,0.6344,Control
Utah__B10,1.0406,0.5911,0.2595,-0.0882,1.4053,1.977,1.6229,0.7708,0.0806,1.488,1.5794,0.5219,1.4479,0.9463,0.6502,1.4273,0.0985,0.874,0.3039,0.2762,1.2173,0.5534,0.9213,0.6592,0.8533,1.2365,1.4923,0.5897,0.6795,0.5565,1.7706,0.4409,Control
Utah__B11,1.2072,0.6886,0.1667,-0.098,1.8542,2.0368,1.8065,0.8515,0.2038,1.3382,1.9276,0.4327,0.9421,1.2114,0.8707,1.4998,0.1268,1.0068,0.6025,0.3229,0.9041,0.6291,0.8344,0.8388,0.927,1.1771,1.7753,0.6935,0.6871,0.6637,1.535,0.5328,Control
Utah__B12,0.5564,0.1387,0.1735,-0.1217,1.0883,1.4581,1.5154,0.6148,0.1002,1.2842,1.5991,0.3144,1.9527,0.777,0.6275,1.3003,0.1258,0.6178,0.0478,0.2264,0.873,0.3193,0.7459,0.6716,1.0815,0.7665,0.7541,0.1636,0.6201,0.6792,1.5946,0.4741,Control
Utah__C01,1.38,0.9187,0.419,-0.122,1.8682,2.0067,1.6928,0.9957,0.1966,1.4466,1.9287,0.6704,0.9141,1.4302,0.9576,1.7018,0.229,0.9613,0.2854,0.4208,1.2504,0.7916,1.2017,1.1134,1.1815,1.3942,1.7487,0.8345,1.2098,0.7473,1.8732,0.7814,BRCACancer
Utah__C02,1.2322,0.9718,0.4169,-0.1191,1.6253,1.9308,2.012,0.8407,0.2039,1.3945,2.0466,0.6617,0.8473,1.5139,0.8375,1.7557,0.2922,0.9934,0.4716,0.3542,1.2754,0.8772,0.9538,1.2914,1.3943,1.3934,1.6384,0.7667,1.0997,0.8718,1.5534,0.6195,BRCACancer
Utah__C03,1.376,1.165,0.613,-0.1329,1.7095,1.9202,1.812,0.937,0.2779,1.3917,2.1791,0.7761,0.8426,1.6895,0.9512,1.8956,0.3394,1.2434,0.4421,0.5211,1.5651,0.9409,1.1637,1.4113,1.5544,1.5355,1.849,0.9745,1.1329,0.9526,1.9382,0.8353,BRCACancer
Utah__C04,0.7702,0.5257,0.2454,-0.1448,1.2876,1.5339,1.353,0.5308,0.2294,0.9029,2.1606,0.6996,0.6041,1.2122,0.719,1.3575,0.1785,0.692,0.1647,0.2259,0.7261,0.3715,0.4397,0.9885,0.9406,0.6827,0.9407,0.4934,0.7467,0.6918,1.0254,0.4063,Control
Utah__C05,0.8165,0.4576,0.2449,-0.174,1.4224,1.5253,1.3136,0.6288,0.1321,1.0868,1.6711,0.5506,0.4546,1.1245,0.7215,1.2758,0.2137,0.7308,0.2404,0.2409,0.7437,0.494,0.6351,0.8132,1.028,0.8304,1.2837,0.5168,0.7284,0.5039,1.1707,0.4499,BRCACancer
