@relation data

@attribute id string
@attribute 10454 numeric
@attribute 1378 numeric
@attribute 1432 numeric
@attribute 1535 numeric
@attribute 2002 numeric
@attribute 2212 numeric
@attribute 2214 numeric
@attribute 23118 numeric
@attribute 2353 numeric
@attribute 3108 numeric
@attribute 3109 numeric
@attribute 3111 numeric
@attribute 3113 numeric
@attribute 3115 numeric
@attribute 3118 numeric
@attribute 3122 numeric
@attribute 3127 numeric
@attribute 3458 numeric
@attribute 3459 numeric
@attribute 3460 numeric
@attribute 3552 numeric
@attribute 3553 numeric
@attribute 3565 numeric
@attribute 3586 numeric
@attribute 3592 numeric
@attribute 3593 numeric
@attribute 3654 numeric
@attribute 3676 numeric
@attribute 3684 numeric
@attribute 3688 numeric
@attribute 3689 numeric
@attribute 3716 numeric
@attribute 3717 numeric
@attribute 3725 numeric
@attribute 4615 numeric
@attribute 4688 numeric
@attribute 4689 numeric
@attribute 4790 numeric
@attribute 4792 numeric
@attribute 4793 numeric
@attribute 4843 numeric
@attribute 51135 numeric
@attribute 5579 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5600 numeric
@attribute 5603 numeric
@attribute 5743 numeric
@attribute 5777 numeric
@attribute 5970 numeric
@attribute 6300 numeric
@attribute 65108 numeric
@attribute 6772 numeric
@attribute 6885 numeric
@attribute 7040 numeric
@attribute 7042 numeric
@attribute 7043 numeric
@attribute 7097 numeric
@attribute 7099 numeric
@attribute 7124 numeric
@attribute 718 numeric
@attribute 7189 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.2872,1.1315,1.4449,1.5089,0.4506,0.5848,1.0697,1.7946,2.8919,1.7846,2.2176,0.6063,2.9699,1.5611,0.0501,3.0674,1.0727,0.7042,2.0903,1.3871,-0.0078,1.5431,-0.2431,0.0038,0.0145,-0.0544,0.6564,2.696,1.627,2.4273,2.2463,1.8794,1.1912,1.2901,1.4816,2.4584,0.7772,1.6981,2.2123,0.9055,-0.0259,2.0311,1.0586,1.76,1.0952,-0.0236,1.0042,2.2485,1.8033,1.4383,-0.1579,1.3325,2.3654,1.4658,2.044,0.0614,0.0793,1.955,2.4861,0.4149,-0.0109,0.8372,Control
Utah__A02,0.1844,0.8419,1.1614,1.5233,0.2934,0.425,1.7616,1.4192,1.0722,1.9155,2.3118,0.5192,3.1911,1.4482,0.257,3.5593,1.0652,1.5545,2.007,1.4009,0.1551,0.7913,-0.2105,-0.0899,-0.0023,-0.0555,0.5823,2.4488,1.7374,2.1759,2.3816,1.6629,1.0674,0.8169,1.7445,2.6102,0.5442,1.2732,2.0603,0.76,0.0262,1.6611,0.7032,1.6579,1.0379,-0.0148,0.9425,0.6403,1.8803,1.258,-0.0901,1.3707,2.5389,1.1532,2.0529,0.0739,0.0163,1.5869,2.5076,0.4378,0.0668,0.7679,Control
Utah__A03,0.2439,0.9079,1.3753,1.5492,0.364,0.6263,2.1053,1.3753,2.3576,2.1584,2.2874,0.5935,3.1864,1.7361,0.0848,3.2594,0.2925,2.0921,1.992,1.5925,-0.0362,0.9227,-0.2256,0.1344,0.0158,0.0503,0.7212,2.7206,1.9552,2.3183,2.5068,1.8002,1.4901,1.1876,1.9618,2.6565,0.9361,1.4485,2.7503,1.0903,-0.0157,1.9239,0.9762,1.9065,1.0752,0.0233,0.9742,0.7037,1.95,1.4813,-0.0782,1.2055,2.8972,1.3103,2.233,0.1569,0.0486,1.9871,2.8343,0.5438,0.1904,0.9336,Control
Utah__A04,0.1265,0.9051,1.2634,1.2468,0.3909,0.5231,1.4676,1.5602,1.55,1.8677,2.0805,0.6918,3.1836,1.2116,0.1842,3.5094,0.0729,0.6554,1.866,1.097,0.1356,0.517,0.002,-0.0683,0.1344,-0.0732,0.649,2.7136,1.7951,2.3751,2.4299,1.964,0.865,1.2809,1.824,2.6795,0.6358,1.4304,2.2761,0.8727,-0.0312,1.4877,0.82,1.7434,1.0602,0.1349,1.0887,0.5118,1.8859,1.484,0.0243,1.5249,2.379,1.2639,2.1844,0.0657,0.1175,1.4777,2.3176,0.3481,-0.018,0.7944,Control
Utah__A05,0.259,1.2724,1.514,1.6011,0.4547,0.7208,1.9238,1.5773,1.9884,2.2411,2.4942,0.7365,3.2592,1.4467,0.2387,3.4609,1.1329,0.6132,2.2635,1.5675,0.1215,0.7727,-0.1394,0.0238,0.0536,-0.0426,0.8578,2.5734,2.2271,2.221,2.5987,1.8971,1.3068,1.2201,2.0894,3.047,1.149,1.5181,2.4615,1.1142,0.0095,1.7524,0.9512,1.9721,1.2157,0.1042,0.9788,0.8173,2.0105,1.5368,0.0052,1.4984,2.648,1.3977,2.5268,0.0409,0.0159,2.1026,2.9955,0.3701,0.1158,0.8518,Control
Utah__A06,0.2241,0.9713,1.2099,1.5201,0.4061,0.7422,1.5783,1.4058,3.0931,1.8854,2.3743,0.6086,3.1144,1.5448,0.1679,3.29,0.2508,0.085,2.1594,1.4364,0.1733,0.8036,-0.1429,-0.0026,0.0214,-0.0077,0.6583,2.2651,2.263,2.0446,2.4549,1.8036,1.0847,0.8267,1.7816,2.8194,0.8034,1.3497,2.472,0.8971,-0.0124,1.6599,0.9045,1.8749,1.0037,-0.086,0.8609,0.7996,1.823,1.338,-0.1294,1.2348,2.2254,1.2785,2.0798,0.0736,0.0485,1.8873,3.0912,0.4186,0.0631,0.7749,Control
Utah__A07,0.2597,1.0844,1.5901,1.3874,0.3002,0.7409,1.7985,1.723,2.7085,1.8354,2.2665,0.7369,2.7825,1.3973,0.0617,3.2491,0.2222,0.9455,2.1762,1.3999,0.0812,1.2395,-0.0564,0.038,-0.0315,-0.0394,0.6423,2.7412,1.855,2.4763,2.3516,2.0093,1.4226,1.2177,1.7303,2.783,0.7916,1.6897,1.9798,0.8526,-0.0549,1.956,1.3099,1.9127,0.9863,-0.0731,0.9428,0.945,1.8362,1.2584,-0.13,1.3985,2.2112,1.5067,2.1037,0.0618,-0.0304,2.2473,2.7151,0.4733,-0.0116,0.9329,Control
Utah__A08,0.1982,0.8937,1.6278,1.307,0.3245,0.2861,1.5404,1.9342,1.7156,1.4555,1.922,0.3863,2.52,1.2944,0.1327,2.8193,0.1972,0.7944,1.8153,1.3678,0.0163,0.5405,-0.1643,-0.0136,-0.0265,-0.0424,0.5498,3.0853,1.5728,2.328,2.0859,2.2698,1.4684,0.8932,1.5849,2.3304,0.5525,1.8669,1.9095,0.7484,0.0149,1.8558,1.4137,1.9432,1.0102,-0.0884,0.8045,0.4725,1.6778,1.2448,-0.1106,1.1474,2.5672,1.6258,1.7967,0.0458,0.106,1.7824,2.1575,0.2487,0.1935,0.8298,Control
Utah__A09,0.1828,0.8389,1.4374,1.3164,0.3747,0.4664,2.041,1.7432,2.2374,1.426,1.9279,0.2964,2.7429,1.1389,0.1825,2.9804,0.2043,0.7784,1.9194,1.2992,0.1002,0.676,-0.2088,0.1078,0.0975,-0.0724,0.5933,2.8347,1.6745,2.5756,2.325,1.9491,1.3695,0.9938,1.5729,2.6121,0.8228,1.606,2.1911,0.8347,0.045,1.8214,1.2508,1.8616,1.0062,-0.0165,0.8572,0.6659,1.8256,1.3302,-0.0919,1.4261,2.4187,1.3494,2.0877,0.065,0.0338,1.9054,2.5755,0.3534,0.0589,0.7673,Control
Utah__A10,0.2691,1.3224,1.7306,1.4273,0.3376,0.6259,1.4551,1.7496,3.1715,1.7895,2.3559,0.3569,2.8951,1.2414,0.0908,3.2177,1.1022,1.5207,2.1802,1.4044,-0.0061,1.489,-0.1703,0.1019,-0.0062,-0.064,0.6598,2.9349,2.0157,2.7093,2.3423,2.0508,1.4291,1.3414,1.742,2.8577,0.8792,1.641,2.1251,0.8363,0.0022,1.7843,1.3167,1.9537,0.9394,0.0023,1.0123,1.1847,1.8519,1.3233,-0.0033,1.3646,2.7033,1.611,2.136,0.0906,0.0508,2.523,2.8245,0.4561,0.071,0.9506,Control
