@relation data

@attribute id string
@attribute 10140 numeric
@attribute 10200 numeric
@attribute 10438 numeric
@attribute 10766 numeric
@attribute 10950 numeric
@attribute 11044 numeric
@attribute 11157 numeric
@attribute 11340 numeric
@attribute 118460 numeric
@attribute 132430 numeric
@attribute 140886 numeric
@attribute 1656 numeric
@attribute 167227 numeric
@attribute 170506 numeric
@attribute 196513 numeric
@attribute 2023 numeric
@attribute 2026 numeric
@attribute 2027 numeric
@attribute 219988 numeric
@attribute 22803 numeric
@attribute 22894 numeric
@attribute 23016 numeric
@attribute 23019 numeric
@attribute 23404 numeric
@attribute 23517 numeric
@attribute 23644 numeric
@attribute 23658 numeric
@attribute 246175 numeric
@attribute 255967 numeric
@attribute 25804 numeric
@attribute 25904 numeric
@attribute 26986 numeric
@attribute 27257 numeric
@attribute 27258 numeric
@attribute 28960 numeric
@attribute 29883 numeric
@attribute 3313 numeric
@attribute 3329 numeric
@attribute 4848 numeric
@attribute 4849 numeric
@attribute 4850 numeric
@attribute 5042 numeric
@attribute 5073 numeric
@attribute 51010 numeric
@attribute 51013 numeric
@attribute 51690 numeric
@attribute 51691 numeric
@attribute 5393 numeric
@attribute 5394 numeric
@attribute 54464 numeric
@attribute 54512 numeric
@attribute 54766 numeric
@attribute 55802 numeric
@attribute 56915 numeric
@attribute 57472 numeric
@attribute 57819 numeric
@attribute 6499 numeric
@attribute 694 numeric
@attribute 7832 numeric
@attribute 80153 numeric
@attribute 80336 numeric
@attribute 80349 numeric
@attribute 84186 numeric
@attribute 87178 numeric
@attribute 8761 numeric
@attribute 9125 numeric
@attribute 9337 numeric
@attribute 9652 numeric
@attribute 9924 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,3.5362,1.0818,0.3748,0.7258,0.7594,0.9971,0.9088,1.2378,0.9584,-0.0506,-0.1201,1.9768,1.2247,1.6024,0.4811,1.8354,1.1507,0.2556,1.718,1.736,1.8056,0.7277,2.5118,1.651,1.4671,1.3175,1.0949,1.5781,1.7438,0.4075,1.0193,2.3623,0.7166,0.914,0.5328,1.4486,1.3751,0.5422,1.3985,0.6335,1.0521,0.8228,1.0213,1.6852,1.2152,0.5851,1.7008,1.6125,1.3658,1.8039,0.2341,-0.176,0.926,0.978,1.1823,0.3569,0.7903,2.6124,2.153,0.623,0.3595,0.6595,0.7635,1.7629,1.3558,1.2863,2.0999,1.8754,1.3976,Control
Utah__A02,3.4114,0.7863,0.2819,0.6615,0.4729,0.7848,0.7003,0.789,0.8735,0.1466,-0.1017,1.6755,1.0941,1.3264,0.1935,1.7858,0.713,0.0506,1.5925,1.4889,1.4612,0.4167,2.4822,1.2642,1.3183,1.1729,0.688,1.1822,1.4063,0.3187,0.8456,1.9458,0.5918,0.7103,0.3904,1.2066,1.1826,0.3908,1.1416,0.4818,0.7072,0.8175,0.7452,1.2183,0.9647,0.3524,1.4791,1.3295,1.1669,1.614,0.3384,-0.181,0.7582,0.6629,0.9362,0.2104,0.6317,2.2789,1.3835,0.3648,0.1161,0.323,0.3154,1.275,1.0626,0.9996,1.9205,1.5548,0.949,Control
Utah__A03,3.2888,0.9578,0.4182,0.7385,0.9509,0.995,0.7974,0.8731,1.1223,0.0257,-0.1254,1.9166,1.1904,1.4051,0.3059,1.842,0.6512,0.0748,1.9144,1.7115,1.6512,0.5863,2.543,1.4164,1.3521,1.2477,0.7776,1.3872,1.6042,0.3668,0.9049,2.4069,0.7529,0.7247,0.5543,1.4243,1.356,0.4713,1.3805,0.5571,0.855,0.7906,0.9444,1.3671,1.0851,0.4072,1.565,1.4685,1.3372,1.8303,0.4262,-0.2612,0.8473,0.8169,1.0782,0.3069,0.8144,2.3605,1.7083,0.4938,0.2239,0.4807,0.4799,1.7483,1.2204,1.2056,1.9988,1.6324,1.0784,Control
Utah__A04,3.5223,0.774,0.3031,0.6532,0.6565,0.8465,0.7838,0.7327,1.1826,-0.0952,-0.1163,1.8696,1.0659,1.339,0.2425,1.8963,0.7913,0.0885,1.4799,1.5017,1.3297,0.5348,2.4838,1.3074,1.4277,1.209,0.7772,1.4086,1.3785,0.3907,0.8444,2.2228,0.5753,0.8,0.4115,1.2061,1.3846,0.4344,1.1328,0.4904,0.7743,0.8374,0.8192,1.2067,0.9242,0.4139,1.6185,1.4305,1.2711,1.7086,0.3135,-0.1467,0.8015,0.7927,0.9846,0.3308,0.8109,2.6479,1.8154,0.4046,0.1904,0.2856,0.4555,1.3561,1.2237,1.2244,2.1452,1.6706,0.9511,Control
Utah__A05,3.193,0.7647,0.3148,0.6645,0.6428,0.9473,0.812,0.7743,1.1852,-0.0038,-0.1488,1.6667,1.3092,1.4466,0.3286,1.9204,0.8525,0.0715,1.8714,1.6987,1.5316,0.5118,2.5357,1.4868,1.3962,1.2996,0.8961,1.3121,1.5487,0.4357,0.9878,2.1204,0.7715,0.8249,0.5251,1.3038,1.2836,0.3967,1.2448,0.6567,0.872,0.8675,0.9266,1.3327,1.0726,0.502,1.5714,1.479,1.3259,1.7901,0.4071,-0.1288,0.8326,0.9643,1.1588,0.4158,0.8208,2.4581,1.7915,0.4804,0.209,0.4776,0.5486,1.5527,1.2876,1.1115,2.1416,1.716,1.1543,Control
Utah__A06,3.1828,1.1186,0.3049,0.611,0.5735,0.7923,0.8574,0.8551,0.9514,-0.0576,-0.161,1.785,1.1924,1.3245,0.2622,1.8602,0.7698,-0.0077,1.6949,1.598,1.4984,0.5213,2.477,1.4296,1.3331,1.2396,0.8191,1.3215,1.5233,0.2854,0.8794,2.2403,0.6966,0.7615,0.4962,1.3813,1.2963,0.3565,1.1939,0.494,0.8011,0.8567,0.9224,1.2881,0.9999,0.4168,1.4295,1.3686,1.2122,1.563,0.323,-0.2141,0.8395,0.9887,1.0218,0.267,0.731,2.5268,1.8419,0.4418,0.196,0.4985,0.3897,1.5349,1.2266,1.067,1.9654,1.6806,1.1447,Control
Utah__A07,3.4361,1.0946,0.467,0.8647,0.5977,1.0696,0.9061,0.9895,1.1133,0.1027,-0.1374,1.9591,1.467,1.5956,0.3592,1.7583,0.8015,0.0279,1.6932,1.811,1.7291,0.626,2.5535,1.4871,1.4822,1.2261,0.98,1.6607,1.9123,0.3099,0.936,2.3216,0.5955,0.9673,0.4862,1.3188,1.329,0.5595,1.4687,0.5372,1.0737,0.7846,0.9631,1.5667,1.182,0.3512,1.73,1.3626,1.2466,1.7179,0.3808,-0.1154,0.9336,0.8246,1.0807,0.3054,0.7403,2.5018,1.6226,0.5614,0.2354,0.6113,0.7792,1.451,1.347,1.1892,2.0667,1.7494,1.1997,Control
Utah__A08,2.9188,1.1639,0.4745,0.671,0.6862,1.28,1.0376,0.8803,0.924,0.1758,-0.1471,1.9006,1.3409,1.6179,0.3544,1.6298,0.7415,0.0959,1.6743,1.7545,1.6396,0.7429,2.4602,1.3023,1.5046,1.1622,0.7309,2.0586,2.0911,0.2985,0.9706,2.4787,0.5945,0.6736,0.4578,1.2749,1.365,0.5323,1.5346,0.5147,1.1988,0.7059,1.1111,1.3684,1.0328,0.2909,1.5695,1.3676,1.2876,1.9729,0.2716,-0.2082,1.0026,0.6006,1.0881,0.2625,0.7251,2.3349,1.4634,0.5281,0.3074,0.6316,1.0635,1.5761,1.2963,1.3174,1.893,1.8595,1.1388,Control
Utah__A09,3.6494,1.0197,0.2478,0.5846,0.5817,0.9975,0.8111,0.9119,1.1317,-0.03,-0.1463,1.868,1.176,1.3275,0.3465,1.7393,0.9474,0.004,1.7082,1.7757,1.6824,0.5083,2.5623,1.4202,1.4147,1.23,0.829,1.6265,1.9007,0.3096,0.917,2.3149,0.7063,0.8368,0.4771,1.3416,1.1858,0.2942,1.5023,0.49,0.9191,0.8194,1.0001,1.3463,1.0918,0.2551,1.6111,1.3904,1.2245,1.6542,0.207,-0.1453,0.807,0.7726,0.9298,0.2364,0.6625,2.539,1.6019,0.5302,0.1669,0.5819,0.694,1.3707,1.1374,1.0811,1.8811,1.6914,1.1368,Control
Utah__A10,3.3394,1.0765,0.3415,0.7311,0.6912,1.023,0.931,0.7809,1.0377,-0.0065,-0.1086,1.7457,1.3959,1.5427,0.4395,1.8031,0.8874,0.1047,1.681,1.7677,1.5991,0.588,2.5754,1.3372,1.4968,1.2066,0.7451,1.747,1.8797,0.3928,0.9893,2.2018,0.7328,0.813,0.4729,1.1847,1.3684,0.4098,1.4259,0.6018,1.0887,0.8397,0.9828,1.326,1.0792,0.3399,1.6684,1.4987,1.31,1.8915,0.2718,-0.1752,0.9929,0.7924,1.0317,0.2933,0.7145,2.3678,1.6437,0.5224,0.2146,0.5929,0.696,1.3804,1.2123,1.2491,1.9988,1.8242,1.0191,Control
