@relation data

@attribute id string
@attribute 11136 numeric
@attribute 23428 numeric
@attribute 23539 numeric
@attribute 23657 numeric
@attribute 23759 numeric
@attribute 3655 numeric
@attribute 3675 numeric
@attribute 3688 numeric
@attribute 3897 numeric
@attribute 4099 numeric
@attribute 4312 numeric
@attribute 481 numeric
@attribute 482 numeric
@attribute 483 numeric
@attribute 5478 numeric
@attribute 56301 numeric
@attribute 6520 numeric
@attribute 6566 numeric
@attribute 6693 numeric
@attribute 682 numeric
@attribute 8140 numeric
@attribute 857 numeric
@attribute 9056 numeric
@attribute 9057 numeric
@attribute 9123 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.0015,-0.0399,0.3034,0.0124,1.0397,1.6468,0.1067,2.4355,-0.0067,-0.1927,0.18,0.352,0.1003,0.599,1.6264,0.216,1.0877,0.5829,1.8804,0.9787,0.4864,-0.0793,1.9124,1.5659,0.779,Control
Utah__A02,-0.1137,-0.0097,0.2104,0.0754,0.8295,0.9234,0.0432,2.1547,-0.0387,-0.1017,-0.0633,0.2512,0.0641,0.3994,1.2469,0.2273,0.8543,0.4808,1.8864,1.015,0.4549,-0.1102,2.2385,1.0046,0.6786,Control
Utah__A03,-0.1028,-0.0573,0.2443,0.1217,0.9922,0.646,0.0069,2.3137,0.0319,-0.2111,0.1328,0.5831,0.1451,0.6468,1.4352,0.1943,1.1538,0.5653,2.1253,1.1816,0.5808,0.0102,2.3129,1.0248,1.0311,Control
Utah__A04,0.0127,-0.093,0.4465,0.0885,0.8122,1.1087,0.0839,2.3772,0.051,-0.0179,0.0815,0.224,0.0895,0.4171,1.4548,0.2825,1.1019,0.4003,1.8319,1.1612,0.496,-0.0496,1.9171,1.041,0.7898,Control
Utah__A05,-0.0262,-0.0646,0.3736,0.0258,0.9888,0.9234,0.0297,2.205,0.0086,-0.0852,0.3693,0.4899,0.032,0.4459,1.2934,0.2409,1.3018,0.5558,1.9817,1.3158,0.7043,0.0071,2.4356,1.1254,1.0265,Control
Utah__A06,-0.1106,-0.0828,0.1388,0.2243,0.9234,1.1302,-0.0304,2.008,-0.071,-0.2553,-0.0854,0.2928,-0.0098,0.5737,1.3409,0.2133,1.1407,0.5326,1.8196,0.9995,0.5473,-0.0767,2.4512,1.1293,0.8331,Control
Utah__A07,-0.0652,0.0734,0.3098,0.2036,0.9788,1.1863,-0.0033,2.4902,-0.0738,-0.177,-0.0659,0.3715,-0.0442,0.6721,1.3545,0.1533,0.9897,0.5553,2.0094,1.0969,0.4163,-0.0664,2.2719,1.3103,0.8451,Control
Utah__A08,-0.0868,-0.0541,0.16,0.0488,0.9709,1.6648,0.0337,2.3245,-0.0339,-0.19,-0.0203,0.3298,0.1067,0.6436,1.3152,0.2034,0.7576,0.3831,1.7565,0.7192,0.332,-0.1281,1.7691,1.4199,0.6322,Control
Utah__A09,-0.0802,-0.0655,0.3207,0.1143,0.9303,1.3439,0.0438,2.6012,-0.0171,-0.2231,0.018,0.2057,-0.0617,0.5273,1.2149,0.158,0.8944,0.4278,2.0233,0.939,0.414,-0.0467,2.0197,1.3178,0.6889,Control
Utah__A10,-0.0826,-0.0694,0.3318,0.0297,0.9189,0.9891,0.034,2.7505,-6e-04,-0.1182,0.1386,0.3273,0.0289,0.8216,1.277,0.2096,0.9632,0.5628,1.7865,1.101,0.4677,-0.0549,2.1926,1.0889,0.7438,Control
Utah__A11,-0.1109,0.0303,0.2099,0.0161,0.7913,0.7029,0.0023,2.4501,8e-04,-0.1209,0.1998,0.4037,0.1703,0.4014,0.8945,0.2275,0.9008,0.4264,2.1333,0.9253,0.4768,-0.1056,2.0374,1.0943,0.7472,Control
Utah__A12,-0.0957,-0.001,0.1127,0.1248,0.4295,0.7485,0.0307,1.8175,-0.0181,-0.1449,0.1037,0.0963,0.0433,0.3492,0.8492,0.2315,0.5263,0.3567,1.3439,0.6188,0.349,0.014,1.8861,0.5808,0.4365,Control
Utah__B01,-0.17,0.1108,-0.129,0.1733,0.8614,1.6272,-0.0857,2.099,-0.1973,-0.4379,0.101,0.3592,-0.0685,0.495,1.9563,0.0502,0.765,0.4049,1.4371,0.3303,0.2029,-0.2369,1.8138,1.3942,0.4461,Control
Utah__B02,-0.087,-0.0563,0.317,0.1239,1.064,1.291,0.0564,2.3005,-0.0183,-0.1693,0.0174,0.427,0.0213,0.5659,2.0216,0.2128,1.2135,0.5281,2.0067,1.0526,0.5735,-0.118,2.191,1.3963,0.9616,Control
Utah__B03,-0.1467,0.0377,0.2113,0.059,0.9367,1.3176,0.0169,2.3513,-0.0887,-0.2488,-0.0838,0.3445,-0.0436,0.6108,1.9081,0.1753,1.0394,0.4069,1.8534,0.8554,0.4328,-0.1959,2.0961,1.3147,0.7934,BRCACancer
Utah__B04,-0.1284,-0.0609,0.2171,0.0558,0.8426,1.1583,-0.026,2.6115,-0.0377,-0.1574,-0.0366,0.2702,0.0296,0.781,1.4302,0.1517,0.6699,0.3791,1.6371,0.6063,0.4415,-0.0752,1.4351,1.272,0.5862,BRCACancer
Utah__B05,-0.1795,-0.0645,0.1591,0.3617,0.8353,0.7351,-0.0235,2.2374,-0.0505,-0.2463,-0.0566,0.2894,-0.0051,0.8355,1.6274,0.1626,0.8606,0.3347,2.1037,0.7091,0.617,-0.1216,2.2758,0.9423,0.8114,BRCACancer
Utah__B06,-0.2529,0.0064,-0.1388,0.096,0.5576,1.1116,-0.2403,2.0964,-0.2682,-0.46,0.155,0.1853,-0.1086,0.4913,1.5042,-0.1084,0.4919,0.2545,1.0082,0.2501,0.0184,-0.2385,1.6174,1.0084,0.3645,BRCACancer
Utah__B07,-0.1366,-0.0034,0.3119,0.0431,1.0737,1.2906,0.0185,2.5925,-0.0342,-0.1861,-0.0168,0.2248,-0.0491,0.6394,1.8752,0.1659,0.9854,0.5434,1.8562,1.0356,0.4804,-0.0773,1.8776,1.379,0.8629,BRCACancer
Utah__B08,-0.0137,-0.0769,0.333,0.081,0.9372,1.0051,0.0461,2.2952,0.0159,-0.1458,0.1804,0.1742,0.0791,0.3392,1.1437,0.2445,1.0626,0.4972,1.981,1.1179,0.4974,-0.0535,2.3602,1.3295,0.9143,Control
Utah__B09,-0.0236,-0.0448,0.281,-0.0812,0.7568,1.0383,-0.001,2.8246,-0.0919,-0.2704,0.1029,0.0268,0.0775,0.6637,1.2987,0.2083,0.7015,0.2094,1.4832,0.4483,0.2475,-0.1939,1.1553,1.1772,0.732,Control
Utah__B10,-0.1187,-0.0233,0.2995,0.0625,0.5865,1.0661,-0.0627,2.3771,-0.0798,-0.1698,0.0083,0.1662,-0.0593,0.5621,0.905,0.1553,0.5571,0.3955,1.7008,0.5914,0.2135,-0.0719,1.4965,1.0337,0.5004,Control
Utah__B11,-0.0433,-0.057,0.258,-0.0077,0.7643,0.8857,0.0288,2.1992,-0.02,-0.289,0.1965,0.3345,0.1091,0.4609,0.8804,0.2233,0.711,0.5148,1.8112,0.8984,0.3212,-0.0663,2.3216,1.0704,0.7225,Control
Utah__B12,-0.0644,-0.0525,0.1878,0.042,0.5347,1.005,-0.0883,2.3982,0.036,-0.2393,-0.0664,0.0765,-0.0042,0.4674,0.9142,0.2405,0.4174,0.0796,0.7821,0.3215,0.2097,-0.1051,0.8205,1.2166,0.5571,Control
Utah__C01,-0.0644,-0.0753,0.1908,0.138,1.0519,0.8329,-0.0023,2.1418,-0.0845,-0.2201,-0.0254,0.1449,-0.0461,0.6438,1.3524,0.1885,0.995,0.5398,2.0443,1.0318,0.6592,-0.0397,2.2059,1.3365,1.0197,BRCACancer
Utah__C02,-0.0525,-0.0651,0.3179,0.0657,0.9361,1.1681,0.1304,2.1641,0.0118,-0.0945,-0.0666,0.2076,0.073,0.3176,1.3444,0.2496,1.0249,0.5627,2.0064,1.1985,0.5059,-0.0137,1.9158,1.2985,0.7984,BRCACancer
Utah__C03,-0.0862,-0.0923,0.3702,0.0708,1.1583,0.9356,0.126,2.5163,-0.0344,-0.1934,0.0818,0.3432,0.0442,0.5278,1.6367,0.1751,1.1679,0.5357,2.0813,1.1576,0.7084,-0.0424,1.8686,1.259,1.1481,BRCACancer
Utah__C04,-0.0616,-0.1021,0.3436,0.0588,0.6067,0.6289,0.1118,2.1554,0.1108,-0.0073,-0.1171,-0.1479,0.058,0.2225,0.7057,0.4082,0.8746,0.2279,1.273,1.017,0.5825,-0.044,1.7079,0.8928,0.7616,Control
Utah__C05,-0.0485,0.0203,0.3246,0.063,0.6196,0.7762,0.0477,1.6506,0.0227,-0.0883,-0.0489,0.073,0.0879,0.2797,0.7183,0.3087,0.8444,0.3208,1.5706,1.0292,0.4656,-0.0856,2.0068,0.8754,0.707,BRCACancer
Utah__C06,0.0348,0.0527,0.2661,0.0796,0.0928,0.0854,0.0172,0.5605,-0.0126,-0.2541,-0.1396,-0.0259,0.0227,0.1575,0.3703,0.3419,0.1717,-0.2265,0.6774,0.2177,0.1843,-0.0496,0.5143,0.2954,0.2773,Control
Utah__C07,-0.0427,-0.0617,0.3679,0.017,0.6306,0.7785,0.035,2.0737,0.0356,-0.1234,-0.0118,0.0052,0.0783,0.241,0.9255,0.251,0.8599,0.3618,1.8406,0.9993,0.4046,-0.0895,1.7522,0.8082,0.6123,Control
Utah__C08,-0.0451,-0.0114,0.3694,0.077,0.8803,1.1605,0.0519,1.9168,0.003,-0.1356,0.0385,0.3311,0.1339,0.3058,1.0299,0.24,0.9259,0.446,2.0067,1.0063,0.5099,-0.0809,1.9616,1.1995,0.6921,Control
Utah__C09,-0.102,-0.0862,0.365,-0.0048,0.6809,0.8545,0.0935,1.9606,0.0314,-0.0799,0.0228,0.1119,0.1251,0.2632,0.9615,0.2689,0.8086,0.3321,1.6399,1.0286,0.5372,-0.0302,1.7761,0.8594,0.7426,Control
