@relation data

@attribute id string
@attribute 10000 numeric
@attribute 10211 numeric
@attribute 1029 numeric
@attribute 207 numeric
@attribute 208 numeric
@attribute 2319 numeric
@attribute 23368 numeric
@attribute 2549 numeric
@attribute 27071 numeric
@attribute 3708 numeric
@attribute 3709 numeric
@attribute 3710 numeric
@attribute 4067 numeric
@attribute 51131 numeric
@attribute 5290 numeric
@attribute 5308 numeric
@attribute 5336 numeric
@attribute 5728 numeric
@attribute 57580 numeric
@attribute 5788 numeric
@attribute 613 numeric
@attribute 6195 numeric
@attribute 6196 numeric
@attribute 6197 numeric
@attribute 6198 numeric
@attribute 6295 numeric
@attribute 6850 numeric
@attribute 695 numeric
@attribute 7006 numeric
@attribute 7409 numeric
@attribute 8431 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.6233,0.8613,0.1311,0.6157,0.8453,1.3902,0.3037,0.3514,1.4898,0.7579,0.8352,0.8558,1.3216,1.306,1.5746,-0.102,0.6199,1.2392,1.4222,3.057,0.4762,0.9079,0.1016,1.9037,1.1348,-0.127,1.0836,1.4834,0.4808,1.4581,0.0011,Control
Utah__A02,0.3831,0.7788,0.0736,0.5686,0.6275,1.1629,0.1694,0.2561,1.2535,0.5221,0.6307,0.6946,1.1848,1.0704,1.3014,-0.0427,0.6094,0.6452,1.2473,3.0587,0.2698,0.9261,0.1035,1.6531,0.9374,-0.0439,0.9151,1.5178,0.3368,1.3267,0.0054,Control
Utah__A03,0.396,0.8449,0.1821,0.6805,0.7841,1.2909,0.186,0.3441,1.3696,0.5995,0.8656,0.7329,1.5638,1.2068,1.3967,-0.0879,0.8192,0.9168,1.5264,3.1701,0.4406,1.0247,0.114,1.847,1.0488,-0.0589,1.1936,1.6458,0.4263,1.5584,0.0398,Control
Utah__A04,0.5255,0.8101,0.0734,0.6225,0.7141,1.3414,0.1613,0.3117,1.335,0.6647,0.6114,0.7843,1.3945,0.9212,1.353,0.0406,0.503,0.7608,1.3936,3.2973,0.3444,1.0075,0.1111,1.8121,0.9145,-0.0771,0.88,1.4046,0.3499,1.2953,0.0118,Control
Utah__A05,0.5106,0.9838,0.1637,0.7463,0.7904,1.4916,0.23,0.439,1.74,0.6917,0.8284,0.7231,1.5799,1.0297,1.4836,-0.0085,0.7744,0.9371,1.5384,3.1618,0.4548,1.116,0.1037,1.8169,1.0517,-0.0858,1.2241,1.7503,0.4828,1.5629,-0.0066,Control
Utah__A06,0.4506,0.8094,-0.0182,0.6458,0.7372,1.3416,0.1999,0.357,1.1593,0.6267,0.7511,0.679,1.3697,1.0257,1.3845,-0.0666,0.6376,0.835,1.4343,2.8986,0.3669,0.9822,0.115,1.6695,1.024,-0.0344,1.146,1.579,0.3812,1.4198,0.0167,Control
Utah__A07,0.74,0.7938,0.0415,0.597,0.7443,1.2935,0.1843,0.5671,1.5745,0.8084,1.009,0.6968,1.7041,1.1763,1.5934,-0.0599,0.7028,1.3069,1.5349,3.3824,0.425,0.9873,0.1706,2.0157,1.1139,-0.0757,1.4117,1.5919,0.4825,1.4343,0.0284,Control
Utah__A08,1.0516,0.6864,0.0771,0.5375,0.7355,1.2166,0.2629,0.5621,1.3441,0.9922,1.0928,0.7065,1.8806,1.2267,1.7501,-0.1187,0.8279,1.4954,1.5114,3.4982,0.4297,0.8463,0.1697,1.9639,1.1814,-0.1299,1.2657,1.3284,0.4409,1.3268,0.0473,Control
Utah__A09,0.7535,0.7637,0.1041,0.5633,0.6938,1.2728,0.19,0.4145,1.3807,0.7685,0.9804,0.6507,1.6382,1.1698,1.4582,-0.0391,0.6457,1.3533,1.5285,3.4433,0.4124,0.8276,0.1377,1.9382,1.0737,-0.0335,1.2705,1.527,0.4016,1.4492,-0.0303,Control
Utah__A10,0.8026,0.891,0.1178,0.5633,0.7332,1.2639,0.2304,0.5091,1.8285,0.8089,1.0339,0.6346,1.7975,1.1104,1.6941,-0.0644,0.7249,1.3318,1.614,3.618,0.5047,0.9696,0.0595,1.8103,1.0955,-0.1015,1.3728,1.3942,0.512,1.3221,-0.0338,Control
