@relation data

@attribute id string
@attribute 10319 numeric
@attribute 107 numeric
@attribute 1277 numeric
@attribute 1278 numeric
@attribute 1280 numeric
@attribute 1281 numeric
@attribute 1282 numeric
@attribute 1284 numeric
@attribute 1286 numeric
@attribute 1287 numeric
@attribute 1288 numeric
@attribute 1289 numeric
@attribute 1290 numeric
@attribute 1301 numeric
@attribute 1302 numeric
@attribute 1437 numeric
@attribute 1511 numeric
@attribute 1992 numeric
@attribute 22798 numeric
@attribute 23236 numeric
@attribute 2335 numeric
@attribute 23533 numeric
@attribute 2767 numeric
@attribute 2769 numeric
@attribute 2776 numeric
@attribute 2778 numeric
@attribute 284217 numeric
@attribute 2919 numeric
@attribute 3315 numeric
@attribute 3458 numeric
@attribute 3553 numeric
@attribute 3554 numeric
@attribute 3569 numeric
@attribute 3576 numeric
@attribute 3586 numeric
@attribute 3592 numeric
@attribute 3593 numeric
@attribute 3684 numeric
@attribute 3689 numeric
@attribute 383 numeric
@attribute 384 numeric
@attribute 3908 numeric
@attribute 3909 numeric
@attribute 3910 numeric
@attribute 3911 numeric
@attribute 3913 numeric
@attribute 3914 numeric
@attribute 3918 numeric
@attribute 4583 numeric
@attribute 4790 numeric
@attribute 4843 numeric
@attribute 50509 numeric
@attribute 5269 numeric
@attribute 5272 numeric
@attribute 5273 numeric
@attribute 5275 numeric
@attribute 5290 numeric
@attribute 5291 numeric
@attribute 5293 numeric
@attribute 5294 numeric
@attribute 5295 numeric
@attribute 5296 numeric
@attribute 5330 numeric
@attribute 5331 numeric
@attribute 5332 numeric
@attribute 5566 numeric
@attribute 5567 numeric
@attribute 5568 numeric
@attribute 5578 numeric
@attribute 5579 numeric
@attribute 5582 numeric
@attribute 5613 numeric
@attribute 5747 numeric
@attribute 5868 numeric
@attribute 5869 numeric
@attribute 5878 numeric
@attribute 5970 numeric
@attribute 6318 numeric
@attribute 7040 numeric
@attribute 7042 numeric
@attribute 7043 numeric
@attribute 7097 numeric
@attribute 7099 numeric
@attribute 7124 numeric
@attribute 731 numeric
@attribute 732 numeric
@attribute 733 numeric
@attribute 735 numeric
@attribute 7414 numeric
@attribute 7850 numeric
@attribute 7879 numeric
@attribute 81 numeric
@attribute 836 numeric
@attribute 8503 numeric
@attribute 87 numeric
@attribute 88 numeric
@attribute 89 numeric
@attribute 912 numeric
@attribute 929 numeric
@attribute 9630 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.0026,-0.0192,-0.182,-0.1116,-0.0259,-0.0329,-0.059,-0.0738,-0.089,-0.1505,-0.0647,-0.1103,-0.1113,-0.1315,-0.1463,0.1156,-0.0159,2.0102,-0.0533,0.4303,-0.0491,1.3891,0.0585,1.2713,0.6216,0.7364,-0.0647,0.3739,0.2839,0.7344,1.5545,0.2643,0.0682,2.3769,0.0395,0.0496,-0.0509,1.6048,2.2417,0.1726,0.3098,-0.0861,-0.0733,-0.093,0.0678,0.1604,-0.0059,-0.1348,-0.0637,1.6889,-0.0259,-0.1607,0.7363,2.1286,0.3652,-0.0595,1.6169,1.5303,1.3241,1.8391,1.4782,0.1982,1.7084,0.577,-0.0589,0.9255,1.1308,-0.1281,0.5523,1.0332,-0.0542,1.1174,0.2618,1.1676,1.2832,1.1245,1.4148,-0.0888,2.0162,0.063,0.0717,1.9375,2.4406,0.4095,-0.0221,-0.0094,0.1511,-0.1034,1.2043,0.4052,1.4235,0.7836,1.24,0.1026,0.9737,-0.0417,-0.0335,1.2035,2.3884,-0.0985,Control
Utah__A02,-0.0068,0.0821,-0.1832,-0.0539,0.0211,0.0551,-0.0568,-0.0676,-0.0375,-0.1406,-0.0966,-0.0821,-0.0759,-0.0556,-0.0489,0.1744,-0.0374,1.9717,-0.0198,0.2262,-0.006,1.0974,-0.0059,1.2539,0.1857,0.5947,-0.0903,0.2446,0.1815,1.6345,0.7205,0.047,-0.0126,0.4785,-0.0722,0.0278,-0.052,1.728,2.3892,0.0978,0.1779,-0.041,-0.0992,-0.0377,0.0723,0.2121,0.1255,-0.1009,-0.0646,1.279,0.0249,-0.0913,0.5846,1.9332,-0.0751,-0.0419,1.3286,1.3861,1.0956,2.0614,1.1561,0.1599,1.6702,0.4872,-0.0815,0.8176,0.9731,-0.1142,0.1715,0.6697,-0.1266,0.9334,0.117,0.7984,1.0817,1.1251,1.23,-0.2824,2.0252,0.0756,0.0059,1.5387,2.4631,0.4322,0.0305,0.005,0.2425,-0.0875,1.1346,0.0374,1.1834,0.7164,1.2187,0.1135,0.7412,-0.0217,-0.0834,1.3433,2.256,-0.1045,Control
Utah__A03,0.0077,0.0731,-0.175,-0.1058,0.0056,0.0464,-0.0712,-0.056,-0.0643,-0.156,-0.0972,-0.0911,-0.0882,-0.0583,-0.0655,0.2328,0.0395,2.0924,-0.0084,0.3007,-0.0288,1.5442,0.1377,1.4944,0.4253,0.7013,-0.0699,0.239,0.274,2.2035,0.8663,0.0801,-0.024,0.9033,0.1952,0.0514,0.0619,1.971,2.5258,0.0536,0.3042,-0.0528,-0.0926,-0.0564,0.052,0.2679,0.1179,-0.0451,-0.0696,1.4481,-0.016,-0.0979,0.7683,2.1575,0.3483,-0.0564,1.4291,1.4305,1.2641,2.1951,1.3011,0.2603,2.0238,0.7102,-0.1083,1.0298,0.9868,-0.1007,0.1678,0.9489,-0.1293,1.0666,0.1482,1.0032,1.3711,1.2647,1.459,-0.104,2.2099,0.1594,0.0396,1.9723,2.8054,0.5375,0.0556,-0.049,0.1357,-0.0723,1.3432,0.2001,1.4007,0.9609,1.3606,0.2773,0.7108,-0.0262,-0.0237,1.4587,2.3927,-0.1087,Control
Utah__A04,0.0664,0.0545,-0.0899,-0.0786,0.0361,0.0187,-0.0407,-0.0385,-0.0519,-0.1442,-0.0884,-0.0298,-0.0461,-0.0323,0.0429,0.1599,0.0115,2.1638,-0.0626,0.1828,-0.0521,1.3239,0.117,1.2238,0.2721,0.6584,-0.0659,0.4617,0.2734,0.6827,0.4163,0.1829,0.0645,0.7419,-0.0464,0.2051,-0.0711,1.7924,2.442,0.1348,0.1488,-0.0294,-0.0823,-0.0601,0.1853,0.1417,0.0845,-0.1246,-0.0236,1.4307,-0.0311,0.0322,0.7349,1.9823,0.0111,0.0031,1.383,1.3728,1.2342,2.1245,1.4673,0.2795,1.6228,0.5036,-0.0722,0.8067,1.1682,-0.1378,0.2858,0.7891,0.0079,0.9122,0.1496,0.9867,1.2158,1.1838,1.4617,-0.1622,2.16,0.0673,0.1117,1.4205,2.264,0.3432,-0.0102,-0.018,0.2093,-0.0162,1.3219,0.1759,1.3659,0.7915,1.1395,0.0439,0.7961,-0.0176,0.0364,0.9784,2.4588,-0.0785,Control
Utah__A05,0.0374,0.0309,-0.0477,-0.0967,0.0564,1e-04,-0.0519,-0.0384,-0.0696,-0.1197,-0.0821,-0.0482,-0.0898,-0.0623,-0.0038,0.1949,-0.0118,2.3376,-0.0396,0.4625,-0.065,1.5325,0.1931,1.7829,0.4482,0.6793,-0.064,0.3876,0.4606,0.6381,0.6999,0.1519,0.0647,0.8423,0.0633,0.1003,-0.0381,2.2744,2.6261,0.1457,0.4474,-0.041,-0.0736,-0.0523,0.1149,0.0777,0.1066,-0.0945,-0.0312,1.5153,0.0087,-0.0292,0.7976,2.0386,0.4679,0.053,1.5208,1.8135,1.3448,2.1197,1.3057,0.3911,1.8707,0.8193,-0.0609,1.1361,1.0421,-0.0876,0.2856,0.9233,-0.0072,1.0499,0.2717,1.0144,1.4572,1.2832,1.5159,-0.1181,2.5111,0.0423,0.0054,2.0974,2.9743,0.365,-0.0637,-0.0486,0.2895,-0.1014,1.5598,0.2895,1.4963,0.9421,1.4523,0.1894,0.9764,-0.0468,0.0365,1.4227,2.905,-0.0983,Control
Utah__A06,-0.015,0.0369,-0.162,-0.0637,-0.0713,0.0235,-0.0703,-0.0826,-0.026,-0.1659,-0.1161,-0.1065,-0.0836,-0.0796,-0.0825,0.1744,0.0817,2.1343,-0.0561,0.3563,-0.0508,1.4078,0.0202,1.4557,0.3223,0.5895,-0.0761,0.3053,0.2596,0.0789,0.7341,0.3071,-0.0902,1.2326,0.0319,0.0585,-5e-04,2.3146,2.4693,0.0168,0.0885,-0.0481,-0.0956,-0.0633,0.0441,0.2637,0.0132,-0.0733,-0.1199,1.3528,-0.0127,-0.1223,0.7328,1.8223,0.2984,0.0117,1.4163,1.4187,1.2303,1.9994,1.3466,0.1824,1.742,0.6236,-0.0817,0.9951,0.8643,-0.1601,0.2749,0.8755,-0.1821,1.0233,0.1119,0.8709,1.2522,1.1536,1.312,-0.1122,2.0528,0.0753,0.0395,1.8641,3.0746,0.4132,0.0147,0.0114,0.1478,-0.0734,1.3027,0.4002,1.3232,0.8181,1.162,0.1109,0.8308,-0.0135,-0.0588,1.6669,2.7576,-0.1287,Control
Utah__A07,-0.0295,0.0671,-0.1879,-0.0849,-0.0871,0.029,-0.0739,-0.1088,-0.019,-0.1716,-0.128,-0.118,-0.0481,-0.0723,-0.0026,0.2107,-0.0722,1.9306,-0.0234,0.8391,-0.0403,1.3584,0.049,1.4363,0.8825,0.6729,-0.0995,0.4049,0.3841,0.9899,1.2177,0.3198,0.2398,0.9668,0.0802,-0.01,-0.0347,1.8592,2.3566,0.1032,0.1899,-0.0314,-0.1126,-0.0659,0.0352,0.243,0.1451,-0.0805,-0.1077,1.6808,-0.0541,-0.1596,0.8861,2.0475,0.2769,-0.0525,1.6368,1.5148,1.2868,1.974,1.6128,0.1921,1.7855,0.642,-0.0893,0.8796,1.1382,-0.1365,0.5058,1.2903,-0.1545,1.0242,0.2084,1.1073,1.2355,1.0969,1.2303,-0.1805,2.0773,0.0633,-0.043,2.2541,2.6805,0.4675,-0.0082,-0.0208,0.1353,-0.0729,1.4129,0.3204,1.5478,0.9035,1.4389,0.2134,0.8188,-0.0435,-0.0656,1.3063,2.4837,-0.1373,Control
Utah__A08,-0.0017,0.0084,-0.1948,-0.1163,-0.034,-0.0241,-0.0544,-0.0944,-0.0773,-0.1524,-0.0678,-0.1306,-0.0915,-0.1244,-0.1386,0.1331,-0.0916,1.7176,-0.0659,0.6234,-0.0658,1.3062,0.0099,1.0425,1.0342,0.6935,-0.0766,0.2021,0.0912,0.8299,0.4423,0.1465,0.1354,0.8097,0.0187,-0.0035,-0.038,1.5443,2.0667,0.1348,0.1469,-0.0499,-0.0862,-0.0769,0.03,0.1436,0.0521,-0.1683,-0.0433,1.8517,0.0139,-0.0993,0.7743,1.843,-0.0531,-0.0657,1.8021,1.5358,1.3083,2.0798,1.7107,0.159,1.7589,0.4185,-0.0928,0.9732,1.1867,-0.0345,0.8574,1.3963,-0.1576,1.074,0.2121,1.2503,1.2403,1.094,1.2164,-0.1807,1.7626,0.0473,0.0996,1.7506,2.0962,0.2445,-0.0395,-0.0284,0.1374,-0.1517,1.1606,0.1015,1.6537,0.799,1.041,0.2596,0.8067,-0.0501,-0.0916,1.0993,1.6808,-0.1014,Control
Utah__A09,-0.0198,0.0396,-0.1405,-0.0969,-0.0166,0.0287,-0.0867,-0.0903,-0.0575,-0.1814,-0.0917,-0.1177,-0.0773,-0.0667,-0.0192,0.1897,-0.0558,1.7757,-0.051,0.7121,-0.048,1.3303,-0.0023,1.2229,0.861,0.6166,-0.0812,0.4054,0.2415,0.813,0.5926,0.1109,0.1209,0.7556,0.1634,0.1572,-0.0703,1.6578,2.3276,0.0779,0.1445,-0.0497,-0.0934,-0.044,0.049,0.2544,0.1839,-0.1005,-0.0535,1.6,0.0433,-0.1127,0.7102,1.8041,-0.0506,-0.0893,1.4941,1.4418,1.2311,1.9891,1.5301,0.1611,1.6492,0.5998,-0.0597,1.0136,1.096,-0.253,0.5722,1.2298,-0.151,1.0252,0.2016,0.9029,1.2418,1.1552,1.304,-0.1395,2.061,0.0666,0.0242,1.8838,2.5342,0.3484,-0.019,-0.0099,0.0807,-0.0868,1.3941,0.1662,1.4494,0.7729,1.0344,0.1167,0.8507,-0.0362,-0.0372,1.141,1.988,-0.097,Control
Utah__A10,0.0265,-0.0054,-0.1477,-0.0991,0.0137,-0.013,-0.0619,-0.0286,-0.0288,-0.1402,-0.0977,-0.0821,-0.1007,-0.0501,-0.0343,0.1738,-0.0591,2.1313,-0.0675,0.9357,-0.0127,1.3987,0.1123,1.2406,0.8051,0.7025,-0.089,0.3773,0.3236,1.5987,1.4944,0.0495,-0.076,1.1064,0.1564,0.0227,-0.0612,2.0385,2.3465,0.051,0.3653,-0.0468,-0.0863,-0.0808,0.0887,0.0958,0.1042,-0.1373,-0.0763,1.6339,0.0015,-0.0569,0.8424,2.2189,0.2384,-0.0664,1.743,1.7142,1.2585,2.143,1.6455,0.2578,1.7309,0.5409,-0.0569,0.9161,1.2565,-0.1074,0.3634,1.2971,-0.0144,0.9941,0.2453,1.1012,1.246,1.1738,1.2969,-0.1543,2.1105,0.0925,0.0419,2.5528,2.7952,0.4505,-0.1015,-0.0429,0.1951,-0.0816,1.6078,0.1871,1.5993,0.977,1.2447,0.3257,0.9428,-0.0463,-0.0031,1.3992,2.5733,-0.0782,Control
