@relation data

@attribute id string
@attribute 10815 numeric
@attribute 1644 numeric
@attribute 22999 numeric
@attribute 5864 numeric
@attribute 6571 numeric
@attribute 6616 numeric
@attribute 6804 numeric
@attribute 6812 numeric
@attribute 6844 numeric
@attribute 6853 numeric
@attribute 6854 numeric
@attribute 6857 numeric
@attribute 7166 numeric
@attribute 8224 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.0117,-0.0866,-0.1062,0.1773,0.4182,-0.1866,0.1288,0.2393,1.6468,0.1006,-0.1192,-0.1168,0.1376,-0.0537,Control
Utah__A02,0.0541,-0.0178,-0.0441,0.2331,0.2238,-0.2104,0.1328,0.0363,1.5163,0.0022,-0.0683,-0.1283,0.0489,-0.0784,Control
Utah__A03,-0.0232,0.0076,-0.0343,0.1474,0.2502,-0.1978,0.1501,-0.0088,1.6783,0.0987,-0.0897,-0.1119,0.1123,-0.0937,Control
Utah__A04,0.0993,-0.0763,-0.0558,0.2474,0.2,-0.1371,0.1791,0.1393,1.6138,0.0309,-0.0896,-0.0984,-0.0096,-0.0574,Control
Utah__A05,0.0886,-0.069,-0.0653,0.2623,0.5329,-0.1701,0.248,0.2256,1.6052,0.0651,-0.0968,-0.0814,0.031,-0.0754,Control
Utah__A06,-7e-04,-0.0312,-0.0691,0.2256,0.2619,-0.1542,0.106,0.0381,1.4958,-0.0158,-0.0842,-0.1419,0.152,-0.1062,Control
Utah__A07,0.0125,-0.0302,-0.0301,0.1921,0.3073,-0.1742,0.1642,0.0648,1.3859,-0.0035,-0.0351,-0.1426,0.0421,-0.1055,Control
Utah__A08,-0.0508,-0.0704,-0.0689,0.161,0.1278,-0.1325,0.07,0.1886,1.4104,0.0089,-0.0838,-0.1207,0.2055,-0.0422,Control
Utah__A09,0.0125,-0.0223,-0.0679,0.1651,0.3461,-0.1538,0.1886,0.111,1.4981,0.0011,-0.1132,-0.1236,0.0808,-0.0872,Control
Utah__A10,-0.0253,-0.0935,-0.0607,0.1939,0.4596,-0.1619,0.1582,0.1025,1.5479,0.0345,-0.0974,-0.1094,0.0079,-0.07,Control
Utah__A11,-0.0493,-0.0558,-0.0973,0.1381,0.2304,-0.1086,0.0249,0.043,1.4873,0.0638,-0.0981,-0.0666,-0.0018,-0.0512,Control
