@relation data

@attribute id string
@attribute 10165 numeric
@attribute 1468 numeric
@attribute 2023 numeric
@attribute 2026 numeric
@attribute 2027 numeric
@attribute 2203 numeric
@attribute 226 numeric
@attribute 229 numeric
@attribute 230 numeric
@attribute 2597 numeric
@attribute 26330 numeric
@attribute 2805 numeric
@attribute 2806 numeric
@attribute 2821 numeric
@attribute 4190 numeric
@attribute 4191 numeric
@attribute 5091 numeric
@attribute 5105 numeric
@attribute 5106 numeric
@attribute 5207 numeric
@attribute 5208 numeric
@attribute 5209 numeric
@attribute 5210 numeric
@attribute 5223 numeric
@attribute 5224 numeric
@attribute 5230 numeric
@attribute 6576 numeric
@attribute 7167 numeric
@attribute 8402 numeric
@attribute 8604 numeric
@attribute 8789 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.4041,-0.0179,1.8354,1.1507,0.2556,1.1313,0.9067,-0.0711,0.7829,0.4225,-0.0098,0.6948,0.5492,1.0777,0.9755,1.5292,0.0881,-0.1062,0.4257,-0.0841,0.5939,0.8151,0.6798,0.4216,0.2296,1.6108,0.4828,0.0434,1.1769,0.7503,-0.097,Control
Utah__A02,0.2867,0.0251,1.7858,0.713,0.0506,1.2318,0.8206,-0.0019,0.4329,0.3299,-0.0915,0.5084,0.3439,1.027,0.7976,1.5421,0.0091,-0.0582,0.2701,-0.1347,0.5636,0.6129,0.595,0.2461,0.2107,1.3115,0.4754,-0.0629,0.9878,0.569,-0.1359,Control
Utah__A03,0.4695,-0.0061,1.842,0.6512,0.0748,1.3374,0.8874,-0.0548,0.4582,0.6162,-0.0165,0.5949,0.5226,1.1563,0.8963,1.5851,0.037,-0.1105,0.4412,-0.1913,0.5603,1.056,0.8678,0.2974,0.1549,1.6232,0.5854,0.0409,1.2219,0.6325,-0.1015,Control
Utah__A04,0.3536,0.1111,1.8963,0.7913,0.0885,1.0915,0.9468,-0.0367,0.5394,0.4865,4e-04,0.3579,0.4388,1.048,0.9127,1.6915,0.0376,-0.121,0.2959,-0.1496,0.5099,0.7674,0.5702,0.1597,0.2674,1.3469,0.6342,0.1444,1.0676,0.5408,-0.0683,Control
Utah__A05,0.4415,0.0979,1.9204,0.8525,0.0715,1.6454,1.0027,-0.0505,0.7075,0.639,0.0056,0.5031,0.5368,1.1268,0.8603,1.7842,0.0582,-0.1238,0.5142,-0.0834,0.681,1.01,0.8797,0.4084,0.3683,1.6043,0.7091,0.0923,1.4253,0.6363,-0.0838,Control
Utah__A06,0.4286,-0.0551,1.8602,0.7698,-0.0077,1.595,0.9118,-0.1266,0.5558,0.4242,-0.0606,0.6417,0.4737,1.0473,0.7781,1.5585,0.0327,-0.1393,0.3405,-0.164,0.6032,1.1342,0.8411,0.3687,0.1127,1.5968,0.3912,0.0288,1.2036,0.5351,-0.3016,Control
Utah__A07,0.5373,0.0053,1.7583,0.8015,0.0279,1.2609,0.8797,-0.1198,0.5927,0.3246,-0.0383,0.6146,0.5056,1.096,0.8438,1.5765,0.0041,-0.2079,0.4413,-0.1702,0.7096,0.8281,0.7295,0.2829,0.1762,1.5044,0.4729,-0.0221,1.2814,0.7183,-0.2142,Control
Utah__A08,0.7271,-0.0623,1.6298,0.7415,0.0959,1.0413,0.7384,-0.0251,0.539,0.3031,-0.071,0.5409,0.4811,1.0098,0.9029,1.48,0.0307,-0.1232,0.2605,-0.0572,0.4963,0.8957,0.6944,0.2192,0.0318,1.6328,0.4287,-0.0816,0.9755,0.7275,-0.1236,Control
Utah__A09,0.4218,-0.0301,1.7393,0.9474,0.004,1.3109,0.825,-0.0927,0.5857,0.5341,-0.0473,0.6007,0.3976,1.0879,0.7481,1.5531,-0.0049,-0.1625,0.4229,-0.1247,0.5187,0.8364,0.6155,0.192,0.2388,1.4646,0.3938,0.0231,1.1313,0.6239,-0.1036,Control
Utah__A10,0.5403,0.0549,1.8031,0.8874,0.1047,1.1819,0.8858,0.0067,0.4628,0.3989,-0.0119,0.5226,0.5626,1.0628,0.8383,1.6294,0.0447,-0.0904,0.4144,-0.1196,0.513,0.7985,0.7364,0.2477,0.2389,1.4484,0.4325,0.0509,1.1608,0.7572,-0.1064,Control
Utah__A11,0.2932,-0.0665,1.5398,0.8078,0.0596,1.233,0.8082,0.0059,0.6472,0.3341,-0.1069,0.5535,0.4974,1.1239,0.6715,1.2809,0.0204,-0.062,0.354,-0.1087,0.2961,0.689,0.4328,-0.0508,0.0814,1.187,0.4731,-0.1353,1.1306,0.467,-0.1188,Control
Utah__A12,0.2858,-0.2275,1.4049,0.4903,-0.1221,0.7841,0.6468,-0.0527,0.4187,0.2029,-0.1334,0.2736,0.338,0.8365,0.7448,1.3539,-0.0386,-0.1107,0.1587,-0.0636,0.3544,0.4227,0.5702,-0.1099,-0.0452,0.8571,0.1101,-0.3626,0.6229,0.3607,-0.0647,Control
Utah__B01,0.4175,-0.3699,1.8782,1.0063,-0.0086,0.9167,0.6449,-0.0578,0.4975,0.1181,-0.2154,0.5348,0.4508,1.0587,1.0487,1.2426,-0.0842,-0.0639,0.1663,-0.0267,0.6355,0.7645,0.6535,0.4113,0.0432,1.6019,0.0573,-0.306,0.8166,0.538,-0.2477,Control
Utah__B02,0.3569,0.0326,2.1213,0.935,0.1032,1.3577,1.0101,-0.0841,0.8681,0.5198,-0.052,0.5579,0.6101,1.1589,1.084,1.7106,0.0683,-0.1002,0.3773,-0.0589,0.6739,1.0836,0.7125,0.4465,0.3301,1.7293,0.569,0.0502,1.252,0.6307,-0.1461,Control
Utah__B03,0.4077,-0.0547,2.0733,0.9556,0.0866,1.2379,0.9026,0.0208,0.6269,0.4253,-0.0549,0.5344,0.5516,1.1093,1.0484,1.5089,0.0277,-0.1074,0.2752,-0.0079,0.6139,0.8058,0.6567,0.3435,0.1811,1.7128,0.3833,-0.071,1.0716,0.6222,-0.083,BRCACancer
Utah__B04,0.6949,-0.1339,1.7165,0.5926,0.0022,0.5982,0.6733,-0.0178,0.2256,0.2775,-0.1194,0.3351,0.4165,0.9293,0.7688,1.2255,-0.0389,-0.142,0.2254,-0.1484,0.4058,0.683,0.5935,0.1985,0.1493,1.3181,0.1705,-0.1278,0.7311,0.6676,-0.1085,BRCACancer
Utah__B05,0.3743,-0.069,1.95,0.5587,0.0375,1.5026,0.8295,-0.0336,0.4795,0.2466,-0.0832,0.4873,0.3404,1.0977,0.9022,1.57,-0.009,-0.1368,0.2624,-0.1427,0.8107,1.111,0.63,0.0656,0.0513,1.4578,0.3198,-0.0812,0.8991,0.4859,-0.1047,BRCACancer
Utah__B06,0.4083,-0.4018,1.5599,0.7244,-0.0577,0.6624,0.4782,-0.0099,0.1859,0.1848,-0.3401,0.4731,0.2829,0.6155,0.6679,0.9723,-0.1223,-0.2496,0.0481,-0.0999,0.6098,0.4333,0.422,0.1119,-0.0656,1.188,-0.1125,-0.5339,0.5232,0.408,-0.3678,BRCACancer
Utah__B07,0.4025,0.015,2.0162,1.0202,0.2041,1.2397,0.8449,-0.1211,0.5775,0.6485,-0.0456,0.5765,0.5164,1.0659,0.9096,1.6037,-0.0347,-0.1924,0.4117,-0.0959,0.566,0.8919,0.658,0.4869,0.3972,1.4864,0.4041,-0.0794,1.1604,0.7458,-0.2365,BRCACancer
Utah__B08,0.2676,0.044,1.7884,1.1416,0.1477,1.5006,0.963,0.0205,0.5757,0.5444,0.042,0.5791,0.5103,1.0524,0.7099,1.5208,0.0662,-0.0748,0.3545,-0.1169,0.4772,0.8145,0.7348,0.2983,0.1272,1.3353,0.5303,0.0056,1.2685,0.4837,-0.057,Control
Utah__B09,0.497,-0.1175,1.3564,0.7287,0.0321,0.3407,0.6706,-0.1392,0.3057,0.6697,-0.101,0.2848,0.2962,0.9123,0.661,0.9504,-0.022,-0.1445,0.16,-0.1982,0.4502,0.8392,0.4132,0.2599,0.1158,1.5448,0.1561,-0.0297,0.526,0.4624,-0.1138,Control
Utah__B10,0.4526,-0.0529,1.4305,0.5135,-0.0559,0.4397,0.6543,-0.0727,0.333,0.2859,-0.0563,0.3166,0.2033,0.8643,0.6994,1.2552,-0.0464,-0.0638,0.1027,-0.0736,0.294,0.7114,0.4861,0.227,0.1073,1.2248,0.1524,-0.1175,0.7137,0.5205,-0.2219,Control
Utah__B11,0.3475,-0.0407,1.4965,0.6236,0.1333,1.2237,0.8223,-0.0549,0.5638,0.4924,-0.0444,0.5181,0.3811,0.9866,0.8064,1.5668,-0.0176,-0.0795,0.4047,-0.1496,0.3751,0.6975,0.828,0.0182,0.2053,1.1586,0.3954,0.0843,1.1143,0.4372,-0.2365,Control
Utah__B12,0.3344,0.0243,1.2109,0.5218,-0.028,0.3151,0.55,-0.0851,-0.0042,0.2558,-0.122,0.0368,0.1642,0.5844,0.388,0.654,0.02,-0.1024,0.1042,-0.0738,0.2541,0.6187,0.219,0.2052,0.1567,1.1309,0.0659,-0.1125,0.3743,0.3284,-0.1128,Control
