@relation data

@attribute id string
@attribute 10368 numeric
@attribute 10369 numeric
@attribute 1173 numeric
@attribute 1175 numeric
@attribute 160 numeric
@attribute 161 numeric
@attribute 163 numeric
@attribute 1739 numeric
@attribute 1742 numeric
@attribute 2036 numeric
@attribute 23426 numeric
@attribute 27092 numeric
@attribute 2890 numeric
@attribute 2891 numeric
@attribute 2892 numeric
@attribute 4193 numeric
@attribute 4646 numeric
@attribute 4905 numeric
@attribute 5578 numeric
@attribute 5579 numeric
@attribute 5582 numeric
@attribute 59283 numeric
@attribute 80852 numeric
@attribute 815 numeric
@attribute 816 numeric
@attribute 817 numeric
@attribute 818 numeric
@attribute 9463 numeric
@attribute 9495 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,-0.1159,-0.0854,1.4197,0.7167,0.9278,0.62,0.9631,0.7144,0.3915,-0.0591,-0.0185,-0.0995,-0.0962,-0.1511,-0.1052,1.412,0.1664,0.7934,0.5523,1.0332,-0.0542,0.1744,-0.0956,0.0866,0.0146,0.8699,0.6253,0.4049,0.1801,Control
Utah__A02,-0.1908,-0.1415,1.4253,0.7705,0.966,0.4326,0.7721,0.4698,0.2389,-0.0884,-0.1052,-0.1129,-0.0841,-0.0765,-0.1305,1.1895,0.3726,0.5403,0.1715,0.6697,-0.1266,0.1479,-2e-04,0.2548,0.1389,0.6234,0.4398,0.2059,0.3628,Control
Utah__A03,-0.1723,-0.1196,1.4715,0.8684,1.137,0.5366,0.9586,0.5864,0.4019,-0.0761,-0.1343,-0.0489,-0.0862,-0.0819,-0.1426,1.5968,0.383,0.8373,0.1678,0.9489,-0.1293,0.2418,-0.0302,0.2066,0.1141,0.7986,0.5013,0.3027,0.2131,Control
Utah__A04,-0.1132,-0.1736,1.5759,0.8945,0.9251,0.4624,0.7734,0.5653,0.3167,-0.0704,-0.1057,-0.1404,-0.0994,-0.04,-0.0878,1.1684,0.2461,0.5443,0.2858,0.7891,0.0079,0.2281,-0.0191,0.1188,0.1004,0.6924,0.4688,0.2958,0.1159,Control
Utah__A05,-0.1368,-0.1167,1.677,1.0712,1.2359,0.6111,0.8769,0.5943,0.4794,-0.0414,-0.0403,-0.0794,-0.081,-0.0889,-0.0899,1.3876,0.1616,0.7768,0.2856,0.9233,-0.0072,0.2162,-0.0281,0.1783,0.0961,0.7731,0.5309,0.4345,0.3937,Control
Utah__A06,-0.1241,-0.0802,1.4828,0.7794,1.051,0.4754,0.8799,0.5244,0.322,-0.0875,-0.0841,-0.0957,-0.0731,-0.0765,-0.1053,1.2594,0.1026,0.7322,0.2749,0.8755,-0.1821,0.1325,-0.0645,0.2193,0.0668,0.5826,0.4753,0.4126,0.1944,Control
Utah__A07,-0.134,-0.1459,1.5403,0.7656,1.0529,0.5419,1.0105,0.7116,0.3883,-0.1009,-0.0658,-0.0936,-0.0667,-0.072,-0.1486,1.4421,0.1715,0.8743,0.5058,1.2903,-0.1545,0.1078,-0.0502,0.2253,0.1203,0.9004,0.5806,0.3135,0.5265,Control
Utah__A08,-0.1557,-0.161,1.337,0.5963,0.9344,0.5573,1.0708,0.9467,0.2333,-0.0633,-0.0596,-0.0759,-0.1273,-0.1384,-0.1427,1.4586,0.2318,0.9064,0.8574,1.3963,-0.1576,0.0993,-0.1173,0.1563,0.0455,1.2546,0.5916,0.3628,0.3608,Control
Utah__A09,-0.0783,-0.0989,1.4405,0.8142,0.9406,0.5094,0.9394,0.6449,0.2885,-0.0712,-0.0778,-0.0923,-0.0632,-0.0576,-0.111,1.3379,0.1398,0.7879,0.5722,1.2298,-0.151,0.1054,-0.0229,0.2061,0.1087,0.8152,0.5451,0.3551,0.4319,Control
Utah__A10,-0.1367,-0.1238,1.5258,0.8653,0.8963,0.5054,1.0296,0.7964,0.3303,-0.0586,-0.0729,-0.0542,-0.0954,-0.0799,-0.0971,1.402,0.5744,0.8066,0.3634,1.2971,-0.0144,0.2039,-0.0577,0.0703,0.0281,1.1071,0.5944,0.2815,0.037,Control
Utah__A11,-0.1115,-0.0742,1.2025,0.7351,0.8519,0.429,0.9443,0.4646,0.2128,-0.0439,-0.0721,-0.0936,-0.0788,-0.0868,-0.1155,1.2621,0.4032,0.7119,0.3076,0.9582,-0.1143,0.1882,-0.1214,0.1415,0.004,0.5991,0.4764,0.2795,0.7316,Control
Utah__A12,-0.0196,-0.1274,1.4352,0.5371,0.5161,0.276,0.5373,0.4058,0.062,-0.0662,-0.1175,-0.0302,0.0092,-0.0082,-0.13,0.6552,0.2283,0.2449,0.0835,0.4893,-0.2447,-0.0765,0.0363,0.5523,0.1559,0.3965,0.2592,0.0987,-0.0676,Control
Utah__B01,0.0518,-0.119,1.2487,0.3362,0.6624,0.375,0.7931,0.6424,0.0854,-0.0469,-0.0496,-0.0551,0.0202,-0.0897,-0.1269,1.2612,0.0257,0.6616,0.5853,0.9193,-0.4292,-0.1901,-0.1902,0.3388,-0.0201,0.7791,0.4152,0.1764,-0.0139,Control
Utah__B02,-0.0875,-0.1031,1.6282,0.7965,1.0408,0.5598,0.7904,0.5776,0.3497,-0.0762,-0.0326,-0.0549,-0.069,-0.0633,-0.0966,1.2988,0.334,0.54,0.32,0.7534,-0.1437,0.1249,-0.0471,0.2671,0.0542,0.6005,0.5354,0.3471,0.5321,Control
Utah__B03,-0.0561,-0.0665,1.4103,0.665,0.8063,0.4937,0.8315,0.6231,0.2031,-0.0423,-0.0167,-0.0412,-0.0448,-0.0801,-0.0928,1.2256,0.3349,0.6263,0.377,0.8807,-0.1867,0.0643,-0.1046,0.2584,-0.0126,0.6969,0.5053,0.2482,0.08,BRCACancer
Utah__B04,-0.1818,-0.1788,1.2639,0.4945,0.7741,0.5357,1.0104,0.9134,0.2429,-0.0577,-0.1209,-0.1234,-0.1044,-0.1009,-0.1601,1.3012,0.5129,0.843,0.646,1.5724,-0.1682,0.0641,-0.0806,0.154,0.0725,1.1183,0.5783,0.2027,0.0125,BRCACancer
Utah__B05,-0.089,-0.1638,1.4382,0.6474,1.0844,0.4282,0.7349,0.4835,0.1226,-0.0366,-0.1512,-0.1303,-0.0621,-0.0466,-0.1749,1.1823,0.2632,0.5291,0.1593,0.8302,-0.2003,0.1045,-0.0332,0.3091,0.1191,0.5033,0.3698,0.1752,0.265,BRCACancer
Utah__B06,-0.0094,-0.1061,1.0996,0.1088,0.3695,0.1702,0.6447,0.4755,-0.0413,-0.0642,-0.0791,-0.111,0.1212,-0.0159,-0.0712,0.8635,0.2329,0.5004,0.1613,0.6881,-0.4401,-0.2286,-0.1743,0.261,-0.0479,0.5155,0.2511,-0.0087,0.0853,BRCACancer
