@relation data

@attribute id string
@attribute 10062 numeric
@attribute 10498 numeric
@attribute 10499 numeric
@attribute 116519 numeric
@attribute 123 numeric
@attribute 1374 numeric
@attribute 1376 numeric
@attribute 1387 numeric
@attribute 1579 numeric
@attribute 1581 numeric
@attribute 183 numeric
@attribute 19 numeric
@attribute 1962 numeric
@attribute 2167 numeric
@attribute 2180 numeric
@attribute 2194 numeric
@attribute 23054 numeric
@attribute 23309 numeric
@attribute 25942 numeric
@attribute 284541 numeric
@attribute 31 numeric
@attribute 335 numeric
@attribute 336 numeric
@attribute 34 numeric
@attribute 376497 numeric
@attribute 3992 numeric
@attribute 4023 numeric
@attribute 4199 numeric
@attribute 4547 numeric
@attribute 51 numeric
@attribute 51129 numeric
@attribute 5346 numeric
@attribute 5360 numeric
@attribute 5465 numeric
@attribute 5469 numeric
@attribute 6256 numeric
@attribute 6319 numeric
@attribute 6342 numeric
@attribute 6514 numeric
@attribute 6555 numeric
@attribute 6604 numeric
@attribute 6720 numeric
@attribute 6822 numeric
@attribute 6907 numeric
@attribute 7350 numeric
@attribute 7363 numeric
@attribute 79718 numeric
@attribute 80205 numeric
@attribute 8202 numeric
@attribute 85441 numeric
@attribute 8648 numeric
@attribute 8694 numeric
@attribute 8800 numeric
@attribute 8841 numeric
@attribute 9415 numeric
@attribute 948 numeric
@attribute 9611 numeric
@attribute 9612 numeric
@attribute 96764 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.2214,0.4629,0.7964,-0.2111,0.9151,0.8865,0.8255,1.4764,-0.2567,-0.1505,0.0617,0.828,0.135,-0.23,1.6643,0.4043,0.8727,0.8995,1.8447,-0.2064,0.4646,0.0964,-0.0616,1.0043,0.2022,0.6888,0.0061,0.0443,-0.1462,1.1311,-0.0509,-0.1402,-0.0288,0.3872,1.9677,0.5643,0.1521,1.0529,-0.0739,0.0656,0.2605,0.4203,-0.1005,0.5658,-0.1701,-0.1379,1.2766,0.7454,2.0616,0.6411,1.2533,0.6902,0.3331,0.8237,0.6529,1.538,1.6529,0.3969,1.2725,Control
Utah__A02,0.0609,0.4114,0.4925,-0.2066,0.8416,0.8548,0.668,1.2354,-0.1966,-0.202,0.1781,0.3925,0.0579,-0.284,1.3972,0.2773,0.6915,0.7607,1.5714,-0.0815,0.2171,0.0586,-0.0912,0.8649,0.121,0.5003,0.2427,0.1352,-0.0687,0.8866,-0.0888,-0.1172,-0.0409,0.289,1.7567,0.5698,0.0937,1.1818,-0.0885,-0.0478,0.2427,0.2702,-0.1284,0.3232,-0.0459,-0.0893,0.9584,0.5748,1.8803,0.4226,1.1431,0.6469,0.1624,0.6863,0.1841,1.6222,1.4006,0.3246,1.0498,Control
Utah__A03,0.1972,0.5541,0.7438,-0.1418,1.1119,0.9775,0.8104,1.4513,-0.2037,-0.1844,0.1968,0.6778,0.1521,-0.2581,1.8388,0.4276,0.879,0.8702,1.7198,-0.2487,0.3921,0.1275,0.0356,0.8416,0.1553,0.8207,-0.0179,0.0534,-0.0288,1.0101,-0.1239,-0.1102,-0.0162,0.4377,1.8655,0.7376,0.2377,1.2645,-0.0981,0.0503,0.3079,0.3292,-0.1885,0.4516,-0.1255,-0.1718,1.1536,0.7512,2.0392,0.7239,1.2588,0.7128,0.0577,0.7133,0.556,1.7332,1.6355,0.4966,1.2493,Control
Utah__A04,0.1406,0.4363,0.5667,-0.075,1.0276,1.008,0.6823,1.2933,-0.2152,-0.1343,0.1228,0.403,0.1165,-0.1661,1.5272,0.44,0.6718,0.7055,1.6755,-0.2286,0.227,0.2104,0.0049,0.8305,0.2339,0.5587,0.0684,0.1677,-0.085,0.7678,-0.0936,-0.0647,0.0052,0.2106,1.6815,0.5621,-0.0218,0.9542,-0.0762,-0.0809,0.2104,0.2972,-0.064,0.3969,-0.0699,-0.0908,1.0928,0.5346,1.9023,0.4878,1.2291,0.6931,0.1887,0.6251,0.626,1.4837,1.409,0.4337,1.1374,Control
Utah__A05,0.2361,0.5642,0.7119,-0.1019,1.043,0.9554,0.9663,1.4436,-0.199,-0.1463,0.0653,0.4659,0.1434,-0.2252,1.8088,0.5351,0.8488,0.933,1.7093,-0.1562,0.3963,0.122,-0.0839,0.9614,0.385,0.9742,-0.0114,0.2483,-0.0929,1.219,-0.0917,-0.1023,0.0142,0.3707,1.929,0.7456,0.1019,0.9216,-0.072,-0.0829,0.4021,0.3723,-0.1048,0.5113,-0.0908,-0.1496,1.0652,0.7387,2.0004,0.6467,1.3483,0.8266,0.0759,0.7879,0.4452,1.8659,1.6276,0.5185,1.1812,Control
Utah__A06,0.1676,0.3928,0.5851,-0.2354,0.8708,0.8249,0.6657,1.3768,-0.1187,-0.115,0.124,0.5426,0.141,-0.2657,1.8226,0.3398,0.7211,0.8517,1.6522,-0.1244,0.3572,0.0561,-0.0689,0.7652,0.2049,0.5856,0.0668,0.0623,-0.0692,1.1067,-0.1139,-0.1312,-0.0799,0.3632,1.8356,0.6974,-0.078,1.0022,-0.0628,-0.1007,0.3316,0.2551,-0.153,0.4687,-0.1252,-0.1727,0.9645,0.6477,1.9215,0.4535,1.2359,0.6747,0.0789,0.6994,0.2186,1.6684,1.4875,0.396,1.2138,Control
Utah__A07,0.1343,0.4001,0.9556,-0.2003,0.9286,1.081,0.9043,1.4744,-0.1427,-0.183,0.1567,0.5052,0.1306,-0.2248,1.6679,0.2814,0.8195,0.9194,1.7102,-0.1305,0.3689,0.083,-0.0358,1.082,0.2528,0.6144,-0.008,0.1184,-0.0844,1.1348,-0.0876,-0.1189,-0.0832,0.3346,1.8175,0.6753,-0.0135,0.7758,-0.06,-0.0707,0.3433,0.2515,-0.1357,0.7324,-0.002,-0.1185,1.3314,0.787,2.1379,0.4057,1.3474,0.7207,0.2622,0.7627,0.2904,1.6568,1.6596,0.3945,1.2673,Control
Utah__A08,0.1551,0.3489,1.1446,-0.1196,0.748,0.8842,0.6571,1.5962,-0.2163,-0.1564,0.0857,0.632,0.0589,-0.208,1.444,0.2912,0.878,0.8912,1.732,-0.2704,0.533,0.0481,-0.0102,0.9356,0.1333,0.52,-0.0393,0.0344,-0.1101,0.9998,-0.1559,-0.1371,-0.0884,0.4049,1.6237,0.5417,0.0426,1.1978,-0.1361,0.0706,0.2479,0.3573,-0.1552,0.8609,-0.1239,-0.2234,1.5415,0.8489,2.1202,0.4617,1.4524,0.5367,0.1916,0.7106,0.259,1.7255,1.799,0.4251,1.2806,Control
Utah__A09,0.1366,0.3861,0.914,-0.1879,0.8616,0.8652,0.6623,1.4502,-0.0905,-0.1716,0.1352,0.6496,0.1017,-0.1701,1.5262,0.2706,0.7208,0.7902,1.6895,-0.1229,0.3223,0.1125,-0.0367,0.8881,0.15,0.5163,0.0243,0.0167,-0.0515,0.975,-0.1009,-0.1509,-0.0633,0.2736,1.8494,0.5715,0.1071,0.8556,-0.0712,-0.0898,0.2781,0.298,-0.1106,0.6783,-0.1045,-0.165,1.1909,0.7283,2.1417,0.4652,1.219,0.6336,0.1368,0.6571,0.5815,1.703,1.6838,0.3846,1.1412,Control
Utah__A10,0.1382,0.4504,0.9662,-0.1161,0.8314,0.8282,0.7674,1.5075,-0.1573,-0.1332,0.1044,0.7393,0.1243,-0.1892,1.9929,0.3573,0.8572,0.8572,1.6973,-0.2136,0.404,0.1061,-0.065,1.0145,0.2316,0.5989,-0.0229,0.1925,-0.0838,1.0746,-0.0335,-0.1206,-0.0141,0.4249,1.7964,0.5991,0.0294,1.247,-0.1175,0.0031,0.4296,0.3132,-0.0911,0.6925,-0.1203,-0.1161,1.3485,0.8099,2.085,0.4702,1.4086,0.641,0.1291,0.7322,0.2236,2.4117,1.747,0.4318,1.1574,Control
