@relation data

@attribute id string
@attribute 102 numeric
@attribute 10252 numeric
@attribute 10254 numeric
@attribute 1173 numeric
@attribute 1175 numeric
@attribute 1211 numeric
@attribute 1213 numeric
@attribute 1445 numeric
@attribute 160 numeric
@attribute 161 numeric
@attribute 163 numeric
@attribute 1950 numeric
@attribute 1956 numeric
@attribute 2060 numeric
@attribute 2549 numeric
@attribute 26018 numeric
@attribute 2885 numeric
@attribute 29924 numeric
@attribute 30011 numeric
@attribute 3265 numeric
@attribute 3845 numeric
@attribute 4893 numeric
@attribute 5290 numeric
@attribute 5295 numeric
@attribute 5335 numeric
@attribute 55824 numeric
@attribute 5594 numeric
@attribute 5595 numeric
@attribute 5604 numeric
@attribute 5605 numeric
@attribute 5781 numeric
@attribute 5829 numeric
@attribute 58513 numeric
@attribute 5894 numeric
@attribute 6456 numeric
@attribute 6464 numeric
@attribute 6654 numeric
@attribute 6714 numeric
@attribute 6868 numeric
@attribute 7314 numeric
@attribute 7529 numeric
@attribute 8027 numeric
@attribute 8038 numeric
@attribute 867 numeric
@attribute 8874 numeric
@attribute 9146 numeric
@attribute 998 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,1.6975,0.1771,1.3716,1.4197,0.7167,0.9448,1.9669,1.2739,0.9278,0.62,0.9631,0.6019,-0.0786,1.4523,0.3585,0.5549,1.6544,0.5536,0.6113,0.4247,1.5983,2.847,1.6169,1.4782,1.7289,1.4436,1.7309,1.0783,0.718,0.4255,0.5364,0.9824,0.6193,1.7847,-0.1193,0.75,1.1294,0.3629,1.5555,0.6471,2.4348,1.5407,-0.0462,1.4582,0.7689,0.6626,1.3608,Control
Utah__A02,1.5034,0.0378,1.2159,1.4253,0.7705,0.802,1.9209,1.2378,0.966,0.4326,0.7721,0.4253,0.0036,1.3517,0.2528,0.3642,1.493,0.4913,0.3688,0.3701,1.3547,3.0554,1.3286,1.1561,1.2376,0.8451,1.6299,1.0214,0.4692,0.2945,0.3842,0.7957,0.4362,1.5429,-0.1676,0.7973,0.9018,0.3648,1.3843,0.7377,2.3385,1.2335,-0.0719,1.3316,0.5586,0.5556,1.0773,Control
Utah__A03,1.7035,0.0271,1.4638,1.4715,0.8684,1.0299,2.0945,1.46,1.137,0.5366,0.9586,0.4869,-0.0126,1.4894,0.3504,0.3659,1.7906,0.7334,0.5404,0.3745,1.6547,3.1476,1.4291,1.3011,1.3242,1.2498,1.8758,1.0584,0.6904,0.494,0.4604,1.0696,0.5687,1.7349,-0.1839,0.7917,1.1313,0.5956,1.776,0.7912,2.5751,1.3874,-0.0729,1.4099,0.6834,0.6903,1.3643,Control
Utah__A04,1.4982,0.2129,1.2553,1.5759,0.8945,0.7059,1.8087,1.2797,0.9251,0.4624,0.7734,0.3997,-0.0237,1.4632,0.3144,0.4794,1.4914,0.5401,0.4068,0.3589,1.1941,3.093,1.383,1.4673,1.312,1.1786,1.7145,1.0435,0.4999,0.4226,0.3807,0.8875,0.4924,1.6725,-0.1085,0.7946,1.0307,0.3996,1.415,0.5956,2.4407,1.2877,-0.0438,1.2936,0.5382,0.6215,1.2398,Control
Utah__A05,1.6452,0.1814,1.4387,1.677,1.0712,0.9876,2.0745,1.4212,1.2359,0.6111,0.8769,0.8239,-0.0402,1.5041,0.4558,0.3849,1.8851,0.8048,0.5256,0.4809,1.41,3.3716,1.5208,1.3057,1.2008,1.0881,1.9408,1.1978,0.7099,0.4974,0.4661,1.1601,0.5939,1.808,-0.0844,0.89,1.0492,0.6218,1.6811,0.6996,2.4214,1.4343,-0.0757,1.5036,0.6522,0.7069,1.3013,Control
Utah__A06,1.5453,0.1049,1.3412,1.4828,0.7794,0.9732,1.9669,1.1991,1.051,0.4754,0.8799,0.4647,-0.0106,1.3223,0.3647,0.3535,1.5864,0.6294,0.4752,0.2391,1.4342,2.9291,1.4163,1.3466,1.1962,0.9872,1.8446,0.9874,0.6673,0.3508,0.4744,0.9242,0.5064,1.7489,-0.0865,0.7604,0.8863,0.4104,1.4233,0.7772,2.4879,1.2945,-0.0476,1.388,0.6088,0.5628,1.1447,Control
Utah__A07,1.9214,0.1607,1.5439,1.5403,0.7656,1.2808,2.1148,1.3161,1.0529,0.5419,1.0105,0.4296,-0.0137,1.4916,0.5979,0.4943,1.89,0.5577,0.7149,0.3621,1.7087,2.9633,1.6368,1.6128,1.2837,1.4635,1.882,0.9702,0.8479,0.4043,0.516,0.9822,0.6093,1.7704,-0.1555,0.7917,1.1809,0.3471,1.6452,0.4619,2.4863,1.3942,-0.0827,1.5655,0.7308,0.6033,1.5858,Control
Utah__A08,1.8692,0.0802,1.4346,1.337,0.5963,1.0975,2.0249,1.2298,0.9344,0.5573,1.0708,0.2493,-0.0387,1.6622,0.5924,0.7108,1.7425,0.5587,0.8326,0.2915,1.6234,2.7421,1.8021,1.7107,1.4764,1.7515,1.9122,0.9939,0.8635,0.3356,0.6002,0.9706,0.6437,1.7386,-0.1403,0.777,1.4746,0.3367,1.6457,0.5945,2.3514,1.4879,-0.0587,1.5588,0.8974,0.585,1.6994,Control
Utah__A09,1.7809,0.1791,1.253,1.4405,0.8142,1.1982,2.0337,1.2945,0.9406,0.5094,0.9394,0.5342,-0.0275,1.4736,0.4286,0.5345,1.8554,0.5914,0.6948,0.3464,1.5566,2.9428,1.4941,1.5301,1.3678,1.5596,1.8315,0.99,0.7596,0.3503,0.4408,0.8954,0.5694,1.6393,-0.1061,0.7709,1.0011,0.4405,1.4106,0.4575,2.6039,1.5036,-0.0665,1.511,0.7178,0.6142,1.4239,Control
Utah__A10,1.6868,0.0504,1.5645,1.5258,0.8653,1.223,2.1067,1.2817,0.8963,0.5054,1.0296,0.7762,-0.0564,1.7552,0.5336,0.4454,1.8284,0.608,0.718,0.3978,1.4421,3.0526,1.743,1.6455,1.2566,1.2731,1.9225,0.9237,0.7992,0.4701,0.5,1.0213,0.5777,1.7838,-0.0786,0.7829,1.3376,0.4233,1.7038,0.3962,2.4635,1.4188,-0.064,1.4699,0.7419,0.6715,1.6004,Control
