@relation data

@attribute id string
@attribute 1457 numeric
@attribute 2002 numeric
@attribute 2353 numeric
@attribute 2885 numeric
@attribute 3265 numeric
@attribute 3643 numeric
@attribute 3725 numeric
@attribute 5290 numeric
@attribute 5294 numeric
@attribute 5295 numeric
@attribute 5595 numeric
@attribute 5599 numeric
@attribute 5604 numeric
@attribute 5781 numeric
@attribute 5894 numeric
@attribute 5921 numeric
@attribute 6464 numeric
@attribute 6517 numeric
@attribute 6654 numeric
@attribute 6722 numeric
@attribute Class {Control,BRCACancer}

@data
Utah__A01,0.6673,0.4312,2.8983,1.6544,0.4247,0.1655,1.3192,1.6169,1.8391,1.4782,1.0783,1.4021,0.718,0.5364,1.7847,1.2797,0.75,-0.1413,1.1294,0.8024,Control
Utah__A02,0.3813,0.2767,1.0191,1.493,0.3701,0.0826,0.8029,1.3286,2.0614,1.1561,1.0214,0.9672,0.4692,0.3842,1.5429,0.8677,0.7973,-0.0454,0.9018,0.7895,Control
Utah__A03,0.4865,0.3461,2.3465,1.7906,0.3745,0.2047,1.2073,1.4291,2.1951,1.3011,1.0584,1.211,0.6904,0.4604,1.7349,1.0619,0.7917,0.028,1.1313,0.8214,Control
Utah__A04,0.417,0.3725,1.5126,1.4914,0.3589,0.108,1.3091,1.383,2.1245,1.4673,1.0435,0.9665,0.4999,0.3807,1.6725,0.9845,0.7946,-0.0078,1.0307,0.8,Control
Utah__A05,0.4751,0.4351,1.9653,1.8851,0.4809,0.2633,1.2428,1.5208,2.1197,1.3057,1.1978,1.1192,0.7099,0.4661,1.808,1.0949,0.89,-0.0265,1.0492,0.9221,Control
Utah__A06,0.4646,0.3874,3.1061,1.5864,0.2391,0.207,0.8136,1.4163,1.9994,1.3466,0.9874,1.1521,0.6673,0.4744,1.7489,0.9493,0.7604,-0.0768,0.8863,0.7385,Control
Utah__A07,0.6805,0.2834,2.7089,1.89,0.3621,0.1543,1.2402,1.6368,1.974,1.6128,0.9702,1.3691,0.8479,0.516,1.7704,1.3386,0.7917,-0.1584,1.1809,0.8019,Control
Utah__A08,0.7164,0.3073,1.6836,1.7425,0.2915,0.1697,0.8862,1.8021,2.0798,1.7107,0.9939,1.4969,0.8635,0.6002,1.7386,1.547,0.777,-0.1304,1.4746,0.7216,Control
Utah__A09,0.5674,0.3567,2.2224,1.8554,0.3464,0.109,0.9959,1.4941,1.9891,1.5301,0.99,1.3676,0.7596,0.4408,1.6393,1.177,0.7709,-0.1066,1.0011,0.7334,Control
Utah__A10,0.6018,0.3201,3.187,1.8284,0.3978,0.1539,1.3751,1.743,2.143,1.6455,0.9237,1.2269,0.7992,0.5,1.7838,1.336,0.7829,-0.0434,1.3376,0.8338,Control
Utah__A11,0.3831,0.307,2.8409,1.5674,0.2849,0.1338,1.0715,1.2242,1.5704,1.2045,0.9765,1.1557,0.5921,0.4071,1.2871,0.7886,0.5757,-0.0631,0.7411,0.5486,Control
